-0.0597385-1.38778e-17j 0.134815+0.00420903j 0.075392+0.0243781j -0.0253921-0.0629712j 0.0930472-0.0460981j 0.045137-0.0509376j -0.00196856+0.150541j 0.0737797-0.0548392j 0.142246-0.0299834j 0.0355852+0.0531331j -0.00257119-0.0622621j 0.00941824+0.055278j -0.035261-0.0253324j 0.00620498-0.012342j -0.00326086-0.0863846j 0.0217693+0.0481596j 0.00505514-0.0374817j 0.0233524+0.0333826j -0.0014707+0.0436742j 0.00215373+0.0141803j 0.00767579+0.0165309j 0.002921+0.02194j 0.027921-0.0660921j 0.0567425-0.0109323j -0.0108886-0.0253909j 0.00904547+0.0251961j 0.00331058+0.0167422j -0.0715077+0.00700939j -0.0207449+0.0450622j 0.00719268+0.0297271j 0.0945622-0.0466724j 0.039558+0.0417177j 0.00947602-0.131852j 0.0427572+0.0173247j 0.00730299+0.0428419j -0.00303973+0.0212124j -0.0526741-0.102353j -0.0406683-0.0930827j 0.0165251+0.0165294j 0.0679049-0.144221j 
0.00331058-0.0167422j 0.0187797-0.0167336j 0.0140982-0.0495204j -0.0654112-0.000460475j 0.0430853+0.0501856j 0.0205047-0.00183874j -0.00390879+0.0187002j 0.0121697+0.0837119j 0.0275828+0.0565403j 0.0448484-0.0753409j 0.0343734-0.0546069j -0.0338823-0.0028562j -0.0750612+0.00243515j -0.0995697+0.114868j 0.00363505-0.0676458j 0.09122-0.159659j -0.0809364-0.0617137j 0.133676+0.00285593j -0.022733+0.148352j 0.0878396+0.0105306j 0.036389-0.00619525j 0.0783278-0.0117034j -0.0701926-0.0581405j -0.226157+0.196998j -0.108491-0.0436265j -0.0517607-0.0508334j -0.123375-1.17961e-16j 0.0930209+0.0955605j -0.159859+0.00885229j -0.098562+0.0390904j -0.112287-0.00110943j 0.00429908-0.136178j 0.0690079-0.0890723j -0.0781714+0.116813j -0.21119-0.201969j 0.0497243-0.161762j 0.126039+0.000670204j 0.0425133-0.0576478j -0.0224027+0.0228778j -0.0309937-0.0365808j 
-0.0715077-0.00700939j -0.0158697+0.0181144j 0.1484+0.0690262j -0.0287753-0.083176j 0.0244527+0.0638755j 0.0107895-0.0297659j 0.00210598+0.0237639j -0.0842589+0.0310642j -0.0785457-0.131852j 0.020778-0.00404089j -0.0180536+0.112924j -0.0181397+0.0929145j -0.0281816-0.0545409j 0.0557146+0.124717j -0.0475459-0.0593821j -0.0141463+0.0341203j 0.0462694-0.0334949j 0.0297105+0.0558779j -0.0325257-0.157408j -0.01756+0.0677013j -0.137268-0.0278034j -0.0660964+0.0771136j -0.139562-0.00617767j 0.0409663-0.0531521j 0.00819816-0.0102978j 0.0812499+0.0388131j 0.0930209-0.0955605j -0.380567+1.42941e-15j -0.204495+0.00168378j -0.103834+0.102946j -0.0934762-0.0182494j -0.0646609-0.0731846j 0.174765-0.0990531j -0.0960611-0.117679j -0.00710841+0.00796954j 0.0860825-0.0719178j 0.0817181+0.0116566j -0.0116781-0.0059152j -0.0336568-0.0347777j -0.155763+0.0482606j 
0.0444045+0.0221177j -0.0194754-0.0131156j -0.0657804-0.0562218j 0.0824282+0.0695293j 0.00345297+0.0448117j 0.0345425+0.0177455j 0.00622571-0.00133794j 0.0578115-0.0859666j -0.0522445+0.0448609j -0.0839691+0.0241812j 0.0194122+0.0867445j 0.0509676-0.0434565j -0.268849-0.0978974j 0.0502765+0.0883909j 0.0104255-0.114572j -0.140676+0.0790169j 0.00652038+0.0256356j 0.0304983-0.012614j -0.00274845-0.13276j -0.186846-0.0743611j 0.0234982+0.0408291j -0.0756339+0.135131j -0.0586749+0.0987182j -0.0918219-0.0486469j -0.0272941+0.0156037j -0.153187-0.131263j 0.130126-0.0932756j 0.160419-0.126833j -0.0148201+0.0119168j -0.0314003+0.00966778j 0.0736122-0.0878j 0.209818+0.0319276j 0.0685666-0.10837j 0.118744-0.0856396j -0.00631928-0.0430008j 0.165396+0.0867683j -0.0414314+0.0350509j 0.056839+0.276387j -0.110437+0.0214678j 0.0195818-0.0914163j 
0.00719268-0.0297271j -0.0186621+0.00936587j -0.00778548+0.0278222j 0.0235075-0.0545863j -0.0444759-0.00188653j 0.0736874-0.0108915j 0.00598058-0.0723093j 0.0718421-0.0197198j 0.00254015-0.0147228j -0.0158984-0.00131003j 0.0418872-0.0191719j 0.0328344-0.00260522j 0.00866816+0.113734j 0.0355749+0.0556096j 0.0316129-0.00611838j 0.0369265-0.0204192j 0.0153428+0.00987229j -0.0544329-0.00266909j -0.00172886-0.11209j -0.0056335-0.0181319j 0.126057-0.0286978j 0.0131072-0.0140777j -0.0237738+0.0265737j -0.056925-0.0333418j 0.12535+0.0338568j -0.0102773-0.0781332j -0.098562-0.0390904j -0.103834-0.102946j 0.0305287-0.0121426j -0.120937+9.02056e-16j -0.0942342+0.0596571j -0.137694+0.0224979j 0.0770006-0.0147256j 0.177701-0.0145921j 0.13887+0.0122461j 0.0878513-0.103588j -0.253938-0.188945j 0.0469455+0.0733218j 0.0140634+0.105761j -0.116427+0.0474839j 
-0.0623244-0.0850646j 0.0171533+0.0192807j 0.134644+0.0788358j -0.0537099-0.0748273j 0.0827935+0.00762994j -0.0324826-0.0156543j -0.05028-0.0493077j -0.050826+0.00620718j -0.0325489+0.0781336j -0.0428401-0.00393118j -0.0750023-0.0980958j -0.139803-0.0858311j 0.0938063+0.179713j 0.0688084-0.0954338j 0.0440064-0.126703j 0.106036+0.0252479j 0.00259443-0.0378295j -0.00500513-0.081436j 0.0843239+0.0423961j 0.106313+0.114434j -0.159617-0.133612j 0.18588-0.00711379j -0.088409-0.0190636j -0.0776197+0.0399272j -0.0178452-0.218869j 0.0377745-0.0766222j 0.100111+0.0508671j 0.0913403+0.0269776j 0.0893908+0.071672j 0.0560375+0.0964305j 0.0303238+0.0157866j -0.189368-0.130961j 0.0419551+0.000518885j 0.179748-0.0306668j -0.0577799+0.0332j 0.0631922+0.00895028j -0.00282925+0.0637189j -0.105758+0.188348j -0.120758-0.0282111j -0.0239752-0.161688j 
0.039558-0.0417177j 0.0176282-0.00180935j -0.0285903+0.0484241j 0.0468713+0.0566082j 0.0166469-0.0334024j -0.0833341-0.000745143j -0.00229915-0.00331888j 0.0752109-0.0351029j 0.00873078+0.0113869j -0.0219933-0.0108403j -0.00134586-0.0968044j 0.0618295+0.0112193j 0.0309383+0.13699j 0.0477106+0.0826902j 0.0630696+0.0217347j 0.0670694-0.0482659j 0.0145828-0.0191045j 0.0114608-0.0225406j 0.0150536-0.0931969j 0.0175449+0.0271024j 0.150509-0.218461j 0.00317151+0.0665431j -0.112977-0.204323j -0.0635334-0.14868j 0.22715+0.118287j 0.0608339-0.0360955j 0.00429908+0.136178j -0.0646609+0.0731846j -0.143505+0.156362j -0.137694-0.0224979j 0.228443-0.0287169j -0.198309-2.99066e-15j -0.060297+0.105387j 0.0970503+0.101334j -0.0999728-0.0168914j -0.0445882+0.239695j 0.202255+0.0763481j -0.0497294+0.0636312j 0.0851527+0.125191j -0.0537872+0.0972429j 
0.00947602+0.131852j -0.025011-0.00209991j -0.0238083-0.216078j -0.0569075+0.0340109j -0.0460463+0.126815j 0.000971612+0.0322375j -0.000198113+0.0141512j -0.0244292-0.0219518j -0.0405626+0.101507j 0.0728417-0.0188596j -0.0481196+0.0633005j 0.0244932-0.0382851j 0.0323256-0.158141j 0.0143923-0.0873672j 0.0793657+0.0379669j -0.0119802-0.00858954j 0.0442885-0.00953029j 0.1158+0.0952912j -0.105692+0.264719j -0.0806334+0.00320353j -0.239795+0.0479991j -0.0384529+0.137273j 0.0375219-0.0479408j 0.0349345-0.0813009j 0.0381861-0.0354876j 0.159694-0.0262961j 0.0690079+0.0890723j 0.174765+0.0990531j -0.121344-0.0414871j 0.0770006+0.0147256j -0.0374537-0.0189135j -0.060297-0.105387j -0.017879-2.498e-16j -0.0283441+0.0860127j 0.162809-0.0208522j -0.0449063+0.110893j -0.0343358-0.014414j 0.0150337+0.0604418j 0.105371+0.0718559j 0.0327387-0.0419333j 
0.0367248+0.0279216j -0.0143901+0.0154433j -0.0717512-0.0505124j -0.0615424-0.0735518j 0.00673447+0.00303088j -0.00994297+0.00324433j -0.00324033+0.00206961j -0.0530113+0.0878209j -0.0477405+0.0455513j -0.0450497+0.0039392j 0.0106218-0.00197386j 0.106754-0.00201935j 0.0814643-0.0353588j -0.0398838-0.148499j 0.0751589+0.0150444j -0.117623-0.0393386j -0.0161441-0.0342998j -0.0445744-0.0154276j 0.117227-0.0419493j -0.0601015+0.0424105j -0.058656+0.0193136j 0.172726+0.0202602j -0.013011+0.023537j 0.041873+0.0295734j 0.04066-0.00143797j -0.217572+0.0423933j 0.0605378-0.126851j -0.150229-0.0225247j -0.0812335-0.121801j 0.0781699+0.16025j 0.0205982-0.181178j 0.136679+0.0317195j 0.0594904-0.0682823j -0.0559481-0.0942369j -0.106194+0.0907588j -0.0685791+0.19283j 0.0829001+0.0711228j -0.134645-0.0194088j -0.0768424-0.0582259j 0.00496591+0.0948272j 
0.00730299-0.0428419j -0.0234209-0.00665229j -0.0111387+0.026995j -0.0256862-0.0152083j 0.035814-0.000336498j -0.0526798+0.000988329j -0.00163208+0.0108088j -0.0160472+0.0365208j 0.00756177+0.0192991j 0.0195615-0.00888275j 0.0355831-0.0255622j 0.00573149-0.0193937j -0.0388371+0.0108042j -0.0417405+0.0211895j 0.00327082-0.0799784j 0.0239452-0.0847678j -0.0241707-0.01482j 0.00981937+0.036808j -0.0117981+0.00936171j 0.0242729-0.00423187j 0.067986-0.0676493j 0.078925+0.0356247j 0.0318329+0.0230787j -0.121972-0.166794j 0.0860094+0.045655j 0.0605007-0.128079j -0.21119+0.201969j -0.00710841-0.00796954j -0.0220215-0.0374708j 0.13887-0.0122461j 0.0359198+0.0561295j -0.0999728+0.0168914j 0.162809+0.0208522j 0.0238289-0.137646j 0.494667-1.82493e-15j -0.104085-0.0693265j -0.171466-0.018379j 0.0420891+0.0331836j 0.0232294-0.0309141j -0.0382832-0.0312625j 
0.00172585+0.0213595j 0.00453113-0.00671045j 0.00866299-0.0358316j -0.0621537-0.0483763j 0.00366733-0.0578323j 0.0337578+0.0170016j -0.00173737+0.00472698j -0.0812168+0.0579835j -0.047716-0.00914942j 0.0373977-0.00465194j 0.0480628+0.0192943j 0.0227527+0.0793519j 0.00484408+0.0666853j 0.00043437-0.0785553j -0.00684933+0.075853j 0.0199671-0.0121949j 0.0123221-0.0090913j -0.00201013+0.0699317j 0.00638958+0.0824845j -0.0239213-0.0126455j -0.0356819+0.0585259j 0.101762+0.0350425j 0.129878-0.00164806j -0.0983526+0.173143j 0.261635-0.0195526j 0.149797+0.0208632j -0.0396544-0.16452j -0.0814837-0.0770893j 0.0849407-0.166342j -0.0812961-0.108809j 0.05876+0.0249125j 0.0297221+0.241989j 0.0379824+0.113451j -0.140258+0.149044j 0.108162-0.062776j 0.269035+0.0166221j 0.0109943-0.158861j -0.0814099-0.0317143j 0.0352343-0.0428561j -0.0692114-0.0151911j 
-0.0526741+0.102353j -0.0164759+0.0219965j 0.0536948-0.141345j 0.00993828-0.10474j -0.041267+0.129046j 0.00571136-0.0267875j -0.00687784+0.0211511j -0.0479821+0.0283696j 0.00329084+0.0104782j 0.0276469+0.0139359j -0.0550461+0.10257j -0.0460776-6.30977e-05j 0.00995674-0.156773j -0.0111425-0.0470926j -0.0583308+0.0420004j -0.0301206-0.0303856j 0.0295825-0.0282963j -0.0919603+0.00404545j -0.0367115+0.0100072j -0.0277181-0.0110598j 0.115928-0.18531j -0.228768+0.382719j 0.0894926+0.0297703j -0.0388773-0.0378914j 0.0282474+0.0326199j 0.0946512+0.0470369j 0.126039-0.000670204j 0.0817181-0.0116566j 0.0542521+0.00135271j -0.253938+0.188945j -0.0269141+0.057825j 0.202255-0.0763481j -0.0343358+0.014414j 0.103478+0.0349752j -0.171466+0.018379j -0.00117697-0.159237j -0.11221-1.94289e-16j -0.00110441-0.00124258j -0.0349998-0.0112842j 0.0146658+0.000317413j 
-0.0406683+0.0930827j 0.00280142-0.0168441j 0.0108372-0.23409j -0.203361+0.0299956j 0.0269254+0.0323779j 0.00989008+0.0228199j -0.0202388-0.00839904j 0.180195+0.139659j 0.0769598+0.189495j -0.0132057+0.0863551j -0.0621091+0.0600785j -0.0622186+0.0313353j 0.0598087-0.0583414j -0.18907+0.0524995j -0.0776304-0.157811j -0.0862895-0.0537396j -0.0293826-0.0540889j -0.144809-0.0829871j 0.0603119-0.257076j 0.0415246+0.159396j 0.106719-0.057486j -0.037932+0.1331j -0.00593892+0.0496538j -0.207018+0.0110472j 0.0429377+0.102999j 0.0475531+0.0504403j 0.0425133+0.0576478j -0.0116781+0.0059152j 0.128901+0.251008j 0.0469455-0.0733218j 0.00683356+0.2159j -0.0497294-0.0636312j 0.0150337-0.0604418j -0.085426-0.105869j 0.0420891-0.0331836j 0.0832107-0.0266337j -0.00110441+0.00124258j -0.0910562-2.22045e-16j -0.100969-0.0389356j 0.0804476+0.0193293j 
0.0225136+0.00628014j 0.008946+0.000604518j 0.0934333+0.0227701j -0.0875049+0.268877j 0.00404303-0.0993278j -0.0473172-0.00660092j 0.0969056-0.00488854j 0.211591-0.071493j -0.267986-0.000238599j 0.0205277-0.0218574j 0.0562552-0.031973j 0.134314+0.0334232j -0.106991+0.103793j 0.0257245+0.204463j 0.242731+0.0755355j -0.043706+0.096539j 0.0517556+0.0371269j 0.0658585+0.00971437j -0.061488-0.0849812j -0.215241-0.000474722j -0.184938-0.0168155j -0.0290329-0.110246j -0.0969368-0.0904236j 0.0372781+0.113131j -0.0875141-0.0683591j 0.0878836-0.0869157j 0.00893054-0.0307493j -0.0468224-0.0122447j 0.0945761+0.0609303j 0.0990396-0.0396768j 0.032209+0.119754j 0.150871+0.0127133j 0.114335+0.0565136j -0.0121769-0.0956386j -0.0155256+0.0354152j 0.0231869-0.050403j -0.0270152-0.0249499j -0.0834946-0.0688427j -0.0248716-0.0441288j 0.143213+0.0840451j 
0.0679049+0.144221j -0.012112-0.00560162j -0.158327-0.294229j -0.0505552+0.0921986j -0.117921-0.0356192j -0.00993931+0.0106247j -0.0112791-0.0310529j 0.0399528+0.0263618j 0.0994741+0.21446j 0.0168161-0.00593833j -0.0410081+0.0301358j 0.145012+0.153618j 0.240036+0.0123383j -0.10364+0.016379j 0.0211064-0.0318414j -0.00512394-0.0634281j -0.00578217-0.0333202j 0.069879+0.0968899j -0.00666561-0.0433367j -0.00201459+0.136488j -0.0448009+0.0876786j -0.0145705+0.0316988j -0.170708-0.17248j 0.142259+0.0345628j 0.0665659-0.0263088j -0.00161374-0.0264124j -0.0309937+0.0365808j -0.155763-0.0482606j -0.0725456-0.0589706j -0.116427-0.0474839j 0.0959293-0.132346j -0.0537872-0.0972429j 0.0327387+0.0419333j 0.0840747-0.0441397j -0.0382832+0.0312625j 0.0700165-0.0108942j 0.0146658-0.000317413j 0.0804476-0.0193293j 0.143534+0.0834958j -0.0762895-4.996e-16j 
