1.00719-0j 0.102152-0j 0.103211-0j 0.0586083-0j 0.00845938-0j 0.0725241-0j 0.010468-0j 0.0423057-0j 0.00610631-0j 0.0411828-0j 0.00728015-0j 0.0480466-0j 0.000606679-0j 0.0294224-0j 0.00849351-0j 0.0420407-0j 0.00520119-0j 0.000707793-0j 0.0173409-0j 0.000433433-0j 0.00743182-0j 0.000619319-0j 0.00306547-0j 0.000255456-0j 0.0317002-0j 0.00528337-0j 0.0358092-0j 0.00323539-0j 0.000660421-0j 0.0292381-0j 3.89157e-05-0j 0.0295411-0j 0.0059682-0j 0.00365476-0j 0.0255833-0j 0.00487302-0j 0.000746025-0j 0.0211052-0j 0.0029841-0j 0.00492352-0j 4.396e-05-0j 0.00674321-0j 0.000609127-0j 0.00426389-0j 0.00301503-0j 0.00261109-0j 0.00061544-0j 3.58932e-05-0j 0.00351753-0j 0.000532986-0j 0.00215404-0j 0.00112387-0j 3.62651e-05-0j 0.000688226-0j 0.000439691-0j 3.14065e-05-0j 2.59091e-05-0j 0.000140483-0j 8.27807e-06-0j 
0.0443763-0j -0.00152928-0j -0.00737751-0j -0.0008774-0j -0.000126642-0j 0.00319537-0j 0.000461211-0j -0.000736944-0j -0.000106369-0j -0.00061653-0j -0.000108988-0j 0.0021169-0j -9.08234e-06-0j -0.00044047-0j 0.000374219-0j -0.00300507-0j -7.78648e-05-0j 3.11849e-05-0j 0.00366135-0j -6.48874e-06-0j -0.000531226-0j -4.42688e-05-0j 0.000647241-0j 5.39368e-05-0j 0.092962-0j -7.90951e-05-0j -0.309057-0j -4.84357e-05-0j -9.88689e-06-0j 0.0857418-0j -5.8259e-07-0j 0.413633-0j 0.000262955-0j 0.000161027-0j -0.220801-0j -7.29519e-05-0j 3.28694e-05-0j 0.072016-0j -4.46737e-05-0j -0.000351932-0j 1.93685e-06-0j -0.369623-0j -9.11898e-06-0j 0.000187864-0j -0.000215514-0j 0.000115043-0j -4.39915e-05-0j -5.37341e-07-0j -6.12736e-05-0j 2.3483e-05-0j -3.75222e-05-0j 0.000314487-0j -2.59223e-06-0j 0.000192583-0j -7.65919e-06-0j 1.38375e-06-0j -4.51322e-07-0j 3.93109e-05-0j 2.31641e-06-0j 
6.06915e-05-0j 0.000432456-0j -0.000424499-0j 0.09573-0j -7.14345e-05-0j -0.000845311-0j 6.30778e-07-0j 0.0678061-0j -5.05974e-05-0j 0.000174345-0j -0.00596146-0j -5.77502e-06-0j 2.56834e-06-0j 0.000124558-0j 0.000197469-0j -0.00017291-0j -0.00425907-0j -8.50741e-08-0j -0.000216055-0j 1.83491e-06-0j 0.00591241-0j -2.54721e-06-0j 0.0073877-0j -3.1828e-06-0j 0.000134201-0j 2.23668e-05-0j 2.15779e-06-0j 0.253573-0j -0.000540796-0j -0.000246899-0j 1.64747e-07-0j 0.000242356-0j 3.59632e-07-0j 0.00407715-0j 1.5416e-06-0j -4.11498e-05-0j -8.69536e-06-0j -0.00017488-0j -0.466516-0j 4.03926e-05-0j 2.64894e-09-0j -0.000112156-0j 0.00099494-0j 2.56934e-07-0j 0.457932-0j 0.00291286-0j -0.000976633-0j -3.03097e-07-0j -2.91466e-05-0j -6.21227e-06-0j -0.330435-0j -1.86927e-05-0j 2.9752e-07-0j -0.211919-0j 0.000704721-0j 1.89249e-09-0j -2.14685e-07-0j 0.000451961-0j -1.37685e-07-0j 
0.00426389-0j 0.0607125-0j -0.0206682-0j 0.000248115-0j -0.00342383-0j -0.000911228-0j 0.0125744-0j 0.000179099-0j -0.00247145-0j -0.025409-0j -0.00145787-0j -0.0296438-0j -0.000369604-0j -0.0169976-0j -0.00170085-0j 0.0769829-0j -0.000975256-0j -0.000431204-0j -0.010699-0j -0.00024725-0j 0.00441697-0j 0.00111981-0j -0.000613868-0j -0.00015563-0j 0.000134201-0j 0.154194-0j 0.000151596-0j 1.36968e-05-0j -0.000267298-0j -0.000367362-0j -3.16661e-05-0j 0.00012506-0j 0.174181-0j 1.54722e-05-0j 0.000101412-0j -0.422091-0j -0.000301945-0j -0.000265176-0j -3.74937e-05-0j 0.143692-0j -3.57706e-05-0j 2.85469e-05-0j 0.000731701-0j 0.11652-0j 1.27639e-05-0j 1.03503e-05-0j -0.000249092-0j 8.66828e-05-0j -0.304682-0j -0.000201989-0j -2.70644e-05-0j 0.0327998-0j -2.95093e-05-0j 2.91356e-06-0j 0.00052817-0j -2.39292e-05-0j 6.2571e-05-0j -5.6859e-05-0j -6.73594e-06-0j 
0.00261109-0j -0.000785976-0j 0.000267568-0j -0.0293892-0j 2.19304e-05-0j 0.107935-0j -8.0542e-05-0j -0.0212142-0j 1.58302e-05-0j 0.000106764-0j -0.00365064-0j 0.000124558-0j 1.57278e-06-0j 7.14208e-05-0j -0.00425907-0j -0.000323468-0j -0.00244213-0j 1.83491e-06-0j 4.49553e-05-0j 1.05213e-06-0j 0.0110605-0j -4.76513e-06-0j -0.00153718-0j 6.62254e-07-0j 8.21809e-05-0j 1.36968e-05-0j 9.28332e-05-0j 0.155281-0j -0.000331169-0j -0.000224962-0j 1.00887e-07-0j 7.65835e-05-0j 1.54722e-05-0j 0.175409-0j 6.21018e-05-0j -3.74937e-05-0j -0.000374095-0j -0.000162386-0j -0.425067-0j 1.27639e-05-0j 1.13964e-07-0j 1.74814e-05-0j 0.000906542-0j 1.03503e-05-0j 0.144705-0j 0.117341-0j -0.000308612-0j -2.76167e-07-0j -2.70644e-05-0j -0.000250255-0j -0.306829-0j 2.91356e-06-0j 9.40151e-08-0j 0.0330311-0j 0.000654376-0j 7.62371e-08-0j -1.99348e-07-0j -7.04455e-05-0j 2.14604e-08-0j 
-1.23886e-05-0j 0.00843951-0j -0.00828422-0j -0.00971989-0j 0.0652386-0j 8.58281e-05-0j -0.000576067-0j -0.00688465-0j 0.0462088-0j -3.55879e-05-0j -0.0578691-0j 1.17882e-06-0j -0.0071876-0j -2.54253e-05-0j 0.00191687-0j 3.52951e-05-0j -0.0413437-0j 0.000238083-0j 4.41021e-05-0j -0.00513507-0j 0.057393-0j 0.00712847-0j 0.0717139-0j 0.00890719-0j -2.73936e-05-0j 0.000436495-0j -4.40457e-07-0j 0.000540796-0j 0.245668-0j 5.0398e-05-0j -0.000928567-0j -4.94707e-05-0j 7.01833e-06-0j 8.69536e-06-0j -3.14678e-07-0j -0.000803051-0j 0.00395005-0j 3.56971e-05-0j -0.00099494-0j 0.000788275-0j -1.49303e-05-0j 2.28938e-05-0j -0.451973-0j 5.01414e-06-0j 0.000976633-0j 6.21227e-06-0j 0.443656-0j 0.00170835-0j -0.000568805-0j 0.00282205-0j -0.000704721-0j -0.000364793-0j -0.00167692-0j -0.000451961-0j -0.320134-0j -1.06667e-05-0j 0.00121003-0j -0.205313-0j 0.000776034-0j 
0.0059191-0j -0.0287604-0j -0.0295202-0j -0.000354523-0j 0.00489221-0j -0.000419374-0j 0.00578712-0j -0.000234364-0j 0.00323409-0j 0.0363061-0j 0.0020831-0j -0.0411513-0j 0.000528115-0j -0.0769829-0j -0.0023611-0j 0.0364532-0j -0.00441697-0j -0.000598594-0j 0.0729931-0j -0.00111981-0j 0.00209154-0j 0.000530254-0j 0.00418805-0j 0.00106177-0j -0.000191755-0j -0.220323-0j 0.000210444-0j -1.9571e-05-0j 0.000381933-0j 0.000174025-0j 4.52467e-05-0j 0.000178622-0j 0.241796-0j 2.14784e-05-0j -0.000446223-0j 0.199951-0j -0.000419158-0j 0.000115042-0j 1.77613e-05-0j 0.205234-0j -4.96565e-05-0j -0.000431436-0j -0.000346618-0j -0.512701-0j 1.82306e-05-0j -4.55424e-05-0j -0.000355775-0j -4.1063e-05-0j 0.132181-0j 0.000888774-0j 1.17415e-05-0j -0.495711-0j -4.21478e-05-0j -4.40332e-05-0j -0.000229138-0j 0.000105291-0j -2.71454e-05-0j 0.000859321-0j 0.000101802-0j 
-0.000532986-0j -0.0153386-0j 0.00522168-0j 0.00298401-0j -0.0200283-0j -0.0109591-0j 0.0735561-0j 0.00215397-0j -0.0144572-0j -2.17931e-05-0j -0.0354375-0j -2.54253e-05-0j -0.00440149-0j -1.45787e-05-0j -0.0413437-0j 6.60276e-05-0j -0.0237063-0j -0.00513507-0j -9.17646e-06-0j -0.00294442-0j 0.107367-0j 0.0133354-0j -0.0149217-0j -0.00185335-0j -1.67751e-05-0j 0.000267298-0j -1.89495e-05-0j 0.000331169-0j 0.15044-0j 4.59202e-05-0j -0.000568629-0j -1.56325e-05-0j 0.000301945-0j 0.000374095-0j -1.26765e-05-0j -0.000731701-0j 0.16994-0j 3.3147e-05-0j -0.000906542-0j 0.000249092-0j -0.000642335-0j -3.56837e-06-0j -0.411816-0j 0.000201989-0j 0.000308612-0j 0.000250255-0j 0.140194-0j 0.00155657-0j -0.00052817-0j 0.113683-0j -0.000654376-0j 5.6859e-05-0j -0.000529899-0j 7.04455e-05-0j -0.297264-0j -0.000429697-0j 0.00112359-0j 0.0320014-0j -0.000120958-0j 
0.00362469-0j 0.000372329-0j 0.000382165-0j 0.0419933-0j -3.13357e-05-0j 0.0496749-0j -3.70678e-05-0j 0.0277604-0j -2.07151e-05-0j -0.000152552-0j 0.00521628-0j 0.00017291-0j -2.2473e-06-0j 0.000323468-0j -0.00591241-0j -0.00015317-0j -0.0110605-0j 2.54721e-06-0j -0.000306703-0j 4.76513e-06-0j 0.00523741-0j -2.2564e-06-0j 0.0104873-0j -4.51817e-06-0j -0.000117426-0j -1.9571e-05-0j 0.00012887-0j -0.221876-0j 0.000473196-0j 0.000106568-0j -1.44154e-07-0j 0.000109383-0j 2.14784e-05-0j 0.243501-0j -0.000273255-0j 1.77613e-05-0j -0.000519315-0j 7.04488e-05-0j 0.201361-0j 1.82306e-05-0j 1.58203e-07-0j -0.000264199-0j -0.000429443-0j -4.55424e-05-0j 0.20668-0j -0.516315-0j -0.000440788-0j 1.30825e-07-0j 1.17415e-05-0j 0.00110115-0j 0.133113-0j -4.40332e-05-0j 1.34281e-07-0j -0.499205-0j -0.000283891-0j -3.35452e-07-0j 8.64841e-08-0j 0.00106466-0j -3.24335e-07-0j 
7.30005e-07-0j -0.000999807-0j 0.000981411-0j -5.95288e-06-0j -0.0237251-0j 5.25648e-08-0j 0.000209496-0j -4.21645e-06-0j -0.0168046-0j 2.09704e-06-0j -7.12538e-05-0j -6.94627e-08-0j -0.080978-0j 1.4982e-06-0j 2.36022e-06-0j -2.07979e-06-0j -5.09062e-05-0j 0.00268233-0j -2.59874e-06-0j -0.0578535-0j 7.06676e-05-0j 0.0803117-0j 8.83008e-05-0j 0.100351-0j 1.61419e-06-0j -5.17105e-05-0j 2.59542e-08-0j 1.64747e-07-0j 0.000928567-0j -2.96973e-06-0j 0.237778-0j 2.91509e-06-0j -8.31444e-07-0j 2.64894e-09-0j 1.85426e-08-0j 9.51354e-05-0j 1.49303e-05-0j -2.10347e-06-0j -3.03097e-07-0j -9.33849e-05-0j 0.00382319-0j -1.34903e-06-0j -0.00170835-0j -5.94012e-07-0j 2.9752e-07-0j 1.89249e-09-0j 0.00167692-0j -0.437457-0j 6.73849e-05-0j 1.06667e-05-0j -2.14685e-07-0j 4.32161e-05-0j 0.429407-0j -1.37685e-07-0j -0.00121003-0j 0.00273142-0j -0.309853-0j -0.000776034-0j -0.198719-0j 
-0.00739605-0j -0.0120565-0j -0.0581625-0j 0.000146233-0j -0.00201793-0j -0.000532561-0j 0.00734902-0j 0.000122824-0j -0.0016949-0j -0.0149755-0j -0.000859236-0j 0.0514196-0j -0.000217836-0j -0.010699-0j 0.00295025-0j -0.0729931-0j -0.000613868-0j 0.000747957-0j 0.0889342-0j -0.00015563-0j -0.00418805-0j -0.00106177-0j 0.00510269-0j 0.00129365-0j 7.90951e-05-0j 0.0908786-0j -0.000262955-0j 8.07261e-06-0j -0.000157539-0j 7.29519e-05-0j -1.86633e-05-0j 0.000351932-0j -0.30213-0j -2.68378e-05-0j -0.000187864-0j 0.0838202-0j 0.000523747-0j 6.12736e-05-0j 7.44562e-06-0j 0.404363-0j 6.2047e-05-0j -0.000314487-0j -0.000145304-0j -0.215852-0j 3.59189e-05-0j -1.91738e-05-0j -0.000700969-0j -1.72137e-05-0j 0.070402-0j 0.000374183-0j 6.25371e-06-0j -0.361339-0j -8.3042e-05-0j -3.20972e-05-0j -0.000122043-0j 4.43285e-05-0j -1.44581e-05-0j 0.000626386-0j 7.42064e-05-0j 
-0.000739888-0j 0.00726611-0j 0.00745807-0j -0.00426376-0j 0.0286178-0j -0.00504371-0j 0.0338527-0j -0.00281864-0j 0.0189183-0j 3.11395e-05-0j 0.0506355-0j -3.52951e-05-0j 0.00628915-0j -6.60276e-05-0j -0.057393-0j 3.12656e-05-0j -0.107367-0j -0.00712847-0j 6.26055e-05-0j -0.0133354-0j 0.0508406-0j 0.00631463-0j 0.101802-0j 0.0126443-0j 2.39694e-05-0j -0.000381933-0j -2.63056e-05-0j -0.000473196-0j -0.21496-0j -2.17531e-05-0j 0.000812496-0j -2.23278e-05-0j 0.000419158-0j 0.000519315-0j 5.57779e-05-0j 0.000346618-0j 0.23591-0j -1.43803e-05-0j 0.000429443-0j 0.000355775-0j -0.000891684-0j 5.39294e-05-0j 0.195083-0j -0.000888774-0j 0.000440788-0j -0.00110115-0j 0.200237-0j -0.00073737-0j 0.000229138-0j -0.50022-0j 0.000283891-0j -0.000859321-0j -0.00075685-0j -0.00106466-0j 0.128964-0j 0.00189071-0j -0.000487452-0j -0.483643-0j 0.00182806-0j 
-0.00452914-0j 0.000156082-0j 0.000752964-0j -0.0173213-0j 1.29253e-05-0j 0.0630818-0j -4.70722e-05-0j -0.0145485-0j 1.08562e-05-0j 6.29243e-05-0j -0.00215161-0j -0.000216055-0j 9.26962e-07-0j 4.49553e-05-0j 0.0073877-0j 0.000306703-0j -0.00153718-0j -3.1828e-06-0j -0.000373685-0j 6.62254e-07-0j -0.0104873-0j 4.51817e-06-0j 0.0127776-0j -5.5049e-06-0j 4.84357e-05-0j 8.07261e-06-0j -0.000161027-0j 0.0915193-0j -0.000195184-0j 4.46737e-05-0j 5.94604e-08-0j 0.000215514-0j -2.68378e-05-0j -0.30426-0j -0.000115043-0j 7.44562e-06-0j 0.000648897-0j 3.75222e-05-0j 0.0844111-0j 3.59189e-05-0j -1.97679e-07-0j -0.000192583-0j -0.000180024-0j -1.91738e-05-0j 0.407213-0j -0.217374-0j -0.000868466-0j 5.48422e-08-0j 6.25371e-06-0j 0.000463594-0j 0.0708983-0j -3.20972e-05-0j 2.64568e-07-0j -0.363886-0j -0.000151205-0j -1.41229e-07-0j 4.60629e-08-0j 0.000776061-0j -2.36418e-07-0j 
3.14065e-05-0j 0.00181712-0j -0.000618599-0j 1.82754e-06-0j 0.00728361-0j -6.71183e-06-0j -0.0267499-0j 1.31919e-06-0j 0.00525759-0j 1.28417e-06-0j -4.36339e-05-0j 1.4982e-06-0j -0.0495887-0j 8.59059e-07-0j -5.09062e-05-0j -3.89071e-06-0j -2.91893e-05-0j -0.0578535-0j 5.40728e-07-0j -0.0331729-0j 0.0001322-0j 0.150241-0j -1.8373e-05-0j -0.0208804-0j 9.88483e-07-0j -3.16661e-05-0j 1.11661e-06-0j 1.00887e-07-0j 0.000568629-0j -2.70588e-06-0j 0.145609-0j 9.21156e-07-0j -3.57706e-05-0j 1.13964e-07-0j 7.46968e-07-0j 8.66828e-05-0j 0.000642335-0j -1.9532e-06-0j -2.76167e-07-0j -2.95093e-05-0j 0.164482-0j 2.10268e-07-0j -0.00155657-0j -2.39292e-05-0j 9.40151e-08-0j 7.62371e-08-0j 0.000529899-0j -0.398589-0j 6.2571e-05-0j 0.000429697-0j -1.99348e-07-0j -6.73594e-06-0j 0.135691-0j 2.14604e-08-0j -0.00112359-0j 0.110032-0j -0.287717-0j 0.000120958-0j 0.0309736-0j 
4.35983e-05-0j -0.000860798-0j -0.000883539-0j -2.61131e-06-0j -0.0104073-0j -3.08898e-06-0j -0.0123111-0j -1.72625e-06-0j -0.00687995-0j -1.83491e-06-0j 6.23471e-05-0j 2.07979e-06-0j 0.0708557-0j 3.89071e-06-0j -7.06676e-05-0j -1.84234e-06-0j -0.0001322-0j -0.0803117-0j -3.68907e-06-0j -0.150241-0j 6.25996e-05-0j 0.0711428-0j 0.000125348-0j 0.142455-0j -1.41241e-06-0j 4.52467e-05-0j 1.55007e-06-0j -1.44154e-07-0j -0.000812496-0j 1.28181e-06-0j -0.208056-0j 1.31568e-06-0j -4.96565e-05-0j 1.58203e-07-0j -3.28674e-06-0j -4.1063e-05-0j 0.000891684-0j 8.47367e-07-0j 1.30825e-07-0j -4.21478e-05-0j 0.228333-0j -3.17782e-06-0j 0.00073737-0j 0.000105291-0j 1.34281e-07-0j -3.35452e-07-0j 0.00075685-0j 0.188818-0j -2.71454e-05-0j -0.00189071-0j 8.64841e-08-0j 0.000101802-0j 0.193806-0j -3.24335e-07-0j 0.000487452-0j -0.484154-0j 0.124822-0j -0.00182806-0j -0.46811-0j 
0.000924507-0j 0.00304598-0j 0.0146943-0j 0.00175871-0j -0.0118042-0j -0.00640498-0j 0.0429893-0j 0.00147717-0j -0.00991458-0j -1.28444e-05-0j -0.0208861-0j 4.41021e-05-0j -0.00259414-0j -9.17646e-06-0j 0.0717139-0j -6.26055e-05-0j -0.0149217-0j 0.00890719-0j 7.62781e-05-0j -0.00185335-0j -0.101802-0j -0.0126443-0j 0.124035-0j 0.0154057-0j -9.88689e-06-0j 0.000157539-0j 3.28694e-05-0j 0.000195184-0j 0.0886663-0j -9.11898e-06-0j -0.000335138-0j -4.39915e-05-0j -0.000523747-0j -0.000648897-0j 2.3483e-05-0j 0.000145304-0j -0.294775-0j -7.65919e-06-0j 0.000180024-0j 0.000700969-0j 0.00111418-0j 3.93109e-05-0j 0.0817797-0j -0.000374183-0j 0.000868466-0j -0.000463594-0j 0.394519-0j -0.000309108-0j 0.000122043-0j -0.210597-0j 0.000151205-0j -0.000626386-0j -0.00149119-0j -0.000776061-0j 0.0686882-0j 0.000796009-0j -0.000259625-0j -0.352542-0j 0.00133253-0j 
-5.44771e-05-0j -0.000360849-0j -0.0017408-0j 1.07711e-06-0j 0.0042928-0j -3.92268e-06-0j -0.0156338-0j 9.04684e-07-0j 0.0036056-0j 7.56862e-07-0j -2.57169e-05-0j -2.59874e-06-0j -0.0292265-0j 5.40728e-07-0j 8.83008e-05-0j 3.68907e-06-0j -1.8373e-05-0j 0.100351-0j -4.49473e-06-0j -0.0208804-0j -0.000125348-0j -0.142455-0j 0.000152723-0j 0.173566-0j 5.8259e-07-0j -1.86633e-05-0j -1.93685e-06-0j 5.94604e-08-0j 0.000335138-0j 5.37341e-07-0j 0.0858186-0j 2.59223e-06-0j 6.2047e-05-0j -1.97679e-07-0j -1.38375e-06-0j -1.72137e-05-0j -0.00111418-0j 4.51322e-07-0j 5.48422e-08-0j -8.3042e-05-0j -0.285308-0j -2.31641e-06-0j 0.000309108-0j 4.43285e-05-0j 2.64568e-07-0j -1.41229e-07-0j 0.00149119-0j 0.0791531-0j -1.44581e-05-0j -0.000796009-0j 4.60629e-08-0j 7.42064e-05-0j 0.381848-0j -2.36418e-07-0j 0.000259625-0j -0.203834-0j 0.0664821-0j -0.00133253-0j -0.34122-0j 
0.0284679-0j 0.0028873-0j 0.00291722-0j 0.00165654-0j 0.000239101-0j 0.00204987-0j 0.000295873-0j 0.00119575-0j 0.000172592-0j 0.00116402-0j 0.000205771-0j 0.00135802-0j 1.71476e-05-0j 0.000831612-0j 0.000240066-0j 0.00118827-0j 0.00014701-0j 2.00055e-05-0j 0.000490134-0j 1.22508e-05-0j 0.000210058-0j 1.75048e-05-0j 8.66443e-05-0j 7.22036e-06-0j -0.00363261-0j -0.000605435-0j 0.00101213-0j -0.000370752-0j -7.56794e-05-0j 0.000826404-0j -4.45945e-06-0j 0.000834968-0j 0.000168689-0j 0.0001033-0j 0.000723103-0j 0.000137734-0j 2.10861e-05-0j 0.00059653-0j 8.43445e-05-0j 0.000139161-0j 1.24251e-06-0j 0.000190594-0j 1.72167e-05-0j 0.000120517-0j 8.52185e-05-0j 7.38014e-05-0j 1.73952e-05-0j 1.01451e-06-0j 9.94216e-05-0j 1.50647e-05-0j 6.08831e-05-0j 3.17657e-05-0j 1.02502e-06-0j 1.94524e-05-0j 1.24277e-05-0j 8.87693e-07-0j 7.32309e-07-0j 3.97071e-06-0j 2.33976e-07-0j 
-0.00459399-0j 0.0220399-0j 0.0222683-0j -0.000267323-0j 0.0036889-0j -0.000330796-0j 0.00456478-0j -0.000192964-0j 0.00266279-0j -0.000187842-0j 0.00157073-0j -0.000219149-0j 0.000398218-0j -0.000134201-0j 0.00183252-0j -0.000191755-0j 0.00112219-0j 0.000464587-0j -7.90951e-05-0j 0.0002845-0j 0.00160346-0j 0.000406514-0j 0.000661392-0j 0.000167678-0j -0.114831-0j -0.00462154-0j 0.0319946-0j 5.98298e-05-0j -0.0011676-0j 0.0261235-0j -0.000138322-0j 0.0263942-0j 0.00128767-0j -1.667e-05-0j 0.0228581-0j 0.00105138-0j 0.000325321-0j 0.0188569-0j -1.3611e-05-0j 0.00106228-0j 3.854e-05-0j 0.00602488-0j 0.000265623-0j 0.000919958-0j -1.37521e-05-0j -1.19097e-05-0j 0.000268376-0j 3.14677e-05-0j 0.000758926-0j 0.000232421-0j -9.82496e-06-0j 0.000242481-0j 3.17938e-05-0j -3.13912e-06-0j 0.000191737-0j 2.75343e-05-0j 2.27146e-05-0j 6.12609e-05-0j 7.25743e-06-0j 
-0.000457731-0j -0.00326155-0j 0.00320154-0j -0.00187126-0j -0.000270094-0j -3.29594e-05-0j -4.75728e-06-0j 0.00264382-0j 0.000381602-0j 0.00396848-0j 0.000701534-0j -2.18353e-05-0j 5.84612e-05-0j -0.000939406-0j -3.85998e-06-0j 0.00130408-0j -0.000166065-0j -3.21665e-07-0j 0.00162947-0j -1.38388e-05-0j 0.00023053-0j 1.92109e-05-0j 0.000288053-0j 2.40044e-05-0j -0.00101213-0j -0.000168689-0j 4.91162e-05-0j -0.0001033-0j -2.10861e-05-0j -0.000933522-0j -1.24251e-06-0j 0.000916346-0j 8.18604e-06-0j 5.0129e-06-0j -1.16266e-05-0j -0.000155587-0j 1.02325e-06-0j 0.00131893-0j -9.52772e-05-0j 0.000152724-0j 6.02959e-08-0j 0.000845873-0j -1.94484e-05-0j -1.93777e-06-0j 9.35241e-05-0j -1.18664e-06-0j 1.90905e-05-0j -1.14601e-06-0j 0.000219822-0j -2.42222e-07-0j 0.000134613-0j 0.000140979-0j 1.12492e-06-0j 8.63316e-05-0j 2.74777e-05-0j -1.42731e-08-0j 1.61914e-06-0j 1.76224e-05-0j 1.03841e-06-0j 
-0.0262569-0j 0.00262033-0j -0.00269064-0j 0.00304765-0j 0.000439891-0j 0.00186033-0j 0.000268515-0j -0.00110288-0j -0.000159187-0j -0.00107361-0j -0.000189789-0j 0.00249844-0j -1.58157e-05-0j 0.00227646-0j 0.000441666-0j 0.00107839-0j 0.000402425-0j 3.68055e-05-0j -0.000452066-0j 3.35354e-05-0j 0.000190635-0j 1.58862e-05-0j -7.99148e-05-0j -6.65956e-06-0j -0.000826404-0j -0.000137734-0j -0.000933522-0j -8.43445e-05-0j -1.72167e-05-0j -0.001496-0j -1.01451e-06-0j 0.00153615-0j -0.000155587-0j -9.52772e-05-0j 0.00197942-0j -0.000249334-0j -1.94484e-05-0j 0.000541372-0j -0.000152685-0j 0.000256025-0j -1.14601e-06-0j -0.000175791-0j -3.11667e-05-0j 0.000329904-0j 0.000156782-0j 0.000202024-0j 3.20031e-05-0j -1.83652e-06-0j 9.02287e-05-0j 4.1238e-05-0j 5.52536e-05-0j -2.92985e-05-0j 1.8858e-06-0j -1.79416e-05-0j 1.12786e-05-0j 2.42997e-06-0j 6.64597e-07-0j -3.66231e-06-0j -2.15804e-07-0j 
-0.00375098-0j -0.000380435-0j -0.000384377-0j 0.0210005-0j -3.15043e-05-0j 0.0259868-0j -3.89846e-05-0j 0.015159-0j -2.2741e-05-0j 0.0223525-0j 0.00260862-0j 0.0260779-0j -2.25939e-06-0j 0.0159694-0j 0.00304339-0j 0.0228182-0j 0.00186369-0j -2.63595e-06-0j 0.00941202-0j -1.61419e-06-0j 0.00266296-0j -2.30646e-06-0j 0.00109842-0j -9.51366e-07-0j 0.000478638-0j -0.0116261-0j -0.00013336-0j -0.00944912-0j -0.00095941-0j -0.000108888-0j 5.87584e-07-0j -0.000110017-0j 0.00323932-0j 0.00263275-0j -9.52772e-05-0j 0.0026449-0j 0.000267315-0j -7.85997e-05-0j 0.00214963-0j 0.00267231-0j -1.63715e-07-0j -2.5113e-05-0j 0.000218262-0j 0.00231428-0j 0.00217191-0j 0.00188093-0j 0.000220524-0j -1.33673e-07-0j 0.00190919-0j 0.000190979-0j 0.00155169-0j 0.000609995-0j -1.35058e-07-0j 0.000495772-0j 0.00015755-0j -1.16964e-07-0j -9.64902e-08-0j 5.03379e-05-0j -3.08291e-08-0j 
0.000541407-0j -0.00524978-0j -0.00530418-0j 3.15043e-05-0j 0.0203447-0j 3.89846e-05-0j 0.0251753-0j 2.2741e-05-0j 0.0146856-0j -0.00322631-0j -0.000374139-0j -0.00376403-0j 0.00447103-0j -0.00230499-0j -0.000436495-0j -0.00329352-0j -0.000267298-0j 0.00521621-0j -0.00135851-0j 0.00319426-0j -0.000381933-0j 0.00456418-0j -0.000157539-0j 0.00188263-0j -6.90855e-05-0j -0.160434-0j 1.92489e-05-0j -7.05101e-06-0j -0.00643943-0j 1.57167e-05-0j -0.0023418-0j 1.58795e-05-0j 0.0447007-0j 1.96458e-06-0j 1.37521e-05-0j 0.036498-0j 0.00179418-0j 1.13449e-05-0j 1.60408e-06-0j 0.0368762-0j 0.000652484-0j 3.62475e-06-0j 0.00146494-0j 0.0319358-0j 1.6207e-06-0j 1.40357e-06-0j 0.00148013-0j 0.000532751-0j 0.0263457-0j 0.00128183-0j 1.15788e-06-0j 0.00841756-0j 0.000538272-0j 3.69949e-07-0j 0.00105745-0j 0.000466157-0j 0.00038456-0j 0.000337861-0j 0.000122869-0j 
-0.0257737-0j 0.00269064-0j -0.00271742-0j -0.00307924-0j -0.00044445-0j -0.00185587-0j -0.000267871-0j 0.0010205-0j 0.000147296-0j 0.00108473-0j 0.000191755-0j 0.00245247-0j 1.59796e-05-0j 0.000774971-0j 0.000433539-0j -0.00110688-0j 0.000136997-0j 3.61283e-05-0j 0.00218084-0j 1.14164e-05-0j -0.000195671-0j -1.63059e-05-0j 0.000385522-0j 3.21269e-05-0j 0.000834968-0j 0.000139161-0j -0.000916346-0j 8.52185e-05-0j 1.73952e-05-0j -0.00153615-0j 1.02502e-06-0j 0.00155144-0j -0.000152724-0j -9.35241e-05-0j -0.000654669-0j -0.000256025-0j -1.90905e-05-0j 0.0005091-0j -0.000156782-0j 0.000258573-0j -1.12492e-06-0j 0.00187861-0j -3.20031e-05-0j -0.000109112-0j 0.000158343-0j -6.68169e-05-0j 3.23216e-05-0j -1.8858e-06-0j 8.485e-05-0j -1.36389e-05-0j 5.19598e-05-0j 0.000313102-0j 1.90457e-06-0j 0.000191735-0j 1.06062e-05-0j -8.03682e-07-0j 6.24979e-07-0j 3.91378e-05-0j 2.30622e-06-0j 
