-0.315794-0j -0.356728-0j 0.286595-0j -0.294285-0j 0.756399-0j 0.206875-0j -0.0671751-0j -0.0413489-0j -0.0457649-0j 0.0355999-0j -0.0241202-0j -0.0365552-0j 0.0415333-0j 0.0738999-0j -0.0246227-0j 0.0775111-0j 0.0149901-0j -0.0039743-0j -0.0268997-0j -0.00388263-0j -0.0293561-0j -0.00423718-0j 0.0223744-0j -0.0229748-0j 0.00322946-0j -0.0207579-0j -0.00331612-0j -0.00299614-0j 0.0252745-0j -0.0171244-0j -0.0149838-0j 0.00364806-0j 0.0440146-0j -0.00247169-0j -0.00216273-0j 0.00635297-0j 0.0208504-0j 0.0524659-0j 0.0030095-0j -0.00874057-0j 0.00757281-0j 0.0317714-0j -0.00126159-0j 0.00475943-0j 0.00458581-0j 0.000686964-0j -0.00106646-0j -0.000153931-0j 
0.00019418-0j 3.12219e-06-0j -0.00053155-0j -0.000175803-0j 2.08862e-06-0j 0.000751002-0j -0.000162283-0j -0.00365889-0j -5.7642e-05-0j 0.00950187-0j -0.00213435-0j 0.00314262-0j 0.000157789-0j -0.0167881-0j 0.0042646-0j 0.00210229-0j -0.0117751-0j 0.00172836-0j 1.65405e-05-0j 0.0327314-0j 2.56934e-07-0j 0.000508437-0j -4.14979e-05-0j -1.37249e-05-0j -0.0821189-0j 1.27639e-05-0j -0.0271598-0j 0.0252581-0j -6.67238e-07-0j 1.49878e-07-0j -1.80335e-05-0j -0.00132038-0j 8.53856e-06-0j 0.000296589-0j -0.035686-0j 0.0168967-0j 3.75706e-05-0j 1.17889e-06-0j 0.0743472-0j -1.58176e-05-0j 0.00233286-0j -1.20637e-05-0j -0.0313009-0j 3.46812e-05-0j -0.0238725-0j 0.0686295-0j -3.86924e-06-0j -0.00765671-0j 
0.00192229-0j -0.00425019-0j -0.00174454-0j 0.00164055-0j 0.00901202-0j -0.00487582-0j -0.00529802-0j -0.0119059-0j 0.0257922-0j 0.0102506-0j -0.00694512-0j -0.00963951-0j -0.0234073-0j 0.0212786-0j -0.0274511-0j 0.0204395-0j 0.00502228-0j 0.0506216-0j -0.0157543-0j -0.00225955-0j 0.0336517-0j 0.00482647-0j 0.013104-0j -0.0123228-0j 0.00187942-0j -0.0121572-0j -0.00176739-0j -0.00174364-0j -0.0289729-0j 0.0196302-0j -0.0339782-0j -0.00415542-0j 0.025778-0j 0.00281544-0j -0.0048733-0j 0.00369719-0j 0.0111834-0j -0.0601433-0j 0.00160397-0j -0.00595647-0j -0.00862599-0j 0.0720468-0j -0.000854301-0j -0.0361159-0j 0.0103333-0j -0.00517989-0j 0.0614739-0j 0.00881684-0j 
-0.00061418-0j 0.00272578-0j -0.000566477-0j -0.00605374-0j 0.00194739-0j 0.00529802-0j -0.00663983-0j 0.003804-0j -0.0165414-0j 0.0033285-0j 0.002219-0j 0.0355705-0j -0.0152566-0j 0.00137294-0j -0.0293497-0j 0.0254128-0j -0.0261971-0j 0.0522665-0j 0.00503358-0j 0.000721937-0j -0.021582-0j -0.00309537-0j 0.00425504-0j 0.0454721-0j 0.000610275-0j 0.0038843-0j 0.00652179-0j 0.000557102-0j -0.0188842-0j -0.0125895-0j -0.0363282-0j -0.00270845-0j 0.00277508-0j -0.00180563-0j -0.00521034-0j 0.000398013-0j 0.0419403-0j -0.00778934-0j 0.00601525-0j -0.0305716-0j -0.00111718-0j -0.0259541-0j -0.0043847-0j 0.0460007-0j -0.00372244-0j 0.00659761-0j -0.00333836-0j -0.000478802-0j 
-0.000160191-0j 0.000354182-0j 0.000145379-0j -0.000136712-0j -0.000751002-0j 0.000406318-0j 0.000441502-0j 0.00301843-0j -0.00653892-0j -0.00259876-0j 0.00176075-0j 0.00244384-0j 0.0059343-0j -0.00539462-0j 0.0069595-0j -0.00518188-0j -0.00127327-0j -0.0128338-0j -1.36452e-05-0j -0.0270021-0j 2.91466e-05-0j 0.0576773-0j 1.13497e-05-0j -1.06731e-05-0j 0.0224595-0j -1.05297e-05-0j -0.0211206-0j -0.0208369-0j -2.50942e-05-0j 1.70022e-05-0j -2.94294e-05-0j -0.049658-0j 2.2327e-05-0j 0.0336451-0j -0.0582369-0j 0.0441821-0j 9.68622e-06-0j -5.20916e-05-0j 0.0191677-0j -5.15904e-06-0j -0.103082-0j 6.24016e-05-0j -0.0102091-0j -3.12808e-05-0j 0.123484-0j -0.0619007-0j 5.32441e-05-0j 0.105363-0j 
5.11817e-05-0j -0.000227149-0j 4.72064e-05-0j 0.000504479-0j -0.000162283-0j -0.000441502-0j 0.00055332-0j -0.000964403-0j 0.00419363-0j -0.000843852-0j -0.000562568-0j -0.00901795-0j 0.00386791-0j -0.000348071-0j 0.00744083-0j -0.00644274-0j 0.00664159-0j -0.0132508-0j 4.35971e-06-0j 0.00862729-0j -1.86927e-05-0j -0.0369903-0j 3.68539e-06-0j 3.93845e-05-0j 0.00729291-0j 3.36429e-06-0j 0.0779367-0j 0.00665748-0j -1.63561e-05-0j -1.09041e-05-0j -3.14647e-05-0j -0.0323665-0j 2.40356e-06-0j -0.0215777-0j -0.0622646-0j 0.00475633-0j 3.63255e-05-0j -6.74654e-06-0j 0.0718834-0j -2.64788e-05-0j -0.0133505-0j -2.24795e-05-0j -0.0523981-0j 3.98424e-05-0j -0.044484-0j 0.0788428-0j -2.89144e-06-0j -0.00572178-0j 
0.0128315-0j 0.0144947-0j 0.0118349-0j 0.0119575-0j 0.0103555-0j 0.00854289-0j 0.00272949-0j -0.00857421-0j 0.00185954-0j 0.0014701-0j 0.000980065-0j 0.00148533-0j 0.00171511-0j 0.000606384-0j 0.00100048-0j 0.00106117-0j 0.000619017-0j 0.000161486-0j 0.001093-0j 0.000157761-0j -0.00608734-0j -0.000878632-0j 0.000923947-0j 0.000933522-0j 0.00013336-0j 0.000843445-0j 0.000134742-0j 0.000121741-0j 0.00104371-0j 0.000695806-0j 0.000608831-0j 0.000150647-0j 0.000602586-0j 0.000100431-0j 8.78771e-05-0j 8.69758e-05-0j 0.000861017-0j 0.000430508-0j 0.000124277-0j 0.000355151-0j 6.21385e-05-0j 0.00043497-0j 5.12617e-05-0j 0.00019654-0j 6.27825e-05-0j 2.83681e-05-0j 4.3333e-05-0j 6.25458e-06-0j 
-0.00213859-0j -0.00241579-0j -0.00197248-0j -0.00199292-0j -0.00172592-0j -0.00142381-0j -0.000454916-0j -0.067597-0j 0.0146602-0j 0.0115899-0j 0.00772659-0j 0.01171-0j 0.0135215-0j 0.00478058-0j 0.00788756-0j 0.00836602-0j 0.00488018-0j 0.00127312-0j -0.000182167-0j 0.0025138-0j 0.00101456-0j -0.0140003-0j -0.000153991-0j -0.000155587-0j 0.00212499-0j -0.000140574-0j 0.00214701-0j 0.00193984-0j -0.000173952-0j -0.000115968-0j -0.000101472-0j 0.00240043-0j -0.000100431-0j 0.00160029-0j 0.00140025-0j 0.00138589-0j -0.000143503-0j -7.17514e-05-0j 0.00198025-0j -5.91919e-05-0j 0.000990126-0j -7.24949e-05-0j 0.000816813-0j -3.27567e-05-0j 0.00100039-0j 0.000452023-0j -7.22217e-06-0j 9.96617e-05-0j 
-0.00130961-0j -0.00147936-0j -0.00120789-0j -0.00122041-0j -0.00105691-0j -0.000871905-0j -0.000278578-0j 0.000875102-0j -0.000189789-0j -0.000150041-0j -0.000100027-0j -0.000151596-0j -0.000175048-0j -6.18888e-05-0j -0.000102111-0j -0.000108305-0j -6.31782e-05-0j -1.64816e-05-0j 0.0215777-0j -1.61014e-05-0j -0.120174-0j 8.9675e-05-0j 0.0182403-0j 0.0184293-0j -1.3611e-05-0j 0.016651-0j -1.37521e-05-0j -1.24251e-05-0j 0.0206046-0j 0.0137364-0j 0.0120193-0j -1.53753e-05-0j 0.011896-0j -1.02502e-05-0j -8.96892e-06-0j -8.87693e-06-0j 0.0169979-0j 0.00849895-0j -1.2684e-05-0j 0.00701127-0j -6.34199e-06-0j 0.00858702-0j -5.23187e-06-0j 0.00388003-0j -6.40771e-06-0j -2.89531e-06-0j 0.000855466-0j -6.38356e-07-0j 
0.0575784-0j -0.00022835-0j -0.0130988-0j 0.0128578-0j -0.000163141-0j 0.0185067-0j 0.011869-0j -0.00185954-0j 0.000118771-0j -0.0016271-0j -0.00108473-0j 0.00159716-0j -2.70198e-05-0j -0.000671144-0j 0.00216738-0j 0.00114107-0j 0.00201637-0j 0.000878396-0j -0.00120973-0j -0.00017461-0j -1.87915e-05-0j -2.71232e-06-0j 0.00414599-0j -0.00406971-0j 0.000598423-0j -0.000933522-0j -0.000587412-0j -0.000134742-0j -1.64426e-05-0j -1.09617e-05-0j 0.00131893-0j -2.37328e-06-0j -0.000666941-0j -1.58219e-06-0j 0.000190371-0j -9.62646e-05-0j 0.000925842-0j -6.78221e-06-0j 0.000133634-0j 0.00115686-0j -9.78928e-07-0j 0.000942289-0j 0.000166978-0j 0.000854639-0j 0.000136008-0j 0.000123357-0j 0.000282987-0j 4.08456e-05-0j 
0.000267323-0j 0.000301974-0j 0.000246561-0j 0.000249116-0j 0.00021574-0j 0.000177977-0j 5.68644e-05-0j 0.0170779-0j -0.00370378-0j -0.0029281-0j -0.00195207-0j -0.00295844-0j -0.00341612-0j -0.00120778-0j -0.00199273-0j -0.00211361-0j -0.00123294-0j -0.000321643-0j -0.00219088-0j 0.0147049-0j 0.0122018-0j -0.081897-0j -0.00185201-0j -0.00187121-0j 0.0124305-0j -0.00169065-0j 0.0125593-0j 0.0113474-0j -0.00209207-0j -0.00139471-0j -0.00122038-0j 0.0140417-0j -0.00120786-0j 0.00936113-0j 0.00819099-0j 0.00810698-0j -0.00172587-0j -0.000862936-0j 0.0115838-0j -0.000711886-0j 0.00579191-0j -0.000871878-0j 0.00477808-0j -0.000393957-0j 0.00585193-0j 0.00264418-0j -8.68592e-05-0j 0.000582987-0j 
-1.57522e-05-0j -1.7794e-05-0j -1.45287e-05-0j -1.46793e-05-0j -1.27126e-05-0j -1.04874e-05-0j -3.35077e-06-0j -0.00202317-0j 0.000438778-0j 0.000346885-0j 0.000231256-0j 0.000350479-0j 0.000404699-0j 0.000143083-0j 0.000236074-0j 0.000250394-0j 0.000146063-0j 3.81042e-05-0j -1.34179e-06-0j -0.00534766-0j 7.47292e-06-0j 0.0297832-0j -1.13425e-06-0j -1.14601e-06-0j -0.00452054-0j -1.03543e-06-0j -0.00456739-0j -0.00412667-0j -1.28127e-06-0j -8.54183e-07-0j -7.4741e-07-0j -0.00510649-0j -7.39744e-07-0j -0.00340433-0j -0.00297879-0j -0.00294823-0j -1.057e-06-0j -5.28499e-07-0j -0.00421264-0j -4.35989e-07-0j -0.00210632-0j -5.33976e-07-0j -0.00173763-0j -2.41276e-07-0j -0.00212815-0j -0.0009616-0j -5.31963e-08-0j -0.000212013-0j 
-0.0112276-0j 0.0382782-0j 0.0101894-0j -0.0104629-0j 0.0268926-0j 0.00735512-0j -0.00238831-0j -0.0014701-0j -0.0016271-0j -0.00382-0j -0.000857557-0j 0.00392251-0j 0.00147665-0j 0.0026274-0j -0.000875422-0j 0.00275579-0j 0.000532951-0j -0.0001413-0j -0.000956376-0j -0.000138041-0j -0.00104371-0j -0.000150647-0j 0.000795485-0j -0.000816832-0j 0.000114818-0j 0.0022274-0j -0.0001179-0j 0.000321497-0j -0.00271205-0j -0.000608831-0j 0.00160782-0j -0.000391451-0j 0.00156487-0j -8.78771e-05-0j 0.000232069-0j 0.00022587-0j 0.000741304-0j 0.00186535-0j 0.000106998-0j -0.000310757-0j 0.000269239-0j 0.00112958-0j -4.4854e-05-0j 0.000169214-0j 0.000163042-0j 2.44239e-05-0j -3.79164e-05-0j -5.47276e-06-0j 
-0.00959639-0j 3.80583e-05-0j 0.00218314-0j -0.00214297-0j 2.71901e-05-0j -0.00308446-0j -0.00197816-0j -0.0146602-0j 0.000936359-0j -0.0128277-0j -0.00855177-0j 0.0125916-0j -0.000213018-0j -0.00529114-0j 0.0170871-0j 0.0089959-0j 0.0158966-0j 0.00692506-0j 0.000201622-0j -0.00278226-0j 3.13192e-06-0j -4.32186e-05-0j -0.000690999-0j 0.000678285-0j 0.00953537-0j 0.000155587-0j -0.00935993-0j -0.00214701-0j 2.74043e-06-0j 1.82695e-06-0j -0.000219822-0j -3.78163e-05-0j 0.000111157-0j -2.52108e-05-0j 0.00303341-0j -0.0015339-0j -0.000154307-0j 1.13037e-06-0j 0.00212934-0j -0.00019281-0j -1.55984e-05-0j -0.000157048-0j 0.00266067-0j -0.00014244-0j 0.00216717-0j 0.00196558-0j -4.71644e-05-0j 0.000650841-0j 
-0.00748505-0j -0.00845526-0j 0.0344452-0j 0.0348022-0j -0.00604073-0j -0.00498335-0j -0.0015922-0j -0.000980065-0j -0.00108473-0j -0.000857557-0j -0.0039777-0j -0.000866443-0j 0.0049918-0j -0.000353724-0j 0.00291188-0j -0.000619017-0j -0.000361093-0j -9.42001e-05-0j -0.000637584-0j -9.20274e-05-0j -0.000695806-0j -0.000100431-0j -0.000538969-0j -0.000544555-0j -7.77935e-05-0j 0.00245483-0j -7.85997e-05-0j 0.000354324-0j -0.000608831-0j -0.00282401-0j -0.000355151-0j -8.78771e-05-0j 0.00175381-0j -0.00040761-0j -5.12617e-05-0j 0.000253141-0j 0.00250597-0j -0.00025113-0j 0.000361706-0j 0.00103366-0j -3.62475e-05-0j -0.000253732-0j 0.000149196-0j -0.000114648-0j -3.66231e-05-0j -1.65481e-05-0j -2.52776e-05-0j -3.64851e-06-0j 
0.0113439-0j 0.0375739-0j 0.0104629-0j -0.010567-0j -0.00889438-0j 0.00691666-0j 0.025523-0j 0.00148533-0j -0.00159716-0j -0.00392251-0j 0.000866443-0j 0.00396156-0j -0.00147311-0j 0.000536085-0j 0.000810031-0j -0.000937768-0j 0.00261296-0j 0.00261585-0j 0.000966287-0j 0.000139472-0j -0.00102451-0j -0.000147875-0j 0.000816832-0j -0.000824962-0j 0.0001179-0j -0.00225048-0j -0.000119073-0j -0.000324829-0j 0.00270555-0j -0.000597628-0j -0.00148772-0j 0.000390512-0j 0.000532727-0j -8.62602e-05-0j -0.000214734-0j 7.68925e-05-0j -0.000760888-0j -0.000369764-0j -0.000109825-0j 0.00149915-0j -5.33708e-05-0j 0.000352169-0j 0.000216383-0j 0.00183781-0j 5.08312e-05-0j 0.000265265-0j 0.00107313-0j 0.000154892-0j 
-0.00587657-0j 2.33058e-05-0j 0.00133689-0j -0.0013123-0j 1.66505e-05-0j -0.00188884-0j -0.00121137-0j 0.000189789-0j -1.2122e-05-0j 0.000166065-0j 0.00011071-0j -0.00016301-0j 2.7577e-06-0j 6.84984e-05-0j -0.000221207-0j -0.00011646-0j -0.000205795-0j -8.96509e-05-0j -0.0238821-0j 1.7821e-05-0j -0.000370975-0j 2.76825e-07-0j 0.0818488-0j -0.0803428-0j -6.10762e-05-0j -0.0184293-0j 5.99525e-05-0j 1.37521e-05-0j -0.000324603-0j -0.000216402-0j 0.0260379-0j 2.42222e-07-0j -0.0131665-0j 1.61481e-07-0j -1.94297e-05-0j 9.82496e-06-0j 0.0182777-0j -0.000133892-0j -1.36389e-05-0j 0.0228384-0j 9.99114e-08-0j 0.0186023-0j -1.70422e-05-0j 0.016872-0j -1.38812e-05-0j -1.259e-05-0j 0.00558663-0j -4.16879e-06-0j 
0.00119955-0j -4.75728e-06-0j -0.000272892-0j 0.000267871-0j -3.39877e-06-0j 0.000385557-0j 0.00024727-0j 0.00370378-0j -0.000236564-0j 0.00324081-0j 0.00216054-0j -0.00318118-0j 5.38174e-05-0j 0.00133677-0j -0.00431692-0j -0.00227275-0j -0.00401615-0j -0.00174957-0j 0.00242486-0j -0.0162753-0j 3.76668e-05-0j -0.000252814-0j -0.00831047-0j 0.00815756-0j 0.0557787-0j 0.00187121-0j -0.0547524-0j -0.0125593-0j 3.29584e-05-0j 2.19723e-05-0j -0.00264374-0j -0.000221212-0j 0.00133685-0j -0.000147475-0j 0.0177444-0j -0.00897278-0j -0.00185581-0j 1.35947e-05-0j 0.0124559-0j -0.00231888-0j -9.12455e-05-0j -0.00188878-0j 0.015564-0j -0.00171309-0j 0.0126772-0j 0.011498-0j -0.000567235-0j 0.0038072-0j 
0.00187126-0j -0.0063797-0j -0.00169824-0j 0.00174381-0j -0.0044821-0j -0.00122585-0j 0.000398051-0j -0.0115899-0j -0.0128277-0j -0.030116-0j -0.00676077-0j 0.0309241-0j 0.0116416-0j 0.0207138-0j -0.00690162-0j 0.021726-0j 0.00420166-0j -0.00111398-0j 0.000159396-0j -0.00219957-0j 0.000173952-0j -0.00240043-0j -0.000132581-0j 0.000136139-0j 0.00182954-0j -0.000371233-0j -0.00187863-0j 0.00512279-0j 0.000452008-0j 0.000101472-0j -0.00026797-0j -0.00623744-0j -0.000260812-0j -0.00140025-0j 0.00369783-0j 0.00359905-0j -0.000123551-0j -0.000310891-0j 0.00170493-0j 5.17929e-05-0j 0.00429011-0j -0.000188264-0j -0.000714711-0j -2.82023e-05-0j 0.00259793-0j 0.000389175-0j 6.3194e-06-0j -8.7204e-05-0j 
0.0130988-0j 0.000210614-0j 0.0237123-0j 0.0236554-0j -0.000446582-0j 0.0167955-0j -0.0109471-0j 0.00171511-0j 2.70198e-05-0j -0.00147665-0j -0.0049918-0j -0.00147311-0j 4.89128e-05-0j -0.0030653-0j 0.00398748-0j 0.00312356-0j 0.00182993-0j -0.000810172-0j 0.00111577-0j 0.000161048-0j 1.7332e-05-0j 2.50166e-06-0j -0.000928066-0j -0.000925842-0j -0.000133955-0j -0.00171747-0j -0.000133634-0j -0.000247895-0j -1.49222e-05-0j -5.04444e-05-0j -0.00121649-0j -2.15384e-06-0j 0.00364168-0j -7.28102e-06-0j -0.000175585-0j 0.000525632-0j -0.00167601-0j -3.09762e-05-0j -0.000241911-0j 0.00212836-0j -4.47103e-06-0j 0.00257942-0j 0.000307202-0j 0.000775615-0j 0.000372308-0j 0.00011195-0j -0.000261007-0j -3.76732e-05-0j 
-7.06841e-05-0j 2.80326e-07-0j 1.60803e-05-0j -1.57845e-05-0j 2.00274e-07-0j -2.27192e-05-0j -1.45705e-05-0j -0.000438778-0j 2.80252e-05-0j -0.000383931-0j -0.000255954-0j 0.000376867-0j -6.37561e-06-0j -0.000158363-0j 0.000511415-0j 0.000269246-0j 0.000475784-0j 0.000207267-0j 1.48509e-06-0j 0.00591878-0j 2.30687e-08-0j 9.194e-05-0j -5.08969e-06-0j 4.99604e-06-0j -0.0202848-0j 1.14601e-06-0j 0.0199116-0j 0.00456739-0j 2.01852e-08-0j 1.34568e-08-0j -1.61914e-06-0j 8.04475e-05-0j 8.18747e-07-0j 5.36317e-05-0j -0.00645304-0j 0.0032631-0j -1.13658e-06-0j 8.32595e-09-0j -0.00452981-0j -1.42018e-06-0j 3.31829e-05-0j -1.15677e-06-0j -0.0056601-0j -1.04917e-06-0j -0.00461028-0j -0.00418144-0j -3.47399e-07-0j -0.00138455-0j 
0.00124751-0j 0.00140921-0j -0.00574087-0j -0.00580036-0j 0.00100679-0j 0.000830558-0j 0.000265367-0j -0.00772659-0j -0.00855177-0j -0.00676077-0j -0.0313592-0j -0.00683083-0j 0.0393541-0j -0.00278867-0j 0.0229566-0j -0.00488018-0j -0.00284677-0j -0.00074265-0j 0.000106264-0j -0.00146638-0j 0.000115968-0j -0.00160029-0j 8.98282e-05-0j 9.07591e-05-0j -0.00123958-0j -0.000409138-0j -0.00125242-0j 0.00564586-0j 0.000101472-0j 0.000470668-0j 5.91919e-05-0j -0.00140025-0j -0.000292302-0j -0.00649494-0j -0.000816813-0j 0.0040336-0j -0.000417662-0j 4.1855e-05-0j 0.00576348-0j -0.000172277-0j -0.000577574-0j 4.22887e-05-0j 0.00237731-0j 1.91081e-05-0j -0.000583559-0j -0.00026368-0j 4.21293e-06-0j -5.8136e-05-0j 
0.00463114-0j 0.00523143-0j -0.0211517-0j 0.00431571-0j 0.0475143-0j -0.0152681-0j 0.000985126-0j 0.000606384-0j 0.000671144-0j -0.0026274-0j 0.000353724-0j 0.000536085-0j -0.0030653-0j 0.00156258-0j 0.000361093-0j 0.00486897-0j -0.00110632-0j 5.82833e-05-0j 0.000394485-0j 5.6939e-05-0j 0.000430508-0j 6.21385e-05-0j -0.0016513-0j 0.000336926-0j -0.000238345-0j 0.000304415-0j 4.86311e-05-0j 4.39386e-05-0j -0.00186535-0j 0.00025113-0j 0.000219739-0j -0.000269239-0j 0.00276484-0j 3.62475e-05-0j 3.17165e-05-0j 0.00039907-0j -0.00153883-0j 0.00110937-0j -0.000222111-0j 0.000128181-0j 0.000160123-0j 0.00199577-0j 1.85013e-05-0j -0.000351262-0j 0.000288064-0j -5.07003e-05-0j 1.56397e-05-0j 2.2574e-06-0j 
0.00114591-0j -0.00390675-0j -0.00103995-0j 0.00106786-0j -0.00274471-0j -0.000750678-0j 0.000243756-0j 0.000150041-0j 0.000166065-0j 0.000389878-0j 8.7524e-05-0j -0.00040034-0j -0.00015071-0j -0.000268158-0j 8.93474e-05-0j -0.000281261-0j -5.43941e-05-0j 1.44214e-05-0j -0.0188805-0j 1.40888e-05-0j -0.0206046-0j 1.53753e-05-0j 0.0157042-0j -0.0161256-0j -1.17186e-05-0j 0.0439725-0j 1.20331e-05-0j -3.28126e-05-0j -0.0535403-0j -0.0120193-0j 0.031741-0j 3.99523e-05-0j 0.0308932-0j 8.96892e-06-0j -2.36854e-05-0j -2.30527e-05-0j 0.0146346-0j 0.036825-0j -1.09204e-05-0j -0.00613486-0j -2.74791e-05-0j 0.0222999-0j 4.57789e-06-0j 0.00334057-0j -1.66404e-05-0j -2.49276e-06-0j -0.000748533-0j 5.58561e-07-0j 
-0.00189065-0j -0.00626231-0j -0.00174381-0j 0.00176117-0j 0.0014824-0j -0.00115278-0j -0.00425383-0j 0.01171-0j -0.0125916-0j -0.0309241-0j 0.00683083-0j 0.0312319-0j -0.0116137-0j 0.00422636-0j 0.00638609-0j -0.00739313-0j 0.0206-0j 0.0206227-0j -0.000161048-0j 0.00222237-0j 0.000170751-0j -0.00235626-0j -0.000136139-0j 0.000137494-0j 0.00187863-0j 0.00037508-0j -0.00189733-0j -0.00517588-0j -0.000450925-0j 9.96047e-05-0j 0.000247953-0j 0.00622249-0j -8.87878e-05-0j -0.00137449-0j -0.00342161-0j 0.00122522-0j 0.000126815-0j 6.16273e-05-0j -0.00174997-0j -0.000249858-0j -0.00085042-0j -5.86948e-05-0j 0.00344789-0j -0.000306302-0j 0.000809954-0j 0.00422678-0j -0.000178854-0j 0.00246808-0j 
-0.00764099-0j 0.0168943-0j 0.0140577-0j 0.0130076-0j 0.0120698-0j -0.0196971-0j 0.0210593-0j -0.00100048-0j 0.00216738-0j -0.000875422-0j 0.00291188-0j -0.000810031-0j -0.00398748-0j -0.000361093-0j 0.00460133-0j -0.000578714-0j -0.000428915-0j 0.00425385-0j -0.000650867-0j -9.39446e-05-0j 0.00139027-0j 0.000200669-0j -0.000550198-0j -0.0005091-0j -7.94142e-05-0j 0.00100186-0j -7.34822e-05-0j 0.000144605-0j 0.00121649-0j -0.00404636-0j -0.00140376-0j 0.000175585-0j 0.00071576-0j -0.000584042-0j -0.000202616-0j 0.000103311-0j 0.000936626-0j 0.000501776-0j 0.00013519-0j 0.000490861-0j 7.24252e-05-0j -0.0010029-0j 7.08496e-05-0j 0.0015164-0j -0.000144756-0j 0.000218874-0j 0.00253971-0j 0.000366575-0j 
0.00076394-0j 0.000862962-0j -0.00351555-0j -0.00355198-0j 0.00061653-0j 0.000508611-0j 0.000162504-0j 0.000100027-0j 0.00011071-0j 8.7524e-05-0j 0.000405973-0j 8.8431e-05-0j -0.000509473-0j 3.61018e-05-0j -0.000297193-0j 6.31782e-05-0j 3.68539e-05-0j 9.61425e-06-0j -0.012587-0j 9.3925e-06-0j -0.0137364-0j 1.02502e-05-0j -0.0106401-0j -0.0107504-0j 7.93977e-06-0j 0.0484624-0j 8.02205e-06-0j -3.6163e-05-0j -0.0120193-0j -0.0557506-0j -0.00701127-0j 8.96892e-06-0j 0.0346232-0j 4.16016e-05-0j 5.23187e-06-0j -2.58361e-05-0j 0.049472-0j -0.00495772-0j -3.69164e-05-0j 0.0204062-0j 3.69949e-06-0j -0.0050091-0j -1.52272e-05-0j -0.00226335-0j 3.73783e-06-0j 1.68893e-06-0j -0.000499022-0j 3.72374e-07-0j 
-0.00115778-0j -0.00383487-0j -0.00106786-0j 0.00107849-0j 0.000907779-0j -0.000705929-0j -0.00260493-0j -0.000151596-0j 0.00016301-0j 0.00040034-0j -8.8431e-05-0j -0.000404325-0j 0.000150349-0j -5.47139e-05-0j -8.26735e-05-0j 9.57105e-05-0j -0.000266684-0j -0.000266979-0j 0.0190761-0j -1.42348e-05-0j -0.0202254-0j 1.50924e-05-0j 0.0161256-0j -0.0162861-0j -1.20331e-05-0j -0.0444282-0j 1.21528e-05-0j 3.31527e-05-0j 0.053412-0j -0.0117982-0j -0.0293701-0j -3.98565e-05-0j 0.0105169-0j 8.8039e-06-0j 2.19162e-05-0j -7.84781e-06-0j -0.0150212-0j -0.00729975-0j 1.12089e-05-0j 0.0295956-0j 5.44713e-06-0j 0.0069524-0j -2.20845e-05-0j 0.0362814-0j -5.18794e-06-0j -2.70735e-05-0j 0.0211853-0j -1.58086e-05-0j 
-0.000233908-0j 0.000797462-0j 0.00021228-0j -0.000217976-0j 0.000560262-0j 0.000153232-0j -4.97564e-05-0j 0.0029281-0j 0.00324081-0j 0.00760858-0j 0.00170806-0j -0.00781275-0j -0.00294115-0j -0.00523318-0j 0.00174364-0j -0.0054889-0j -0.00106152-0j 0.000281438-0j 0.00191702-0j -0.0128668-0j 0.00209207-0j -0.0140417-0j -0.00159452-0j 0.00163731-0j 0.0107022-0j -0.00446472-0j -0.0109894-0j 0.0299666-0j 0.00543619-0j 0.00122038-0j -0.00322281-0j -0.036487-0j -0.00313672-0j -0.00819099-0j 0.021631-0j 0.0210532-0j -0.00148591-0j -0.00373901-0j 0.00997325-0j 0.0006229-0j 0.0250957-0j -0.00226421-0j -0.00418082-0j -0.000339182-0j 0.015197-0j 0.00227655-0j 7.60018e-05-0j -0.000510114-0j 
-0.00810449-0j 0.00889438-0j 0.0221853-0j 0.00754943-0j 0.00594999-0j 0.014666-0j -0.0182345-0j -0.00106117-0j 0.00114107-0j 0.00275579-0j -0.000619017-0j 0.000937768-0j -0.00312356-0j -0.00486897-0j -0.000578714-0j 0.00062733-0j 0.00554048-0j -0.00186885-0j -0.000690349-0j -9.96433e-05-0j 0.000731942-0j 0.000105647-0j 0.001732-0j 0.000589382-0j 0.000249992-0j -0.000532727-0j 8.50699e-05-0j -7.68925e-05-0j -0.0019008-0j 0.000426966-0j -0.000352169-0j -0.000274357-0j -0.000356373-0j 6.16273e-05-0j -5.08312e-05-0j -5.14381e-05-0j -0.00161337-0j 0.00335837-0j -0.000232871-0j -0.00107104-0j 0.000484738-0j -0.000235587-0j -0.000154592-0j 0.00389686-0j -3.40041e-05-0j 0.000562464-0j -0.000766679-0j -0.000110661-0j 
