-0.00683621-0j 0.0493472-0j -0.000791138-0j 0.0108826-0j -0.000697718-0j -0.000661914-0j 0.00581562-0j 0.00147446-0j 0.00520165-0j 0.00356133-0j -6.75563e-05-0j 0.0013142-0j -8.72148e-05-0j 0.000155693-0j -3.3569e-05-0j 0.0011997-0j 0.000514033-0j 0.000484635-0j 0.000184308-0j -5.13918e-06-0j 0.000122872-0j 1.40599e-05-0j 0.000122444-0j 2.14181e-05-0j 2.05143e-05-0j 1.08604e-05-0j 1.14878e-06-0j 1.43498e-06-0j 8.95933e-08-0j 2.77291e-09-0j 
-2.07229e-05-0j 0.000302349-0j -2.39821e-06-0j -0.0015388-0j 0.000305333-0j -2.00649e-06-0j 3.56322e-05-0j -0.000424462-0j -0.00460093-0j 2.18202e-05-0j -2.04786e-07-0j -0.000185828-0j 3.81666e-05-0j -6.75854e-05-0j 4.42745e-05-0j 0.0244894-0j 3.14947e-06-0j -0.000860302-0j -5.30578e-05-0j 2.24899e-06-0j 0.0102482-0j -8.15767e-06-0j 0.00249943-0j 1.31228e-07-0j 0.00128558-0j -3.12646e-06-0j 0.000120447-0j -8.32589e-07-0j -7.8153e-08-0j -3.22858e-09-0j 
-1.79466e-05-0j 0.000129547-0j 0.000399204-0j 2.85693e-05-0j -1.83167e-06-0j -1.73767e-06-0j -0.00293453-0j 3.87079e-06-0j 1.36555e-05-0j 9.34928e-06-0j -0.0032419-0j -0.000663139-0j 4.40081e-05-0j 4.08728e-07-0j -8.8126e-08-0j 3.14947e-06-0j 0.0246675-0j -0.000244544-0j -9.30007e-05-0j -0.000747653-0j 3.22566e-07-0j 3.69103e-08-0j 0.00587585-0j 0.00625351-0j -1.03514e-05-0j 0.00157999-0j 3.01581e-09-0j 6.8862e-05-0j -4.52083e-08-0j 7.2795e-12-0j 
2.96103e-05-0j -0.000432018-0j 3.42673e-06-0j 0.00219874-0j -0.00043628-0j 2.86701e-06-0j -5.09138e-05-0j 0.000606501-0j 0.00657412-0j -3.11782e-05-0j 2.92613e-07-0j 0.000265523-0j -5.4535e-05-0j 9.65706e-05-0j -6.32624e-05-0j -0.0349921-0j -4.50018e-06-0j 0.00122926-0j 7.58126e-05-0j -3.21351e-06-0j -0.0146433-0j 1.16562e-05-0j -0.00357136-0j -1.87508e-07-0j -0.00183693-0j 4.4673e-06-0j -0.000172103-0j 1.18966e-06-0j 1.1167e-07-0j 4.61322e-09-0j 
3.45382e-06-0j -7.58517e-05-0j -3.82136e-05-0j 0.000785952-0j 3.52504e-07-0j 3.34415e-07-0j 0.000854634-0j -0.0032639-0j -7.99547e-06-0j -5.47413e-06-0j -6.56034e-06-0j -0.00907413-0j -4.21265e-06-0j -0.00106593-0j 1.69599e-08-0j 8.6643e-05-0j 0.00015187-0j 7.12195e-05-0j 0.0390057-0j -7.49891e-07-0j -0.000271992-0j -0.000194356-0j -0.00169971-0j 1.26887e-05-0j 0.0134276-0j 0.00694338-0j -2.65876e-05-0j 0.00381276-0j 0.000298151-0j -1.80696e-07-0j 
8.46186e-05-0j 1.29545e-05-0j -0.000936232-0j 1.41345e-06-0j -0.00124677-0j 8.19316e-06-0j -0.000145961-0j 1.27225e-07-0j -0.000197132-0j 9.34913e-07-0j -0.000160728-0j -1.63189e-05-0j 0.0148998-0j 1.00581e-08-0j -0.000180787-0j -2.24946e-05-0j -2.59374e-05-0j 0.00352407-0j -1.52043e-06-0j 0.0026523-0j -3.07172e-06-0j 7.25878e-10-0j 0.000441284-0j -2.16707e-06-0j 1.82912e-05-0j -2.7065e-07-0j -7.13008e-09-0j -1.42398e-08-0j -3.15496e-10-0j 7.93854e-14-0j 
2.56433e-05-0j -0.000185106-0j -0.00057041-0j -4.08218e-05-0j 2.61721e-06-0j 2.4829e-06-0j 0.00419306-0j -5.53085e-06-0j -1.95119e-05-0j -1.33589e-05-0j 0.00463225-0j 0.000947539-0j -6.28818e-05-0j -5.84019e-07-0j 1.25921e-07-0j -4.50018e-06-0j -0.0352467-0j 0.000349422-0j 0.000132886-0j 0.0010683-0j -4.60905e-07-0j -5.27399e-08-0j -0.00839581-0j -0.00893545-0j 1.47908e-05-0j -0.0022576-0j -4.30919e-09-0j -9.83948e-05-0j 6.45967e-08-0j -1.04014e-11-0j 
2.11502e-06-0j -4.64495e-05-0j -2.34009e-05-0j 0.000481295-0j 2.15864e-07-0j 2.04786e-07-0j 0.000523354-0j -0.00199872-0j -4.89621e-06-0j -3.3522e-06-0j -4.01737e-06-0j -0.00555675-0j -2.57971e-06-0j -0.000652745-0j 1.03858e-08-0j 5.30578e-05-0j 9.30007e-05-0j 4.36129e-05-0j 0.023886-0j -4.59213e-07-0j -0.00016656-0j -0.000119019-0j -0.00104085-0j 7.77022e-06-0j 0.00822268-0j 0.00425193-0j -1.62815e-05-0j 0.00233483-0j 0.00018258-0j -1.10653e-07-0j 
-1.57645e-07-0j 5.78633e-06-0j -1.82438e-08-0j -0.000120841-0j -1.60895e-08-0j -1.52639e-08-0j 6.81925e-07-0j 0.00155485-0j 6.09932e-07-0j 4.17592e-07-0j -1.55786e-09-0j -1.45929e-05-0j -2.01119e-09-0j -0.0115905-0j -7.74108e-10-0j -1.33214e-05-0j 6.02742e-08-0j 5.68271e-08-0j 0.000194356-0j -1.18511e-10-0j 0.000129571-0j 0.0377319-0j -1.35961e-06-0j 2.51143e-09-0j -0.00152718-0j 1.14526e-05-0j 0.0162698-0j 0.00385099-0j 0.00387273-0j 0.000566869-0j 
-1.22136e-05-0j 0.000178198-0j -1.41345e-06-0j -0.000906935-0j 0.000179956-0j -1.18258e-06-0j 2.10009e-05-0j -0.000250169-0j -0.00271169-0j 1.28603e-05-0j -1.20697e-07-0j -0.000109523-0j 2.24946e-05-0j -3.98333e-05-0j 2.60944e-05-0j 0.0144335-0j 1.85623e-06-0j -0.000507043-0j -3.12711e-05-0j 1.3255e-06-0j 0.00604006-0j -4.80795e-06-0j 0.00147311-0j 7.7343e-08-0j 0.000757693-0j -1.84267e-06-0j 7.09888e-05-0j -4.9071e-07-0j -4.60617e-08-0j -1.90286e-09-0j 
-9.65372e-08-0j 3.54339e-06-0j -1.1172e-08-0j -7.39994e-05-0j -9.85279e-09-0j -9.34718e-09-0j 4.17592e-07-0j 0.000952148-0j 3.73506e-07-0j 2.55722e-07-0j -9.53992e-10-0j -8.93628e-06-0j -1.2316e-09-0j -0.00709769-0j -4.74043e-10-0j -8.15767e-06-0j 3.69103e-08-0j 3.47993e-08-0j 0.000119019-0j -7.25727e-11-0j 7.93457e-05-0j 0.023106-0j -8.32589e-07-0j 1.53793e-09-0j -0.000935203-0j 7.01323e-06-0j 0.00996319-0j 0.00235824-0j 0.00237155-0j 0.000347135-0j 
-1.05773e-05-0j 7.63524e-05-0j 0.000235282-0j 1.68381e-05-0j -1.07954e-06-0j -1.02415e-06-0j -0.00172955-0j 2.28136e-06-0j 8.04825e-06-0j 5.51026e-06-0j -0.00191071-0j -0.00039084-0j 2.59374e-05-0j 2.40896e-07-0j -5.19396e-08-0j 1.85623e-06-0j 0.0145385-0j -0.000144129-0j -5.48126e-05-0j -0.00044065-0j 1.90113e-07-0j 2.17541e-08-0j 0.0034631-0j 0.00368568-0j -6.1009e-06-0j 0.000931211-0j 1.77745e-09-0j 4.05858e-05-0j -2.66448e-08-0j 4.29038e-12-0j 
-3.02209e-06-0j 6.63703e-05-0j 3.34369e-05-0j -0.000687708-0j -3.08441e-07-0j -2.92613e-07-0j -0.000747805-0j 0.00285591-0j 6.99604e-06-0j 4.78986e-06-0j 5.7403e-06-0j 0.00793987-0j 3.68607e-06-0j 0.000932688-0j -1.48399e-08-0j -7.58126e-05-0j -0.000132886-0j -6.23171e-05-0j -0.03413-0j 6.56155e-07-0j 0.000237993-0j 0.000170062-0j 0.00148724-0j -1.11026e-05-0j -0.0117491-0j -0.00607546-0j 2.32642e-05-0j -0.00333617-0j -0.000260883-0j 1.58109e-07-0j 
1.37939e-07-0j -5.06303e-06-0j 1.59633e-08-0j 0.000105735-0j 1.40783e-08-0j 1.33559e-08-0j -5.96684e-07-0j -0.00136049-0j -5.33691e-07-0j -3.65393e-07-0j 1.36313e-09-0j 1.27688e-05-0j 1.75979e-09-0j 0.0101417-0j 6.77345e-10-0j 1.16562e-05-0j -5.27399e-08-0j -4.97237e-08-0j -0.000170062-0j 1.03697e-10-0j -0.000113375-0j -0.0330154-0j 1.18966e-06-0j -2.1975e-09-0j 0.00133628-0j -1.0021e-05-0j -0.0142361-0j -0.00336962-0j -0.00338864-0j -0.000496011-0j 
1.24655e-06-0j -2.73763e-05-0j -1.3792e-05-0j 0.000283665-0j 1.27225e-07-0j 1.20697e-07-0j 0.000308454-0j -0.001178-0j -2.88572e-06-0j -1.97572e-06-0j -2.36775e-06-0j -0.00327503-0j -1.52043e-06-0j -0.000384714-0j 6.12114e-09-0j 3.12711e-05-0j 5.48126e-05-0j 2.57045e-05-0j 0.0140779-0j -2.7065e-07-0j -9.8167e-05-0j -7.01469e-05-0j -0.000613457-0j 4.5796e-06-0j 0.00484627-0j 0.002506-0j -9.59598e-06-0j 0.0013761-0j 0.000107609-0j -6.52168e-08-0j 
-5.6897e-08-0j 2.0884e-06-0j -6.58454e-09-0j -4.36137e-05-0j -5.80702e-09-0j -5.50902e-09-0j 2.4612e-07-0j 0.000561175-0j 2.20136e-07-0j 1.50717e-07-0j -5.62262e-10-0j -5.26685e-06-0j -7.25878e-10-0j -0.00418323-0j -2.7939e-10-0j -4.80795e-06-0j 2.17541e-08-0j 2.051e-08-0j 7.01469e-05-0j -4.27728e-11-0j 4.67646e-05-0j 0.0136182-0j -4.9071e-07-0j 9.06422e-10-0j -0.000551189-0j 4.13345e-06-0j 0.00587209-0j 0.0013899-0j 0.00139774-0j 0.000204594-0j 
