-0.350857-0j -0.00539418-0j -0.289442-0j 0.284117-0j -0.258885-0j -0.177247-0j -0.00455987-0j 0.365767-0j -0.00416257-0j -0.179083-0j -0.168841-0j 0.248602-0j 0.165735-0j 0.310634-0j -0.00297388-0j -0.0522327-0j 0.337358-0j 0.102543-0j 0.216359-0j 0.221928-0j 0.136725-0j 0.036579-0j -0.0474466-0j -0.000723736-0j -0.0384361-0j 0.0377289-0j -0.0338975-0j -0.032158-0j -0.000597052-0j 0.0478921-0j -0.000534019-0j -0.000365618-0j -0.0229748-0j 0.0318934-0j -0.0296603-0j 0.0398515-0j -0.0114162-0j 0.0291145-0j -0.000369407-0j -0.00034828-0j 0.0419056-0j -0.0122342-0j 0.0279371-0j 0.0268755-0j 0.0208004-0j -0.000107744-0j 0.0367563-0j 0.0172852-0j 0.0160122-0j 0.0192008-0j 0.00899118-0j 0.00201996-0j 
0.000230059-0j 0.000248492-0j 0.000189789-0j 0.000191755-0j -0.000688222-0j 0.000116221-0j -0.000851631-0j -0.000496785-0j 0.000191755-0j 0.000117426-0j 0.00011071-0j 0.000167786-0j 0.000111857-0j 6.92082e-05-0j 0.000136997-0j 3.42492e-05-0j 0.000113017-0j 6.92082e-05-0j 3.61093e-05-0j 4.94447e-05-0j 1.82418e-05-0j 3.48309e-06-0j -0.00297436-0j -0.00318748-0j -0.00240951-0j -0.00243448-0j -0.00212499-0j 0.00817318-0j -0.00262954-0j -0.0015339-0j 0.00953537-0j -0.00161026-0j 0.0058392-0j 0.00834345-0j -0.00185936-0j 0.0034415-0j -0.00071567-0j -0.00187863-0j -0.00162694-0j -0.0015339-0j -0.00134216-0j -0.000766949-0j -0.000894773-0j -0.000428827-0j -0.00134216-0j -0.000474525-0j -0.000782927-0j -0.000553613-0j -0.000204246-0j -0.000306369-0j -9.55272e-05-0j -1.60862e-05-0j 
-0.0101851-0j -0.0110012-0j 0.00826752-0j -0.00848938-0j 0.0149906-0j -0.00514534-0j 0.00915047-0j -0.00542479-0j 0.0169337-0j 0.0154292-0j -0.0240624-0j 0.00730905-0j 0.0247081-0j -0.00306398-0j -0.035906-0j 0.0105166-0j -0.00982027-0j 0.0151724-0j 0.00318878-0j 0.00649681-0j 0.000794643-0j -0.000154203-0j -0.00137734-0j -0.00147603-0j 0.00109787-0j -0.00112734-0j 0.00196282-0j -0.000933522-0j 0.00119813-0j -0.000710302-0j 0.00217244-0j -0.000745662-0j 0.00197942-0j 0.000937684-0j -0.00168992-0j -0.00039308-0j 0.00264597-0j 0.00173526-0j 0.002236-0j -0.00348713-0j 0.000611545-0j -0.003508-0j 0.00206732-0j -0.000198577-0j -0.00367942-0j 0.00152407-0j -0.000711577-0j 0.00126947-0j 0.000188659-0j 0.000421059-0j 4.35262e-05-0j -7.44904e-06-0j 
-1.35563e-05-0j -1.46425e-05-0j -1.11834e-05-0j -1.12993e-05-0j 4.05539e-05-0j -6.84841e-06-0j 5.01829e-05-0j 2.92733e-05-0j -1.12993e-05-0j -6.91938e-06-0j -6.52365e-06-0j -9.88689e-06-0j -6.59126e-06-0j -4.07813e-06-0j -8.07261e-06-0j -2.01815e-06-0j -6.65956e-06-0j -4.07813e-06-0j -2.12776e-06-0j -2.91356e-06-0j -1.07491e-06-0j -2.05243e-07-0j 0.000352365-0j 0.000377613-0j 0.000285448-0j 0.000288407-0j 0.000251742-0j -0.000968256-0j 0.000311515-0j 0.000181717-0j -0.00112963-0j 0.000190763-0j -0.000691755-0j -0.000988428-0j 0.000220274-0j -0.000407706-0j 8.47836e-05-0j 0.000222557-0j 0.00019274-0j 0.000181717-0j 0.000159002-0j 9.08585e-05-0j 0.000106002-0j 5.0802e-05-0j 0.000159002-0j 5.62158e-05-0j 9.27513e-05-0j 6.55851e-05-0j 2.41965e-05-0j 3.62947e-05-0j 1.13169e-05-0j 1.90569e-06-0j 
0.00207903-0j 3.19636e-05-0j 0.00171511-0j -0.00168356-0j 0.00153404-0j -0.00739003-0j 2.70198e-05-0j -0.00216738-0j -7.44432e-05-0j -0.00320272-0j 0.00100048-0j 0.00444599-0j -0.000982074-0j 0.00555537-0j 1.7622e-05-0j 0.000309509-0j -0.00199904-0j -0.000607627-0j -0.00128205-0j -0.00131505-0j -0.000810172-0j -0.000216752-0j -0.013299-0j -0.000202859-0j -0.0107734-0j 0.0105752-0j -0.00950128-0j 0.0272042-0j -0.000167351-0j 0.0134239-0j -0.000149683-0j 0.000721075-0j -0.0064397-0j 0.00893955-0j 0.0250913-0j 0.0111702-0j -0.00319992-0j -0.0246296-0j 0.000312502-0j -9.76211e-05-0j -0.0354503-0j -0.00342919-0j 0.00783062-0j -0.0227355-0j 0.00583025-0j -3.02e-05-0j 0.0103026-0j 0.00484495-0j 0.00448814-0j 0.00538187-0j 0.00252018-0j 0.000566185-0j 
0.0102907-0j -0.0107988-0j 0.00848938-0j -0.00857388-0j -0.015146-0j 0.00519866-0j -0.00912854-0j 0.00501958-0j 0.0166221-0j 0.00525253-0j -0.0247081-0j -0.00750214-0j 0.0249541-0j 0.0147812-0j 0.0118754-0j 0.00153199-0j -0.00923487-0j -0.00309448-0j -0.0340773-0j 0.0105602-0j 0.0149508-0j 0.00617672-0j 0.00139161-0j -0.00144887-0j 0.00112734-0j -0.00113856-0j -0.00198316-0j 0.000943196-0j -0.00119526-0j 0.000657245-0j 0.00213247-0j -0.000731942-0j 0.000673852-0j -0.000962456-0j -0.00173526-0j 0.00189629-0j -0.00267339-0j 0.00175254-0j -0.000739527-0j 0.00347877-0j 0.000575089-0j -0.00071576-0j -0.0019129-0j 0.00212212-0j 0.00125207-0j -0.000215695-0j -0.00348873-0j 0.000237212-0j -0.00349259-0j 0.00151612-0j 0.00125198-0j 0.000400554-0j 
0.00891199-0j 0.000137016-0j -0.0218202-0j -0.00721674-0j 0.00657584-0j 0.00450217-0j -0.000343754-0j -0.0092907-0j 0.000105732-0j 0.0042593-0j -0.0127284-0j 0.0187414-0j -0.00420977-0j -0.0078903-0j 7.07304e-05-0j 0.0429353-0j 0.0254324-0j -0.0331125-0j -0.00549565-0j -0.0052783-0j 0.0103072-0j -0.00092913-0j 0.00120517-0j 1.83833e-05-0j -0.00289758-0j -0.000958337-0j 0.000861017-0j 0.000816832-0j -4.50099e-05-0j -0.00121649-0j 1.35644e-05-0j 9.28692e-06-0j 0.000546429-0j 0.00240434-0j -0.002236-0j -0.00101225-0j 0.00028998-0j -0.000739527-0j 8.78593e-06-0j -2.62558e-05-0j 0.00315914-0j 0.0039506-0j -0.000709619-0j -0.000682653-0j -0.000494715-0j 8.85654e-05-0j 0.00277094-0j -0.00558161-0j -0.00040672-0j -0.000456668-0j 0.000677817-0j -5.13083e-05-0j 
0.00127314-0j 1.95736e-05-0j 0.00105029-0j -0.00103096-0j 0.000939406-0j -0.00452545-0j 1.65462e-05-0j -0.00132724-0j -4.55869e-05-0j -0.00196126-0j 0.000612668-0j 0.0027226-0j -0.000601395-0j 0.00340195-0j 1.07912e-05-0j 0.000189535-0j -0.00122416-0j -0.000372094-0j -0.000785092-0j -0.0008053-0j -0.000496127-0j -0.000132733-0j 0.000172167-0j 2.62619e-06-0j 0.000139472-0j -0.000136905-0j 0.000123002-0j -0.000352182-0j 2.1665e-06-0j -0.000173784-0j 1.93777e-06-0j -9.33494e-06-0j 8.33676e-05-0j -0.00011573-0j -0.000324829-0j -0.000144608-0j 4.14257e-05-0j 0.000318852-0j -4.04561e-06-0j 1.26379e-06-0j 0.000458935-0j 4.43939e-05-0j -0.000101374-0j 0.00029433-0j -7.54777e-05-0j 3.90965e-07-0j -0.000133376-0j -6.2722e-05-0j -5.81029e-05-0j -6.9673e-05-0j -3.26259e-05-0j -7.32975e-06-0j 
0.00169752-0j 0.00183353-0j -0.00137792-0j 0.0014149-0j -0.00249844-0j 0.000857557-0j -0.00152508-0j 0.000904132-0j -0.00282229-0j -0.00257153-0j 0.00401041-0j -0.00121817-0j -0.00411802-0j 0.000510663-0j 0.00598433-0j -0.00175277-0j 0.00163671-0j -0.00252874-0j -0.000531463-0j -0.0010828-0j -0.00013244-0j 2.57005e-05-0j -0.0108586-0j -0.0116366-0j 0.00865537-0j -0.00888764-0j 0.0154744-0j -0.00735966-0j 0.00944575-0j -0.00559985-0j 0.017127-0j -0.00587862-0j 0.0156053-0j 0.00739247-0j -0.0133229-0j -0.00309895-0j 0.0208602-0j 0.0136804-0j 0.0176281-0j -0.0274917-0j 0.00482127-0j -0.0276562-0j 0.0162982-0j -0.00156553-0j -0.0290077-0j 0.0120154-0j -0.0056099-0j 0.0100082-0j 0.00148734-0j 0.00331953-0j 0.00034315-0j -5.87264e-05-0j 
-0.00735202-0j 0.0155431-0j 0.00596781-0j -0.00561206-0j -0.00542479-0j -0.0037141-0j -0.0129283-0j -0.0151617-0j 0.0119942-0j 0.0111374-0j 0.00348122-0j 0.00483178-0j -0.0032737-0j -0.00257349-0j -0.0254324-0j 0.00759131-0j 0.0137598-0j 0.01003-0j 0.0149513-0j 0.00545678-0j -0.025374-0j 0.0201763-0j -0.000994216-0j 0.00208541-0j 0.000792488-0j -0.000745246-0j -0.000710302-0j -0.000673852-0j -0.00169278-0j -0.00198522-0j 0.00153875-0j 0.00105351-0j 0.00142882-0j 0.000619873-0j 0.000611545-0j -0.000330155-0j -0.000239221-0j -0.000575089-0j -0.00315914-0j -0.000987455-0j 0.0017092-0j 0.00126947-0j -0.00115805-0j 0.0018572-0j 0.00121941-0j -0.00215329-0j 0.000299628-0j 0.00354804-0j 0.00302006-0j -0.00393798-0j -0.00309232-0j 0.00160506-0j 
-0.000259879-0j -3.99545e-06-0j -0.000214389-0j 0.000210444-0j -0.000191755-0j 0.000923753-0j -3.37748e-06-0j 0.000270922-0j 9.3054e-06-0j 0.00040034-0j -0.00012506-0j -0.000555749-0j 0.000122759-0j -0.000694421-0j -2.20275e-06-0j -3.86886e-05-0j 0.00024988-0j 7.59534e-05-0j 0.000160256-0j 0.000164381-0j 0.000101271-0j 2.7094e-05-0j 0.0033599-0j 5.12509e-05-0j 0.00272183-0j -0.00267175-0j 0.00240043-0j -0.00687295-0j 4.22799e-05-0j -0.00339145-0j 3.78163e-05-0j -0.000182174-0j 0.00162694-0j -0.00225851-0j -0.00633913-0j -0.00282206-0j 0.000808435-0j 0.00622249-0j -7.89513e-05-0j 2.46633e-05-0j 0.00895626-0j 0.000866361-0j -0.00197835-0j 0.00574395-0j -0.00147297-0j 7.62981e-06-0j -0.00260287-0j -0.00122404-0j -0.0011339-0j -0.00135969-0j -0.000636705-0j -0.000143042-0j 
0.00103952-0j 0.00112281-0j -0.0008438-0j 0.000866443-0j -0.00152998-0j 0.000525144-0j -0.000933916-0j 0.000553666-0j -0.00172829-0j -0.00157474-0j 0.00245586-0j -0.000745977-0j -0.00252176-0j 0.000312716-0j 0.00366464-0j -0.00107335-0j 0.00100228-0j -0.00154853-0j -0.000325453-0j -0.000663078-0j -8.11029e-05-0j 1.57383e-05-0j 0.000140574-0j 0.000150647-0j -0.000112051-0j 0.000115058-0j -0.000200329-0j 9.52772e-05-0j -0.000122283-0j 7.24949e-05-0j -0.000221724-0j 7.61038e-05-0j -0.000202024-0j -9.5702e-05-0j 0.000172476-0j 4.01186e-05-0j -0.000270053-0j -0.000177105-0j -0.000228211-0j 0.000355903-0j -6.24155e-05-0j 0.000358034-0j -0.000210995-0j 2.02672e-05-0j 0.00037553-0j -0.00015555-0j 7.2625e-05-0j -0.000129565-0j -1.92549e-05-0j -4.29742e-05-0j -4.44238e-06-0j 7.60264e-07-0j 
-0.00171511-0j 0.0017998-0j -0.0014149-0j 0.00142898-0j 0.00252433-0j -0.000866443-0j 0.00152142-0j -0.000836597-0j -0.00277036-0j -0.000875422-0j 0.00411802-0j 0.00125036-0j -0.00415901-0j -0.00246353-0j -0.00197924-0j -0.000255332-0j 0.00153914-0j 0.000515746-0j 0.00567955-0j -0.00176003-0j -0.00249181-0j -0.00102945-0j 0.0109711-0j -0.0114225-0j 0.00888764-0j -0.0089761-0j -0.0156347-0j 0.00743593-0j -0.00942311-0j 0.00518156-0j 0.0168119-0j -0.00577045-0j 0.00531249-0j -0.00758777-0j -0.0136804-0j 0.0149499-0j -0.0210764-0j 0.0138166-0j -0.00583025-0j 0.0274258-0j 0.00453387-0j -0.00564288-0j -0.0150808-0j 0.0167303-0j 0.00987103-0j -0.00170049-0j -0.0275043-0j 0.00187012-0j -0.0275347-0j 0.0119527-0j 0.00987031-0j 0.00315787-0j 
0.002349-0j -0.00996829-0j 0.00193783-0j 0.0207089-0j 0.00173325-0j 0.00118667-0j -0.0084265-0j -0.0162103-0j -0.0076923-0j 0.00119897-0j 0.0011304-0j 0.0181203-0j 0.0120802-0j -0.0132084-0j -0.00549565-0j 0.0003497-0j -0.0149513-0j 0.00747424-0j 0.018738-0j -0.00943657-0j 0.0266256-0j -0.0368487-0j 0.000317657-0j -0.00133744-0j 0.000257331-0j 0.00275001-0j 0.000226945-0j 0.000215299-0j -0.00110333-0j -0.00212252-0j -0.000986852-0j -0.000675651-0j 0.000153817-0j 0.00232467-0j 0.000198577-0j -0.00169452-0j 7.64323e-05-0j 0.00212212-0j -0.000682653-0j -0.000643612-0j -0.0018572-0j 8.19088e-05-0j -0.00123814-0j 0.00232757-0j 0.00151612-0j -0.000199107-0j -0.00156291-0j -0.000766058-0j 0.0031182-0j 0.0016629-0j -0.000170667-0j -0.00681749-0j 
1.53135e-05-0j 2.35434e-07-0j 1.2633e-05-0j -1.24006e-05-0j 1.12993e-05-0j -5.44327e-05-0j 1.9902e-07-0j -1.59642e-05-0j -5.48326e-07-0j -2.35902e-05-0j 7.36925e-06-0j 3.27478e-05-0j -7.23366e-06-0j 4.09191e-05-0j 1.29798e-07-0j 2.27975e-06-0j -1.47243e-05-0j -4.4756e-06-0j -9.4432e-06-0j -9.68626e-06-0j -5.96748e-06-0j -1.59653e-06-0j -0.000398039-0j -6.07157e-06-0j -0.000322448-0j 0.000316515-0j -0.000284373-0j 0.000814221-0j -5.00879e-06-0j 0.000401777-0j -4.48e-06-0j 2.15817e-05-0j -0.00019274-0j 0.00026756-0j 0.000750981-0j 0.000334323-0j -9.57732e-05-0j -0.000737163-0j 9.35317e-06-0j -2.92179e-06-0j -0.00106103-0j -0.000102636-0j 0.00023437-0j -0.000680471-0j 0.000174499-0j -9.03884e-07-0j 0.000308356-0j 0.000145009-0j 0.00013433-0j 0.000161079-0j 7.54288e-05-0j 1.69459e-05-0j 
-0.00105029-0j 0.00110215-0j -0.000866443-0j 0.000875068-0j 0.00154583-0j -0.000530586-0j 0.000931677-0j -0.000512309-0j -0.00169649-0j -0.000536085-0j 0.00252176-0j 0.000765684-0j -0.00254687-0j -0.0015086-0j -0.00121203-0j -0.000156358-0j 0.00094253-0j 0.000315829-0j 0.003478-0j -0.00107779-0j -0.00152591-0j -0.000630409-0j -0.000142031-0j 0.000147875-0j -0.000115058-0j 0.000116203-0j 0.000202405-0j -9.62646e-05-0j 0.00012199-0j -6.70798e-05-0j -0.000217644-0j 7.47035e-05-0j -6.87747e-05-0j 9.82303e-05-0j 0.000177105-0j -0.000193539-0j 0.000272852-0j -0.000178867-0j 7.54777e-05-0j -0.00035505-0j -5.86948e-05-0j 7.30519e-05-0j 0.000195234-0j -0.000216588-0j -0.000127789-0j 2.20143e-05-0j 0.000356067-0j -2.42104e-05-0j 0.000356461-0j -0.000154738-0j -0.00012778-0j -4.08814e-05-0j 
-0.00148533-0j -2.28359e-05-0j 0.0036367-0j 0.00120279-0j -0.00109597-0j -0.000750362-0j 5.72924e-05-0j 0.00154845-0j -1.7622e-05-0j -0.000709883-0j 0.00212141-0j -0.00312356-0j 0.000701628-0j 0.00131505-0j -1.17884e-05-0j -0.00715588-0j -0.00423873-0j 0.00551875-0j 0.000915941-0j 0.000879717-0j -0.00171787-0j 0.000154855-0j 0.00950128-0j 0.00014493-0j -0.0228438-0j -0.0075553-0j 0.00678804-0j 0.0064397-0j -0.000354847-0j -0.00959051-0j 0.000106939-0j 7.32159e-05-0j 0.00430791-0j 0.0189553-0j -0.0176281-0j -0.00798036-0j 0.00228613-0j -0.00583025-0j 6.92661e-05-0j -0.000206994-0j 0.0249059-0j 0.0311455-0j -0.00559446-0j -0.00538187-0j -0.00390021-0j 0.000698228-0j 0.0218455-0j -0.0440041-0j -0.00320648-0j -0.00360026-0j 0.00534375-0j -0.000404502-0j 
-0.00021219-0j -0.000229192-0j 0.00017224-0j -0.000176862-0j 0.000312305-0j -0.000107195-0j 0.000190635-0j -0.000113017-0j 0.000352786-0j 0.000321442-0j -0.000501301-0j 0.000152272-0j 0.000514753-0j -6.38329e-05-0j -0.000748041-0j 0.000219097-0j -0.000204589-0j 0.000316093-0j 6.64328e-05-0j 0.00013535-0j 1.65551e-05-0j -3.21257e-06-0j 0.00274335-0j 0.00293991-0j -0.00218672-0j 0.0022454-0j -0.00390949-0j 0.00185936-0j -0.0023864-0j 0.00141476-0j -0.00432701-0j 0.00148519-0j -0.00394256-0j -0.00186765-0j 0.00336593-0j 0.000782927-0j -0.00527017-0j -0.00345625-0j -0.0044536-0j 0.00694556-0j -0.00121806-0j 0.00698714-0j -0.00411763-0j 0.00039552-0j 0.00732857-0j -0.0030356-0j 0.0014173-0j -0.0025285-0j -0.000375765-0j -0.000838654-0j -8.66943e-05-0j 1.48368e-05-0j 
-0.000909576-0j -1.39841e-05-0j 0.00222701-0j 0.000736556-0j -0.000671144-0j -0.000459501-0j 3.50843e-05-0j 0.000948228-0j -1.07912e-05-0j -0.000434713-0j 0.00129909-0j -0.00191278-0j 0.000429657-0j 0.0008053-0j -7.21889e-06-0j -0.00438206-0j -0.00259568-0j 0.00337953-0j 0.000560897-0j 0.000538714-0j -0.00105198-0j 9.48289e-05-0j -0.000123002-0j -1.87624e-06-0j 0.000295733-0j 9.78099e-05-0j -8.78771e-05-0j -8.33676e-05-0j 4.5938e-06-0j 0.000124157-0j -1.38441e-06-0j -9.47843e-07-0j -5.57696e-05-0j -0.000245392-0j 0.000228211-0j 0.000103313-0j -2.95959e-05-0j 7.54777e-05-0j -8.9671e-07-0j 2.67972e-06-0j -0.000322428-0j -0.000403206-0j 7.24252e-05-0j 6.9673e-05-0j 5.04916e-05-0j -9.03917e-06-0j -0.000282808-0j 0.000569671-0j 4.15107e-05-0j 4.66085e-05-0j -6.91794e-05-0j 5.23663e-06-0j 
0.00122534-0j -0.00259051-0j -0.000994635-0j 0.000935343-0j 0.000904132-0j 0.000619017-0j 0.00215471-0j 0.00252695-0j -0.00199904-0j -0.00185623-0j -0.000580204-0j -0.000805297-0j 0.000545617-0j 0.000428915-0j 0.00423873-0j -0.00126522-0j -0.0022933-0j -0.00167167-0j -0.00249188-0j -0.000909464-0j 0.00422899-0j -0.00336271-0j -0.00783816-0j 0.0164409-0j 0.00624778-0j -0.00587534-0j -0.00559985-0j -0.00531249-0j -0.0133455-0j -0.015651-0j 0.0121311-0j 0.00830562-0j 0.0112645-0j 0.00488693-0j 0.00482127-0j -0.00260286-0j -0.00188596-0j -0.00453387-0j -0.0249059-0j -0.00778485-0j 0.0134749-0j 0.0100082-0j -0.00912975-0j 0.0146417-0j 0.00961353-0j -0.016976-0j 0.00236219-0j 0.0279719-0j 0.0238095-0j -0.0310461-0j -0.0243791-0j 0.0126539-0j 
0.000214389-0j -0.000224975-0j 0.000176862-0j -0.000178622-0j -0.000315541-0j 0.000108305-0j -0.000190178-0j 0.000104575-0j 0.000346295-0j 0.000109428-0j -0.000514753-0j -0.000156295-0j 0.000519877-0j 0.000307941-0j 0.000247405-0j 3.19164e-05-0j -0.000192393-0j -6.44682e-05-0j -0.000709944-0j 0.000220003-0j 0.000311476-0j 0.000128682-0j -0.00277178-0j 0.00288582-0j -0.0022454-0j 0.00226775-0j 0.00395-0j -0.00187863-0j 0.00238068-0j -0.00130908-0j -0.00424739-0j 0.00145786-0j -0.00134216-0j 0.00191699-0j 0.00345625-0j -0.00377697-0j 0.00532478-0j -0.00349065-0j 0.00147297-0j -0.00692892-0j -0.00114545-0j 0.00142563-0j 0.00381006-0j -0.00422678-0j -0.00249384-0j 0.000429616-0j 0.00694876-0j -0.000472473-0j 0.00695644-0j -0.00301976-0j -0.00249366-0j -0.000797813-0j 
1.25034e-05-0j 1.35052e-05-0j -1.01493e-05-0j 1.04217e-05-0j -1.84027e-05-0j 6.3165e-06-0j -1.12333e-05-0j 6.65956e-06-0j -2.07881e-05-0j -1.89411e-05-0j 2.95394e-05-0j -8.9727e-06-0j -3.03321e-05-0j 3.76139e-06-0j 4.40787e-05-0j -1.29104e-05-0j 1.20555e-05-0j -1.86259e-05-0j -3.91459e-06-0j -7.97558e-06-0j -9.75516e-07-0j 1.89302e-07-0j -0.000324997-0j -0.000348284-0j 0.000259055-0j -0.000266006-0j 0.000463147-0j -0.000220274-0j 0.000282711-0j -0.000167603-0j 0.00051261-0j -0.000175947-0j 0.000467066-0j 0.000221256-0j -0.000398753-0j -9.27513e-05-0j 0.000624344-0j 0.000409453-0j 0.000527607-0j -0.000822823-0j 0.0001443-0j -0.000827749-0j 0.000487805-0j -4.68563e-05-0j -0.000868198-0j 0.00035962-0j -0.000167904-0j 0.000299545-0j 4.45159e-05-0j 9.93532e-05-0j 1.02705e-05-0j -1.75768e-06-0j 
0.000185666-0j 2.85449e-06-0j -0.000454587-0j -0.000150349-0j 0.000136997-0j 9.37953e-05-0j -7.16155e-06-0j -0.000193556-0j 2.20275e-06-0j 8.87353e-05-0j -0.000265176-0j 0.000390445-0j -8.77035e-05-0j -0.000164381-0j 1.47355e-06-0j 0.000894485-0j 0.000529841-0j -0.000689844-0j -0.000114493-0j -0.000109965-0j 0.000214734-0j -1.93569e-05-0j -0.00240043-0j -3.66154e-05-0j 0.00577132-0j 0.00190879-0j -0.00171495-0j -0.00162694-0j 8.96495e-05-0j 0.00242297-0j -2.70172e-05-0j -1.84974e-05-0j -0.00108836-0j -0.00478891-0j 0.0044536-0j 0.00201618-0j -0.000577574-0j 0.00147297-0j -1.74996e-05-0j 5.22955e-05-0j -0.00629228-0j -0.00786869-0j 0.0014134-0j 0.00135969-0j 0.000985359-0j -0.000176402-0j -0.00551909-0j 0.0111173-0j 0.000810094-0j 0.000909579-0j -0.00135006-0j 0.000102194-0j 
0.000750362-0j -0.00158636-0j -0.000609087-0j 0.000572778-0j 0.000553666-0j 0.000379069-0j 0.00131949-0j 0.00154744-0j -0.00122416-0j -0.0011367-0j -0.000355301-0j -0.000493142-0j 0.000334121-0j 0.000262656-0j 0.00259568-0j -0.000774785-0j -0.00140435-0j -0.00102369-0j -0.00152596-0j -0.000556931-0j 0.00258972-0j -0.00205923-0j 0.000101472-0j -0.000212841-0j -8.08829e-05-0j 7.60613e-05-0j 7.24949e-05-0j 6.87747e-05-0j 0.000172769-0j 0.000202616-0j -0.000157048-0j -0.000107524-0j -0.000145829-0j -6.32656e-05-0j -6.24155e-05-0j 3.36963e-05-0j 2.44154e-05-0j 5.86948e-05-0j 0.000322428-0j 0.000100782-0j -0.000174445-0j -0.000129565-0j 0.000118192-0j -0.00018955-0j -0.000124455-0j 0.000219769-0j -3.05806e-05-0j -0.00036212-0j -0.000308234-0j 0.000401919-0j 0.000315608-0j -0.000163815-0j 
-0.000391501-0j 0.00166138-0j -0.000322972-0j -0.00345148-0j -0.000288875-0j -0.000197779-0j 0.00140442-0j 0.00270172-0j 0.00128205-0j -0.000199829-0j -0.0001884-0j -0.00302005-0j -0.00201337-0j 0.00220141-0j 0.000915941-0j -5.82833e-05-0j 0.00249188-0j -0.00124571-0j -0.00312299-0j 0.00157276-0j -0.0044376-0j 0.00614144-0j 0.00250433-0j -0.0105441-0j 0.00202874-0j 0.0216804-0j 0.00178918-0j 0.00169736-0j -0.00869842-0j -0.0167334-0j -0.0077801-0j -0.00532667-0j 0.00121266-0j 0.0183271-0j 0.00156553-0j -0.0133592-0j 0.000602574-0j 0.0167303-0j -0.00538187-0j -0.00507408-0j -0.0146417-0j 0.000645749-0j -0.00976117-0j 0.01835-0j 0.0119527-0j -0.00156971-0j -0.0123216-0j -0.00603941-0j 0.0245831-0j 0.0131099-0j -0.0013455-0j -0.0537474-0j 
-1.2633e-05-0j 1.32568e-05-0j -1.04217e-05-0j 1.05254e-05-0j 1.85934e-05-0j -6.38196e-06-0j 1.12063e-05-0j -6.16212e-06-0j -2.04056e-05-0j -6.44809e-06-0j 3.03321e-05-0j 9.20975e-06-0j -3.0634e-05-0j -1.81456e-05-0j -1.45785e-05-0j -1.88069e-06-0j 1.13369e-05-0j 3.79883e-06-0j 4.18339e-05-0j -1.29638e-05-0j -1.83539e-05-0j -7.58264e-06-0j 0.000328365-0j -0.000341876-0j 0.000266006-0j -0.000268654-0j -0.000467947-0j 0.000222557-0j -0.000282033-0j 0.000155084-0j 0.000503178-0j -0.000172709-0j 0.000159002-0j -0.000227101-0j -0.000409453-0j 0.000447448-0j -0.000630814-0j 0.000413529-0j -0.000174499-0j 0.000820851-0j 0.000135698-0j -0.000168891-0j -0.000451368-0j 0.000500736-0j 0.000295439-0j -5.08956e-05-0j -0.000823202-0j 5.59727e-05-0j -0.000824111-0j 0.000357743-0j 0.000295418-0j 9.45149e-05-0j 
-0.000153167-0j 0.000323814-0j 0.000124329-0j -0.000116918-0j -0.000113017-0j -7.73771e-05-0j -0.000269339-0j -0.000315869-0j 0.00024988-0j 0.000232029-0j 7.25255e-05-0j 0.000100662-0j -6.82021e-05-0j -5.36144e-05-0j -0.000529841-0j 0.000158152-0j 0.000286663-0j 0.000208959-0j 0.000311485-0j 0.000113683-0j -0.000528624-0j 0.000420339-0j 0.00198025-0j -0.00415366-0j -0.00157845-0j 0.00148436-0j 0.00141476-0j 0.00134216-0j 0.00337163-0j 0.00395411-0j -0.00306484-0j -0.00209835-0j -0.00284589-0j -0.00123465-0j -0.00121806-0j 0.000657594-0j 0.000476474-0j 0.00114545-0j 0.00629228-0j 0.00196678-0j -0.00340434-0j -0.0025285-0j 0.00230656-0j -0.00369913-0j -0.00242879-0j 0.00428886-0j -0.00059679-0j -0.00706689-0j -0.00601528-0j 0.00784357-0j 0.00615919-0j -0.00319691-0j 
-0.000239744-0j 0.00101738-0j -0.000197779-0j -0.00211359-0j -0.000176899-0j -0.000121114-0j 0.000860026-0j 0.00165446-0j 0.000785092-0j -0.000122369-0j -0.000115371-0j -0.00184939-0j -0.00123293-0j 0.00134808-0j 0.000560897-0j -3.56911e-05-0j 0.00152596-0j -0.000762836-0j -0.00191243-0j 0.000963116-0j -0.00271746-0j 0.00376085-0j -3.24207e-05-0j 0.000136502-0j -2.62638e-05-0j -0.000280672-0j -2.31625e-05-0j -2.19739e-05-0j 0.000112609-0j 0.000216629-0j 0.00010072-0j 6.89584e-05-0j -1.56989e-05-0j -0.00023726-0j -2.02672e-05-0j 0.000172946-0j -7.80084e-06-0j -0.000216588-0j 6.9673e-05-0j 6.56883e-05-0j 0.00018955-0j -8.35978e-06-0j 0.000126367-0j -0.000237557-0j -0.000154738-0j 2.03213e-05-0j 0.000159514-0j 7.81854e-05-0j -0.00031825-0j -0.000169719-0j 1.74186e-05-0j 0.000695807-0j 
