-0.0451135-0j -0.0509611-0j -0.0416095-0j -0.0420407-0j -0.0364084-0j -0.0300354-0j -0.00959644-0j -0.00590699-0j -0.00653784-0j -0.00516862-0j -0.00344574-0j -0.00522218-0j -0.00603005-0j -0.00213195-0j -0.00351753-0j -0.0037309-0j -0.00217636-0j -0.000567757-0j 0.369732-0j -0.000554662-0j 0.403495-0j -0.000605312-0j 0.312546-0j 0.315785-0j -0.000468873-0j 0.285314-0j -0.000473732-0j -0.00042802-0j 0.353058-0j 0.235372-0j 0.205951-0j -0.000529648-0j 0.203838-0j -0.000353099-0j -0.000308961-0j -0.000305792-0j 0.291258-0j 0.145629-0j -0.000436937-0j 0.120138-0j -0.000218469-0j 0.147138-0j -0.000180227-0j 0.0664841-0j -0.000220733-0j -9.97376e-05-0j 0.0146584-0j -2.19901e-05-0j 
1.44703e-06-0j 1.6346e-06-0j -2.66221e-06-0j -2.6898e-06-0j 1.16781e-06-0j 9.63397e-07-0j 3.0781e-07-0j -4.55697e-05-0j -5.04365e-05-0j -3.98735e-05-0j 0.00013263-0j -4.02867e-05-0j 9.27915e-05-0j -1.6447e-05-0j 5.41284e-05-0j -2.87822e-05-0j -1.67896e-05-0j -4.37999e-06-0j 1.2326e-07-0j 0.000821602-0j 1.34515e-07-0j 0.000896627-0j 1.04195e-07-0j 1.05275e-07-0j 0.000694525-0j -1.89729e-07-0j 0.000701722-0j -0.00126466-0j 1.17701e-07-0j -3.91504e-07-0j 6.86589e-08-0j 0.000784549-0j -1.35549e-07-0j -0.00260961-0j 0.000457654-0j -0.000903516-0j -1.93682e-07-0j 4.85492e-08-0j -0.00129101-0j -7.98897e-08-0j 0.00032361-0j 4.90523e-08-0j -0.000532513-0j 2.21642e-08-0j 0.000326964-0j 0.000147738-0j 4.88675e-09-0j 3.25731e-05-0j 
0.00019418-0j -0.000429334-0j 0.000179099-0j 0.00016572-0j -0.000306731-0j 0.000500562-0j -0.000535181-0j -0.00120268-0j 0.0026054-0j -0.00105234-0j -0.000701563-0j -0.000973738-0j 0.00240304-0j -0.00043407-0j -0.00277298-0j -0.000695672-0j -0.000515598-0j 0.00511355-0j -0.00319939-0j -0.000228249-0j 0.00683401-0j 0.000487547-0j -0.00270454-0j -0.00250252-0j -0.000192946-0j -0.0024689-0j -0.000178533-0j -0.000176134-0j 0.00597975-0j 0.0039865-0j -0.00690031-0j 0.000426604-0j -0.00176387-0j 0.000284402-0j -0.000492277-0j -0.000125837-0j -0.00230815-0j 0.00246652-0j -0.000164667-0j -0.00120964-0j 0.000175965-0j -0.00492982-0j -8.62974e-05-0j 0.00745399-0j -0.0003517-0j 0.000531778-0j 0.0124841-0j 0.000890635-0j 
3.92304e-05-0j 6.30778e-07-0j -3.5603e-05-0j -3.55176e-05-0j -1.33749e-06-0j 5.03017e-05-0j -3.27861e-05-0j -0.000739207-0j -1.16454e-05-0j 0.000636431-0j -0.000431204-0j 0.000634905-0j 1.05687e-05-0j 0.00132113-0j 0.000861578-0j -0.00134624-0j -0.000788692-0j 0.000349181-0j -0.000321517-0j 0.00661275-0j -4.99431e-06-0j 0.00010272-0j 0.000267428-0j 0.000266787-0j -0.00550029-0j -0.000248107-0j -0.0054871-0j 0.00510291-0j 4.29993e-06-0j -2.91335e-06-0j 0.000350539-0j -8.84381e-05-0j 0.000526082-0j 5.99199e-05-0j -0.00720966-0j -0.0108201-0j -0.000242119-0j 8.92597e-06-0j 0.00497974-0j 0.000307465-0j -0.000183584-0j -0.000743276-0j -0.00632374-0j -0.000223498-0j 0.0152872-0j 0.00459677-0j 7.52108e-05-0j -0.00154689-0j 
-1.79061e-06-0j -2.87909e-08-0j 1.62504e-06-0j 1.62115e-06-0j 6.10478e-08-0j -2.29595e-06-0j 1.49647e-06-0j 5.63897e-05-0j 8.88361e-07-0j -4.85495e-05-0j 3.2894e-05-0j -4.84331e-05-0j -8.06219e-07-0j -0.000100781-0j -6.57247e-05-0j 0.000102697-0j 6.01646e-05-0j -2.66369e-05-0j -1.52526e-07-0j -0.00101668-0j -2.36928e-09-0j -1.57927e-05-0j 1.26867e-07-0j 1.26563e-07-0j 0.000845644-0j -1.17701e-07-0j 0.000843617-0j -0.000784549-0j 2.03987e-09-0j -1.38208e-09-0j 1.66294e-07-0j 1.3597e-05-0j 2.49571e-07-0j -9.21242e-06-0j 0.00110845-0j 0.00166354-0j -1.1486e-07-0j 4.23445e-09-0j -0.000765613-0j 1.4586e-07-0j 2.82252e-05-0j -3.52607e-07-0j 0.000972247-0j -1.06027e-07-0j -0.00235034-0j -0.000706732-0j 3.56797e-08-0j 0.000237827-0j 
-2.28844e-05-0j 5.05974e-05-0j -2.1107e-05-0j -1.95303e-05-0j 3.61486e-05-0j -5.89918e-05-0j 6.30717e-05-0j 0.000431204-0j -0.000934131-0j 0.000377304-0j 0.000251536-0j 0.00034912-0j -0.000861578-0j 0.00015563-0j 0.000994215-0j 0.000249424-0j 0.000184861-0j -0.00183339-0j 0.000187551-0j -0.00385744-0j -0.000400616-0j 0.00823961-0j 0.000158543-0j 0.0001467-0j -0.00326081-0j 0.000144729-0j -0.00301724-0j -0.0029767-0j -0.000350539-0j -0.000233693-0j 0.000404503-0j 0.00720966-0j 0.000103399-0j 0.00480644-0j -0.00831955-0j -0.00212665-0j 0.000135306-0j -0.00014459-0j -0.00278289-0j 7.09103e-05-0j 0.00297383-0j 0.000288991-0j -0.00145844-0j -0.00043696-0j -0.00594378-0j 0.00898712-0j -0.000731832-0j 0.0150519-0j 
1.04452e-06-0j -2.30945e-06-0j 9.63397e-07-0j 8.91434e-07-0j -1.64995e-06-0j 2.69259e-06-0j -2.87881e-06-0j -3.2894e-05-0j 7.12593e-05-0j -2.87822e-05-0j -1.91882e-05-0j -2.66323e-05-0j 6.57247e-05-0j -1.18721e-05-0j -7.58427e-05-0j -1.9027e-05-0j -1.41019e-05-0j 0.000139859-0j 8.89736e-08-0j 0.000593063-0j -1.90051e-07-0j -0.0012668-0j 7.52121e-08-0j 6.9594e-08-0j 0.000501334-0j 6.86589e-08-0j 0.000463886-0j 0.000457654-0j -1.66294e-07-0j -1.10863e-07-0j 1.91895e-07-0j -0.00110845-0j 4.90523e-08-0j -0.000738968-0j 0.00127909-0j 0.000326964-0j 6.41887e-08-0j -6.85929e-08-0j 0.000427857-0j 3.36396e-08-0j -0.000457213-0j 1.37096e-07-0j 0.000224228-0j -2.07292e-07-0j 0.000913829-0j -0.00138173-0j -3.47178e-07-0j -0.00231416-0j 
0.0128315-0j -0.0437465-0j 0.0118349-0j 0.0119575-0j 0.0103555-0j 0.00854289-0j 0.00272949-0j 0.00168011-0j 0.00185954-0j -0.00443689-0j 0.000980065-0j -0.00448287-0j 0.00171511-0j 0.000606384-0j 0.00100048-0j 0.00106117-0j 0.000619017-0j 0.000161486-0j 0.001093-0j 0.000157761-0j 0.00119281-0j 0.000172167-0j 0.000923947-0j 0.000933522-0j 0.00013336-0j -0.0025456-0j 0.000134742-0j -0.000367425-0j -0.00315001-0j 0.000695806-0j -0.00183751-0j -0.000454665-0j 0.000602586-0j 0.000100431-0j -0.000265221-0j 8.69758e-05-0j 0.000861017-0j 0.000430508-0j 0.000124277-0j 0.000355151-0j 6.21385e-05-0j 0.00043497-0j 5.12617e-05-0j 0.00019654-0j 6.27825e-05-0j 2.83681e-05-0j 4.3333e-05-0j 6.25458e-06-0j 
-0.0149701-0j -0.000240702-0j 0.0275415-0j -0.0270348-0j -0.000171966-0j 0.0195078-0j 0.012511-0j -0.00196013-0j -3.08798e-05-0j -0.00171511-0j 0.00570491-0j 0.00168356-0j 5.68117e-05-0j -0.000707448-0j -0.00455712-0j 0.00120279-0j 0.00212544-0j 0.000925911-0j -0.00127517-0j -0.000184055-0j -1.9808e-05-0j -2.85904e-06-0j -0.00107794-0j 0.0010581-0j -0.000155587-0j 0.00196282-0j 0.000152724-0j 0.000283308-0j -1.7332e-05-0j 5.76507e-05-0j 0.00139027-0j -2.50166e-06-0j 0.0014023-0j 8.32116e-06-0j 0.000200669-0j 0.000202405-0j -0.00194667-0j -7.14908e-06-0j -0.000280977-0j -0.00243241-0j -1.03188e-06-0j 0.00099326-0j -0.000351088-0j 0.000900869-0j 0.000143365-0j 0.000130029-0j 0.000298294-0j 4.3055e-05-0j 
-0.00916728-0j -0.0103555-0j 0.0250945-0j -0.00854289-0j -0.00692745-0j 0.0181142-0j -0.00195004-0j -0.00120033-0j -0.00132852-0j 0.00311717-0j -0.000700192-0j -0.00106117-0j 0.0036367-0j -0.00550746-0j -0.000714779-0j -0.000709883-0j 0.00131255-0j -0.000115371-0j -0.000780878-0j -0.00011271-0j -0.000852185-0j -0.000123002-0j 0.00195912-0j -0.000666941-0j 0.000282775-0j -0.000602586-0j -9.62646e-05-0j -8.69758e-05-0j 0.00221306-0j -0.000497108-0j -0.00043497-0j 0.000319428-0j -0.000403106-0j -7.17514e-05-0j -6.27825e-05-0j -5.81834e-05-0j 0.00182568-0j -0.00391008-0j 0.000263515-0j -0.000253732-0j -0.000564371-0j -0.000290978-0j -3.66231e-05-0j 0.00041674-0j -4.1999e-05-0j 6.01513e-05-0j -3.09586e-05-0j -4.46849e-06-0j 
-0.00202884-0j 0.00691693-0j -0.00187126-0j -0.00189065-0j -0.00163735-0j -0.00135075-0j -0.000431571-0j 0.0125659-0j 0.0139079-0j -0.0331844-0j 0.00733009-0j -0.0335282-0j 0.0128277-0j 0.00453526-0j 0.0074828-0j 0.00793671-0j 0.00462975-0j 0.00120778-0j -0.000172819-0j 0.0023848-0j -0.0001886-0j 0.00260257-0j -0.000146089-0j -0.000147603-0j 0.00201594-0j 0.000402494-0j 0.00203683-0j -0.00555418-0j 0.000498061-0j -0.000110017-0j 0.000290536-0j -0.00687295-0j -9.52772e-05-0j 0.00151816-0j -0.00400922-0j 0.00131477-0j -0.000136139-0j -6.80693e-05-0j 0.00187863-0j -5.61543e-05-0j 0.000939316-0j -6.87747e-05-0j 0.000774896-0j -3.10757e-05-0j 0.00094905-0j 0.000428827-0j -6.85155e-06-0j 9.45474e-05-0j 
0.0130988-0j -0.0143755-0j -0.0118877-0j -0.0122017-0j 0.0304815-0j -0.00785856-0j 0.0294714-0j 0.00171511-0j -0.00184424-0j -0.00147665-0j 0.00100048-0j -0.00151566-0j 0.00167372-0j -0.0030653-0j 0.000935343-0j 0.00321378-0j -0.00296879-0j 0.00302052-0j 0.00111577-0j 0.000161048-0j -0.001183-0j -0.000170751-0j -0.000928066-0j -0.000952584-0j -0.000133955-0j 0.000861017-0j -0.000137494-0j 0.000124277-0j 0.00101852-0j -0.000690082-0j 0.000569191-0j 0.00014701-0j -0.00182568-0j -9.96047e-05-0j 8.21556e-05-0j -0.000263515-0j 0.000864504-0j 0.00211428-0j 0.00012478-0j 0.00173106-0j 0.000305171-0j -0.0012069-0j 0.000249858-0j -0.00208808-0j -0.000174201-0j -0.000301388-0j 0.00123914-0j 0.000178854-0j 
-0.005403-0j 0.0179625-0j -0.00498335-0j -0.0240405-0j 0.012833-0j -0.0041856-0j 0.0214826-0j -0.000707448-0j 0.00230442-0j -0.000619017-0j -0.000412678-0j -0.00298624-0j 0.00212544-0j -0.000255332-0j -0.000490188-0j -0.00213348-0j 0.00367612-0j -0.00220291-0j -0.000460233-0j -6.64289e-05-0j 0.00147818-0j 0.000213357-0j -0.000389049-0j -0.00187684-0j -5.61543e-05-0j -0.000355151-0j -0.000270898-0j -5.12617e-05-0j 0.00129341-0j 0.000862273-0j -0.000298298-0j 0.000186688-0j -0.000253732-0j 0.000124458-0j -4.30556e-05-0j -3.66231e-05-0j -0.00173106-0j 0.000533504-0j -0.000249858-0j 0.00210912-0j 7.70047e-05-0j -0.000213114-0j 0.000304425-0j 0.00154688-0j -3.07604e-05-0j 0.000223273-0j -0.00377376-0j -0.000544695-0j 
-0.00160394-0j 0.00546831-0j -0.00147936-0j -0.00149469-0j -0.00129444-0j -0.00106786-0j -0.000341187-0j -0.000210014-0j -0.000232443-0j 0.000554612-0j -0.000122508-0j 0.000560359-0j -0.000214389-0j -7.5798e-05-0j -0.00012506-0j -0.000132647-0j -7.73771e-05-0j -2.01857e-05-0j 0.0131453-0j -1.97201e-05-0j 0.0143456-0j -2.15209e-05-0j 0.0111121-0j 0.0112272-0j -1.667e-05-0j -0.0306152-0j -1.68428e-05-0j 4.59281e-05-0j -0.0378844-0j 0.00836829-0j -0.0220993-0j 5.68332e-05-0j 0.00724715-0j -1.25539e-05-0j 3.31527e-05-0j -1.0872e-05-0j 0.0103552-0j 0.00517761-0j -1.55346e-05-0j 0.00427131-0j -7.76731e-06-0j 0.00523127-0j -6.40771e-06-0j 0.00236374-0j -7.84781e-06-0j -3.54602e-06-0j 0.000521155-0j -7.81823e-07-0j 
0.00236698-0j 3.80583e-05-0j -0.0043547-0j 0.00427457-0j 2.71901e-05-0j -0.00308446-0j -0.00197816-0j -0.0146602-0j -0.000230956-0j -0.0128277-0j 0.0426681-0j 0.0125916-0j 0.000424906-0j -0.00529114-0j -0.0340835-0j 0.0089959-0j 0.0158966-0j 0.00692506-0j 0.000201622-0j -0.00278226-0j 3.13192e-06-0j -4.32186e-05-0j 0.000170437-0j -0.000167301-0j -0.00235193-0j -0.000310349-0j 0.00230866-0j 0.00428263-0j 2.74043e-06-0j -9.11537e-06-0j -0.000219822-0j -3.78163e-05-0j -0.000221724-0j 0.000125787-0j 0.00303341-0j 0.00305966-0j 0.000307795-0j 1.13037e-06-0j -0.00424739-0j 0.000384598-0j -1.55984e-05-0j -0.000157048-0j -0.00530722-0j -0.00014244-0j 0.00216717-0j 0.00196558-0j -4.71644e-05-0j 0.000650841-0j 
-0.00106929-0j 0.00364554-0j -0.000986242-0j -0.000996462-0j -0.000862962-0j -0.000711907-0j -0.000227458-0j -0.000140009-0j -0.000154962-0j 0.000369741-0j -8.16721e-05-0j 0.000373573-0j -0.000142926-0j -5.0532e-05-0j -8.33736e-05-0j -8.8431e-05-0j -5.15848e-05-0j -1.34572e-05-0j -9.10835e-05-0j -1.31468e-05-0j -9.94009e-05-0j -1.43473e-05-0j -7.69956e-05-0j -7.77935e-05-0j -1.11134e-05-0j 0.000212133-0j -1.12285e-05-0j 3.06188e-05-0j 0.000262501-0j -5.79839e-05-0j 0.000153126-0j 3.78888e-05-0j -5.02155e-05-0j -8.36925e-06-0j 2.21018e-05-0j -7.24798e-06-0j -7.17514e-05-0j -3.58757e-05-0j -1.03564e-05-0j -2.95959e-05-0j -5.17821e-06-0j -3.62475e-05-0j -4.2718e-06-0j -1.63783e-05-0j -5.23187e-06-0j -2.36401e-06-0j -3.61109e-06-0j -5.21215e-07-0j 
0.000231509-0j -0.000789283-0j 0.000213528-0j 0.00021574-0j 0.000186837-0j 0.000154132-0j 4.92461e-05-0j -0.00289807-0j -0.00320757-0j 0.00765331-0j -0.00169054-0j 0.00773262-0j -0.00295844-0j -0.00104597-0j -0.00172576-0j -0.00183044-0j -0.00106776-0j -0.000278551-0j 1.97201e-05-0j 0.0127348-0j 2.15209e-05-0j 0.0138977-0j 1.667e-05-0j 1.68428e-05-0j 0.0107651-0j -4.59281e-05-0j 0.0108767-0j -0.0296593-0j -5.68332e-05-0j 1.25539e-05-0j -3.31527e-05-0j -0.0367014-0j 1.0872e-05-0j 0.00810698-0j -0.0214092-0j 0.00702085-0j 1.55346e-05-0j 7.76731e-06-0j 0.0100319-0j 6.40771e-06-0j 0.00501594-0j 7.84781e-06-0j 0.00413794-0j 3.54602e-06-0j 0.00506792-0j 0.00228993-0j 7.81823e-07-0j 0.000504882-0j 
0.00144947-0j 0.00163735-0j -0.00396779-0j 0.00135075-0j 0.00109533-0j -0.0028641-0j 0.000308329-0j -0.00897749-0j -0.00993626-0j 0.0233139-0j -0.00523687-0j -0.00793671-0j 0.0271995-0j -0.0411914-0j -0.00534597-0j -0.00530935-0j 0.00981683-0j -0.000862882-0j 0.000123468-0j -0.00170378-0j 0.000134742-0j -0.00185936-0j -0.000309764-0j 0.000105453-0j 0.00427456-0j 9.52772e-05-0j -0.00145518-0j -0.00131477-0j -0.000349916-0j 7.85997e-05-0j 6.87747e-05-0j 0.00482863-0j 6.37367e-05-0j -0.00108463-0j -0.00094905-0j -0.000879529-0j -0.000288666-0j 0.000618237-0j 0.00398342-0j 4.01186e-05-0j -0.00853131-0j 4.60076e-05-0j -0.000553613-0j -6.58924e-05-0j -0.000634877-0j 0.000909277-0j 4.89499e-06-0j -6.75479e-05-0j 
-0.00207111-0j 0.00227296-0j 0.0018796-0j 0.00192926-0j -0.00481955-0j 0.00124255-0j -0.00465984-0j 0.0128277-0j -0.0137934-0j -0.0110441-0j 0.0074828-0j -0.0113359-0j 0.012518-0j -0.0229259-0j 0.00699561-0j 0.0240365-0j -0.0222041-0j 0.0225911-0j -0.000176419-0j 0.00243448-0j 0.000187048-0j -0.00258116-0j 0.00014674-0j 0.000150617-0j -0.00202493-0j -0.000136139-0j -0.00207842-0j 0.00187863-0j -0.000161042-0j 0.000109112-0j -8.9997e-05-0j 0.00222228-0j 0.000288666-0j -0.00150567-0j 0.0012419-0j -0.00398342-0j -0.00013669-0j -0.000334298-0j 0.00188624-0j -0.000273705-0j 0.00461311-0j 0.000190828-0j 0.00377697-0j 0.000330154-0j -0.00263331-0j -0.00455593-0j -0.000195925-0j 0.00270365-0j 
0.000267323-0j -0.000911385-0j 0.000246561-0j 0.000249116-0j 0.00021574-0j 0.000177977-0j 5.68644e-05-0j -0.0016557-0j -0.00183252-0j 0.00437242-0j -0.000965824-0j 0.00441773-0j -0.00169019-0j -0.000597573-0j -0.000985945-0j -0.00104575-0j -0.000610023-0j -0.000159139-0j -0.00219088-0j -0.000314224-0j -0.00239094-0j -0.000342918-0j -0.00185201-0j -0.00187121-0j -0.000265623-0j 0.00510254-0j -0.000268376-0j 0.000731827-0j 0.00631407-0j -0.00139471-0j 0.00368321-0j 0.00090559-0j -0.00120786-0j -0.000200036-0j 0.000528261-0j -0.000173236-0j -0.00172587-0j -0.000862936-0j -0.000247532-0j -0.000711886-0j -0.000123766-0j -0.000871878-0j -0.000102102-0j -0.000393957-0j -0.000125048-0j -5.65029e-05-0j -8.68592e-05-0j -1.24577e-05-0j 
0.00187126-0j 3.00877e-05-0j -0.00344269-0j 0.00337935-0j 2.14957e-05-0j -0.00243848-0j -0.00156388-0j 0.000245016-0j 3.85998e-06-0j 0.000214389-0j -0.000713114-0j -0.000210444-0j -7.10147e-06-0j 8.8431e-05-0j 0.000569639-0j -0.000150349-0j -0.00026568-0j -0.000115739-0j -0.0153361-0j 2.30068e-05-0j -0.000238226-0j 3.57379e-07-0j -0.0129641-0j 0.0127256-0j 1.94484e-05-0j 0.0236063-0j -1.90905e-05-0j -3.54135e-05-0j -0.000208447-0j 0.00069335-0j 0.0167205-0j 3.12707e-07-0j 0.0168652-0j -1.04015e-06-0j -2.50836e-05-0j -2.53007e-05-0j -0.0234121-0j -8.59802e-05-0j 3.51222e-05-0j -0.029254-0j 1.28985e-07-0j 0.0119457-0j 4.3886e-05-0j 0.0108345-0j -1.79206e-05-0j -1.62536e-05-0j 0.00358751-0j -5.38188e-06-0j 
0.000854289-0j -0.00284012-0j 0.000787937-0j 0.00380114-0j -0.00202908-0j 0.000661802-0j -0.0033967-0j -0.00529114-0j 0.0172352-0j -0.00462975-0j -0.0030865-0j -0.0223347-0j 0.0158966-0j -0.00190967-0j -0.00366621-0j -0.0159567-0j 0.0274944-0j -0.016476-0j 7.27692e-05-0j -0.00100417-0j -0.000233721-0j 0.00322521-0j 6.1514e-05-0j 0.000296754-0j -0.000848856-0j 5.61543e-05-0j -0.00409503-0j -0.000774896-0j -0.000204506-0j -0.000136337-0j 4.7165e-05-0j 0.00282206-0j 4.01186e-05-0j 0.00188137-0j -0.000650849-0j -0.000553613-0j 0.000273705-0j -8.43544e-05-0j -0.00377697-0j -0.000333481-0j 0.00116404-0j 3.36963e-05-0j 0.00460183-0j -0.000244583-0j -0.000464989-0j 0.0033751-0j 0.000596683-0j -0.00823387-0j 
0.00124751-0j 2.00585e-05-0j -0.00229513-0j 0.0022529-0j 1.43305e-05-0j -0.00162565-0j -0.00104258-0j 0.000163344-0j 2.57332e-06-0j 0.000142926-0j -0.000475409-0j -0.000140296-0j -4.73431e-06-0j 5.8954e-05-0j 0.00037976-0j -0.000100233-0j -0.00017712-0j -7.71592e-05-0j 0.000106264-0j 1.53379e-05-0j 1.65066e-06-0j 2.38253e-07-0j 8.98282e-05-0j -8.81754e-05-0j 1.29656e-05-0j -0.000163568-0j -1.2727e-05-0j -2.3609e-05-0j 1.44433e-06-0j -4.80422e-06-0j -0.000115856-0j 2.08471e-07-0j -0.000116859-0j -6.9343e-07-0j -1.67224e-05-0j -1.68671e-05-0j 0.000162222-0j 5.95756e-07-0j 2.34148e-05-0j 0.000202701-0j 8.599e-08-0j -8.27716e-05-0j 2.92573e-05-0j -7.50724e-05-0j -1.19471e-05-0j -1.08358e-05-0j -2.48578e-05-0j -3.58792e-06-0j 
0.00114591-0j 0.00129444-0j -0.00313682-0j 0.00106786-0j 0.000865931-0j -0.00226427-0j 0.000243756-0j 0.000150041-0j 0.000166065-0j -0.000389646-0j 8.7524e-05-0j 0.000132647-0j -0.000454587-0j 0.000688433-0j 8.93474e-05-0j 8.87353e-05-0j -0.000164069-0j 1.44214e-05-0j -0.00939142-0j 1.40888e-05-0j -0.010249-0j 1.53753e-05-0j 0.0235619-0j -0.00802113-0j -3.53469e-05-0j -0.00724715-0j 1.20331e-05-0j 1.0872e-05-0j 0.026616-0j -0.00597859-0j -0.00523127-0j -3.99285e-05-0j -0.00484806-0j 8.96892e-06-0j 7.84781e-06-0j 7.27292e-06-0j 0.021957-0j -0.0470255-0j -3.29394e-05-0j -0.00305157-0j 7.05464e-05-0j -0.00349951-0j 4.57789e-06-0j 0.00501203-0j 5.24987e-06-0j -7.51891e-06-0j -0.000372331-0j 5.58561e-07-0j 
9.4513e-05-0j -0.000322223-0j 8.71723e-05-0j 8.80757e-05-0j 7.62758e-05-0j 6.29243e-05-0j 2.01046e-05-0j 1.23752e-05-0j 1.36968e-05-0j -3.26808e-05-0j 7.21886e-06-0j -3.30195e-05-0j 1.2633e-05-0j 4.46644e-06-0j 7.36925e-06-0j 7.81627e-06-0j 4.55949e-06-0j 1.18946e-06-0j -0.00233988-0j 1.16202e-06-0j -0.00255355-0j 1.26813e-06-0j -0.00197797-0j -0.00199847-0j 9.82292e-07-0j 0.00544956-0j 9.92471e-07-0j -2.70634e-06-0j 0.00674349-0j -0.00148957-0j 0.0039337-0j -3.34893e-06-0j -0.00129-0j 7.39744e-07-0j -1.95354e-06-0j 6.40637e-07-0j -0.00184325-0j -0.000921624-0j 9.15387e-07-0j -0.000760301-0j 4.57693e-07-0j -0.000931174-0j 3.77578e-07-0j -0.000420749-0j 4.62436e-07-0j 2.08951e-07-0j -9.27665e-05-0j 4.60694e-08-0j 
-2.22769e-05-0j 7.59488e-05-0j -2.05467e-05-0j -2.07596e-05-0j -1.79784e-05-0j -1.48314e-05-0j -4.7387e-06-0j 0.000419758-0j 0.000464587-0j -0.00110851-0j 0.000244859-0j -0.00112-0j 0.000428503-0j 0.000151499-0j 0.00024996-0j 0.000265123-0j 0.000154655-0j 4.03456e-05-0j -1.89757e-06-0j -0.00375504-0j -2.07085e-06-0j -0.00409794-0j -1.60408e-06-0j -1.6207e-06-0j -0.00317425-0j 4.41944e-06-0j -0.00320715-0j 0.00874548-0j 5.46877e-06-0j -1.208e-06-0j 3.19012e-06-0j 0.010822-0j -1.04616e-06-0j -0.00239047-0j 0.00631282-0j -0.00207021-0j -1.49482e-06-0j -7.4741e-07-0j -0.00295805-0j -6.16582e-07-0j -0.00147903-0j -7.55156e-07-0j -0.00122013-0j -3.41216e-07-0j -0.00149435-0j -0.000675221-0j -7.5231e-08-0j -0.000148872-0j 
-0.000270094-0j -4.34278e-06-0j 0.00049691-0j -0.000487767-0j -3.10264e-06-0j 0.000351964-0j 0.000225726-0j 0.00338108-0j 5.32654e-05-0j 0.00295844-0j -0.00984055-0j -0.00290401-0j -9.7996e-05-0j 0.0012203-0j 0.00786069-0j -0.00207472-0j -0.00366623-0j -0.00159713-0j -2.30068e-05-0j -0.0148572-0j -3.57379e-07-0j -0.000230787-0j -1.94484e-05-0j 1.90905e-05-0j -0.0125593-0j 3.54135e-05-0j 0.0123282-0j 0.0228692-0j -3.12707e-07-0j 1.04015e-06-0j 2.50836e-05-0j -0.000201938-0j 2.53007e-05-0j 0.0006717-0j 0.0161984-0j 0.0163385-0j -3.51222e-05-0j -1.28985e-07-0j -0.022681-0j -4.3886e-05-0j -8.32953e-05-0j 1.79206e-05-0j -0.0283405-0j 1.62536e-05-0j 0.0115727-0j 0.0104962-0j 5.38188e-06-0j 0.00347548-0j 
0.00076394-0j 0.000862962-0j -0.00209121-0j 0.000711907-0j 0.000577288-0j -0.00150952-0j 0.000162504-0j 0.000100027-0j 0.00011071-0j -0.000259764-0j 5.83493e-05-0j 8.8431e-05-0j -0.000303058-0j 0.000458955-0j 5.95649e-05-0j 5.91569e-05-0j -0.000109379-0j 9.61425e-06-0j 6.50732e-05-0j 9.3925e-06-0j 7.10154e-05-0j 1.02502e-05-0j -0.00016326-0j 5.55784e-05-0j -2.35646e-05-0j 5.02155e-05-0j 8.02205e-06-0j 7.24798e-06-0j -0.000184422-0j 4.14257e-05-0j 3.62475e-05-0j -2.6619e-05-0j 3.35922e-05-0j 5.97928e-06-0j 5.23187e-06-0j 4.84862e-06-0j -0.00015214-0j 0.00032584-0j -2.19596e-05-0j 2.11444e-05-0j 4.70309e-05-0j 2.42481e-05-0j 3.05192e-06-0j -3.47284e-05-0j 3.49992e-06-0j -5.01261e-06-0j 2.57988e-06-0j 3.72374e-07-0j 
-0.000165398-0j -0.000186837-0j 0.00045276-0j -0.000154132-0j -0.000124986-0j 0.00032682-0j -3.51831e-05-0j 0.00207048-0j 0.0022916-0j -0.00537688-0j 0.00120778-0j 0.00183044-0j -0.00627303-0j 0.00949996-0j 0.00123294-0j 0.00122449-0j -0.00226406-0j 0.000199006-0j -1.40888e-05-0j -0.00909817-0j -1.53753e-05-0j -0.00992898-0j 3.53469e-05-0j -1.20331e-05-0j 0.0228261-0j -1.0872e-05-0j -0.00777066-0j -0.00702085-0j 3.99285e-05-0j -8.96892e-06-0j -7.84781e-06-0j 0.0257849-0j -7.27292e-06-0j -0.00579191-0j -0.00506792-0j -0.00469667-0j 3.29394e-05-0j -7.05464e-05-0j 0.0212714-0j -4.57789e-06-0j -0.0455571-0j -5.24987e-06-0j -0.00295629-0j 7.51891e-06-0j -0.00339024-0j 0.00485553-0j -5.58561e-07-0j -0.000360705-0j 
-0.00163735-0j 0.00179694-0j 0.00148596-0j 0.00152521-0j -0.00381019-0j 0.00098232-0j -0.00368393-0j -0.000214389-0j 0.00023053-0j 0.000184581-0j -0.00012506-0j 0.000189458-0j -0.000209215-0j 0.000383162-0j -0.000116918-0j -0.000401723-0j 0.000371099-0j -0.000377566-0j 0.0134191-0j -2.0131e-05-0j -0.0142276-0j 2.13439e-05-0j -0.0111616-0j -0.0114565-0j 1.67444e-05-0j 0.0103552-0j 1.71867e-05-0j -1.55346e-05-0j 0.0122495-0j -0.00829944-0j 0.00684552-0j -1.83763e-05-0j -0.021957-0j 1.24506e-05-0j -1.02695e-05-0j 3.29394e-05-0j 0.0103972-0j 0.025428-0j -1.55976e-05-0j 0.0208191-0j -3.81463e-05-0j -0.0145151-0j -3.12322e-05-0j -0.0251128-0j 2.17752e-05-0j 3.76735e-05-0j 0.0149028-0j -2.23568e-05-0j 
