-0.0481551-0j -0.0085127-0j -0.000709392-0j -0.0420036-0j -0.00700059-0j -0.00428697-0j -0.000875074-0j -5.15642e-05-0j -0.0264821-0j -0.0267565-0j -0.00427352-0j -0.00431781-0j -0.00348932-0j -0.00352548-0j -0.00050364-0j -0.000436165-0j -0.000508859-0j -0.000440685-0j -5.14025e-05-0j -5.19352e-05-0j -2.34619e-06-0j -2.37051e-06-0j 0.0386962-0j -0.0243486-0j -0.0142034-0j 0.0061184-0j -0.00384985-0j 0.00483702-0j -0.00224575-0j 0.00322468-0j 0.000698164-0j -0.00304358-0j -0.00202905-0j 0.00080617-0j -0.00177542-0j -0.000439302-0j 0.000285024-0j -0.00118361-0j 6.71808e-05-0j -0.00025626-0j 7.1256e-05-0j -0.000507263-0j -0.000179344-0j -0.000295903-0j -4.22719e-05-0j 5.938e-06-0j -0.000104618-0j -4.48361e-05-0j -2.46586e-05-0j 2.21296e-07-0j -3.73634e-06-0j -2.61544e-05-0j -1.39245e-07-0j -2.17953e-06-0j -8.12264e-08-0j 
0.449137-0j -0.000549979-0j -4.58316e-05-0j -4.70175e-05-0j 0.00113127-0j -4.7987e-06-0j -9.79531e-07-0j -5.77194e-08-0j -0.00171092-0j 0.00166875-0j -0.000276099-0j 0.000269294-0j 0.0325444-0j -0.0317423-0j 0.00469739-0j -2.81792e-05-0j -0.0045816-0j 2.74847e-05-0j -3.32095e-06-0j 3.2391e-06-0j -1.5158e-07-0j 1.47844e-07-0j -0.00127125-0j -2.72551e-05-0j 0.00178757-0j -0.000201002-0j -4.3094e-06-0j -0.000158906-0j 0.00028264-0j 0.0306929-0j -2.29361e-05-0j -3.40688e-06-0j 0.000658044-0j 0.00382337-0j 0.000223447-0j -4.91741e-07-0j -9.36361e-06-0j -0.043159-0j 0.000318614-0j 3.22517e-05-0j -2.3409e-06-0j 8.19716e-05-0j -2.00753e-07-0j -0.00537626-0j 6.83097e-06-0j -1.95075e-07-0j 1.31667e-05-0j -5.01881e-08-0j -0.000448021-0j -7.27003e-09-0j -4.18234e-09-0j 3.29168e-06-0j -1.55867e-10-0j 2.74306e-07-0j 1.02228e-08-0j 
0.000549979-0j 0.438272-0j -0.00116225-0j 8.31159e-06-0j -6.53167e-05-0j -0.000163052-0j 0.00157771-0j -1.95502e-06-0j 0.000302451-0j -0.000294996-0j -0.00230134-0j 0.00224462-0j -0.00381-0j 0.00371609-0j -0.000548183-0j 0.0451463-0j 0.000534672-0j -0.0440335-0j 0.00805154-0j -0.00785309-0j -6.42444e-06-0j 6.26609e-06-0j 0.000224727-0j 4.81806e-06-0j -0.000316001-0j -0.00167539-0j -3.59198e-05-0j -0.00268563-0j 0.00235586-0j 1.87272e-05-0j -0.000386408-0j -5.75789e-05-0j 4.01505e-07-0j 0.021105-0j 0.00377641-0j -8.28446e-06-0j -0.000478067-0j -2.63334e-05-0j -5.59683e-05-0j 0.000543351-0j 0.00758031-0j 0.000452484-0j -1.02496e-05-0j -0.029677-0j -1.19994e-06-0j 0.000631703-0j 0.000672237-0j 0.000162519-0j 7.87002e-05-0j -3.70009e-07-0j 1.35435e-05-0j -0.0106591-0j -7.93286e-09-0j -0.000888274-0j 5.2029e-07-0j 
0.355074-0j -0.000434797-0j -3.6233e-05-0j -0.00214538-0j 0.0516192-0j -0.000218962-0j -4.46955e-05-0j -2.63371e-06-0j 0.0013141-0j -0.00136662-0j 0.000212062-0j -0.000220537-0j -0.0249962-0j 0.0259953-0j -0.00360789-0j 2.16434e-05-0j 0.00375209-0j -2.25085e-05-0j 2.5507e-06-0j -2.65265e-06-0j 1.16423e-07-0j -1.21076e-07-0j -0.00100501-0j 0.00120823-0j -0.000725454-0j -0.000158906-0j 0.000191038-0j -0.000125626-0j -0.000114704-0j 0.0242649-0j -1.81326e-05-0j 0.000151029-0j -0.0291715-0j 0.00302264-0j -9.06817e-05-0j 2.17991e-05-0j -7.40259e-06-0j 0.0175153-0j 0.000251887-0j -1.30888e-05-0j -1.85065e-06-0j -0.00363385-0j 8.89946e-06-0j 0.00218186-0j -0.00030282-0j -1.54221e-07-0j -5.34347e-06-0j 2.22487e-06-0j 0.000181821-0j -5.74746e-09-0j 1.85405e-07-0j -1.33587e-06-0j 6.90965e-09-0j -1.11322e-07-0j -4.14874e-09-0j 
-4.58316e-05-0j 0.00116225-0j 0.424363-0j -6.92633e-07-0j 1.65601e-05-0j -7.06915e-08-0j -0.000196581-0j 0.00220773-0j -2.52043e-05-0j 2.4583e-05-0j 0.00058347-0j -0.000569089-0j -3.32095e-06-0j 3.2391e-06-0j -0.00653014-0j 5.95502e-05-0j 0.00636918-0j -5.80824e-05-0j 0.0307493-0j -0.0299914-0j 0.0146483-0j -0.0142873-0j -1.87272e-05-0j -4.01505e-07-0j 2.63334e-05-0j 0.00042477-0j 9.10691e-06-0j -2.3409e-06-0j -0.000597293-0j -1.5606e-06-0j -0.00460302-0j -5.01881e-08-0j -3.34588e-08-0j 5.59683e-05-0j 3.29168e-06-0j -9.86871e-05-0j -1.37939e-07-0j 2.19445e-06-0j 0.0204353-0j 0.00647257-0j -0.000469794-0j 1.19994e-06-0j -2.95736e-09-0j -7.87002e-05-0j 0.000438125-0j 0.0074615-0j 1.93964e-07-0j -1.00722e-05-0j -0.0287352-0j 0.0014125-0j 0.000159972-0j 0.000660604-0j 3.02835e-05-0j -0.010492-0j -0.0019862-0j 
0.236716-0j -0.000289864-0j -2.41554e-05-0j -0.00143026-0j 0.0344128-0j -0.000145975-0j -2.9797e-05-0j -1.7558e-06-0j -0.000901735-0j -0.00091108-0j -0.000145517-0j -0.000147025-0j 0.0171524-0j 0.0173302-0j 0.00247574-0j -1.48518e-05-0j 0.0025014-0j -1.50057e-05-0j -1.7503e-06-0j -1.76843e-06-0j -7.98897e-08-0j -8.07176e-08-0j 0.00330528-0j -0.00082909-0j -0.000483636-0j 0.00052261-0j -0.000131091-0j 0.00041316-0j -7.64695e-05-0j -0.0798024-0j 5.96345e-05-0j -0.000103636-0j 0.0200175-0j -0.00994087-0j -6.04545e-05-0j -1.49586e-05-0j 2.43457e-05-0j 0.0116769-0j -0.000828406-0j -8.72585e-06-0j 6.08642e-06-0j 0.00249355-0j -6.10682e-06-0j 0.00145457-0j 0.000207796-0j 5.07201e-07-0j -3.56231e-06-0j -1.52671e-06-0j 0.000121214-0j 1.89023e-08-0j -1.27225e-07-0j -8.90578e-07-0j -4.74141e-09-0j -7.42149e-08-0j -2.76582e-09-0j 
-0.358754-0j 0.000439302-0j 3.66085e-05-0j -0.0020925-0j 0.0503469-0j -0.000213565-0j -4.35938e-05-0j -2.56879e-06-0j 0.00136662-0j -0.00137995-0j 0.000220537-0j -0.000222689-0j -0.0259953-0j 0.0262489-0j -0.00375209-0j 2.25085e-05-0j 0.0037887-0j -2.27281e-05-0j 2.65265e-06-0j -2.67853e-06-0j 1.21076e-07-0j -1.22258e-07-0j 0.00101542-0j -0.00121298-0j 0.000658095-0j 0.000160553-0j -0.000191789-0j 0.000126928-0j 0.000104054-0j -0.0245163-0j 1.83205e-05-0j -0.000151623-0j 0.0292861-0j -0.00305396-0j 8.22619e-05-0j -2.18849e-05-0j 7.4793e-06-0j -0.015889-0j -0.000254497-0j 1.18735e-05-0j 1.86983e-06-0j 0.00364813-0j -8.93445e-06-0j -0.00197927-0j 0.000304011-0j 1.55819e-07-0j 4.84733e-06-0j -2.23361e-06-0j -0.000164939-0j 5.80702e-09-0j -1.86134e-07-0j 1.21183e-06-0j -6.93682e-09-0j 1.00986e-07-0j 3.76353e-09-0j 
0.000434797-0j 0.346484-0j -0.00091884-0j 0.000379254-0j -0.00298037-0j -0.00743996-0j 0.0719899-0j -8.92066e-05-0j -0.000232302-0j 0.000241587-0j 0.00176758-0j -0.00183822-0j 0.00292632-0j -0.00304328-0j 0.00042104-0j -0.0346752-0j -0.000437868-0j 0.0360611-0j -0.00618409-0j 0.00643126-0j 4.93438e-06-0j -5.1316e-06-0j 0.000177662-0j -0.000213587-0j 0.000128243-0j -0.00132451-0j 0.00159234-0j -0.00212317-0j -0.000956084-0j 1.48052e-05-0j -0.000305483-0j 0.0025525-0j -1.77989e-05-0j 0.016685-0j -0.00153259-0j 0.000367254-0j -0.000377945-0j 1.06869e-05-0j -4.42468e-05-0j -0.000220509-0j 0.00599276-0j -0.0200589-0j 0.000454369-0j 0.0120439-0j 5.3194e-05-0j 0.000499405-0j -0.000272815-0j -0.00720456-0j -3.19391e-05-0j -2.92518e-07-0j -0.00060039-0j 0.00432581-0j 3.51668e-07-0j 0.00036049-0j -2.1115e-07-0j 
-0.414253-0j 0.000507263-0j 4.22719e-05-0j 4.33657e-05-0j -0.0010434-0j 4.42599e-06-0j 9.03451e-07-0j 5.32364e-08-0j -0.00153311-0j -0.00153914-0j -0.000247405-0j -0.000248378-0j 0.0291622-0j 0.0292769-0j 0.00420921-0j -2.52507e-05-0j 0.00422576-0j -2.535e-05-0j -2.97582e-06-0j -2.98752e-06-0j -1.35827e-07-0j -1.36361e-07-0j -0.00230586-0j -2.44226e-05-0j -0.00164873-0j -0.000364589-0j -3.86155e-06-0j -0.000288233-0j -0.000260688-0j 0.0556726-0j -4.16028e-05-0j -3.05282e-06-0j 0.000589657-0j 0.00693505-0j -0.000206092-0j -4.40637e-07-0j -1.69843e-05-0j 0.0398069-0j 0.000577921-0j -2.97468e-05-0j -4.24607e-06-0j 7.34527e-05-0j -1.79889e-07-0j 0.00495869-0j 6.12106e-06-0j -3.53839e-07-0j -1.21441e-05-0j -4.49723e-08-0j 0.000413224-0j -1.31868e-08-0j -3.74769e-09-0j -3.03602e-06-0j -1.39668e-10-0j -2.53001e-07-0j -9.4288e-09-0j 
0.000289864-0j 0.230989-0j -0.00061256-0j 0.000252836-0j -0.00198691-0j -0.00495997-0j 0.0479933-0j -5.94711e-05-0j 0.000159406-0j 0.000161058-0j -0.00121291-0j -0.00122548-0j -0.00200805-0j -0.00202886-0j -0.000288918-0j 0.0237942-0j -0.000291912-0j 0.0240407-0j 0.00424353-0j 0.00428751-0j -3.38598e-06-0j -3.42107e-06-0j -0.000584296-0j 0.000146564-0j 8.54955e-05-0j 0.00435606-0j -0.00109267-0j 0.00698271-0j -0.000637389-0j -4.86913e-05-0j 0.00100467-0j -0.00175153-0j 1.22136e-05-0j -0.0548737-0j -0.00102173-0j -0.00025201-0j 0.00124299-0j 7.12463e-06-0j 0.000145519-0j -0.000147006-0j -0.019709-0j 0.0137644-0j -0.000311789-0j 0.00802924-0j -3.65018e-05-0j -0.00164245-0j -0.000181877-0j 0.00494378-0j -2.12927e-05-0j 9.62034e-07-0j 0.000411988-0j 0.00288387-0j -2.41315e-07-0j 0.000240327-0j -1.40767e-07-0j 
-0.000439302-0j -0.350075-0j 0.000928362-0j 0.000369906-0j -0.00290691-0j -0.00725658-0j 0.0702156-0j -8.70079e-05-0j -0.000241587-0j 0.000243944-0j 0.00183822-0j -0.00185616-0j 0.00304328-0j -0.00307298-0j 0.000437868-0j -0.0360611-0j -0.00044214-0j 0.0364129-0j -0.00643126-0j 0.00649401-0j 5.1316e-06-0j -5.18166e-06-0j -0.000179503-0j 0.000214427-0j -0.000116336-0j 0.00133824-0j -0.0015986-0j 0.00214518-0j 0.000867312-0j -1.49586e-05-0j 0.000308648-0j -0.00256254-0j 1.78689e-05-0j -0.0168579-0j 0.00139029-0j -0.000368698-0j 0.000381862-0j -9.69466e-06-0j 4.47054e-05-0j 0.000200035-0j -0.00605487-0j 0.0201377-0j -0.000456156-0j -0.0109256-0j -5.34031e-05-0j -0.000504581-0j 0.000247484-0j 0.00723289-0j 2.89735e-05-0j 2.95549e-07-0j 0.000602751-0j -0.00392416-0j -3.5305e-07-0j -0.000327018-0j 1.91545e-07-0j 
-3.6233e-05-0j 0.00091884-0j 0.335489-0j -3.16045e-05-0j 0.000755627-0j -3.22562e-06-0j -0.00896989-0j 0.100738-0j 1.93585e-05-0j -2.01322e-05-0j -0.000448142-0j 0.000466054-0j 2.5507e-06-0j -2.65265e-06-0j 0.00501556-0j -4.57383e-05-0j -0.00521603-0j 4.75664e-05-0j -0.0236174-0j 0.0245614-0j -0.0112508-0j 0.0117005-0j -1.48052e-05-0j 1.77989e-05-0j -1.06869e-05-0j 0.00033581-0j -0.000403714-0j -1.85065e-06-0j 0.0002424-0j -1.23376e-06-0j -0.00363901-0j 2.22487e-06-0j 1.48324e-06-0j 4.42468e-05-0j -1.33587e-06-0j 0.00437485-0j -1.0905e-07-0j -8.90578e-07-0j 0.0161555-0j -0.00262677-0j -0.000371405-0j -5.3194e-05-0j 1.31101e-07-0j 3.19391e-05-0j -0.0194223-0j 0.00589884-0j -7.87167e-08-0j 0.000446506-0j 0.0116616-0j 0.00111668-0j -0.00709164-0j -0.000268094-0j -0.00134248-0j 0.004258-0j 0.000806062-0j 
-0.146461-0j 0.000179344-0j 1.49454e-05-0j 0.000884925-0j -0.0212918-0j 9.03173e-05-0j 1.84359e-05-0j 1.08635e-06-0j -0.00274195-0j 0.000563702-0j -0.000442481-0j 9.0967e-05-0j 0.0521563-0j -0.0107225-0j 0.00752811-0j -4.51605e-05-0j -0.00154766-0j 9.28428e-06-0j -5.32222e-06-0j 1.09416e-06-0j -2.42925e-07-0j 4.99415e-08-0j 0.000414545-0j -0.00252106-0j 0.000299234-0j 6.55453e-05-0j -0.000398614-0j 5.18181e-05-0j 4.73131e-05-0j -0.0100087-0j 7.4793e-06-0j -0.000315132-0j 0.0608682-0j -0.00124677-0j 3.74043e-05-0j -4.54854e-05-0j 3.05341e-06-0j -0.00722469-0j -0.000103898-0j 5.39884e-06-0j 7.63353e-07-0j 0.00758226-0j -1.85693e-05-0j -0.00089997-0j 0.000631855-0j 6.36127e-08-0j 2.20407e-06-0j -4.64233e-06-0j -7.49975e-05-0j 2.37071e-09-0j -3.86861e-07-0j 5.51017e-07-0j -1.44175e-08-0j 4.59181e-08-0j 1.71127e-09-0j 
-2.41554e-05-0j 0.00061256-0j 0.223659-0j -2.10696e-05-0j 0.000503751-0j -2.15041e-06-0j -0.00597993-0j 0.0671584-0j -1.32838e-05-0j -1.34215e-05-0j 0.000307516-0j 0.000310702-0j -1.7503e-06-0j -1.76843e-06-0j -0.00344168-0j 3.13857e-05-0j -0.00347735-0j 3.17109e-05-0j 0.0162063-0j 0.0163743-0j 0.00772034-0j 0.00780034-0j 4.86913e-05-0j -1.22136e-05-0j -7.12463e-06-0j -0.00110441-0j 0.000277029-0j 6.08642e-06-0j 0.0001616-0j 4.05761e-06-0j 0.011968-0j -1.52671e-06-0j -1.0178e-06-0j -0.000145519-0j -8.90578e-07-0j -0.00300203-0j 3.58646e-07-0j -5.93719e-07-0j -0.0531322-0j -0.00175118-0j 0.00122148-0j 3.65018e-05-0j -8.9962e-08-0j 2.12927e-05-0j 0.0133276-0j -0.0194001-0j -5.24778e-08-0j -0.000306393-0j 0.00777443-0j -0.00367254-0j 0.00486629-0j -0.000178729-0j 0.000921214-0j 0.00283867-0j 0.000537375-0j 
0.241648-0j -0.000295903-0j -2.46586e-05-0j 0.00284421-0j -0.0684335-0j 0.000290286-0j 5.92545e-05-0j 3.4916e-06-0j -0.000920522-0j -0.000835052-0j -0.000148549-0j -0.000134756-0j 0.0175098-0j 0.015884-0j 0.00252732-0j -1.51612e-05-0j 0.00229266-0j -1.37535e-05-0j -1.78676e-06-0j -1.62086e-06-0j -8.15541e-08-0j -7.39818e-08-0j 0.00134509-0j 0.00164873-0j -0.00189788-0j 0.000212677-0j 0.000260688-0j 0.000168136-0j -0.00030008-0j -0.0324757-0j 2.42683e-05-0j 0.000206092-0j -0.0398069-0j -0.00404545-0j -0.000237234-0j 2.97468e-05-0j 9.9075e-06-0j 0.0458222-0j -0.000337121-0j -3.42418e-05-0j 2.47687e-06-0j -0.00495869-0j 1.21441e-05-0j 0.005708-0j -0.000413224-0j 2.06406e-07-0j -1.39792e-05-0j 3.03602e-06-0j 0.000475667-0j 7.69231e-09-0j 2.53001e-07-0j -3.49479e-06-0j 9.4288e-09-0j -2.91233e-07-0j -1.08536e-08-0j 
3.66085e-05-0j -0.000928362-0j -0.338965-0j -3.08255e-05-0j 0.000737002-0j -3.14611e-06-0j -0.0087488-0j 0.0982546-0j 2.01322e-05-0j -2.03286e-05-0j -0.000466054-0j 0.000470601-0j 2.65265e-06-0j -2.67853e-06-0j 0.00521603-0j -4.75664e-05-0j -0.00526691-0j 4.80305e-05-0j -0.0245614-0j 0.024801-0j -0.0117005-0j 0.0118147-0j 1.49586e-05-0j -1.78689e-05-0j 9.69466e-06-0j -0.00033929-0j 0.000405301-0j 1.86983e-06-0j -0.000219894-0j 1.24655e-06-0j 0.00367672-0j -2.23361e-06-0j -1.48908e-06-0j -4.47054e-05-0j 1.21183e-06-0j -0.00439205-0j 1.1018e-07-0j 8.07888e-07-0j -0.0163229-0j 0.00238288-0j 0.000375253-0j 5.34031e-05-0j -1.31617e-07-0j -2.89735e-05-0j 0.0194987-0j -0.00595997-0j 7.14079e-08-0j -0.000448262-0j -0.0105789-0j -0.00112825-0j 0.00711952-0j 0.000243202-0j 0.00134776-0j -0.00386265-0j -0.000731219-0j 
0.256306-0j -0.000313853-0j -2.61544e-05-0j 0.00149496-0j -0.0359696-0j 0.000152578-0j 3.11449e-05-0j 1.83523e-06-0j 0.00287349-0j 0.000985886-0j 0.000463708-0j 0.000159097-0j -0.0546583-0j -0.0187531-0j -0.00788925-0j 4.7327e-05-0j -0.00270678-0j 1.62377e-05-0j 5.57754e-06-0j 1.91364e-06-0j 2.54579e-07-0j 8.73451e-08-0j -0.000725454-0j -0.00255045-0j -0.000470166-0j -0.000114704-0j -0.000403261-0j -9.06817e-05-0j -7.43398e-05-0j 0.0175153-0j -1.30888e-05-0j -0.000318806-0j 0.0615778-0j 0.00218186-0j -5.87708e-05-0j -4.60157e-05-0j -5.34347e-06-0j 0.0113517-0j 0.000181821-0j -8.48283e-06-0j -1.33587e-06-0j 0.00767066-0j -1.87858e-05-0j 0.00141406-0j 0.000639222-0j -1.11322e-07-0j -3.4631e-06-0j -4.69646e-06-0j 0.000117838-0j -4.14874e-09-0j -3.91371e-07-0j -8.65775e-07-0j -1.45855e-08-0j -7.21479e-08-0j -2.68879e-09-0j 
-0.000507263-0j -0.404231-0j 0.00107198-0j -7.66604e-06-0j 6.02436e-05-0j 0.000150388-0j -0.00145517-0j 1.80318e-06-0j 0.000271019-0j 0.000272084-0j -0.00206217-0j -0.00207028-0j -0.00341404-0j -0.00342747-0j -0.000491213-0j 0.0404544-0j -0.000493144-0j 0.0406135-0j 0.00721478-0j 0.00724314-0j -5.75678e-06-0j -5.77941e-06-0j 0.000407623-0j 4.31734e-06-0j 0.000291458-0j -0.00303892-0j -3.21868e-05-0j -0.00487135-0j -0.00217288-0j 3.39686e-05-0j -0.00070089-0j -5.1595e-05-0j 3.59778e-07-0j 0.0382815-0j -0.0034831-0j -7.42349e-06-0j -0.000867146-0j 2.42881e-05-0j -0.000101519-0j -0.000501149-0j 0.0137496-0j 0.000405459-0j -9.18439e-06-0j 0.027372-0j -1.07524e-06-0j 0.00114582-0j -0.000620025-0j 0.000145629-0j -7.25877e-05-0j -6.71144e-07-0j 1.2136e-05-0j 0.00983123-0j -7.10843e-09-0j 0.000819283-0j -4.7988e-07-0j 
-0.000179344-0j -0.142917-0j 0.000379002-0j -0.000156434-0j 0.00122934-0j 0.00306883-0j -0.0296943-0j 3.67959e-05-0j 0.000484713-0j -9.96494e-05-0j -0.00368817-0j 0.000758229-0j -0.00610597-0j 0.00125529-0j -0.000878528-0j 0.0723522-0j 0.000180611-0j -0.0148745-0j 0.0129035-0j -0.00265276-0j -1.02959e-05-0j 2.11668e-06-0j -7.32819e-05-0j 0.000445664-0j -5.28977e-05-0j 0.000546333-0j -0.00332253-0j 0.000875765-0j 0.000394364-0j -6.10682e-06-0j 0.000126005-0j -0.00532597-0j 3.71387e-05-0j -0.0068822-0j 0.000632161-0j -0.000766301-0j 0.000155894-0j -4.40814e-06-0j 1.82509e-05-0j 9.09553e-05-0j -0.00247189-0j 0.0418541-0j -0.000948072-0j -0.00496784-0j -0.000110993-0j -0.000205994-0j 0.000112531-0j 0.0150328-0j 1.31742e-05-0j 1.20657e-07-0j 0.00125275-0j -0.0017843-0j -7.33778e-07-0j -0.000148694-0j 8.70951e-08-0j 
4.22719e-05-0j -0.00107198-0j -0.391403-0j 6.38837e-07-0j -1.52738e-05-0j 6.5201e-08-0j 0.000181313-0j -0.00203626-0j -2.25849e-05-0j -2.26737e-05-0j 0.000522832-0j 0.000524888-0j -2.97582e-06-0j -2.98752e-06-0j -0.00585149-0j 5.33614e-05-0j -0.00587449-0j 5.35712e-05-0j 0.0275537-0j 0.027662-0j 0.013126-0j 0.0131776-0j -3.39686e-05-0j -3.59778e-07-0j -2.42881e-05-0j 0.000770472-0j 8.16047e-06-0j -4.24607e-06-0j 0.000550902-0j -2.83071e-06-0j -0.00834923-0j -4.49723e-08-0j -2.99815e-08-0j 0.000101519-0j -3.03602e-06-0j -8.8431e-05-0j -2.50202e-07-0j -2.02401e-06-0j 0.0370667-0j -0.00596985-0j -0.00085214-0j 1.07524e-06-0j -2.65002e-09-0j 7.25877e-05-0j 0.000392592-0j 0.0135341-0j -1.78899e-07-0j -9.02545e-06-0j 0.0265033-0j 0.00256208-0j 0.000143347-0j -0.000609295-0j 2.71363e-05-0j 0.00967714-0j 0.00183193-0j 
-0.149512-0j 0.000183081-0j 1.52567e-05-0j -0.00264748-0j 0.0636999-0j -0.000270207-0j -5.51558e-05-0j -3.25009e-06-0j -0.00055333-0j 0.00271978-0j -8.92933e-05-0j 0.000438903-0j 0.0105252-0j -0.0517345-0j 0.00151918-0j -9.11346e-06-0j -0.00746723-0j 4.47953e-05-0j -1.07403e-06-0j 5.27918e-06-0j -4.90226e-08-0j 2.4096e-07-0j 0.000423181-0j 0.001491-0j 0.000365715-0j 6.69108e-05-0j 0.000235748-0j 5.28977e-05-0j 5.78247e-05-0j -0.0102173-0j 7.63512e-06-0j 0.000186375-0j -0.0359986-0j -0.00127275-0j 4.57144e-05-0j 2.69009e-05-0j 3.11702e-06-0j -0.00882981-0j -0.000106062-0j 6.59831e-06-0j 7.79256e-07-0j -0.00448429-0j 1.09823e-05-0j -0.00109992-0j -0.000373691-0j 6.4938e-08-0j 2.69375e-06-0j 2.74556e-06-0j -9.16597e-05-0j 2.4201e-09-0j 2.28797e-07-0j 6.73437e-07-0j 8.52676e-09-0j 5.61198e-08-0j 2.09146e-09-0j 
0.000295903-0j 0.235802-0j -0.000625322-0j -0.000502791-0j 0.00395118-0j 0.00986343-0j -0.0954398-0j 0.000118265-0j 0.000162727-0j 0.000147618-0j -0.00123818-0j -0.00112322-0j -0.00204988-0j -0.00185955-0j -0.000294937-0j 0.0242899-0j -0.000267552-0j 0.0220346-0j 0.00433194-0j 0.00392972-0j -3.45652e-06-0j -3.13558e-06-0j -0.00023778-0j -0.000291458-0j 0.0003355-0j 0.0017727-0j 0.00217288-0j 0.00284162-0j -0.00250123-0j -1.9815e-05-0j 0.000408853-0j 0.0034831-0j -2.42881e-05-0j -0.0223309-0j -0.00400944-0j 0.000501149-0j 0.000505835-0j 2.79583e-05-0j 5.92192e-05-0j -0.000576879-0j -0.00802062-0j -0.027372-0j 0.000620025-0j 0.0315082-0j 7.25877e-05-0j -0.000668396-0j -0.000713718-0j -0.00983123-0j -8.35565e-05-0j 3.91501e-07-0j -0.000819283-0j 0.0113168-0j 4.7988e-07-0j 0.000943086-0j -5.52395e-07-0j 
0.000313853-0j 0.250105-0j -0.000663254-0j -0.000264274-0j 0.0020768-0j 0.00518435-0j -0.0501644-0j 6.21614e-05-0j -0.000507966-0j -0.000174282-0j 0.0038651-0j 0.0013261-0j 0.00639889-0j 0.00219544-0j 0.000920673-0j -0.0758231-0j 0.00031588-0j -0.0260147-0j -0.0135225-0j -0.00463954-0j 1.07898e-05-0j 3.70196e-06-0j 0.000128243-0j 0.00045086-0j 8.31144e-05-0j -0.000956084-0j -0.00336126-0j -0.00153259-0j -0.000619637-0j 1.06869e-05-0j -0.000220509-0j -0.00538806-0j 3.75717e-05-0j 0.0120439-0j -0.00099327-0j -0.000775235-0j -0.000272815-0j 6.9262e-06-0j -3.19391e-05-0j -0.000142912-0j 0.00432581-0j 0.0423421-0j -0.000959125-0j 0.00780562-0j -0.000112287-0j 0.00036049-0j -0.000176811-0j 0.0152081-0j -2.06997e-05-0j -2.1115e-07-0j 0.00126736-0j 0.00280355-0j -7.42333e-07-0j 0.000233633-0j -1.36846e-07-0j 
1.49454e-05-0j -0.000379002-0j -0.138382-0j 1.30362e-05-0j -0.00031168-0j 1.3305e-06-0j 0.00369989-0j -0.0415521-0j -4.03928e-05-0j 8.30412e-06-0j 0.000935079-0j -0.000192237-0j -5.32222e-06-0j 1.09416e-06-0j -0.0104653-0j 9.54361e-05-0j 0.0021515-0j -1.96201e-05-0j 0.0492794-0j -0.0101311-0j 0.0234756-0j -0.00482622-0j 6.10682e-06-0j -3.71387e-05-0j 4.40814e-06-0j -0.000138515-0j 0.000842376-0j 7.63353e-07-0j -9.99851e-05-0j 5.08902e-07-0j 0.00150101-0j -4.64233e-06-0j -3.09489e-06-0j -1.82509e-05-0j 5.51017e-07-0j -0.00912842-0j 4.4981e-08-0j 3.67345e-07-0j -0.0066638-0j 0.00108349-0j 0.000153197-0j 0.000110993-0j -2.73552e-07-0j -1.31742e-05-0j 0.0405259-0j -0.00243315-0j 3.2469e-08-0j -0.000931666-0j -0.00481018-0j -0.000460607-0j 0.0147972-0j 0.000110583-0j 0.00280118-0j -0.00175634-0j -0.000332484-0j 
-2.46586e-05-0j 0.000625322-0j 0.228319-0j 4.18992e-05-0j -0.00100176-0j 4.27632e-06-0j 0.0118917-0j -0.133552-0j -1.35606e-05-0j -1.23015e-05-0j 0.000313922-0j 0.000284775-0j -1.78676e-06-0j -1.62086e-06-0j -0.00351339-0j 3.20396e-05-0j -0.00318717-0j 2.90647e-05-0j 0.016544-0j 0.0150079-0j 0.00788118-0j 0.00714941-0j 1.9815e-05-0j 2.42881e-05-0j -2.79583e-05-0j -0.000449442-0j -0.000550902-0j 2.47687e-06-0j 0.000634149-0j 1.65125e-06-0j 0.00487039-0j 3.03602e-06-0j 2.02401e-06-0j -5.92192e-05-0j -3.49479e-06-0j 0.00596985-0j 1.45951e-07-0j -2.32986e-06-0j -0.0216222-0j -0.00687196-0j 0.000497082-0j -7.25877e-05-0j 1.78899e-07-0j 8.35565e-05-0j -0.0265033-0j -0.0078949-0j -2.05933e-07-0j 0.000609295-0j 0.0305083-0j -0.00149455-0j -0.00967714-0j -0.000701367-0j -0.00183193-0j 0.0111395-0j 0.00210876-0j 
