0.972493-1.73472e-18j 0.232172-0.013659j -0.0653013-0.0137243j -0.0188209-0.0303963j -0.0448807+0.0583187j 0.0876688+0.0402258j -0.0138456+0.0290947j 0.0169405-0.0334374j 0.0159136-0.0232298j -0.0212015+0.0294468j -0.0397701+0.00732727j 0.0562771-0.0116436j 0.0144368-0.00968198j 0.0271741+0.0298031j -0.0174183+0.0530345j 0.0143586-0.00035391j -0.00132495-0.0138872j 0.0106321-0.0069195j 0.0164541-0.000169737j 0.0308003-0.00849406j -0.00320277-0.0098126j 0.00312439-0.0133757j -0.0260871+0.019053j -0.00982123+0.00428848j 0.0170983-0.00728087j -0.0218104-0.00671104j 0.0308633+0.022359j 0.0113684-0.00649095j 0.00478053-0.00052657j 0.0341499+0.00344511j 0.0024861-0.00127784j -0.0155541+0.0385692j 0.00269843-0.013972j -0.0126391-0.00470624j -0.0173816+0.0353719j 0.00119095-0.0106606j -0.039156+0.0427801j 0.00694392+0.0198218j -0.0173381+0.00803265j 0.000877022-0.038435j 
0.000142131-0.038111j -0.0563892-0.00412915j 0.00372515+0.0359856j 0.0472611+0.0390784j 0.0238356+0.000944477j -0.0305625-0.0122687j 0.0551343+0.0129101j -0.050904+0.0188197j -0.0249859-0.0136058j 0.0582943-0.0647584j 0.0451583-0.0153739j -0.0204205-0.0172706j -0.0122095+0.0415494j -0.0152439-0.00704429j -0.00260055+0.0186318j 0.0275082-0.0551272j -0.0312463-0.0100453j 0.0697066-0.0640284j -0.0511336-0.10032j -0.116106-0.00562578j 0.00551975+0.00205954j -0.059511+0.0290671j 0.106759+0.00645804j -0.0194476+0.0605674j 0.00808211-0.0210083j -0.244042-0.418321j -0.297064+0.40685j -0.0110646-0.0444774j 0.0105947-0.00510611j -0.0339433-0.15799j 0.0159548+0.0756874j 0.0687951-0.168609j -0.0235161-0.0572768j -0.0502905-0.00209096j 0.0288262-0.115789j -0.100603-0.096255j 0.0716989-0.00334083j 0.107014-0.0348488j -0.0327103+0.0686012j -0.030407-0.0115208j 
0.0113684+0.00649095j -0.0411701-0.00475589j -0.0131706+0.0253887j 0.0322491-0.0376397j 0.0327113+0.0158059j -0.108243-0.0206941j 0.0186446-0.038623j 0.00288513-0.0607372j -0.0523413+0.0333685j 0.0302281+0.0356524j 0.00773984-0.0106031j -0.0309382-0.0116238j 0.0520558+0.0271803j -0.0228848+0.0497392j 0.0172716-0.0394178j -0.000532516-0.0326561j 0.0148418-0.00900149j 0.0115715+0.0192707j -0.027758-0.10925j 0.0667583+0.106024j 0.0227153+0.0139388j 0.0736899+0.0864557j -0.00270678+0.107487j 0.0327054-0.208164j 0.16006-0.157385j 0.0325179-0.0116112j 0.0293964+0.0351641j -0.316124+9.36924e-15j -0.10586-0.10775j -0.00460234-0.003299j -0.184233-0.145638j -0.0243081+0.0769274j 0.00714887-0.190734j -0.176736+0.0211769j 0.00176205-0.159149j -0.0331586+0.0893614j -0.0013311+0.0499783j -0.0407184+0.040028j 0.0282506+0.0489435j 0.0422317+0.0497383j 
0.00358887-0.00320168j 0.0228973-0.021573j 0.038763-0.0334585j -0.0449417+0.00206664j -0.0178846+0.0148584j -0.0650394+0.0107597j -0.0152779-0.0245775j -0.0242875+0.0940031j -0.0801145-0.0252368j 0.0933938+0.0352882j -0.054307-0.0799642j 0.0285223+0.0255704j 0.0019195+0.0286118j -0.0336761+0.0494477j 0.0744272-0.000137813j -0.0487048+0.0457451j 0.042788+0.0491758j -0.0969267-0.0686601j 0.0986937-0.0353362j -0.0780919+0.0227067j -0.0426555-0.00629355j 0.0266703+0.134711j -0.0822967+0.0891092j -0.13978+0.0171493j -0.0147739+0.0276076j 0.00337933-0.026731j 0.00281427-0.0114193j 0.00929878+0.150764j -0.0267943+0.0297814j 0.0300043+0.0728877j -0.0405135+0.00235837j -0.0922123-0.0172696j -0.0777741-0.158329j 0.132721-0.0235308j 0.114048-0.0665044j -0.0309647-0.00720651j -0.0283865+0.0431017j 0.111636-0.0397636j 0.0618666-0.0875007j 0.059153+0.025641j 
0.0341499-0.00344511j -0.047288+0.0767118j -0.0785504+0.0946323j 0.073261-0.0175189j -0.00635687+0.0388412j 0.0511935-0.0342934j 0.0526463-0.0444873j 0.0294413-0.0264779j 0.032562+0.0825207j 0.0325748+0.0108456j 0.081966-0.0442623j 0.0567397-0.0328826j 0.0397266+0.111409j -0.0563187+0.0117532j 0.0376429+0.00759822j 0.0468638+0.102585j -0.0669992+0.0976949j 0.0411667+0.021064j -0.12894-0.0804599j 0.0890271-0.0655038j 0.0415133+0.00289276j -0.115952+0.0533168j -0.0962004+0.00916341j 0.157041+0.117644j -0.0701621-0.114566j 0.0442549-0.0424298j 0.107581+0.120579j -0.00460234+0.003299j -0.034117-0.0710556j -0.052253+1.06859e-15j 0.0350989-0.110965j 0.104157+0.0845334j -0.13841-0.0539051j 0.0265311+0.172469j 0.0714935+0.0129493j -0.174232-6.78291e-05j -0.129248+0.0548338j 0.00458065-0.0178901j 0.0878875-0.0163267j 0.0444387+0.116041j 
0.0024861+0.00127784j -0.03956+0.025666j -0.0307595+0.0386534j -0.0489955-0.0671322j -0.0249959-0.0215027j -0.0143079-0.0276692j 0.0290456-0.05437j -0.0082663-0.0514646j -0.127177+0.0126451j 0.0405374+0.00405763j -0.0187177+0.0262104j 0.0112718+0.00697184j -0.0193127-0.0946462j -0.0259138+0.0372178j -0.00352919-0.017344j 0.0602001+0.0229254j -0.00486624-0.0330857j -0.0100058+0.0623949j 0.108792+0.186707j -0.197482-0.0119271j -0.0605445+0.0297923j 0.041386+0.104177j 0.00497095-0.0274284j -0.157911-0.041498j 0.0975987-0.0473275j -0.00117971+0.0422278j -0.0517188-0.0575179j -0.184233+0.145638j -0.0288503+0.0285406j 0.0350989+0.110965j -0.162462-3.57353e-16j -0.0784673-0.0902306j 0.109704-0.175366j 0.022788+0.0304781j 0.0753429-0.00130442j -0.0189409+0.060412j 0.0607958+0.0251711j -0.0583692+0.0460941j -0.044759+0.0367636j 0.00161143-0.00420432j 
-0.0155541-0.0385692j 0.045232+0.00989631j 0.0333478-0.0579345j 0.0549141+0.0131813j -0.0767673+0.0310905j -0.00361485+0.022777j 0.0970854-0.0126453j -0.0552096+0.0876435j -0.0923077+0.00981692j -0.0522077-0.057628j 0.0981503-0.0041j 0.00265139+0.0918994j -0.0308143-0.00601415j 0.0425524-0.0444316j -0.0241126+0.01627j 0.0014714-0.144447j -0.0499752-0.00993874j -0.149216-0.110828j 0.0563778-0.161327j 0.122554-0.00530775j -0.0906114-0.0484092j -0.280451-0.0138906j -0.164988-0.233057j -0.139434+0.0833795j 0.0327471-0.00554132j -0.0955629-0.0696456j 0.176742+0.0438671j -0.0243081-0.0769274j -0.048837+0.0801018j 0.104157-0.0845334j -0.0784673+0.0902306j -0.0918717+2.85882e-15j 0.0957078-0.0209165j -0.0675-0.00678186j 0.00283708+0.0340537j 0.0039329+0.048399j -0.0589983-0.0270296j -0.0186951-0.029446j 0.0521005+0.00547868j -0.0506907+0.0225925j 
0.00508127-0.013292j -0.0176385+0.0151726j 0.0332566-0.0153814j -0.130104-0.0216567j -0.0282222+0.13384j 0.00248189+0.0377521j -0.112016-0.0536578j -0.0111049+0.0996287j -0.0472142+0.186496j 0.11443-0.08329j -0.0671219+0.0911919j -0.0534585+0.040344j -0.0301802+0.00962j 0.0532749+0.0338804j 0.04344-0.0188525j -0.040387+0.0294316j 0.0653967+0.0642223j 0.025828-0.017068j 0.0220733-0.00306676j 0.00228433-0.0205122j 0.0975329+0.116823j 0.0708565-0.248622j 0.110986-0.154278j 0.174376+0.0530924j 0.150413-0.0776671j -0.0387409+0.0394672j 0.000333549-0.0619155j 0.0945829-0.165785j 0.030603-0.173725j 0.146015+0.0272545j -0.000638992-0.206852j -0.0702575-0.0682742j 0.0720796+0.0447816j 0.0471052-0.0649517j -0.0613068-0.00902056j 0.0284943-0.0333331j 0.0650805+0.0292865j 0.071664-0.0683044j 0.0307625-0.0336091j 0.048186-0.011283j 
0.00934301+0.00972648j -0.00883632-0.0734999j 0.00675169-0.100743j 0.107084-0.0306252j -0.00180761-0.0309645j 0.0433693-0.0095803j 0.0949482-0.0860279j 0.115149+0.0460692j 0.142526-0.074354j -0.0751993+0.0351579j -0.0351889+0.0416824j -0.0356856+0.00445437j 0.0616787+0.0402138j -0.00928152-0.0217842j -0.00884893+0.0102268j -0.0191017-0.11679j 0.0391367+0.0224774j 0.0400484+0.035014j -0.0836412-0.0531311j 0.101003+0.0106381j 0.0680053-0.10125j 0.23725-0.117979j 0.259109+0.0545434j -0.118114-0.218492j -0.0970931-0.103701j -0.0390715-0.020282j 0.0495182+0.00902529j 0.0508293+0.170588j -0.118337-0.0645366j -0.168802+0.0442203j -0.0370254-0.00879334j 0.0330574+0.0592406j -0.0711536+0.0370781j -0.0346404-0.0799537j -0.0127193+0.00694647j -0.0431994-0.0379331j -0.000781987-0.0895705j -0.0633823+0.0640076j -0.0833866+0.0618599j -0.0267431-0.0513587j 
-0.0173816-0.0353719j 0.0213236+0.0497253j -0.0263344+0.0691429j 0.00337268+0.0843994j -0.0445785-0.0945318j 0.0416204+0.0557556j -0.0336346-0.0925497j 0.0613634-0.0193599j -0.0955674-0.00237501j -0.126574-0.115509j 0.0231152+0.0210092j -0.00687787-0.0328874j -0.0288367+0.0328876j 0.0280925+0.0412601j 0.0248846-0.007425j -0.0633759-0.17518j 0.0321487-0.0414948j -0.135925-0.0676407j 0.0435966-0.310646j 0.136552+0.22743j -0.0245216+0.0512587j 0.171583+0.00418817j -0.0228275+0.166425j -0.0976922-0.062994j 0.229542-0.0136311j -0.0349964-0.0659654j 0.110513+0.0449993j 0.00176205+0.159149j 0.12572-0.0403033j 0.0714935-0.0129493j 0.0753429+0.00130442j 0.00283708-0.0340537j 0.0568353+0.0246909j -0.00131743+0.0144325j 0.0126732-1.94289e-16j -0.0410618+0.0490341j -0.0277586-0.00693094j -0.0547404+0.0131408j -0.0122896+0.0178941j -0.00680907-0.00436911j 
0.00550152+0.00920873j 0.123794+0.0680591j 0.0654493+0.0781572j -0.0800769-0.070638j 0.0327716+0.104298j 8.37678e-05-0.0113183j -0.0543775-0.0534607j 0.0961671+0.0708672j -0.0344037+0.0400675j -0.191987-0.101497j -0.0103417+0.00729614j -0.0518484-0.0562457j -0.000850716+0.0439842j -0.0388361-0.0515357j 0.0604227+0.0766524j -0.0840792+0.0106491j 0.0725539+0.0445481j -0.300647-0.141014j 0.0541961+0.0760596j -0.211367-0.357804j 0.0656165+0.143793j -0.0597306-0.0558288j 0.118295+0.0965632j 0.104059+0.0575167j -0.154187-0.0162729j -0.0392599-0.149072j 0.0739479+0.117973j -0.067208-0.0675874j -0.00243657+0.0316987j -0.15854+0.0722613j -0.0422721-0.0471321j -0.0164766-0.0456777j -0.0239824-0.0367133j 0.0574844+0.000810808j -0.0576895-0.0276104j 0.0559545-0.0254772j 0.110146+0.000489789j -0.0664106+0.0151649j -0.0888331+0.0156272j 0.0527774-0.0154012j 
-0.039156-0.0427801j 0.102227+0.132805j 0.131625+0.0721847j -0.0550338+0.0906104j -0.00552404-0.202809j 0.00929072-0.00144221j -0.0501202+0.116296j -0.113834-0.0351005j 0.0921349-0.250307j -0.0389502-0.205563j -0.0625263+0.0671228j 0.0596203-0.0511393j -0.0055035+0.0500656j -0.0183773+0.0330342j -0.0257119+0.0173234j 0.116804+0.155387j -0.106206-0.0316142j -0.0190991-0.27437j 0.114954+0.103369j 0.261447+0.16689j 0.0322826-0.145326j -0.0240933-0.0282633j -0.0892831+0.0850958j 0.0189232-0.169839j -0.124624+0.0671247j -0.0255134+0.0370629j 0.0449785-0.0559359j -0.0013311-0.0499783j -0.051028-0.00772549j -0.129248-0.0548338j 0.0607958-0.0251711j -0.0589983+0.0270296j -0.0707355-0.00946822j 0.0824991-0.034891j -0.0277586+0.00693094j 0.100041-0.0460891j 0.0222528+1.66533e-16j 0.0668959-0.00276724j 0.0378249-0.00530399j 0.0260672+0.00736525j 
0.00694392-0.0198218j -0.0771797-0.0184826j -0.041603-0.0795063j 0.200767+0.0307056j -0.0999671+0.0327097j -0.0382836+0.0337747j 0.138655+0.279378j -0.0663238+0.120155j -0.102225+0.0760439j 0.0782552-0.0429867j -0.121701+0.00964127j -0.0288607+0.0165329j -0.0752901-0.0744562j 0.0452613+0.0162064j -0.0261753+0.00492865j 0.259277+0.179899j -0.0392446+0.131794j 0.0660941-0.0454254j 0.0628673+0.255063j 0.0734343+0.074166j 0.00619603+0.0849528j 0.115947+0.00256313j 0.0413217-0.141203j -0.0962424+0.252753j 0.0962521+0.0123547j -0.0832527+0.0307491j 0.0912504-0.0658774j -0.0407184-0.040028j 0.104228-0.0563956j 0.00458065+0.0178901j -0.0583692-0.0460941j -0.0186951+0.029446j -0.0248266-0.0958376j -0.0335347+0.0836045j -0.0547404-0.0131408j -0.0667244+0.0137181j 0.0668959+0.00276724j -0.159772+7.77156e-16j -0.0773349-0.00986724j 0.0723783-0.0129432j 
-0.0178204-0.0068968j -0.0089061-0.00808468j -0.130472-0.0625607j -0.0909343+0.275786j 0.104367-0.0479719j 0.101962+0.0516143j -0.250629+0.120501j 0.225482+0.102393j 0.0874712-0.0609378j -0.134356-0.12247j 0.0200109-0.00954654j -0.00798331-0.0644326j -0.0379345+0.0141015j -0.0154944+0.0314936j 0.0791148+0.0420837j -0.120848+0.162017j 0.168542+0.00980014j -0.114827-0.130326j -0.0378016-0.173104j -0.0327383+0.00544038j 0.125892+0.0539176j 0.012396-0.124881j -0.138372+0.0590383j -0.199956+0.0296312j 0.013064+0.0972842j 0.0692024+0.02792j -0.0754434-0.00918554j 0.0250326-0.0506649j 0.107014+0.00563651j 0.088758+0.0106199j -0.0470386-0.033798j 0.0516383-0.00883013j -0.0112668-0.0441471j -0.0170362+0.102419j -0.013419-0.0170635j -0.0856827+0.0281782j 0.0380883+0.00285149j -0.0765368+0.0148383j 0.0282089-0.00182457j 0.0858016+0.00364259j 
0.000877022+0.038435j 0.0814754-0.266195j 0.160512-0.358857j 0.101896+0.0818385j 0.0812357+0.0878274j -0.000327638+0.0614157j 0.0662112+0.0458671j -0.102756+0.28074j 0.151272+0.025065j 0.0359381+0.0492124j 0.00625156-0.0315359j 0.00706289+0.0254574j 0.0171335+0.0601763j -0.00594067-0.0607304j -0.0123042+0.0529491j 0.0700112-0.0226453j 0.0169015+0.235749j 0.140363+0.122671j -0.0778739-0.135822j -0.014314-0.0834236j 0.112135-0.083889j 0.0200369+0.149655j 0.0260025-0.076542j -0.0505885-0.0729544j -0.0731081+0.0693114j -0.00631759-0.020092j -0.0086263+0.0313513j 0.0422317-0.0497383j 0.0205022-0.0611244j 0.0444387-0.116041j 0.00161143+0.00420432j -0.0506907-0.0225925j -0.0349756-0.0350129j 0.0577575+0.00412148j -0.00680907+0.00436911j 0.0544148-0.00785369j 0.0260672-0.00736525j 0.0723783+0.0129432j 0.0853876-0.00917312j 0.011996-5.55112e-17j 
