-0.502462-0j -0.0509611-0j -0.0514892-0j -0.0292381-0j -0.00422016-0j -0.0361803-0j -0.0211052-0j -0.00522218-0j -0.00304627-0j 0.0620067-0j 0.0109613-0j -0.0239691-0j 0.000913444-0j -0.014678-0j -0.020973-0j -0.00423718-0j -0.00259473-0j -0.00865092-0j -0.000353099-0j -0.00370754-0j -0.000216228-0j -0.00152928-0j -0.000308961-0j -0.00012744-0j -0.0158144-0j -0.00263573-0j 0.053916-0j -0.00161405-0j -0.000329466-0j -0.0145861-0j -1.9414e-05-0j 0.008986-0j -0.0147373-0j -0.0127628-0j 0.00550278-0j -0.00243102-0j -0.0105288-0j 0.00112325-0j -0.00148869-0j -0.00245621-0j -0.003364-0j 6.61881e-05-0j -0.00150411-0j -0.00212714-0j -0.000303877-0j -0.0013026-0j -0.0017548-0j -0.000307026-0j -1.79061e-05-0j -0.000265892-0j -0.00107459-0j -0.000560667-0j -1.80917e-05-0j -0.00021935-0j -0.000343337-0j -1.56679e-05-0j -7.00834e-05-0j -1.29253e-05-0j -4.1297e-06-0j 
-0.0257737-0j 0.00269064-0j -0.00271742-0j 0.00154371-0j 0.000222816-0j -0.00185587-0j 0.0010205-0j -0.000267871-0j 0.000147296-0j -0.158089-0j 0.000191755-0j 0.179187-0j 1.59796e-05-0j -0.112944-0j 0.161317-0j -0.000217346-0j 0.000136997-0j -0.317836-0j -1.81122e-05-0j -0.000195671-0j 1.14164e-05-0j 0.000385522-0j -1.63059e-05-0j 3.21269e-05-0j -0.00338519-0j 0.0822263-0j -0.000916346-0j -0.000345499-0j -7.05248e-05-0j 0.000770117-0j -4.15571e-06-0j 0.0222581-0j -0.000777782-0j -0.000654669-0j -9.35241e-05-0j -0.0187061-0j 0.0005091-0j -1.90905e-05-0j 7.85997e-05-0j 0.0188923-0j 0.00187861-0j -1.12492e-06-0j -7.9382e-05-0j 0.0159019-0j 1.60441e-05-0j -6.68169e-05-0j -0.012366-0j -1.62038e-05-0j 9.45407e-07-0j -1.36389e-05-0j 5.19598e-05-0j -0.0456316-0j -9.54818e-07-0j 1.06062e-05-0j 0.000191735-0j -8.03682e-07-0j 3.91378e-05-0j 6.24979e-07-0j 2.30622e-06-0j 
-0.0239691-0j -0.00243102-0j -0.00245621-0j 0.00278212-0j 0.000401564-0j -0.00172592-0j -0.00100679-0j -0.000249116-0j -0.000145317-0j -0.431089-0j 0.000522893-0j -0.332397-0j 4.35744e-05-0j 0.102046-0j 0.14581-0j 0.000403184-0j -0.000123778-0j 0.0601437-0j 3.35987e-05-0j -0.000176862-0j -1.03148e-05-0j -7.29519e-05-0j -1.47385e-05-0j -6.07932e-06-0j -0.0007544-0j 0.0183244-0j 0.00257198-0j -7.69956e-05-0j -1.57167e-05-0j 0.00138792-0j -9.26113e-07-0j -0.0624733-0j 0.0014023-0j -0.000608831-0j 0.000262501-0j -0.0337126-0j -0.00050226-0j 5.35828e-05-0j 0.000141654-0j -0.034062-0j -0.000160474-0j 3.1574e-06-0j 0.000143122-0j 0.0147885-0j 2.8915e-05-0j -6.21385e-05-0j 0.0121999-0j 2.92147e-05-0j 1.70384e-06-0j -1.2684e-05-0j -5.12617e-05-0j 0.00389792-0j 1.72149e-06-0j -1.04637e-05-0j -1.63783e-05-0j -7.4741e-07-0j -3.34322e-06-0j -6.16582e-07-0j -1.97001e-07-0j 
0.0046416-0j 0.0219111-0j -0.0224991-0j -0.0259868-0j -0.00372713-0j 0.0316412-0j -0.0187582-0j 0.0045381-0j -0.00269038-0j 0.000189789-0j 0.152693-0j 0.00022142-0j -0.000402344-0j -0.000402425-0j -0.000190635-0j 0.178141-0j -0.323767-0j 7.99148e-05-0j -0.000469402-0j -0.153373-0j 0.000853124-0j 0.0642946-0j 0.000404138-0j -0.000169416-0j -0.000592285-0j 0.00466943-0j 0.000165025-0j 0.0116927-0j -0.113503-0j -0.000132581-0j 0.000139756-0j -0.00130102-0j 0.000136139-0j -0.000349916-0j -0.00325787-0j 0.00104524-0j -9.5702e-05-0j 0.0316248-0j 0.00261737-0j -0.00107328-0j 3.10757e-05-0j -3.89393e-05-0j -0.0026876-0j 0.00275865-0j -0.0254073-0j 0.00690793-0j 0.000754491-0j 0.0260891-0j 3.12838e-05-0j -0.0670567-0j 0.00188932-0j -0.000244993-0j -3.21233e-05-0j -0.01834-0j -0.000613486-0j 8.25663e-05-0j 0.00595524-0j 2.25819e-05-0j -7.33264e-06-0j 
0.0045562-0j 0.0224991-0j -0.0227231-0j 0.0262561-0j 0.00376575-0j -0.0315653-0j 0.0173571-0j -0.00452723-0j 0.00248942-0j -0.000191755-0j -0.154275-0j 0.000217346-0j 0.000406514-0j -0.000136997-0j 0.000195671-0j 0.174864-0j -0.110219-0j -0.000385522-0j -0.000460765-0j 0.157425-0j 0.000290428-0j -0.310168-0j -0.000414815-0j 0.000817292-0j 0.000598423-0j -0.00471782-0j 0.000161989-0j -0.0118139-0j 0.11468-0j -0.000136139-0j -0.000141204-0j -0.00127708-0j 0.000137494-0j 0.00011573-0j -0.00319792-0j 0.00107328-0j -8.9997e-05-0j 0.0310429-0j 0.0026876-0j -0.00108397-0j -0.000332095-0j -3.82229e-05-0j -0.00271435-0j -0.000912389-0j -0.0260891-0j -0.00228471-0j 0.000709514-0j 0.0263488-0j 3.21233e-05-0j 0.0221781-0j 0.00177669-0j 0.00261816-0j -3.24431e-05-0j -0.0172467-0j 0.00655611-0j -2.73077e-05-0j -0.0636415-0j 2.12357e-05-0j 7.83613e-05-0j 
-0.0003868-0j -0.00555499-0j 0.00570405-0j -2.25078e-05-0j -0.0445399-0j 2.74052e-05-0j -1.6247e-05-0j 0.0542313-0j -0.0321506-0j -1.58157e-05-0j 0.000402344-0j -1.84517e-05-0j 0.147858-0j 3.35354e-05-0j 1.58862e-05-0j 0.000469402-0j -0.000853124-0j -6.65956e-06-0j 0.172501-0j -0.000404138-0j -0.313515-0j 0.000169416-0j -0.148517-0j 0.0622587-0j 4.93571e-05-0j -0.00118381-0j -1.37521e-05-0j 5.03748e-06-0j 0.0140976-0j 1.10484e-05-0j -0.158828-0j 0.000329838-0j -1.13449e-05-0j 2.91597e-05-0j -1.40357e-06-0j -0.000264992-0j 7.97516e-06-0j -0.00392794-0j 1.12762e-06-0j 0.000272103-0j -2.58964e-06-0j 0.0442535-0j -1.15788e-06-0j -0.000699383-0j 0.0031557-0j 2.9761e-06-0j -0.000191281-0j -0.00324038-0j -0.0355532-0j 0.00832873-0j 8.13962e-07-0j 6.21116e-05-0j 0.0365073-0j 0.00227791-0j -2.64304e-07-0j -0.0938343-0j -0.000739667-0j -0.0256637-0j 0.00833334-0j 
0.000422179-0j -0.00295997-0j -0.00295288-0j 0.00172592-0j 0.000249116-0j -2.99119e-05-0j -0.00243848-0j -4.3174e-06-0j -0.000351964-0j 0.533445-0j -0.000647047-0j -0.00293512-0j -5.39206e-05-0j 0.374775-0j -0.172483-0j 3.56018e-06-0j -0.000454587-0j 0.219035-0j 2.96681e-07-0j 0.000209215-0j -3.78823e-05-0j -0.00026568-0j 1.74345e-05-0j -2.214e-05-0j 0.000933522-0j -0.0226753-0j -4.53014e-05-0j 9.52772e-05-0j 1.94484e-05-0j -0.000847205-0j 1.14601e-06-0j 0.00110037-0j -0.000845174-0j -3.18268e-05-0j -4.62356e-06-0j 0.0205786-0j 0.00119698-0j -9.43779e-07-0j -8.64675e-05-0j 0.0205293-0j -0.000780175-0j -5.56127e-08-0j -8.62602e-05-0j 0.000773074-0j -1.76501e-05-0j -3.24831e-06-0j -0.0290746-0j -1.76078e-05-0j -1.04004e-06-0j -6.63059e-07-0j 0.000122166-0j 0.0189505-0j -1.03755e-06-0j 2.4937e-05-0j -7.96263e-05-0j -3.90711e-08-0j -1.62536e-05-0j 1.46943e-06-0j -9.57755e-07-0j 
0.00423718-0j -0.0203281-0j -0.0205388-0j 0.0473193-0j 0.00678673-0j -0.0293552-0j -0.0171239-0j -0.00421024-0j -0.00245597-0j -0.000522893-0j -0.420688-0j -0.000403184-0j 0.00110851-0j 0.000123778-0j 0.000176862-0j -0.324378-0j 0.0995841-0j 7.29519e-05-0j 0.000854734-0j 0.142293-0j -0.000262404-0j 0.0586927-0j -0.00037494-0j -0.000154655-0j 0.00013336-0j -0.00105138-0j -0.000454665-0j -0.00263275-0j 0.0255567-0j -0.000245352-0j -3.14677e-05-0j 0.00358447-0j -0.000247895-0j 0.000107627-0j 0.00897585-0j 0.0019343-0j 8.87878e-05-0j -0.0871304-0j 0.00484366-0j 0.00195434-0j 2.83681e-05-0j 0.000107283-0j 0.00489386-0j -0.000848506-0j -0.0470184-0j -0.00212474-0j -0.000699981-0j -0.0475057-0j 5.78934e-05-0j 0.0206253-0j -0.00175282-0j -0.000223647-0j 5.84933e-05-0j 0.017015-0j -0.000560034-0j -2.53957e-05-0j 0.00543637-0j -2.09504e-05-0j -6.69375e-06-0j 
-0.000379683-0j -0.00570405-0j 0.00576083-0j 2.2741e-05-0j 0.0450015-0j -2.73395e-05-0j 1.50334e-05-0j -0.0541013-0j 0.0297491-0j 1.59796e-05-0j -0.000406514-0j -1.81122e-05-0j -0.14939-0j 1.14164e-05-0j -1.63059e-05-0j 0.000460765-0j -0.000290428-0j 3.21269e-05-0j 0.169327-0j 0.000414815-0j -0.106729-0j -0.000817292-0j 0.15244-0j -0.300347-0j -4.98685e-05-0j 0.00119608-0j -1.3499e-05-0j -5.08969e-06-0j -0.0142437-0j 1.13449e-05-0j 0.160474-0j 0.000323769-0j -1.14578e-05-0j -9.64419e-06-0j -1.37774e-06-0j -0.000272103-0j 7.49975e-06-0j -0.00385566-0j 1.15788e-06-0j 0.000274811-0j 2.76746e-05-0j 0.0434392-0j -1.16941e-06-0j 0.000231312-0j 0.00324038-0j -9.84306e-07-0j -0.000179879-0j -0.00327264-0j -0.0365073-0j -0.00275462-0j 7.6544e-07-0j -0.000663765-0j 0.0368706-0j 0.00214212-0j 2.82453e-06-0j 0.0310345-0j 0.00790456-0j -0.0241338-0j -0.0890555-0j 
0.000281453-0j 0.00200549-0j -0.00196859-0j -0.00574087-0j -0.000828623-0j 2.02663e-05-0j -0.00162565-0j 2.92519e-06-0j -0.000234642-0j -0.117833-0j 0.000142926-0j 0.00976296-0j 1.19105e-05-0j -0.0841837-0j 0.116863-0j -1.18421e-05-0j 0.000102111-0j 0.146023-0j -9.86839e-07-0j -0.00014175-0j 8.50928e-06-0j -0.00017712-0j -1.18125e-05-0j -1.476e-05-0j 0.000622348-0j -0.0151168-0j 1.00066e-05-0j 6.35181e-05-0j 1.29656e-05-0j -0.00286397-0j 7.64005e-07-0j -0.000243061-0j 0.00281127-0j 7.14908e-06-0j 1.0213e-06-0j 0.0695658-0j -0.000810993-0j 2.08471e-07-0j -0.000292302-0j -0.0682858-0j -0.000520117-0j 1.22843e-08-0j 0.000286924-0j -0.000173651-0j -5.96659e-05-0j 7.2965e-07-0j 0.019699-0j 5.85681e-05-0j -3.51585e-06-0j 1.48939e-07-0j -8.27716e-05-0j 0.0126336-0j 3.45116e-06-0j -1.68957e-05-0j -5.30842e-05-0j 8.77632e-09-0j -1.08358e-05-0j -9.95588e-07-0j -6.38504e-07-0j 
0.0338649-0j -0.0017548-0j -0.00162372-0j -0.00100679-0j -0.000145317-0j 0.00243848-0j -0.00281387-0j 0.000351964-0j -0.000406147-0j -0.311176-0j 0.000377444-0j -0.235438-0j 3.14537e-05-0j 0.0736607-0j 0.0963907-0j 0.000285577-0j -8.93474e-05-0j 0.0505158-0j 2.37981e-05-0j -0.000116918-0j -7.44562e-06-0j -6.12736e-05-0j -9.74316e-06-0j -5.10613e-06-0j -0.000544555-0j 0.0132272-0j -0.00363382-0j -5.55784e-05-0j -1.13449e-05-0j -0.00050226-0j -6.68504e-07-0j 0.0882656-0j -0.000464742-0j 0.000860188-0j -0.000370876-0j 0.0121999-0j -0.00140376-0j -7.57047e-05-0j -5.12617e-05-0j 0.0112886-0j 0.00150085-0j -4.46094e-06-0j -4.74326e-05-0j -0.020894-0j -1.04637e-05-0j 8.77926e-05-0j 0.0340974-0j -9.68213e-06-0j -6.16582e-07-0j 1.79206e-05-0j -0.000143271-0j -0.0364556-0j -5.70525e-07-0j -2.92451e-05-0j 0.00015318-0j 1.05598e-06-0j 3.12677e-05-0j -1.72328e-06-0j 1.84246e-06-0j 
-0.000353099-0j 0.00515366-0j 0.00520706-0j 4.09844e-05-0j 0.0811028-0j -2.54253e-05-0j -1.48314e-05-0j -0.0503132-0j -0.0293494-0j 4.35744e-05-0j -0.00110851-0j 3.35987e-05-0j -0.407367-0j -1.03148e-05-0j -1.47385e-05-0j -0.000854734-0j 0.000262404-0j -6.07932e-06-0j -0.314106-0j 0.00037494-0j 0.0964307-0j 0.000154655-0j 0.137787-0j 0.0568342-0j -1.11134e-05-0j 0.00026655-0j 3.78888e-05-0j -1.13425e-06-0j -0.00317425-0j 2.0446e-05-0j 0.0357622-0j -0.000908748-0j 2.06579e-05-0j -8.96892e-06-0j 3.86701e-06-0j -0.00049039-0j -7.39898e-06-0j 0.010822-0j 2.08676e-06-0j -0.000495472-0j -2.36401e-06-0j -0.121924-0j 2.10839e-06-0j 0.000215116-0j 0.00583989-0j -9.15387e-07-0j 0.000177462-0j 0.00590041-0j -0.0657942-0j -0.00256175-0j -7.55156e-07-0j 5.66999e-05-0j -0.0664761-0j -0.00211333-0j -2.41276e-07-0j 0.0288615-0j -0.000675221-0j 0.0238095-0j 0.00760726-0j 
0.0171244-0j -0.00515469-0j 0.0017548-0j -0.00198764-0j -0.000286891-0j -0.00365962-0j 0.000719285-0j -0.00052822-0j 0.00010382-0j -0.102046-0j 0.000123778-0j 0.237476-0j 1.03148e-05-0j -0.0682648-0j 0.309174-0j -0.000288048-0j 8.28024e-05-0j -0.0429688-0j -2.4004e-05-0j -0.000375015-0j 6.9002e-06-0j 5.21193e-05-0j -3.12513e-05-0j 4.34328e-06-0j 0.000538969-0j -0.0130916-0j 0.000608831-0j 5.50083e-05-0j 1.12285e-05-0j 0.00294293-0j 6.61647e-07-0j -0.0147885-0j -0.00100186-0j 0.000407284-0j 6.21385e-05-0j -0.0714837-0j -0.00106498-0j 1.2684e-05-0j 0.000300361-0j 0.0243351-0j 0.000114648-0j 7.4741e-07-0j -0.000102251-0j -0.00989293-0j 6.1311e-05-0j 4.15682e-05-0j 0.0258684-0j -2.0872e-05-0j 3.61278e-06-0j 8.48508e-06-0j -0.000108694-0j -0.00278481-0j -1.22989e-06-0j -2.21871e-05-0j 1.17013e-05-0j 4.99988e-07-0j 2.38851e-06-0j -1.30739e-06-0j 1.40744e-07-0j 
-7.46315e-05-0j -0.0247513-0j -0.0246919-0j 0.0293552-0j 0.00421024-0j -0.000508752-0j -0.0414745-0j -7.29674e-05-0j -0.00594845-0j 0.000647047-0j 0.520575-0j -3.56018e-06-0j -0.00137171-0j 0.000454587-0j -0.000209215-0j -0.0028643-0j 0.365734-0j 0.00026568-0j 7.54743e-06-0j -0.168321-0j -0.000963706-0j 0.21375-0j 0.000443526-0j -0.000563231-0j -0.000165025-0j 0.00130102-0j 8.00823e-06-0j 0.00325787-0j -0.0316248-0j 0.000149766-0j 3.89393e-05-0j -6.3135e-05-0j 0.000149407-0j 5.62624e-06-0j -0.000158096-0j -0.00118072-0j -0.000211597-0j 0.00153467-0j -0.00295663-0j -0.00117789-0j 0.000137917-0j -1.88962e-06-0j -0.00294954-0j -4.43559e-05-0j 0.0287006-0j -0.000111071-0j 0.00166818-0j 0.0286318-0j -3.53388e-05-0j 0.00107819-0j 0.00417728-0j -0.0010873-0j -3.52541e-05-0j -0.0405498-0j -0.00272271-0j -1.32757e-06-0j 0.0264299-0j 4.99286e-05-0j -3.25429e-05-0j 
-4.97543e-05-0j 0.0167698-0j -0.0164613-0j -0.097643-0j -0.0140044-0j 0.000344698-0j -0.0276497-0j 4.9438e-05-0j -0.00396563-0j -0.000142926-0j -0.11499-0j 1.18421e-05-0j 0.000302998-0j -0.000102111-0j 0.00014175-0j 0.00952742-0j -0.0821527-0j 0.00017712-0j -2.51047e-05-0j 0.114044-0j 0.000216472-0j 0.1425-0j -0.000300505-0j -0.000375488-0j -0.000110017-0j 0.000867345-0j -1.76894e-06-0j 0.00217191-0j -0.0210832-0j 0.000506282-0j 2.59596e-05-0j 1.39459e-05-0j -0.000496967-0j -1.26379e-06-0j 3.49218e-05-0j -0.00399141-0j 0.000143365-0j -0.000338993-0j -0.00999485-0j 0.00391797-0j 9.19445e-05-0j 4.17399e-07-0j 0.00981095-0j 9.96342e-06-0j 0.0970221-0j 2.49493e-05-0j -0.00113025-0j -0.0952369-0j -0.000119463-0j -0.000242188-0j -0.00283026-0j -0.000724868-0j 0.000117264-0j 0.0274739-0j -0.00181514-0j 2.98204e-07-0j 0.0176199-0j -3.38284e-05-0j -2.16953e-05-0j 
0.0237719-0j 0.00244185-0j 0.00250636-0j 0.00284008-0j 0.00040993-0j -0.00168427-0j -0.000941239-0j -0.000243103-0j -0.000135856-0j 0.14581-0j -0.000176862-0j 0.329662-0j -1.47385e-05-0j -0.309174-0j 0.146401-0j -0.000399867-0j 0.000375015-0j 0.29315-0j -3.33222e-05-0j -0.000177578-0j 3.12513e-05-0j -0.000355579-0j -1.47982e-05-0j -2.96316e-05-0j -0.000770117-0j 0.0187061-0j 0.000845174-0j -7.85997e-05-0j -1.60441e-05-0j -0.00139411-0j -9.45407e-07-0j -0.0205293-0j -0.00143094-0j -0.00179209-0j 8.62602e-05-0j 0.0338629-0j 0.000462026-0j 1.76078e-05-0j -0.000142286-0j 0.0347575-0j -0.0017327-0j 1.03755e-06-0j -0.000146045-0j 0.04353-0j -2.90439e-05-0j -0.000182905-0j -0.0112226-0j -2.98112e-05-0j -1.71143e-06-0j -3.73353e-05-0j 4.71554e-05-0j 0.0420874-0j -1.75664e-06-0j 9.62555e-06-0j -0.000176843-0j -2.2e-06-0j -3.6098e-05-0j 5.67191e-07-0j -2.1271e-06-0j 
6.21929e-06-0j 0.00627502-0j 0.00625998-0j 2.54253e-05-0j 0.0503132-0j -4.40643e-07-0j -3.59221e-05-0j -0.000871975-0j -0.0710852-0j -5.39206e-05-0j 0.00137171-0j 2.96681e-07-0j 0.504091-0j -3.78823e-05-0j 1.74345e-05-0j -7.54743e-06-0j 0.000963706-0j -2.214e-05-0j -0.0027736-0j -0.000443526-0j 0.354153-0j 0.000563231-0j -0.162992-0j 0.206982-0j 1.37521e-05-0j -0.000329838-0j -6.67353e-07-0j 1.40357e-06-0j 0.00392794-0j -1.24805e-05-0j -0.0442535-0j 1.60062e-05-0j -1.24506e-05-0j -4.68853e-07-0j -6.81114e-08-0j 0.00029934-0j 1.76331e-05-0j -0.000190613-0j -1.27379e-06-0j 0.000298622-0j -1.14931e-05-0j 0.00214751-0j -1.27073e-06-0j 1.12453e-05-0j -0.00356474-0j -4.78521e-08-0j -0.000422923-0j -0.0035562-0j 0.0401616-0j -0.000133916-0j 1.79967e-06-0j 0.000275657-0j 0.0400654-0j 0.00503646-0j -1.17301e-06-0j 0.00150875-0j -0.00328271-0j -0.0567425-0j 0.0369841-0j 
-0.00598652-0j -0.0146736-0j -0.0135775-0j -0.0171239-0j -0.00245597-0j 0.0414745-0j -0.0478594-0j 0.00594845-0j -0.00686419-0j -0.000377444-0j -0.303669-0j -0.000285577-0j 0.000800166-0j 8.93474e-05-0j 0.000116918-0j -0.229758-0j 0.0718836-0j 6.12736e-05-0j 0.000605412-0j 0.0940652-0j -0.000189413-0j 0.049297-0j -0.000247861-0j -0.000129897-0j 9.62646e-05-0j -0.000758926-0j 0.000642375-0j -0.00190042-0j 0.0184478-0j 8.87878e-05-0j -2.27146e-05-0j -0.00506433-0j 8.21556e-05-0j -0.000152061-0j -0.0126816-0j -0.000699981-0j 0.000248153-0j 0.123102-0j -0.00175282-0j -0.000647695-0j -0.000265315-0j -0.000151575-0j -0.00162189-0j 0.00119881-0j 0.017015-0j 0.00300194-0j -0.00195637-0j 0.015744-0j -2.09504e-05-0j -0.0291405-0j -0.00489894-0j 0.00209168-0j -1.93855e-05-0j 0.0475551-0j 0.00523776-0j 3.58804e-05-0j -0.050844-0j -5.85541e-05-0j 6.26038e-05-0j 
-0.00017414-0j 0.00614444-0j 0.001218-0j -0.000711907-0j -0.000102755-0j 6.20923e-05-0j 0.00100582-0j 8.96226e-06-0j 0.000145178-0j 0.0729052-0j -8.8431e-05-0j 0.00121067-0j -7.36925e-06-0j 0.662159-0j 0.358047-0j -1.4685e-06-0j -0.000803172-0j -0.0903473-0j -1.22375e-07-0j -0.000434297-0j -6.6931e-05-0j 0.000109588-0j -3.61914e-05-0j 9.13229e-06-0j -0.000385058-0j 0.00935307-0j -6.19128e-06-0j -3.92998e-05-0j -8.02205e-06-0j 0.00175866-0j -4.72704e-07-0j 0.000150386-0j 0.000348617-0j -5.62321e-05-0j -6.31895e-07-0j -0.042718-0j -0.00248473-0j -1.28985e-07-0j 0.000179493-0j -0.0084679-0j 0.000321806-0j -7.60052e-09-0j 3.55805e-05-0j 0.00136588-0j 3.66389e-05-0j -5.73917e-06-0j 0.0603542-0j 7.26284e-06-0j 2.15896e-06-0j -1.1715e-06-0j -0.000253597-0j -0.00781667-0j 4.27967e-07-0j -5.17653e-05-0j 3.28442e-05-0j -6.90314e-08-0j 6.70429e-06-0j -3.0503e-06-0j 3.95054e-07-0j 
-0.00302719-0j -0.0431034-0j 0.0146736-0j -0.0338065-0j -0.00484867-0j -0.0622442-0j 0.0122339-0j -0.00892732-0j 0.00175463-0j -0.000123778-0j -0.0995841-0j 0.000288048-0j 0.000262404-0j -8.28024e-05-0j 0.000375015-0j 0.231747-0j -0.0666178-0j -5.21193e-05-0j -0.000610651-0j 0.301715-0j 0.000175538-0j -0.0419321-0j -0.000795017-0j 0.000110491-0j -9.52772e-05-0j 0.000751142-0j -0.000107627-0j 0.00188093-0j -0.0182586-0j -0.000520241-0j 2.24816e-05-0j 0.000848506-0j 0.000177105-0j -7.19983e-05-0j 0.00212474-0j 0.00410145-0j 0.000188264-0j -0.0206253-0j 0.0102704-0j -0.00139625-0j -2.02672e-05-0j 2.53957e-05-0j -0.00349634-0j 0.000567617-0j -0.099697-0j 0.00142137-0j -0.00148423-0j 0.0339397-0j 0.000122756-0j -0.0137975-0j -0.00371665-0j 0.000159781-0j -4.17897e-05-0j 0.0360783-0j 0.000400108-0j 1.69887e-05-0j -0.00388393-0j -4.44229e-05-0j 4.78225e-06-0j 
4.14619e-06-0j -0.00425155-0j 0.00417332-0j -8.4571e-05-0j -0.167355-0j 2.98551e-07-0j -2.39481e-05-0j 0.000590793-0j -0.0473901-0j 1.19105e-05-0j -0.000302998-0j -9.86839e-07-0j -0.111349-0j 8.50928e-06-0j -1.18125e-05-0j 2.51047e-05-0j -0.000216472-0j -1.476e-05-0j 0.00922573-0j 0.000300505-0j -0.0795513-0j 0.000375488-0j 0.110432-0j 0.137988-0j 9.16805e-06-0j -0.000219892-0j 1.47411e-07-0j 9.35711e-07-0j 0.00261863-0j -4.21902e-05-0j -0.0295023-0j -3.53561e-06-0j 4.14139e-05-0j 1.05316e-07-0j 1.50451e-08-0j 0.00101192-0j -1.19471e-05-0j 4.21044e-05-0j -4.30602e-06-0j -0.000993296-0j -7.66204e-06-0j -0.000474363-0j 4.22679e-06-0j -2.52596e-06-0j -0.0120506-0j 1.07488e-08-0j 0.000286545-0j 0.0118288-0j 0.135766-0j 3.00808e-05-0j -1.21934e-06-0j 0.000183771-0j -0.133268-0j -0.00341238-0j -7.82004e-07-0j -0.000338901-0j -0.00218847-0j 0.038445-0j 0.0246561-0j 
-0.0297036-0j 0.00102363-0j 0.00493818-0j -0.00117147-0j -0.000169087-0j -0.00213884-0j 0.000493278-0j -0.000308715-0j 7.11986e-05-0j -0.0601437-0j 7.29519e-05-0j -0.411921-0j 6.07932e-06-0j -0.0429688-0j -0.29315-0j 0.000499643-0j 5.21193e-05-0j 0.357172-0j 4.16369e-05-0j 0.000355579-0j 4.34328e-06-0j -0.000433235-0j 2.96316e-05-0j -3.61029e-05-0j 0.000317657-0j -0.00771589-0j -0.00105606-0j 3.24207e-05-0j 6.61785e-06-0j -0.000584415-0j 3.89961e-07-0j 0.0256518-0j -0.00281932-0j -0.000754489-0j -0.000107784-0j 0.0141955-0j 0.000246083-0j -2.20013e-05-0j -5.96466e-05-0j 0.0684813-0j -0.00126302-0j -1.29644e-06-0j -0.000287746-0j 0.0183265-0j -1.21753e-05-0j -7.70047e-05-0j -0.00597736-0j -5.87358e-05-0j -7.17438e-07-0j -1.57185e-05-0j 2.51157e-05-0j 0.0306788-0j -3.46104e-06-0j 5.12673e-06-0j -0.000128907-0j -9.26223e-07-0j -2.6313e-05-0j 3.02095e-07-0j -1.55051e-06-0j 
0.000498876-0j 0.00372011-0j 0.00344223-0j -1.48314e-05-0j -0.0293494-0j 3.59221e-05-0j -4.14522e-05-0j 0.0710852-0j -0.0820284-0j 3.14537e-05-0j -0.000800166-0j 2.37981e-05-0j -0.294053-0j -7.44562e-06-0j -9.74316e-06-0j -0.000605412-0j 0.000189413-0j -5.10613e-06-0j -0.222483-0j 0.000247861-0j 0.0696074-0j 0.000129897-0j 0.0910866-0j 0.047736-0j -8.02205e-06-0j 0.000192406-0j -5.35313e-05-0j -8.18747e-07-0j -0.0022913-0j -7.39898e-06-0j 0.0258145-0j 0.00128393-0j -6.8463e-06-0j 1.26718e-05-0j -5.46351e-06-0j 0.000177462-0j -2.06794e-05-0j -0.0152899-0j -7.55156e-07-0j 0.000164206-0j 2.21096e-05-0j 0.172261-0j -6.98748e-07-0j -0.000303927-0j -0.00211333-0j 1.29331e-06-0j 0.000495987-0j -0.00195547-0j 0.0238095-0j 0.00361937-0j -2.11058e-06-0j -0.000530289-0j 0.022031-0j -0.00590655-0j 2.25655e-06-0j -0.0407771-0j 0.00631505-0j 0.0665452-0j -0.0711475-0j 
0.000252266-0j 0.0109277-0j -0.00372011-0j -2.92807e-05-0j -0.0579426-0j -5.39113e-05-0j 1.05961e-05-0j -0.106683-0j 0.0209682-0j 1.03148e-05-0j -0.000262404-0j -2.4004e-05-0j -0.0964307-0j 6.9002e-06-0j -3.12513e-05-0j 0.000610651-0j -0.000175538-0j 4.34328e-06-0j 0.224408-0j 0.000795017-0j -0.0645084-0j -0.000110491-0j 0.292161-0j -0.0406043-0j 7.93977e-06-0j -0.000190432-0j 8.96892e-06-0j 8.10349e-07-0j 0.0022678-0j 4.33534e-05-0j -0.0255498-0j -0.000215116-0j -1.47587e-05-0j 5.99986e-06-0j 9.15387e-07-0j -0.00103981-0j -1.56887e-05-0j 0.00256175-0j 4.42474e-06-0j 0.000353982-0j 1.68893e-06-0j -0.0288615-0j -1.50631e-06-0j -0.000143904-0j 0.0123828-0j 6.12358e-07-0j 0.000376287-0j -0.00421546-0j -0.139509-0j 0.00171371-0j -1.60122e-06-0j -4.05083e-05-0j 0.0474928-0j -0.00448108-0j 1.72376e-07-0j -0.0193072-0j 0.000482401-0j 0.0504854-0j -0.00543489-0j 
