-0.577861-0j -0.0837436-0j -0.0416095-0j -0.0420407-0j -0.00600582-0j -0.00606806-0j 0.0549857-0j -0.0341111-0j 0.00972019-0j -0.0198982-0j 0.000810015-0j -0.00603005-0j -0.00351753-0j -0.000502504-0j -0.000293128-0j -0.020545-0j 0.0478111-0j -0.00342416-0j -0.014678-0j -0.00209686-0j -0.020973-0j -0.00042802-0j 0.00796852-0j -0.00865092-0j -2.52213e-05-0j -0.00244634-0j 0.0048797-0j -0.00149807-0j -0.0034955-0j 0.000996065-0j -0.00214055-0j -0.000305792-0j -0.00144182-0j 5.86937e-05-0j -0.000436937-0j -1.8019e-05-0j -0.00088293-0j -0.000180227-0j -2.57468e-05-0j -1.062e-05-0j -0.016333-0j -0.0184501-0j -0.00263573-0j -0.00215207-0j 0.030049-0j 0.0303604-0j -0.000310624-0j -0.00297737-0j -0.0131814-0j -0.000269008-0j -0.0108741-0j -3.17029e-05-0j -0.00243102-0j 0.00484914-0j -0.00347433-0j -1.44703e-06-0j -0.000350887-0j 0.00489939-0j 0.0039593-0j -0.000303877-0j -0.00212714-0j 0.00400033-0j 0.000571476-0j -0.0017548-0j -3.58123e-05-0j 0.000494913-0j -0.0017368-0j 0.000577399-0j -0.000560667-0j -1.6346e-06-0j -0.00143279-0j 0.000500042-0j -0.000250686-0j 5.83261e-05-0j -0.0002171-0j -0.000457783-0j 2.66221e-06-0j -0.000206805-0j 5.89305e-05-0j -0.000179099-0j -2.55855e-05-0j 2.6898e-06-0j -6.60753e-05-0j -5.72229e-05-0j -2.1107e-05-0j -1.16781e-06-0j -6.74378e-06-0j -9.63397e-07-0j -3.0781e-07-0j 
0.00653784-0j -0.000637923-0j -0.0452941-0j 0.0444607-0j -0.00649627-0j 0.00637674-0j 0.000311877-0j 5.49324e-06-0j 0.250918-0j -0.000440636-0j -0.000661167-0j 0.00441953-0j -0.35451-0j -1.16454e-05-0j 0.000934131-0j 0.000232443-0j 3.85998e-06-0j -0.00183252-0j 0.000166065-0j -0.00458881-0j -0.00023053-0j 0.0445445-0j -3.04311e-05-0j -0.000288053-0j -5.48473e-05-0j -0.00130922-0j -7.62023e-05-0j -0.0032784-0j 0.00181745-0j 0.000739712-0j 0.00455105-0j 0.0318241-0j 0.00227094-0j -9.10801e-07-0j -0.044178-0j -3.91848e-05-0j 0.00568664-0j -0.0552014-0j 5.4396e-05-0j 6.79691e-05-0j -0.000749188-0j 2.9712e-06-0j 0.00571886-0j 0.00949768-0j 0.000170437-0j -0.000167301-0j 0.0013622-0j -2.26804e-05-0j 2.12273e-06-0j -0.1129-0j -0.000240802-0j -0.0201347-0j -3.76668e-05-0j -0.00130102-0j -0.000154435-0j 1.5964e-05-0j -5.40232e-06-0j 0.00127708-0j -0.00216068-0j 0.000447748-0j -1.62036e-05-0j 0.00212093-0j -0.000309894-0j 0.00183815-0j 7.9852e-05-0j 0.0256842-0j -2.69104e-05-0j 0.000304192-0j 0.00117886-0j -6.33113e-08-0j 0.00305273-0j -0.0252116-0j -3.85961e-06-0j 0.00458056-0j 0.000319887-0j 0.00195781-0j -3.63173e-06-0j 0.000437835-0j -0.00449628-0j -0.036288-0j 5.7049e-05-0j 3.56491e-06-0j 0.000280798-0j -0.0232727-0j -0.00647166-0j -4.52318e-08-0j -0.00415049-0j 5.1311e-06-0j 3.29075e-06-0j 
-0.0292381-0j -0.00423718-0j 0.00207155-0j -0.00212714-0j 0.000299003-0j -0.000307026-0j 0.203272-0j -0.247501-0j -0.000246561-0j 0.146729-0j -2.05467e-05-0j 0.000300209-0j -0.000177977-0j 2.50174e-05-0j -1.48314e-05-0j 0.00313736-0j -0.00121277-0j -0.0762064-0j 0.00220417-0j 0.000320205-0j 0.00104415-0j 6.53616e-05-0j 0.0294582-0j -0.000437711-0j 3.85147e-06-0j -0.0535393-0j -0.000123778-0j 0.000224962-0j -0.0253624-0j -2.5266e-05-0j 0.000106568-0j 4.59202e-05-0j 0.010632-0j -1.48881e-06-0j 2.17531e-05-0j 2.70588e-06-0j -4.46737e-05-0j -9.11898e-06-0j 1.28181e-06-0j -5.37341e-07-0j -0.000826404-0j 0.00281746-0j -0.00013336-0j 0.0158694-0j 0.000749991-0j -0.000770117-0j 0.00229055-0j 0.000454665-0j 0.00197942-0j -1.3611e-05-0j 0.000541372-0j -1.60408e-06-0j -0.0541035-0j 0.000121029-0j -0.000175791-0j -7.32157e-08-0j -0.00780917-0j -0.000124277-0j -0.014402-0j 4.64041e-05-0j 0.000319428-0j 0.0147885-0j -0.00207875-0j 8.73635e-05-0j 5.46877e-06-0j 1.23525e-05-0j -0.0380108-0j 0.00213454-0j -2.83681e-05-0j 2.49614e-07-0j -0.0103959-0j -1.2684e-05-0j -0.00548638-0j 1.45576e-06-0j 3.26015e-05-0j 0.0033757-0j 6.64459e-08-0j -0.00150052-0j -1.49482e-06-0j 8.9165e-06-0j 3.84212e-06-0j -6.82289e-08-0j 0.000487241-0j -2.89531e-06-0j 1.05082e-06-0j 1.75368e-07-0j -3.41216e-07-0j 4.79632e-08-0j -1.55743e-08-0j 
-0.00054482-0j 0.000161729-0j -3.92304e-05-0j 3.85085e-05-0j -0.0776317-0j 0.0762033-0j -2.59898e-05-0j -4.5777e-07-0j 0.000661167-0j 3.67197e-05-0j 0.242972-0j 1.16454e-05-0j -0.000934131-0j 0.00427958-0j -0.343284-0j -1.93702e-05-0j -3.21665e-07-0j 0.000464587-0j -1.38388e-05-0j -1.97697e-06-0j 1.92109e-05-0j -0.00553262-0j 7.715e-06-0j 2.40044e-05-0j 0.0623324-0j 0.000331917-0j -3.28298e-08-0j -1.41241e-06-0j -0.000460765-0j -9.18755e-05-0j 1.9607e-06-0j -0.0039527-0j -0.000575737-0j 0.0010351-0j 0.0054871-0j 0.0445324-0j 2.44994e-06-0j 0.00685626-0j -0.0618196-0j -0.077245-0j 6.24323e-05-0j -2.476e-07-0j -0.00144986-0j 8.22618e-06-0j -1.42031e-05-0j 1.39418e-05-0j 0.0162785-0j 5.75001e-06-0j -1.76894e-07-0j -0.000147976-0j 2.00669e-05-0j -0.0769046-0j -3.26241e-08-0j 0.000329838-0j 1.28696e-05-0j -0.0366306-0j -6.45588e-05-0j -0.000323769-0j -1.87142e-06-0j 5.86858e-07-0j 4.108e-06-0j 1.83699e-06-0j -0.0037033-0j -0.000466013-0j 0.000304996-0j 3.3664e-05-0j -2.33078e-08-0j 0.00363516-0j -0.00029887-0j 0.000145273-0j 2.64404e-06-0j -3.30446e-05-0j -4.61231e-05-0j 0.0174955-0j 4.19271e-07-0j 1.69571e-06-0j 0.00833332-0j 0.00523221-0j -0.0171736-0j -4.75622e-05-0j 0.000217899-0j -0.00817999-0j 0.00335559-0j -3.05032e-05-0j -0.0247185-0j 0.000103788-0j -0.0158528-0j -0.0117737-0j -0.0075509-0j 
-0.0194921-0j -0.00282479-0j -0.00140355-0j -0.00141809-0j -0.000202585-0j -0.000204684-0j -0.676136-0j 0.167691-0j 0.000820125-0j 0.0978196-0j 6.83437e-05-0j -0.000203402-0j -0.000118651-0j -1.69502e-05-0j -9.8876e-06-0j -0.00069301-0j 0.00403398-0j 0.0168332-0j -0.000495111-0j -7.07301e-05-0j -0.000707448-0j -1.44377e-05-0j -0.0979855-0j -0.000291807-0j -8.50751e-07-0j 0.0120262-0j 0.000411717-0j -5.0532e-05-0j 0.0171839-0j 8.40413e-05-0j -7.22036e-05-0j -1.03148e-05-0j 0.00708801-0j 4.95218e-06-0j -1.47385e-05-0j -6.07806e-07-0j -2.97825e-05-0j -6.07932e-06-0j -8.68475e-07-0j -3.58227e-07-0j -0.000550936-0j -0.000622348-0j -8.89069e-05-0j 0.0105796-0j 0.00253533-0j 0.00256161-0j 0.00152703-0j -0.000100431-0j -0.000444627-0j -9.07402e-06-0j -0.000366799-0j -1.06938e-06-0j 0.0119509-0j 0.000409138-0j -0.000117194-0j -4.88105e-08-0j 0.00172497-0j 0.000413378-0j -0.0486859-0j -1.02502e-05-0j -7.17514e-05-0j -0.0491904-0j -0.0070272-0j -5.91919e-05-0j -1.208e-06-0j 4.17575e-05-0j 0.00853815-0j -0.00710003-0j -1.89121e-05-0j -5.51373e-08-0j 0.00704361-0j 4.21902e-05-0j 0.00123238-0j 4.92116e-06-0j -7.32309e-06-0j 0.00225047-0j 2.24619e-07-0j 0.00101666-0j 4.97216e-06-0j -6.04124e-06-0j -8.63035e-07-0j 2.26947e-07-0j 0.000324827-0j -1.93021e-06-0j -7.11967e-07-0j -3.9392e-08-0j -2.27477e-07-0j -3.24967e-08-0j -1.03829e-08-0j 
0.0295411-0j -0.00415922-0j 0.00212714-0j -0.00214831-0j 0.000307026-0j -0.000310082-0j -0.205378-0j 0.246908-0j 0.000249116-0j -0.135769-0j 2.07596e-05-0j -0.000299489-0j 0.000164682-0j -2.49574e-05-0j 1.37235e-05-0j -0.00316987-0j -0.00119045-0j 0.0769962-0j 0.000750362-0j -0.000323523-0j -0.00107173-0j -6.60389e-05-0j 0.0289161-0j 0.00211159-0j -3.89138e-06-0j -0.0182263-0j -0.0001215-0j 7.65835e-05-0j 0.0260324-0j -2.48011e-05-0j -0.000109383-0j 1.56325e-05-0j -0.0512906-0j -1.46142e-06-0j -2.23278e-05-0j 9.21156e-07-0j 0.000215514-0j 4.39915e-05-0j -1.31568e-06-0j 2.59223e-06-0j 0.000834968-0j 0.00276562-0j 0.000134742-0j -0.0160338-0j 0.000770117-0j -0.000777782-0j -0.00231428-0j 0.0004463-0j -0.000654669-0j 1.37521e-05-0j 0.0005091-0j 1.6207e-06-0j -0.053108-0j 0.000124277-0j 0.00187861-0j 7.39744e-08-0j -0.00766548-0j -0.000125514-0j -0.0147885-0j 4.55503e-05-0j -0.000105647-0j 0.0149357-0j -0.00213454-0j 8.21556e-05-0j 5.36815e-06-0j 1.2684e-05-0j 0.0125716-0j 0.00215578-0j 0.00030316-0j 2.45021e-07-0j -0.00977621-0j -1.28102e-05-0j 0.00181455-0j 1.49482e-06-0j -1.07825e-05-0j -0.0360749-0j 6.82289e-08-0j -0.00141107-0j -1.5097e-06-0j 8.38497e-06-0j -1.27073e-06-0j -6.8908e-08-0j -0.00520697-0j 3.09412e-05-0j 9.88179e-07-0j -5.80008e-08-0j 3.64645e-06-0j 4.5104e-08-0j 1.66437e-07-0j 
0.00516862-0j -0.0354313-0j 0.0352337-0j -0.0361792-0j 0.00505337-0j -0.00518897-0j 0.000246561-0j -0.000300209-0j 0.198368-0j 0.000177977-0j -0.000522698-0j -0.24153-0j 0.143189-0j 0.000636431-0j -0.000377304-0j -0.000554612-0j 0.000214389-0j 0.00437242-0j -0.000389646-0j 0.010949-0j -0.000184581-0j -0.106284-0j -0.00169019-0j 7.73771e-05-0j 0.000130866-0j 0.00307187-0j -0.0042324-0j 0.00769226-0j 0.00145519-0j 0.0410848-0j 0.00364394-0j -0.0746704-0j -0.000610023-0j -5.05873e-05-0j -0.0353725-0j 9.1941e-05-0j -0.00152755-0j 0.0148283-0j 4.35539e-05-0j -1.82579e-05-0j 0.000146089-0j -0.000498061-0j -0.00111516-0j -0.00185201-0j -0.000132581-0j 0.000136139-0j -0.000265623-0j 0.00380191-0j -0.000349916-0j 0.0220151-0j -9.5702e-05-0j 0.00392619-0j 0.00631407-0j 0.00101205-0j 3.10757e-05-0j -3.11291e-06-0j 0.00090559-0j -0.0010392-0j 0.00168077-0j -0.0750559-0j 0.00267106-0j -0.00172587-0j 0.000241063-0j 0.000730533-0j -0.0133856-0j -0.0199794-0j 0.00443599-0j -0.000247532-0j -0.000237214-0j 1.06129e-05-0j 0.00121324-0j 0.0205156-0j 0.000636228-0j -0.00356316-0j -0.0527311-0j -0.000393957-0j 2.82508e-06-0j 0.000174008-0j 0.00365878-0j -0.0144219-0j -0.00940413-0j -2.90089e-06-0j -5.65029e-05-0j 0.004683-0j -0.00257203-0j 7.45614e-06-0j 0.000835172-0j 2.03925e-06-0j -6.62173e-07-0j 
0.0341111-0j 7.03632e-05-0j -0.00241681-0j -0.00241102-0j -0.000348836-0j -0.000348-0j 0.473043-0j 0.00411004-0j -0.000573782-0j 0.335059-0j -4.78152e-05-0j -4.98531e-06-0j -0.000406413-0j -4.15442e-07-0j -3.38677e-05-0j 0.00121277-0j -4.0172e-05-0j -0.0294582-0j -0.00257153-0j 0.000123778-0j 0.0011835-0j 2.5266e-05-0j 0.000975777-0j -0.00150291-0j 1.48881e-06-0j 0.0624626-0j -4.10003e-06-0j -0.000262456-0j -0.0287471-0j -8.36916e-07-0j 0.00012079-0j -5.35736e-05-0j 0.0365058-0j -4.93157e-08-0j 2.46562e-05-0j -3.15685e-06-0j -0.000153391-0j -3.13107e-05-0j 1.45288e-06-0j -1.845e-06-0j 0.000964138-0j 1.55022e-05-0j 0.000155587-0j -0.0185143-0j 0.00174534-0j 0.00174115-0j -0.00267231-0j 2.50166e-06-0j -3.28706e-05-0j 1.58795e-05-0j 0.00123623-0j 1.87142e-06-0j -0.000297688-0j 0.000281653-0j -0.000805761-0j 8.54183e-08-0j -4.29675e-05-0j 0.000280977-0j -0.0335156-0j 2.55324e-07-0j -5.30447e-06-0j -0.0334353-0j -0.00483756-0j 0.000199496-0j 3.00902e-08-0j 2.8746e-05-0j 0.000631212-0j -0.00482597-0j -0.000130029-0j 1.37343e-09-0j -0.0237393-0j 2.86771e-05-0j 9.11076e-05-0j 3.38775e-06-0j -5.41385e-07-0j 0.015473-0j 1.54629e-07-0j -0.00342647-0j 3.37963e-06-0j 2.0361e-05-0j -6.38028e-08-0j 1.54258e-07-0j 0.00223333-0j -1.3271e-05-0j 2.39956e-06-0j -2.91219e-09-0j -1.56401e-06-0j 1.09525e-07-0j -7.13869e-08-0j 
0.00344574-0j -0.0236208-0j -0.0238721-0j -0.0241195-0j -0.00342383-0j -0.00345931-0j -0.000820125-0j 0.000203402-0j -0.659823-0j 0.000118651-0j 0.00173863-0j 0.163645-0j 0.0954596-0j -0.000431204-0j -0.000251536-0j 0.000122508-0j -0.000713114-0j -0.000965824-0j 8.7524e-05-0j -0.00241851-0j 0.00012506-0j 0.023477-0j 0.00562202-0j 5.15848e-05-0j -2.8907e-05-0j -0.000690018-0j 0.0140781-0j -0.00172787-0j -0.000985945-0j -0.136659-0j -0.0024689-0j 0.0167728-0j -0.000406682-0j 0.000168267-0j 0.0239661-0j -2.06522e-05-0j -0.00101837-0j 0.00988552-0j -2.95093e-05-0j -1.2172e-05-0j 9.73926e-05-0j 0.000110017-0j -0.000743438-0j -0.00123468-0j -0.000448188-0j -0.000452833-0j -0.000177082-0j -0.000839803-0j 7.85997e-05-0j 0.0146767-0j 6.48414e-05-0j 0.00261746-0j -0.00139471-0j 0.00342121-0j 2.07172e-05-0j -2.07528e-06-0j -0.000200036-0j 0.00345666-0j 0.00568182-0j 0.0165791-0j -0.000599984-0j 0.0057407-0j 0.00081491-0j -0.000494962-0j 0.00295674-0j -0.0675403-0j -0.000996432-0j 0.000823355-0j -0.000158143-0j -2.34427e-06-0j -0.000822015-0j -0.0682402-0j -0.000142912-0j -0.0120452-0j 0.0118447-0j -0.000262638-0j 9.55015e-06-0j -0.000117897-0j -0.01217-0j 0.00977136-0j 0.0021124-0j 9.64912e-06-0j -3.76686e-05-0j 0.003122-0j 0.00174264-0j -1.67483e-06-0j 0.000556781-0j -1.38166e-06-0j -4.41448e-07-0j 
-0.00522218-0j -0.0347793-0j 0.0361792-0j -0.0365393-0j 0.00518897-0j -0.00524062-0j -0.000249116-0j 0.000299489-0j -0.200423-0j -0.000164682-0j 0.000528115-0j 0.240951-0j -0.132494-0j -0.000634905-0j 0.00034912-0j 0.000560359-0j 0.000210444-0j -0.00441773-0j -0.000132647-0j -0.0110624-0j 0.000189458-0j 0.107385-0j -0.00165909-0j -0.00037328-0j -0.000132222-0j 0.00104575-0j -0.00415452-0j 0.00261866-0j -0.00149364-0j 0.0403288-0j -0.00374021-0j -0.0254199-0j 0.00294285-0j -4.96565e-05-0j 0.036307-0j 3.12993e-05-0j 0.00736918-0j -0.0715341-0j -4.47045e-05-0j 8.80794e-05-0j -0.000147603-0j -0.000488897-0j 0.00112671-0j 0.00187121-0j -0.000136139-0j 0.000137494-0j 0.000268376-0j 0.00373195-0j 0.00011573-0j -0.0222432-0j -8.9997e-05-0j -0.00396688-0j 0.00619789-0j 0.0010392-0j -0.000332095-0j 3.14517e-06-0j 0.000888928-0j -0.00104955-0j 0.00172587-0j -0.0736749-0j -0.000883417-0j -0.00174305-0j 0.000247532-0j 0.000686984-0j -0.0131393-0j -0.0205156-0j -0.00146715-0j -0.000249995-0j 0.00253502-0j 1.04176e-05-0j 0.00114092-0j 0.0207198-0j -0.000210424-0j -0.00365878-0j 0.0174401-0j 0.00421007-0j 2.90089e-06-0j 0.000163635-0j 0.0036952-0j -0.0135622-0j 0.00311029-0j -2.92977e-06-0j 0.000603826-0j -0.0500455-0j -0.0024187-0j -2.46602e-06-0j -0.00892519-0j 1.91769e-06-0j 7.07641e-06-0j 
-0.000430718-0j 0.00898266-0j 3.05168e-05-0j -3.13357e-05-0j 0.0603887-0j -0.0620093-0j -2.05467e-05-0j 2.50174e-05-0j 0.000522698-0j -1.48314e-05-0j 0.192086-0j -0.000636431-0j 0.000377304-0j -0.233882-0j 0.138655-0j 4.62176e-05-0j -1.78658e-05-0j -0.00110851-0j 3.24705e-05-0j 4.71707e-06-0j 1.53818e-05-0j 0.0132009-0j 0.000428503-0j -6.44809e-06-0j -0.148726-0j -0.000778792-0j -1.82342e-06-0j 3.31401e-06-0j -0.000368926-0j -0.00510291-0j 1.5699e-06-0j 0.00927439-0j 0.000154655-0j 0.0574911-0j 0.00439342-0j -0.104488-0j -6.58106e-07-0j -0.00184174-0j -0.0494978-0j 0.0207496-0j -1.21741e-05-0j 4.15051e-05-0j 0.000282718-0j -1.60408e-06-0j 1.10484e-05-0j -1.13449e-05-0j -0.00317425-0j -0.000963872-0j 2.91597e-05-0j 2.88548e-05-0j 7.97516e-06-0j 0.0149961-0j 5.46877e-06-0j -0.000256577-0j -2.58964e-06-0j 0.00714284-0j 0.010822-0j 0.000263462-0j 1.45576e-06-0j -9.83748e-05-0j -0.000677175-0j -1.49482e-06-0j 0.00288075-0j -0.000185207-0j -0.0511263-0j -2.61868e-05-0j 3.84212e-06-0j -0.00295805-0j 6.01393e-05-0j -0.0243521-0j 1.05082e-06-0j 2.68895e-05-0j 0.00760306-0j -0.0136095-0j -6.91139e-05-0j -3.41216e-07-0j -0.00648238-0j 0.00207943-0j 0.0139747-0j -1.89026e-05-0j -0.0359191-0j 0.00665634-0j -0.000675221-0j 6.13794e-06-0j -0.00982388-0j -0.0171087-0j 0.00318995-0j -0.00467923-0j 0.00151941-0j 
0.0120601-0j 0.00174775-0j -0.00430021-0j 0.0008774-0j -0.000620683-0j 0.000126642-0j -0.0838454-0j 0.513774-0j 0.000101701-0j -0.0605228-0j 8.47509e-06-0j -0.000623187-0j 7.34117e-05-0j -5.19322e-05-0j 6.11764e-06-0j 0.000428778-0j 0.000500241-0j -0.010415-0j 0.00389436-0j 4.3762e-05-0j -0.00216749-0j 8.93288e-06-0j -0.0121509-0j 0.000180547-0j 5.26375e-07-0j -0.0945942-0j 5.10557e-05-0j 0.000397467-0j 0.0526484-0j 1.04217e-05-0j -0.000221219-0j 8.11326e-05-0j -0.00438548-0j 6.14104e-07-0j -4.51561e-05-0j 4.78078e-06-0j 1.8427e-05-0j 3.76139e-06-0j -2.66085e-06-0j 2.21642e-07-0j 0.000340874-0j 0.000385058-0j 5.50083e-05-0j -0.00654579-0j -0.00155686-0j 0.000317657-0j -0.000944803-0j 6.21385e-05-0j 0.00349728-0j 5.61426e-06-0j -0.0011238-0j 6.61647e-07-0j -0.00739425-0j -0.000251238-0j 7.251e-05-0j 3.01999e-08-0j -0.00106727-0j 5.12617e-05-0j 0.0298964-0j 6.34199e-06-0j 0.000564371-0j -0.00609995-0j 0.00431517-0j -0.000181353-0j 7.4741e-07-0j -2.56419e-05-0j -0.067158-0j -0.000880451-0j 1.17013e-05-0j 3.41145e-08-0j 0.0215803-0j 5.23187e-06-0j -0.00969343-0j -3.02192e-06-0j 5.76009e-05-0j -0.00139241-0j -1.37931e-07-0j 0.00311485-0j 6.16582e-07-0j -1.85093e-05-0j 6.78833e-06-0j 2.8143e-08-0j -0.000200976-0j 1.19425e-06-0j -2.18134e-06-0j 3.09843e-07-0j 1.40744e-07-0j -9.9564e-08-0j 6.42407e-09-0j 
-0.000287145-0j 0.00598844-0j -2.06762e-05-0j -2.08905e-05-0j -0.0409155-0j -0.0413395-0j 6.83437e-05-0j -1.69502e-05-0j -0.00173863-0j -9.8876e-06-0j -0.63893-0j 0.000431204-0j 0.000251536-0j 0.158463-0j 0.0924369-0j -1.0209e-05-0j 5.94262e-05-0j 0.000244859-0j -7.29367e-06-0j -1.04195e-06-0j -1.04217e-05-0j -0.00291595-0j -0.00142531-0j -4.29873e-06-0j 0.0328521-0j 0.000174936-0j 6.06516e-06-0j -7.44407e-07-0j 0.00024996-0j 0.0169736-0j -1.06366e-06-0j -0.00208325-0j 0.000103103-0j -0.19123-0j -0.0029767-0j 0.0234706-0j -4.38737e-07-0j -0.00122782-0j 0.0335365-0j 0.0138331-0j -8.11605e-06-0j -9.16805e-06-0j 0.000188479-0j -1.06938e-06-0j 3.7349e-05-0j 3.77361e-05-0j -0.00211617-0j 0.00021291-0j -6.54997e-06-0j 1.92366e-05-0j -5.40345e-06-0j 0.00999742-0j -1.208e-06-0j -0.000867356-0j -1.72643e-06-0j 0.0047619-0j -0.00239047-0j -0.000876344-0j 4.92116e-06-0j 2.173e-05-0j 0.00015211-0j 4.97216e-06-0j 0.00973833-0j 0.000125484-0j 0.0112933-0j -8.85241e-05-0j -8.63035e-07-0j 0.00983925-0j 4.00929e-05-0j 0.00537913-0j -7.11967e-07-0j -8.94415e-05-0j -0.00170783-0j -0.0460068-0j 1.55247e-05-0j -2.27477e-07-0j -0.0219136-0j -0.00140889-0j -0.0464836-0j 1.28072e-05-0j 0.00806832-0j -0.0221407-0j -0.000450147-0j 4.09196e-06-0j 0.00665602-0j 0.00384304-0j 0.00212663-0j 0.00317034-0j 0.00101294-0j 
-0.0198982-0j 0.00564414-0j -0.00143279-0j -0.00132576-0j -0.000206805-0j -0.000191358-0j -0.275942-0j -0.335059-0j 0.000334706-0j 0.38664-0j 2.78922e-05-0j 0.000406413-0j -0.000468978-0j 3.38677e-05-0j -3.90815e-05-0j -0.000707448-0j -0.00322237-0j 0.0171839-0j -0.000505425-0j -7.22036e-05-0j -0.000661388-0j -1.47385e-05-0j 0.0782713-0j -0.000346616-0j -8.68475e-07-0j 0.0122768-0j -0.000328882-0j -5.15848e-05-0j 0.0160651-0j -6.71327e-05-0j -6.75026e-05-0j -1.05297e-05-0j 0.0084193-0j -3.95583e-06-0j -1.37789e-05-0j -6.20468e-07-0j -3.53763e-05-0j -7.22116e-06-0j -8.1193e-07-0j -4.25511e-07-0j -0.000562414-0j 0.0012435-0j -9.07591e-05-0j 0.0108-0j 0.00103471-0j 0.000957422-0j 0.00155885-0j 0.000200669-0j 0.000888398-0j -9.26306e-06-0j -0.0014498-0j -1.09166e-06-0j -0.0238788-0j 0.000166976-0j 0.00155007-0j -4.98273e-08-0j -0.00344661-0j 0.000154503-0j -0.0198695-0j 2.04807e-05-0j 0.000143365-0j -0.0183853-0j -0.00286792-0j -0.00023396-0j 2.41367e-06-0j 1.70419e-05-0j -0.0170599-0j -0.00265369-0j 0.000250141-0j 1.10168e-07-0j 0.0278404-0j 1.57689e-05-0j -0.00246238-0j 2.00841e-06-0j 1.46321e-05-0j -0.0297659-0j 9.16708e-08-0j 0.00401842-0j 1.85839e-06-0j -2.38785e-05-0j 1.72441e-06-0j 8.48233e-08-0j -0.00429634-0j 2.55299e-05-0j -2.81411e-06-0j 7.87081e-08-0j 3.00873e-06-0j -1.28446e-07-0j 1.37329e-07-0j 
0.000435181-0j 0.00881738-0j 3.13357e-05-0j -3.16476e-05-0j 0.0620093-0j -0.0626265-0j 2.07596e-05-0j -2.49574e-05-0j -0.000528115-0j 1.37235e-05-0j -0.194077-0j 0.000634905-0j -0.00034912-0j 0.233321-0j -0.128298-0j -4.66966e-05-0j -1.7537e-05-0j 0.00112-0j 1.10539e-05-0j -4.76595e-06-0j -1.57881e-05-0j -0.0133377-0j 0.000420619-0j 3.11067e-05-0j 0.150267-0j -0.000265123-0j -1.78987e-06-0j 1.12818e-06-0j 0.000378672-0j -0.00500902-0j -1.61137e-06-0j 0.00315726-0j -0.000746082-0j 0.0564333-0j -0.00450949-0j -0.0355708-0j 3.17481e-06-0j 0.00888485-0j 0.0508054-0j -0.1001-0j 1.23002e-05-0j 4.07414e-05-0j -0.000285648-0j 1.6207e-06-0j 1.13449e-05-0j -1.14578e-05-0j 0.00320715-0j -0.000946137-0j -9.64419e-06-0j -2.91539e-05-0j 7.49975e-06-0j -0.0151515-0j 5.36815e-06-0j -0.000263462-0j 2.76746e-05-0j -0.00721686-0j 0.0106229-0j 0.000266085-0j 1.49482e-06-0j -9.65647e-05-0j 0.000223967-0j -1.5097e-06-0j 0.00295805-0j -0.000174167-0j -0.0501856-0j -2.68895e-05-0j -1.27073e-06-0j -0.00298749-0j -0.000642687-0j -0.023904-0j 9.88179e-07-0j 2.71572e-05-0j -0.00251461-0j -0.0139747-0j 2.28585e-05-0j 3.64645e-06-0j -0.00665634-0j 0.00195547-0j 0.0141138-0j -1.77758e-05-0j 0.0118798-0j 0.00672259-0j 0.00721584-0j -6.5594e-05-0j -0.00923826-0j 0.00565849-0j -0.0340898-0j -0.00440029-0j -0.0162374-0j 
-0.0211052-0j 0.00297149-0j 0.00451035-0j 0.00153483-0j 0.000651013-0j 0.000221533-0j 0.146729-0j 0.52354-0j -0.000177977-0j 0.0969982-0j -1.48314e-05-0j -0.000635032-0j -0.000117655-0j -5.29193e-05-0j -9.80457e-06-0j -0.000750362-0j 0.000850501-0j 0.0182263-0j -0.000501963-0j -7.65835e-05-0j -0.00227249-0j -1.56325e-05-0j -0.0206587-0j -0.0015086-0j -9.21156e-07-0j 0.0121927-0j 8.68039e-05-0j -5.12314e-05-0j 0.0551988-0j 1.77188e-05-0j -0.000231935-0j -1.04576e-05-0j 0.0366438-0j 1.04409e-06-0j -4.73435e-05-0j -6.16217e-07-0j -0.00015397-0j -3.14291e-05-0j -2.78974e-06-0j -1.85198e-06-0j -0.00059653-0j 0.000654669-0j -9.62646e-05-0j 0.0114551-0j 0.00163294-0j 0.000555674-0j 0.0016534-0j 0.000105647-0j 0.000437948-0j -9.82496e-06-0j 0.00107949-0j -1.15788e-06-0j -0.0125716-0j 0.000263515-0j -0.00134215-0j -5.28499e-08-0j -0.00181455-0j 8.96716e-05-0j -0.0313573-0j 1.07825e-05-0j 7.06735e-05-0j -0.0106706-0j -0.00452603-0j 0.000174201-0j 1.27073e-06-0j 2.68949e-05-0j -0.00840989-0j -0.00154017-0j -0.000216588-0j 5.80008e-08-0j -0.0207293-0j 9.15206e-06-0j -0.00121386-0j 3.16959e-06-0j 7.21309e-06-0j 0.0257732-0j 1.44671e-07-0j -0.00299202-0j 1.07858e-06-0j 1.77794e-05-0j 8.50071e-07-0j 4.92303e-08-0j 0.00372004-0j -2.21054e-05-0j 2.09532e-06-0j 3.88002e-08-0j -2.60515e-06-0j 9.56377e-08-0j -1.18908e-07-0j 
