-0.102152-0j -0.0103606-0j -0.010468-0j 0.571917-0j -0.000857974-0j 0.707711-0j -0.00106169-0j 0.412832-0j -0.000619319-0j -0.00417687-0j 0.0710419-0j -0.00487302-0j -6.15311e-05-0j -0.0029841-0j 0.0828822-0j -0.00426389-0j 0.0507548-0j -7.17863e-05-0j -0.00175877-0j -4.396e-05-0j 0.0725219-0j -6.2813e-05-0j 0.0299138-0j -2.59091e-05-0j -0.00321513-0j -0.000535854-0j -0.00363187-0j 0.0634719-0j 0.00644459-0j -0.00296541-0j -3.94694e-06-0j -0.00299614-0j -0.000605312-0j 0.0716992-0j -0.00259473-0j -0.000494235-0j 0.00727993-0j -0.00214055-0j 0.0585421-0j -0.000499357-0j -4.45854e-06-0j -0.000683915-0j 0.00594404-0j -0.000432456-0j 0.0591488-0j 0.0512244-0j 0.00600564-0j -3.64039e-06-0j -0.000356758-0j 0.00520104-0j 0.0422579-0j -0.000113986-0j -3.67811e-06-0j 0.0135016-0j 0.00429064-0j -3.18534e-06-0j -2.62777e-06-0j 0.00137088-0j -8.39585e-07-0j 
0.000609127-0j -0.00292232-0j -0.00295261-0j 0.0136757-0j 0.000975644-0j -0.00848392-0j -0.000605254-0j -0.00494895-0j -0.000353065-0j 2.49064e-05-0j 0.0402846-0j -5.79607e-05-0j -5.28005e-05-0j 1.7794e-05-0j -0.0937481-0j 2.54253e-05-0j 0.0287807-0j 0.000122874-0j 1.04874e-05-0j -3.77225e-05-0j 0.0411239-0j -5.39005e-05-0j 0.0169627-0j -2.22328e-05-0j 1.91716e-05-0j -0.000151144-0j 2.16566e-05-0j 0.0362247-0j 0.00738612-0j -3.52712e-05-0j -4.52373e-06-0j -3.56368e-05-0j -0.000170735-0j 0.0409201-0j 1.54722e-05-0j 0.00027807-0j 0.00834351-0j 1.27639e-05-0j -0.0666451-0j 0.000280952-0j -5.11009e-06-0j 4.07813e-06-0j -0.0135888-0j -0.000121979-0j -0.0673357-0j 0.0292348-0j -0.0137296-0j 8.32261e-06-0j -0.000100628-0j 0.00596089-0j 0.0241174-0j -3.2151e-05-0j 8.40886e-06-0j 0.00770564-0j 0.00491748-0j -3.65083e-06-0j -3.01178e-06-0j 0.00157116-0j -9.62277e-07-0j 
8.58307e-05-0j -0.000601774-0j -0.000600332-0j -0.0337602-0j 5.06462e-05-0j 0.000585096-0j -8.77745e-07-0j 0.0476982-0j -7.15556e-05-0j -0.0359337-0j -0.0041936-0j -0.000596721-0j 3.63218e-06-0j 0.0761933-0j -6.96394e-05-0j -0.0350664-0j 0.00889203-0j 6.03165e-08-0j 0.0445306-0j -7.70161e-06-0j -0.00409238-0j 3.54451e-06-0j 0.00519689-0j -4.50115e-06-0j 0.000189789-0j -0.00460997-0j 3.05158e-06-0j -0.00374674-0j -0.000380424-0j -0.00017224-0j 2.32988e-07-0j -0.000171827-0j -7.41229e-05-0j -6.02432e-05-0j -6.47051e-06-0j 0.00418371-0j -6.11676e-06-0j 0.00024335-0j 0.0034003-0j 0.00417368-0j 3.74617e-09-0j -0.000158613-0j 0.000345248-0j 0.000157169-0j 0.00339215-0j 0.000127739-0j 0.00034442-0j -2.11445e-07-0j -0.00591097-0j 1.29699e-05-0j -0.00480413-0j 0.0038527-0j -2.10938e-07-0j 0.00313128-0j -0.000487784-0j -7.94331e-09-0j 2.9874e-07-0j 0.000317932-0j -1.94715e-07-0j 
-7.17863e-05-0j 0.00104776-0j 0.00105862-0j -0.000801683-0j 0.0164885-0j 0.000497335-0j -0.0102289-0j 0.000290112-0j -0.00596684-0j -2.93524e-06-0j -0.00718441-0j 6.83074e-06-0j 0.0274409-0j -2.09704e-06-0j 0.0167192-0j -2.9964e-06-0j -0.00513279-0j -0.063859-0j -1.23595e-06-0j 0.0196047-0j -0.00733409-0j 0.0280126-0j -0.00302516-0j 0.0115546-0j -2.25939e-06-0j 5.41906e-05-0j -2.55225e-06-0j 4.46041e-05-0j 0.0620905-0j 4.15676e-06-0j 0.0072706-0j 4.19983e-06-0j 6.12148e-05-0j 5.03857e-05-0j -1.82342e-06-0j -9.96981e-05-0j 0.0701387-0j -1.50424e-06-0j -8.20613e-05-0j -0.000100731-0j 0.00821301-0j -4.80613e-07-0j -0.114232-0j 4.37339e-05-0j -8.29117e-05-0j 3.59973e-05-0j -0.115416-0j -0.0133762-0j 3.60787e-05-0j 0.0501095-0j 2.96962e-05-0j 1.15273e-05-0j -0.0135148-0j 9.48809e-06-0j 0.0413383-0j 0.00586766-0j 0.00484057-0j 0.0132078-0j 0.00154659-0j 
-1.23886e-05-0j -0.00830413-0j -0.00828422-0j -5.06462e-05-0j -0.032706-0j 8.77745e-07-0j 0.000566826-0j 7.15556e-05-0j 0.0462088-0j 0.00518659-0j 0.000601463-0j 8.61292e-05-0j -0.0071876-0j -0.0109976-0j 9.98797e-06-0j 0.0050614-0j -0.00127533-0j -0.000119358-0j -0.00642744-0j 0.0152405-0j 0.000586946-0j -0.00701412-0j -0.000745359-0j 0.00890719-0j -2.73936e-05-0j -0.0636149-0j -4.40457e-07-0j -2.79585e-06-0j -0.00255335-0j 2.48607e-05-0j -0.000928567-0j 2.48011e-05-0j -0.00102285-0j -4.4954e-08-0j 9.33938e-07-0j 0.0577327-0j -4.10549e-05-0j -3.51245e-05-0j 2.53734e-06-0j 0.0575944-0j -1.49303e-05-0j 2.28938e-05-0j 0.00231726-0j 0.00216884-0j 2.53125e-06-0j 9.53197e-08-0j 0.0023117-0j 0.000842708-0j -0.0815679-0j 8.7052e-05-0j -3.58488e-06-0j 0.053165-0j 0.000840688-0j 2.33658e-06-0j -0.00327394-0j 3.16579e-05-0j -0.00119062-0j 0.00213392-0j 0.000776034-0j 
0.00688486-0j -0.000356758-0j -0.000330109-0j 0.0196935-0j -2.95436e-05-0j -0.0476982-0j 7.15556e-05-0j 0.0550412-0j -8.25713e-05-0j 0.0209614-0j 0.00244627-0j -0.0478656-0j -2.11877e-06-0j 0.0149755-0j -0.00558608-0j 0.0195966-0j 0.0017477-0j 4.83825e-06-0j 0.0102701-0j -1.51372e-06-0j 0.00228699-0j -1.98082e-06-0j 0.00119855-0j -1.0381e-06-0j -0.00011071-0j 0.00268915-0j 0.00024478-0j 0.0021856-0j 0.000221914-0j -0.000102111-0j -1.35909e-07-0j -9.44839e-05-0j -0.00594572-0j -0.00483237-0j 0.00017488-0j 0.00248029-0j -0.000490652-0j -0.00028539-0j 0.00201585-0j 0.00229502-0j 3.00496e-07-0j 0.000305128-0j 0.000204678-0j -0.00424783-0j 0.00186527-0j -0.00345241-0j 0.000189389-0j -1.25354e-07-0j 0.00693214-0j -0.000350539-0j 0.00563408-0j -0.00741157-0j -1.1599e-07-0j -0.00602374-0j 0.000572053-0j 2.14685e-07-0j -3.5035e-07-0j -0.000611617-0j 3.7458e-07-0j 
-1.07288e-05-0j -0.00355818-0j -0.00354965-0j 0.00848392-0j 0.000605254-0j -0.000147034-0j -1.04896e-05-0j -0.0119865-0j -0.000855135-0j -3.08201e-05-0j -0.0498497-0j -5.11802e-07-0j 6.53373e-05-0j 6.53503e-05-0j -0.00082781-0j -3.00762e-05-0j 0.1057-0j 1.085e-06-0j 3.81935e-05-0j -0.00013854-0j -0.0486465-0j 6.37603e-05-0j 0.0617759-0j -8.09688e-05-0j -2.37236e-05-0j 0.000187031-0j -3.81447e-07-0j -0.0448258-0j -0.00913986-0j 2.153e-05-0j 5.59782e-06-0j 2.14784e-05-0j 3.00724e-06-0j -0.000720745-0j 8.08814e-07-0j -0.000169737-0j -0.000146958-0j -3.04187e-05-0j 0.040681-0j -0.00016933-0j 9.00064e-08-0j 1.98266e-05-0j 0.00829475-0j -6.3765e-06-0j 0.0405835-0j 0.00152826-0j 0.00827486-0j -5.08023e-06-0j 0.000239814-0j 0.000311607-0j -0.0574762-0j -0.000156308-0j -5.06805e-06-0j 0.0374624-0j -0.0117193-0j -1.90848e-07-0j 7.17761e-06-0j 0.00763848-0j -4.67829e-06-0j 
3.27658e-06-0j -7.99272e-05-0j -8.07555e-05-0j -3.80315e-07-0j -0.00253503-0j 2.35934e-07-0j 0.00157264-0j 1.37628e-07-0j 0.000917375-0j 1.33975e-07-0j -5.69622e-06-0j -3.11779e-07-0j -0.0130705-0j 9.57163e-08-0j 1.32559e-05-0j 1.36766e-07-0j -4.06958e-06-0j 0.0304168-0j 5.64131e-08-0j -0.00933798-0j -5.81489e-06-0j -0.0133428-0j -2.39852e-06-0j -0.0055036-0j 1.03127e-07-0j -4.13387e-06-0j 1.16494e-07-0j 1.05253e-08-0j 9.92178e-05-0j -1.89729e-07-0j 0.079309-0j -1.91695e-07-0j -4.66971e-06-0j 1.18896e-08-0j 8.32272e-08-0j 7.60538e-06-0j 0.000112078-0j 6.86589e-08-0j -1.93641e-08-0j 7.68419e-06-0j 0.0895891-0j 2.19369e-08-0j -0.000182538-0j -3.3362e-06-0j -1.95648e-08-0j 8.49434e-09-0j -0.00018443-0j -0.14591-0j -2.75222e-06-0j 8.00727e-05-0j 7.00747e-09-0j -8.79349e-07-0j -0.147422-0j 2.23892e-09-0j 6.60566e-05-0j 0.0640055-0j 0.0528019-0j 2.11054e-05-0j 0.0168704-0j 
-0.000993743-0j -0.00492305-0j -0.00455531-0j 2.95436e-05-0j 0.0190785-0j -7.15556e-05-0j -0.0462088-0j 8.25713e-05-0j 0.0533225-0j -0.00302551-0j -0.000350853-0j 0.0069088-0j 0.00419277-0j -0.00216153-0j 0.000801179-0j -0.00282853-0j -0.000250662-0j -0.00957425-0j -0.00148235-0j 0.00299546-0j -0.00032801-0j 0.00391979-0j -0.000171901-0j 0.00205425-0j 1.59796e-05-0j 0.0371087-0j -3.5331e-05-0j 1.63091e-06-0j 0.00148945-0j 1.47385e-05-0j 0.000541664-0j 1.36376e-05-0j -0.0820474-0j -3.60596e-06-0j -2.52417e-05-0j 0.0342265-0j -0.00329319-0j 4.11926e-05-0j 1.50424e-06-0j 0.0316699-0j -0.00119762-0j -4.40415e-05-0j 0.00137377-0j -0.0586175-0j 1.39188e-06-0j -2.57622e-06-0j 0.00127115-0j 0.000499594-0j 0.0956594-0j -0.00235277-0j 4.2042e-06-0j -0.102275-0j 0.000462276-0j -4.49496e-06-0j 0.00383954-0j -0.000855622-0j 0.00139631-0j -0.00410509-0j -0.00149288-0j 
-0.000860607-0j -0.00210944-0j -0.00195187-0j -0.00494895-0j -0.000353065-0j 0.0119865-0j 0.000855135-0j -0.0138318-0j -0.000986779-0j 1.79784e-05-0j 0.029079-0j -4.10539e-05-0j -3.81134e-05-0j 1.28444e-05-0j -0.0664023-0j 1.68078e-05-0j 0.020775-0j 8.70326e-05-0j 8.80854e-06-0j -2.72295e-05-0j 0.0271857-0j -3.56319e-05-0j 0.0142473-0j -1.86737e-05-0j 1.38388e-05-0j -0.000109101-0j -3.05976e-05-0j 0.0261484-0j 0.00533158-0j 1.27639e-05-0j -3.2654e-06-0j 1.18105e-05-0j 0.000241224-0j -0.0578141-0j -2.18599e-05-0j -0.000100628-0j -0.0117882-0j 3.56738e-05-0j 0.0241174-0j -9.31111e-05-0j 7.21981e-06-0j -3.8141e-05-0j 0.00491748-0j 0.000172339-0j 0.0223159-0j -0.0413044-0j 0.00455016-0j -3.01178e-06-0j -0.000281244-0j -0.00842186-0j 0.0674057-0j 0.000300695-0j -2.78681e-06-0j -0.0720675-0j 0.0137439-0j 5.15808e-06-0j -8.4176e-06-0j -0.0146944-0j 8.99977e-06-0j 
1.26441e-06-0j 0.00127574-0j 0.00127268-0j -0.000497335-0j 0.0102289-0j 8.61928e-06-0j -0.000177276-0j 0.000702661-0j -0.0144519-0j 3.63218e-06-0j 0.00889026-0j 6.03165e-08-0j -0.0339564-0j -7.70161e-06-0j 0.000147633-0j 3.54451e-06-0j -0.0188507-0j -0.000563885-0j -4.50115e-06-0j 0.0720006-0j 0.00867568-0j -0.0331368-0j -0.0110172-0j 0.0420802-0j 2.79585e-06-0j -6.70574e-05-0j 4.4954e-08-0j -5.51948e-05-0j -0.0768331-0j -2.53734e-06-0j -0.00899691-0j -2.53125e-06-0j -1.0782e-06-0j -8.87467e-07-0j -9.53197e-08-0j 6.0857e-05-0j -0.00123539-0j 3.58488e-06-0j 5.00912e-05-0j 6.07111e-05-0j -0.00014466-0j -2.33658e-06-0j 0.0697288-0j 2.28621e-06-0j 4.99711e-05-0j 1.88177e-06-0j 0.0695617-0j 0.00816501-0j -8.5982e-05-0j 0.00261949-0j -7.07715e-05-0j 5.60421e-05-0j 0.00814544-0j 4.61281e-05-0j -0.0985165-0j 0.000306734-0j -0.011536-0j 0.064212-0j 0.00751901-0j 
-5.7712e-08-0j -9.73184e-05-0j -9.70851e-05-0j -2.35934e-07-0j -0.00157264-0j 4.08895e-09-0j 2.72554e-05-0j 3.3334e-07-0j 0.00222191-0j -1.65786e-07-0j 7.04871e-06-0j -2.75306e-09-0j 0.0161739-0j 3.51529e-07-0j 1.17052e-07-0j -1.61784e-07-0j -1.4946e-05-0j 0.000268585-0j 2.05449e-07-0j -0.0342948-0j 6.87858e-06-0j 0.0157835-0j -8.73507e-06-0j -0.0200433-0j -1.27613e-07-0j 5.11541e-06-0j -2.05186e-09-0j -1.30244e-08-0j -0.000122776-0j 1.15813e-07-0j -0.0981399-0j 1.15535e-07-0j 8.22497e-08-0j -2.09417e-10-0j 4.35073e-09-0j -4.64242e-06-0j -1.97409e-06-0j -1.63627e-07-0j 1.18201e-08-0j -4.63129e-06-0j -0.00157797-0j 1.0665e-07-0j 0.000111423-0j -1.74401e-07-0j 1.17918e-08-0j 4.44044e-10-0j 0.000111156-0j 0.0890655-0j 6.55905e-06-0j 4.18583e-06-0j -1.67001e-08-0j -4.27511e-06-0j 0.088852-0j 1.08849e-08-0j -0.000157425-0j 0.00334591-0j -0.125836-0j 0.000102608-0j 0.0820187-0j 
0.000101424-0j 0.000756312-0j 0.000699818-0j 0.000290112-0j -0.00596684-0j -0.000702661-0j 0.0144519-0j 0.000810833-0j -0.0166767-0j -2.11877e-06-0j -0.00518598-0j 4.83825e-06-0j 0.0198079-0j -1.51372e-06-0j 0.0118423-0j -1.98082e-06-0j -0.00370505-0j -0.0452316-0j -1.0381e-06-0j 0.0141515-0j -0.00484833-0j 0.0185183-0j -0.00254088-0j 0.00970492-0j -1.63091e-06-0j 3.91168e-05-0j 3.60596e-06-0j 3.21969e-05-0j 0.0448193-0j -1.50424e-06-0j 0.0052482-0j -1.39188e-06-0j -8.64874e-05-0j -7.11876e-05-0j 2.57622e-06-0j 3.60787e-05-0j -0.0990957-0j -4.2042e-06-0j 2.96962e-05-0j 3.33837e-05-0j -0.0116038-0j 4.49496e-06-0j 0.0413383-0j -6.17896e-05-0j 2.7478e-05-0j -5.08588e-05-0j 0.0382504-0j 0.00484057-0j 0.000100836-0j -0.0707974-0j 8.29978e-05-0j -0.00010781-0j 0.004479-0j -8.8738e-05-0j 0.115536-0j -0.00829014-0j 0.0135289-0j -0.123527-0j -0.0144646-0j 
-4.62933e-06-0j -5.76945e-05-0j -5.33849e-05-0j 1.37628e-07-0j 0.000917375-0j -3.3334e-07-0j -0.00222191-0j 3.84656e-07-0j 0.00256397-0j 9.67082e-08-0j -4.11175e-06-0j -2.20835e-07-0j -0.00943475-0j 6.90917e-08-0j 9.38924e-06-0j 9.04118e-08-0j -2.93757e-06-0j 0.0215444-0j 4.73824e-08-0j -0.00674051-0j -3.84404e-06-0j -0.00882047-0j -2.01456e-06-0j -0.00462257-0j 7.44407e-08-0j -2.98399e-06-0j -1.64589e-07-0j 7.59757e-09-0j 7.16192e-05-0j 6.86589e-08-0j 0.0572483-0j 6.35303e-08-0j 6.59761e-06-0j -1.67983e-08-0j -1.17588e-07-0j -2.75222e-06-0j -0.00015835-0j 1.91895e-07-0j 7.00747e-09-0j -2.54664e-06-0j -0.126576-0j -2.05166e-07-0j 6.60566e-05-0j 4.71356e-06-0j 6.48404e-09-0j -1.20013e-08-0j 6.11224e-05-0j 0.0528019-0j -7.69218e-06-0j -0.000113131-0j 1.95852e-08-0j 8.22417e-06-0j 0.0488577-0j -2.09397e-08-0j 0.000184621-0j -0.0904304-0j 0.147576-0j -0.00019739-0j -0.157782-0j 
0.029055-0j 0.00294684-0j 0.00297737-0j 0.0016907-0j 0.000244032-0j 0.00209214-0j 0.000301974-0j 0.00122041-0j 0.000176151-0j -0.00358555-0j -0.000633842-0j 0.00138602-0j -5.28201e-05-0j 0.000848761-0j 0.000245016-0j 0.00121277-0j 0.000150041-0j 2.0418e-05-0j 0.000500241-0j 1.25034e-05-0j 0.000214389-0j 1.78658e-05-0j 8.8431e-05-0j 7.36925e-06-0j 0.000914471-0j 0.000152412-0j -0.00311771-0j 9.33328e-05-0j 1.90515e-05-0j 0.000843445-0j 1.12262e-06-0j 0.000852185-0j -0.000519618-0j -0.0003182-0j 0.000738014-0j 0.000140574-0j -6.49522e-05-0j 0.000608831-0j 8.60837e-05-0j 0.000142031-0j -3.82735e-06-0j 0.000194524-0j 1.75718e-05-0j 0.000123002-0j 8.69758e-05-0j 7.53233e-05-0j 1.77539e-05-0j 1.03543e-06-0j 0.000101472-0j 1.53753e-05-0j 6.21385e-05-0j 3.24207e-05-0j 1.04616e-06-0j 1.98536e-05-0j 1.2684e-05-0j 9.05998e-07-0j 7.4741e-07-0j 4.05259e-06-0j 2.38801e-07-0j 
-0.000482491-0j -0.00343798-0j 0.00337472-0j 0.00393451-0j 0.000567897-0j -3.47423e-05-0j -5.01462e-06-0j 0.00278683-0j 0.000402244-0j -0.00138602-0j -0.000245016-0j 4.59108e-05-0j -2.0418e-05-0j -0.000990221-0j 8.11596e-06-0j 0.00137462-0j -0.000175048-0j 6.7633e-07-0j 0.00171762-0j -1.45873e-05-0j 0.000243-0j 2.025e-05-0j 0.000303635-0j 2.53029e-05-0j -0.00106688-0j -0.000177814-0j -1.71542e-05-0j -0.000108888-0j -2.22267e-05-0j 0.00196282-0j -1.30972e-06-0j -0.0019267-0j -2.85904e-06-0j -1.75079e-06-0j -1.22556e-05-0j 0.000327136-0j -3.57379e-07-0j 0.00139027-0j 0.000200329-0j -0.000321117-0j -2.10588e-08-0j 0.000891629-0j 4.0892e-05-0j -2.04259e-06-0j -0.000196643-0j -1.25083e-06-0j -4.01396e-05-0j 2.40959e-06-0j 0.000231712-0j -2.55324e-07-0j 0.000141894-0j 0.000148605-0j -2.36525e-06-0j 9.10015e-05-0j 2.8964e-05-0j -1.50451e-08-0j 1.70672e-06-0j 1.85756e-05-0j 1.09458e-06-0j 
-0.0207579-0j 0.00624842-0j -0.00212714-0j -0.00120789-0j -0.000174345-0j 0.00443613-0j 0.0006403-0j -0.000871905-0j -0.000125849-0j -0.000848761-0j -0.000150041-0j -0.000990221-0j -1.25034e-05-0j -0.000567788-0j -0.000175048-0j 0.00257153-0j -0.000100372-0j -1.45873e-05-0j -0.00035739-0j -8.3643e-06-0j 0.000454587-0j 3.78823e-05-0j -6.31782e-05-0j -5.26485e-06-0j -0.000653329-0j -0.000108888-0j -0.000738014-0j -6.66802e-05-0j -1.3611e-05-0j 0.00178843-0j -8.02038e-07-0j -0.000608831-0j -0.000123002-0j -7.53233e-05-0j -0.000493703-0j 0.000298071-0j -1.53753e-05-0j 0.00129095-0j 0.00018253-0j -0.000101472-0j -9.05998e-07-0j -0.000138975-0j 3.72589e-05-0j -8.22838e-05-0j -6.21385e-05-0j -5.03883e-05-0j -1.2684e-05-0j 2.1955e-06-0j 0.000215159-0j -1.02855e-05-0j 0.000131757-0j -2.31625e-05-0j -7.4741e-07-0j -1.41841e-05-0j 2.68949e-05-0j -6.06077e-07-0j 1.5848e-06-0j -2.89531e-06-0j -1.70608e-07-0j 
-0.00459399-0j 0.0220399-0j 0.0222683-0j -0.000267323-0j 0.0036889-0j -0.000330796-0j 0.00456478-0j -0.000192964-0j 0.00266279-0j 0.000566925-0j -0.00474062-0j -0.000219149-0j -0.00120186-0j -0.000134201-0j 0.00183252-0j -0.000191755-0j 0.00112219-0j 0.000464587-0j -7.90951e-05-0j 0.0002845-0j 0.00160346-0j 0.000406514-0j 0.000661392-0j 0.000167678-0j -0.000144591-0j 0.00113992-0j 0.000492953-0j -1.47572e-05-0j 0.000287991-0j -0.00013336-0j 3.41176e-05-0j -0.000134742-0j -0.00388632-0j 5.03118e-05-0j -0.00011669-0j 0.00105138-0j -0.000981849-0j -9.62646e-05-0j -1.3611e-05-0j 0.00106228-0j -0.000116317-0j -3.0757e-05-0j 0.000265623-0j 0.000919958-0j -1.37521e-05-0j -1.19097e-05-0j 0.000268376-0j 3.14677e-05-0j 0.000758926-0j 0.000232421-0j -9.82496e-06-0j 0.000242481-0j 3.17938e-05-0j -3.13912e-06-0j 0.000191737-0j 2.75343e-05-0j 2.27146e-05-0j 6.12609e-05-0j 7.25743e-06-0j 
-0.0288159-0j -0.00295997-0j -0.00303817-0j 0.00172592-0j 0.000249116-0j 0.00204164-0j 0.000294685-0j 0.00114095-0j 0.000164682-0j 0.00121277-0j 0.000214389-0j -0.00137462-0j 1.78658e-05-0j -0.00257153-0j -0.000243-0j 0.00121768-0j -0.000454587-0j -2.025e-05-0j 0.00243826-0j -3.78823e-05-0j 0.000215258-0j 1.79381e-05-0j 0.000431027-0j 3.59189e-05-0j 0.000933522-0j 0.000155587-0j -0.00102451-0j 9.52772e-05-0j 1.94484e-05-0j -0.000847205-0j 1.14601e-06-0j -0.000869587-0j -0.000170751-0j -0.000104563-0j 0.00217234-0j -0.000141201-0j -2.13439e-05-0j -0.00056006-0j -8.64675e-05-0j -0.000144931-0j -1.2577e-06-0j 0.00210036-0j -1.76501e-05-0j 0.000362057-0j -8.87518e-05-0j 0.000221714-0j -1.81164e-05-0j -1.04004e-06-0j -9.33434e-05-0j 4.52572e-05-0j -5.71609e-05-0j 0.000350059-0j -1.06752e-06-0j 0.000214367-0j -1.16679e-05-0j 2.6668e-06-0j -6.87539e-07-0j 4.37574e-05-0j 2.57843e-06-0j 
0.0360062-0j -0.00124083-0j -0.00598598-0j -0.000711907-0j -0.000102755-0j 0.00259266-0j 0.000374219-0j -0.000597943-0j -8.63057e-05-0j -0.000500241-0j -8.8431e-05-0j 0.00171762-0j -7.36925e-06-0j -0.00035739-0j 0.000303635-0j -0.00243826-0j -6.31782e-05-0j 2.53029e-05-0j 0.00297076-0j -5.26485e-06-0j -0.000431027-0j -3.59189e-05-0j 0.00052516-0j 4.37634e-05-0j -0.000385058-0j -6.41764e-05-0j 0.00128014-0j -3.92998e-05-0j -8.02205e-06-0j -0.000355151-0j -4.72704e-07-0j -0.00171331-0j 0.000213357-0j 0.000130654-0j 0.000914579-0j -5.91919e-05-0j 2.66697e-05-0j -0.000298298-0j -3.62475e-05-0j -0.000285552-0j 1.57152e-06-0j 0.00153101-0j -7.39898e-06-0j 0.00015243-0j -0.000174864-0j 9.33438e-05-0j -3.5694e-05-0j -4.35989e-07-0j -4.97163e-05-0j 1.90537e-05-0j -3.04449e-05-0j 0.000255169-0j -2.10329e-06-0j 0.000156259-0j -6.21454e-06-0j 1.12275e-06-0j -3.66195e-07-0j 3.18961e-05-0j 1.8795e-06-0j 
-0.00363187-0j -0.000368355-0j -0.000372172-0j 0.0203336-0j -3.0504e-05-0j 0.0251616-0j -3.77467e-05-0j 0.0146776-0j -2.20189e-05-0j 0.000448194-0j -0.00762305-0j -0.000173253-0j 6.60252e-06-0j -0.000106095-0j 0.00294675-0j -0.000151596-0j 0.00180451-0j -2.55225e-06-0j -6.25302e-05-0j -1.56293e-06-0j 0.0025784-0j -2.23322e-06-0j 0.00106354-0j -9.21156e-07-0j 0.0223916-0j -1.90515e-05-0j -0.0763396-0j 0.00225665-0j 0.000229127-0j 0.0206524-0j -1.40327e-07-0j 0.0208665-0j 6.49522e-05-0j -0.00769359-0j 0.0180709-0j -1.75718e-05-0j -0.000781164-0j 0.0149077-0j 0.00208137-0j -1.77539e-05-0j 4.78418e-07-0j 0.00476309-0j 0.000211331-0j -1.53753e-05-0j 0.00210294-0j 0.0018212-0j 0.000213521-0j -1.29428e-07-0j -1.2684e-05-0j 0.000184915-0j 0.00150242-0j -4.05259e-06-0j -1.3077e-07-0j 0.000480029-0j 0.000152547-0j -1.1325e-07-0j -9.34263e-08-0j 4.87395e-05-0j -2.98501e-08-0j 
7.62885e-05-0j -0.0257133-0j 0.0252402-0j -0.0006221-0j 0.00858461-0j 5.49324e-06-0j -7.58034e-05-0j -0.000440636-0j 0.00608052-0j 0.000219149-0j -0.00183252-0j -7.25914e-06-0j -0.000464587-0j 0.000156568-0j 6.07008e-05-0j -0.000217346-0j -0.00130922-0j 1.53891e-05-0j -0.000271579-0j -0.000331917-0j 0.00181745-0j 0.000460765-0j 0.00227094-0j 0.000575737-0j 0.000168689-0j -0.0013299-0j 2.71232e-06-0j 1.72167e-05-0j -0.00033599-0j -0.000310349-0j -3.98039e-05-0j 0.000304638-0j -2.13833e-05-0j 2.76825e-07-0j 1.93777e-06-0j 0.00244671-0j -5.40232e-06-0j -0.000219822-0j -3.16748e-05-0j -0.0024017-0j -6.4e-07-0j -0.000140979-0j 0.000618144-0j -1.52769e-05-0j 3.1092e-05-0j 1.97773e-07-0j -0.000606771-0j 7.323e-05-0j 0.00173302-0j -3.85961e-06-0j -2.24354e-05-0j 0.00111144-0j -7.18826e-05-0j -1.43886e-05-0j 0.000437835-0j -4.57238e-07-0j 5.18692e-05-0j 0.000280798-0j 3.32654e-05-0j 
-0.00242125-0j -0.00024557-0j -0.000248115-0j -0.000140892-0j -2.0336e-05-0j -0.000174345-0j -2.51645e-05-0j -0.000101701-0j -1.46793e-05-0j -0.0873919-0j 5.28201e-05-0j 0.033782-0j 4.40168e-06-0j 0.0206871-0j -2.0418e-05-0j 0.0295592-0j -1.25034e-05-0j -1.7015e-06-0j 0.0121926-0j -1.04195e-06-0j -1.78658e-05-0j -1.48881e-06-0j -7.36925e-06-0j -6.14104e-07-0j -7.62059e-05-0j 0.00371479-0j 0.000259809-0j -7.77773e-06-0j -1.58762e-06-0j -7.02871e-05-0j -9.35516e-08-0j -7.10154e-05-0j -0.0126648-0j 2.65166e-05-0j -6.15012e-05-0j 0.00342626-0j 5.41268e-06-0j -5.07359e-05-0j -7.17364e-06-0j 0.00346177-0j 3.18945e-07-0j -1.62104e-05-0j -1.46431e-06-0j 0.00299798-0j -7.24798e-06-0j -6.27694e-06-0j -1.47949e-06-0j -8.62855e-08-0j 0.00247321-0j -1.28127e-06-0j -5.17821e-06-0j 0.000790201-0j -8.71797e-08-0j -1.65446e-06-0j -1.057e-06-0j -7.54998e-08-0j -6.22842e-08-0j -3.37716e-07-0j -1.99001e-08-0j 
0.000524215-0j -0.00508307-0j -0.00513575-0j 3.0504e-05-0j 0.0196987-0j 3.77467e-05-0j 0.0243759-0j 2.20189e-05-0j 0.0142193-0j -6.46912e-05-0j 0.00109333-0j 2.50069e-05-0j -0.0130655-0j 1.53135e-05-0j -0.000422635-0j 2.1881e-05-0j -0.00025881-0j 0.00505057-0j 9.02545e-06-0j 0.00309283-0j -0.000369805-0j 0.00441925-0j -0.000152537-0j 0.00182285-0j -0.00323195-0j -0.000262899-0j 0.0110187-0j 1.68393e-06-0j 0.00153787-0j -0.00298092-0j 0.000559272-0j -0.00301181-0j 0.000896302-0j -5.74102e-06-0j -0.00260831-0j -0.00024248-0j -0.00524306-0j -0.00215174-0j 1.55314e-06-0j -0.000244993-0j -0.00190673-0j -0.000687493-0j 0.00141843-0j -0.00021217-0j 1.56923e-06-0j 1.359e-06-0j 0.00143313-0j 0.000515834-0j -0.000175031-0j 0.00124112-0j 1.12112e-06-0j -5.59233e-05-0j 0.000521179-0j 3.58202e-07-0j 0.00102387-0j 0.000451354-0j 0.000372348-0j 0.000327133-0j 0.000118967-0j 
