-0.186366-0j -0.203385-0j -0.157541-0j -0.159174-0j 0.434047-0j 0.537105-0j -0.118641-0j 0.313311-0j -0.102746-0j -0.146811-0j -0.0734055-0j -0.0605564-0j -0.0741662-0j -0.0335118-0j -0.00738866-0j -0.0250047-0j -0.0270082-0j -0.0206279-0j -0.0208416-0j -0.0184501-0j 0.0888807-0j -0.0228309-0j -0.013318-0j 0.062902-0j 0.0385194-0j -0.0120329-0j 0.0550392-0j -0.0121576-0j 0.0227025-0j -0.01489-0j -0.00372249-0j -0.0122836-0j -0.00752214-0j -0.00392467-0j -0.00537408-0j -0.00198267-0j -0.000378572-0j 
0.00983977-0j -0.0104326-0j -0.0337229-0j 0.0340585-0j 0.00759313-0j -0.00912854-0j -0.00608569-0j 0.00501958-0j 0.00542479-0j -0.00774818-0j -0.00376533-0j 0.0152659-0j 0.00358616-0j 0.0187146-0j 0.0109277-0j 0.0013202-0j -0.00138538-0j 0.00108911-0j -0.00109995-0j -0.00394939-0j 0.000666941-0j 0.00474799-0j -0.00261082-0j -0.00106907-0j 0.000673852-0j 0.000635314-0j -0.000962456-0j -0.000641637-0j 0.00189629-0j -0.000763781-0j 0.00019654-0j 0.00059395-0j -0.000396993-0j 0.00219172-0j 0.00135477-0j 0.00191806-0j 0.000792417-0j 
-0.00889031-0j -0.00970215-0j -0.00751525-0j -0.00759313-0j -0.0413012-0j 0.0256217-0j 0.0282379-0j 0.014946-0j 0.00977669-0j 0.0139696-0j -0.00350169-0j 0.00576217-0j -0.00353798-0j -0.00159863-0j -0.000352464-0j -0.00119281-0j -0.00128838-0j -0.000984019-0j -0.000994216-0j 0.0017556-0j 0.00423991-0j -0.00108911-0j -0.000635314-0j -0.00598536-0j 0.00183751-0j 0.00286397-0j 0.00262556-0j 0.00289364-0j 0.00108299-0j 0.00141684-0j -0.000177576-0j 0.00116883-0j -0.000358832-0j 0.000373447-0j -0.000256362-0j -9.45801e-05-0j -1.80592e-05-0j 
0.0017216-0j 0.00187881-0j 0.00580563-0j -0.00596142-0j 0.00132852-0j -0.00161759-0j 0.00109597-0j 0.000958977-0j -0.00281697-0j -0.00133444-0j -0.00335786-0j 0.000559403-0j -0.0020334-0j -0.000304607-0j 6.82544e-05-0j -0.0109263-0j -0.0118017-0j 0.00886912-0j -0.00910712-0j 0.032686-0j -0.00551975-0j -0.039798-0j 0.023594-0j -0.00910712-0j 0.0165519-0j 0.00517365-0j 0.0078409-0j -0.00531249-0j -0.00328693-0j 0.0193106-0j 0.0112819-0j 0.00528144-0j 0.0162765-0j -0.00171495-0j 0.00696956-0j 0.000852466-0j -0.000165424-0j 
-0.000143467-0j -0.000156568-0j -0.000483802-0j 0.000496785-0j -0.00011071-0j 0.000134799-0j -9.13312e-05-0j -7.99148e-05-0j 0.000234748-0j 0.000111204-0j 0.000279822-0j -4.66169e-05-0j 0.00016945-0j 2.53839e-05-0j -5.68787e-06-0j 0.00277006-0j 0.00299201-0j -0.00224853-0j 0.00230887-0j -0.00828667-0j 0.00139939-0j 0.0100897-0j -0.00598163-0j 0.00230887-0j -0.0041963-0j -0.00131164-0j -0.00198785-0j 0.00134684-0j 0.000833314-0j -0.00489568-0j -0.00286023-0j -0.00133897-0j -0.00412647-0j 0.000434781-0j -0.00176695-0j -0.00021612-0j 4.19388e-05-0j 
-0.00173944-0j 0.00184424-0j 0.00596142-0j -0.00602076-0j -0.00134229-0j 0.00161371-0j 0.00107581-0j -0.000887345-0j -0.000958977-0j 0.0013697-0j 0.000665622-0j -0.00269866-0j -0.00063395-0j -0.0033083-0j -0.00193177-0j 0.0110395-0j -0.0115846-0j 0.00910712-0j -0.00919777-0j -0.0330247-0j 0.00557695-0j 0.0397027-0j -0.0218316-0j -0.00893955-0j 0.00563474-0j 0.00531249-0j -0.00804805-0j -0.00536536-0j 0.0158567-0j -0.00638672-0j 0.00164347-0j 0.0049666-0j -0.00331965-0j 0.0183271-0j 0.0113286-0j 0.0160388-0j 0.00662618-0j 
0.0015716-0j 0.00171511-0j 0.00132852-0j 0.00134229-0j 0.00730108-0j -0.00452933-0j -0.0049918-0j -0.00264211-0j -0.00172829-0j -0.0024695-0j 0.000619017-0j -0.00101862-0j 0.000625432-0j 0.0002826-0j 6.23075e-05-0j -0.00997427-0j -0.0107734-0j -0.00822835-0j -0.00831362-0j 0.0146803-0j 0.0354541-0j -0.00910712-0j -0.00531249-0j -0.0500495-0j 0.0153652-0j 0.0239484-0j 0.0219549-0j 0.0241966-0j 0.00905593-0j 0.0118476-0j -0.00148488-0j 0.00977375-0j -0.00300055-0j 0.00312276-0j -0.00214369-0j -0.000790878-0j -0.000151011-0j 
0.0110012-0j 0.000170888-0j -0.00915047-0j -0.00912854-0j -0.0256217-0j 0.000444049-0j 9.96849e-05-0j 0.0361998-0j -0.0180007-0j 0.00828447-0j -0.000305416-0j -0.0105204-0j 0.0254324-0j 0.00764735-0j -0.00257346-0j 0.00147603-0j 2.26929e-05-0j -0.00119813-0j -0.00119526-0j 0.00108911-0j -0.00524662-0j -1.88753e-05-0j -0.00153875-0j -5.28516e-05-0j 0.00674845-0j -0.000698908-0j -0.00310584-0j -0.000697233-0j 0.00394409-0j -3.71313e-05-0j -0.00152407-0j 0.00139647-0j 0.00213619-0j -0.000910204-0j 0.00277094-0j 0.000565963-0j -0.000153885-0j 
0.000144954-0j -0.000153687-0j -0.000496785-0j 0.00050173-0j 0.000111857-0j -0.000134476-0j -8.96507e-05-0j 7.39454e-05-0j 7.99148e-05-0j -0.000114141-0j -5.54685e-05-0j 0.000224888-0j 5.28291e-05-0j 0.000275691-0j 0.000160981-0j -0.00279877-0j 0.00293696-0j -0.00230887-0j 0.00233185-0j 0.00837254-0j -0.00141389-0j -0.0100656-0j 0.00553482-0j 0.00226639-0j -0.00142854-0j -0.00134684-0j 0.00204037-0j 0.00136025-0j -0.00402005-0j 0.00161918-0j -0.000416657-0j -0.00125915-0j 0.000841609-0j -0.00464635-0j -0.00287206-0j -0.0040662-0j -0.00167989-0j 
0.00733413-0j 0.000113926-0j 0.00619976-0j -0.00608569-0j -0.0282379-0j 9.96849e-05-0j 0.00046238-0j -0.00799616-0j -0.0201741-0j 0.0280056-0j 4.11179e-05-0j 0.0349936-0j -0.00571273-0j -0.00518135-0j -0.00171564-0j 0.000984019-0j 1.51286e-05-0j 0.000811774-0j -0.000796838-0j -0.00362266-0j 0.000497108-0j 1.27887e-05-0j -0.00102583-0j -5.82481e-05-0j 0.00050226-0j 0.00329468-0j -0.000697233-0j -0.00323406-0j -0.000871209-0j -4.16145e-05-0j 0.000146492-0j 0.00472075-0j -0.000287594-0j 0.00302758-0j -0.000622422-0j -0.00038346-0j -0.00010259-0j 
-0.000130967-0j -0.000142926-0j -0.00011071-0j -0.000111857-0j -0.000608424-0j 0.000377444-0j 0.000415983-0j 0.000220176-0j 0.000144024-0j 0.000205792-0j -5.15848e-05-0j 8.48848e-05-0j -5.21193e-05-0j -2.355e-05-0j -5.19229e-06-0j 0.00252871-0j 0.00273132-0j 0.00208608-0j 0.0021077-0j -0.0037218-0j -0.00898844-0j 0.00230887-0j 0.00134684-0j 0.0126887-0j -0.00389544-0j -0.00607149-0j -0.00556608-0j -0.00613441-0j -0.00229589-0j -0.00300364-0j 0.000376453-0j -0.00247787-0j 0.000760709-0j -0.000791693-0j 0.000543476-0j 0.000200506-0j 3.82848e-05-0j 
-0.00641737-0j 0.0137077-0j -0.00542479-0j -0.00501958-0j 0.014946-0j -0.0361998-0j 0.00799616-0j 0.0417725-0j -0.00353798-0j -0.00462971-0j 0.00494737-0j -0.00242631-0j -0.00988827-0j 0.0149513-0j 0.0250408-0j -0.000861017-0j 0.0018203-0j -0.000710302-0j -0.000657245-0j -0.000635314-0j 0.00306053-0j 0.00153875-0j -0.00177563-0j -0.00423946-0j 0.00132638-0j -0.000414343-0j 0.00173567-0j -0.000383393-0j 0.00090962-0j 0.00100355-0j -0.000128181-0j -0.00163772-0j -0.000237212-0j 0.00175099-0j -0.000215323-0j 0.00302006-0j 0.0023629-0j 
0.00635155-0j 0.00693155-0j -0.0159352-0j 0.00542479-0j -0.00977669-0j -0.0180007-0j -0.0201741-0j 0.00353798-0j -0.00654022-0j 0.0296209-0j 0.031804-0j -0.00411669-0j 0.00236677-0j -0.0033897-0j 0.000251813-0j 0.000852185-0j 0.000920465-0j -0.0020865-0j 0.000710302-0j -0.00125426-0j 0.000430508-0j -0.00230933-0j 0.00045389-0j -0.00141684-0j 0.000407284-0j 0.0060727-0j -0.0018446-0j -0.00206732-0j 0.000256362-0j -0.000947808-0j 0.00410557-0j 0.00247837-0j 0.00325908-0j -0.000266803-0j 0.000171496-0j -0.000200546-0j 1.29021e-05-0j 
-0.00194476-0j -3.02091e-05-0j 0.00161759-0j 0.00161371-0j 0.00452933-0j -7.84974e-05-0j -1.7622e-05-0j -0.00639927-0j 0.00318211-0j -0.0014645-0j 5.39905e-05-0j 0.00185976-0j -0.00449585-0j -0.00135187-0j 0.000454927-0j 0.0123425-0j 0.000189758-0j -0.0100187-0j -0.00999472-0j 0.00910712-0j -0.0438722-0j -0.000157835-0j -0.012867-0j -0.000441945-0j 0.0564305-0j -0.00584426-0j -0.025971-0j -0.00583025-0j 0.0329804-0j -0.000310491-0j -0.0127443-0j 0.0116773-0j 0.0178628-0j -0.00761112-0j 0.0231706-0j 0.00473257-0j -0.00128679-0j 
-0.0012965-0j -2.01394e-05-0j -0.00109597-0j 0.00107581-0j 0.0049918-0j -1.7622e-05-0j -8.1738e-05-0j 0.00141353-0j 0.00356631-0j -0.00495073-0j -7.26869e-06-0j -0.00618605-0j 0.00100988-0j 0.000915941-0j 0.000303285-0j 0.00822835-0j 0.000126505-0j 0.00678804-0j -0.00666315-0j -0.0302926-0j 0.00415681-0j 0.000106939-0j -0.00857801-0j -0.00048707-0j 0.00419989-0j 0.02755-0j -0.00583025-0j -0.0270431-0j -0.00728504-0j -0.00034798-0j 0.00122497-0j 0.0394749-0j -0.00240486-0j 0.0253166-0j -0.00520468-0j -0.00320648-0j -0.000857857-0j 
-0.00907553-0j 0.00962232-0j 0.00754875-0j 0.00774818-0j 0.0139696-0j -0.00828447-0j -0.0280056-0j -0.00462971-0j -0.0296209-0j 0.0140262-0j -0.0171973-0j 0.0280858-0j 0.00981676-0j 0.0169841-0j -0.010079-0j -0.00121766-0j 0.00127778-0j 0.000988406-0j 0.00101452-0j 0.00179217-0j -0.00061514-0j -0.00106282-0j -0.00059395-0j -0.00196684-0j 0.0018446-0j -0.00287673-0j -0.000873463-0j -0.00295273-0j -0.001749-0j 0.00417046-0j 0.00125729-0j -0.0010752-0j -0.00181317-0j 0.00403225-0j 0.00370856-0j 0.0017407-0j -0.000730871-0j 
0.000162063-0j 2.51742e-06-0j -0.000134799-0j -0.000134476-0j -0.000377444-0j 6.54145e-06-0j 1.4685e-06-0j 0.000533273-0j -0.000265176-0j 0.000122042-0j -4.49921e-06-0j -0.00015498-0j 0.000374654-0j 0.000112656-0j -3.79106e-05-0j -0.00312912-0j -4.8108e-05-0j 0.00253998-0j 0.0025339-0j -0.00230887-0j 0.0111226-0j 4.00148e-05-0j 0.00326209-0j 0.000112043-0j -0.0143064-0j 0.00148166-0j 0.00658425-0j 0.00147811-0j -0.0083613-0j 7.87168e-05-0j 0.00323097-0j -0.00296046-0j -0.00452865-0j 0.0019296-0j -0.00587429-0j -0.00119982-0j 0.00032623-0j 
0.00113444-0j -0.0024232-0j 0.000958977-0j 0.000887345-0j -0.00264211-0j 0.00639927-0j -0.00141353-0j -0.00738441-0j 0.000625432-0j 0.000818425-0j -0.00087458-0j 0.000428915-0j 0.00174802-0j -0.00264304-0j -0.00442663-0j -0.00719981-0j 0.0152213-0j -0.00593954-0j -0.00549587-0j -0.00531249-0j 0.0255921-0j 0.012867-0j -0.0148478-0j -0.0354503-0j 0.0110912-0j -0.00346473-0j 0.0145137-0j -0.00320593-0j 0.00760623-0j 0.00839169-0j -0.00107185-0j -0.0136946-0j -0.00198357-0j 0.0146417-0j -0.00180053-0j 0.0252537-0j 0.0197586-0j 
-0.00112281-0j -0.00122534-0j 0.00281697-0j -0.000958977-0j 0.00172829-0j 0.00318211-0j 0.00356631-0j -0.000625432-0j 0.00115616-0j -0.00523629-0j -0.0056222-0j 0.000727735-0j -0.000418389-0j 0.000599221-0j -4.45146e-05-0j 0.00712596-0j 0.00769692-0j -0.0174473-0j 0.00593954-0j -0.0104881-0j 0.0035999-0j -0.0193106-0j 0.00379542-0j -0.0118476-0j 0.0034057-0j 0.0507799-0j -0.0154246-0j -0.0172869-0j 0.00214369-0j -0.00792556-0j 0.0343307-0j 0.0207241-0j 0.0272523-0j -0.00223101-0j 0.00143405-0j -0.00167696-0j 0.000107887-0j 
-0.00453776-0j -7.04879e-05-0j 0.0189949-0j 0.00376533-0j -0.00350169-0j 0.000305416-0j -4.11179e-05-0j 0.00494737-0j -0.031804-0j -0.0171973-0j -0.000181639-0j 0.00433944-0j 0.0449343-0j -0.0158747-0j 0.0010615-0j -0.000608831-0j -9.36034e-06-0j 0.00248713-0j 0.000493018-0j -0.000449235-0j -0.00030757-0j 3.91821e-05-0j 0.000634702-0j -7.22316e-06-0j -0.0039506-0j 0.00145082-0j -0.00213619-0j 0.000287594-0j 0.000539033-0j -6.56041e-05-0j 0.00621096-0j -0.00289886-0j 0.00127045-0j 0.00037544-0j 0.00489575-0j -0.00117485-0j 6.34744e-05-0j 
0.000108042-0j 1.67828e-06-0j 9.13312e-05-0j -8.96507e-05-0j -0.000415983-0j 1.4685e-06-0j 6.8115e-06-0j -0.000117795-0j -0.000297193-0j 0.000412561-0j 6.05724e-07-0j 0.000515504-0j -8.41565e-05-0j -7.63284e-05-0j -2.52737e-05-0j -0.00208608-0j -3.2072e-05-0j -0.00172093-0j 0.00168926-0j 0.0076799-0j -0.00105385-0j -2.71114e-05-0j 0.00217473-0j 0.000123484-0j -0.00106477-0j -0.00698458-0j 0.00147811-0j 0.00685607-0j 0.00184693-0j 8.8221e-05-0j -0.000310558-0j -0.0100078-0j 0.000609688-0j -0.00641834-0j 0.00131951-0j 0.000812919-0j 0.000217487-0j 
0.00374346-0j -0.0120233-0j 0.00316446-0j 0.0152659-0j -0.00576217-0j -0.0105204-0j 0.0349936-0j 0.00242631-0j -0.00411669-0j -0.0280858-0j -0.00433944-0j 0.0342195-0j 0.00173344-0j -0.0125821-0j 0.0306952-0j 0.00050226-0j -0.00159662-0j 0.000414343-0j 0.00199886-0j -0.000739234-0j 0.000253732-0j -0.00134967-0j 0.000311273-0j 0.00245762-0j 0.000256362-0j -0.00120594-0j 0.001749-0j -0.00581764-0j -0.00213097-0j 0.00175581-0j 7.47722e-05-0j -0.000572671-0j 0.000721427-0j 0.00293924-0j -0.00152244-0j 0.00129021-0j 0.00452381-0j 
-9.45367e-05-0j 0.000201934-0j -7.99148e-05-0j -7.39454e-05-0j 0.000220176-0j -0.000533273-0j 0.000117795-0j 0.000615368-0j -5.21193e-05-0j -6.82021e-05-0j 7.28817e-05-0j -3.57429e-05-0j -0.000145668-0j 0.000220253-0j 0.000368886-0j 0.00182532-0j -0.00385895-0j 0.00150581-0j 0.00139333-0j 0.00134684-0j -0.0064882-0j -0.00326209-0j 0.00376427-0j 0.00898749-0j -0.00281188-0j 0.000878391-0j -0.00367956-0j 0.000812778-0j -0.00192836-0j -0.00212749-0j 0.000271738-0j 0.00347191-0j 0.00050288-0j -0.00371203-0j 0.000456475-0j -0.00640241-0j -0.00500926-0j 
9.35671e-05-0j 0.000102111-0j -0.000234748-0j 7.99148e-05-0j -0.000144024-0j -0.000265176-0j -0.000297193-0j 5.21193e-05-0j -9.63466e-05-0j 0.000436357-0j 0.000468517-0j -6.06446e-05-0j 3.48658e-05-0j -4.99351e-05-0j 3.70955e-06-0j -0.0018066-0j -0.00195135-0j 0.00442329-0j -0.00150581-0j 0.00265898-0j -0.00091266-0j 0.00489568-0j -0.000962229-0j 0.00300364-0j -0.000863425-0j -0.0128739-0j 0.00391049-0j 0.00438263-0j -0.000543476-0j 0.00200932-0j -0.00870364-0j -0.00525404-0j -0.00690911-0j 0.000565613-0j -0.000363564-0j 0.00042515-0j -2.7352e-05-0j 
0.00160434-0j -0.001701-0j -0.00133444-0j -0.0013697-0j -0.0024695-0j 0.0014645-0j 0.00495073-0j 0.000818425-0j 0.00523629-0j -0.00247951-0j 0.00304008-0j -0.00496491-0j -0.00173538-0j -0.0030024-0j 0.00178173-0j -0.0101821-0j 0.0106848-0j 0.00826503-0j 0.00848338-0j 0.0149861-0j -0.00514379-0j -0.0088873-0j -0.0049666-0j -0.0164467-0j 0.0154246-0j -0.0240552-0j -0.00730389-0j -0.0246907-0j -0.0146251-0j 0.0348733-0j 0.0105135-0j -0.00899083-0j -0.0151617-0j 0.0337177-0j 0.0310109-0j 0.0145557-0j -0.00611153-0j 
0.00458479-0j -0.00979326-0j -0.0115026-0j 0.00358616-0j 0.00353798-0j 0.0254324-0j -0.00571273-0j 0.00988827-0j 0.00236677-0j -0.00981676-0j -0.0449343-0j 0.00173344-0j 0.00661487-0j 0.0317024-0j -0.01789-0j 0.00061514-0j -0.00130048-0j -0.00150611-0j 0.000469559-0j 0.00045389-0j 0.000310757-0j 0.00326274-0j 0.00126857-0j -0.00100355-0j 0.000293993-0j -0.000878566-0j -0.00121941-0j 0.000273909-0j 0.000215323-0j -0.000671337-0j 0.00296356-0j -0.0034726-0j 0.00215447-0j -0.00125097-0j 0.000144042-0j 0.00640369-0j -0.00168814-0j 
0.000802171-0j 1.24606e-05-0j -0.00335786-0j -0.000665622-0j 0.000619017-0j -5.39905e-05-0j 7.26869e-06-0j -0.00087458-0j 0.0056222-0j 0.00304008-0j 3.21095e-05-0j -0.000767113-0j -0.00794334-0j 0.00280628-0j -0.000187648-0j -0.00509103-0j -7.8271e-05-0j 0.0207973-0j 0.00412261-0j -0.00375649-0j -0.0025719-0j 0.00032764-0j 0.00530737-0j -6.04e-05-0j -0.0330348-0j 0.0121318-0j -0.0178628-0j 0.00240486-0j 0.00450739-0j -0.000548581-0j 0.051936-0j -0.0242402-0j 0.0106235-0j 0.00313943-0j 0.0409382-0j -0.00982408-0j 0.000530772-0j 
-0.000133695-0j 0.00014175-0j 0.000111204-0j 0.000114141-0j 0.000205792-0j -0.000122042-0j -0.000412561-0j -6.82021e-05-0j -0.000436357-0j 0.000206625-0j -0.00025334-0j 0.000413742-0j 0.000144615-0j 0.0002502-0j -0.000148477-0j 0.00258139-0j -0.00270885-0j -0.00209538-0j -0.00215074-0j -0.00379933-0j 0.00130407-0j 0.00225314-0j 0.00125915-0j 0.00416963-0j -0.00391049-0j 0.00609856-0j 0.00185171-0j 0.00625967-0j 0.00370782-0j -0.0088412-0j -0.00266541-0j 0.00227938-0j 0.00384385-0j -0.00854822-0j -0.00786199-0j -0.00369022-0j 0.00154942-0j 
-0.000661757-0j 0.00212544-0j -0.000559403-0j -0.00269866-0j 0.00101862-0j 0.00185976-0j -0.00618605-0j -0.000428915-0j 0.000727735-0j 0.00496491-0j 0.000767113-0j -0.00604921-0j -0.000306432-0j 0.00222422-0j -0.00542619-0j 0.00419989-0j -0.0133509-0j 0.00346473-0j 0.0167145-0j -0.00618146-0j 0.00212171-0j -0.0112859-0j 0.00260286-0j 0.0205505-0j 0.00214369-0j -0.010084-0j 0.0146251-0j -0.048647-0j -0.0178192-0j 0.014682-0j 0.000625244-0j -0.00478867-0j 0.00603256-0j 0.0245779-0j -0.0127306-0j 0.0107887-0j 0.0378281-0j 
-0.00207163-0j 0.00888231-0j 0.00172312-0j -0.0187146-0j -0.00159863-0j -0.00764735-0j 0.00518135-0j 0.0149513-0j 0.0033897-0j 0.0169841-0j -0.0158747-0j 0.0125821-0j -0.0317024-0j 0.0186284-0j 0.00137394-0j -0.00027795-0j 0.00117951-0j 0.000225619-0j -0.00245041-0j -0.000205089-0j -0.000140415-0j -0.000981085-0j 0.00191811-0j 0.000910204-0j 0.000421059-0j 0.000131611-0j 0.00210972-0j -0.00142941-0j 0.00156291-0j -0.00192998-0j 0.000286997-0j -0.00174076-0j 0.00437945-0j -0.0022172-0j -0.00331397-0j 0.00309998-0j 0.00436018-0j 
-6.68476e-05-0j -1.03838e-06-0j 0.000279822-0j 5.54685e-05-0j -5.15848e-05-0j 4.49921e-06-0j -6.05724e-07-0j 7.28817e-05-0j -0.000468517-0j -0.00025334-0j -2.67579e-06-0j 6.3926e-05-0j 0.000661945-0j -0.000233856-0j 1.56373e-05-0j 0.0012907-0j 1.98435e-05-0j -0.00527261-0j -0.00104518-0j 0.000952359-0j 0.000652036-0j -8.30645e-05-0j -0.00134554-0j 1.53128e-05-0j 0.0083751-0j -0.00307569-0j 0.00452865-0j -0.000609688-0j -0.00114273-0j 0.000139078-0j -0.013167-0j 0.00614546-0j -0.0026933-0j -0.000795918-0j -0.0103788-0j 0.00249063-0j -0.000134563-0j 
-0.000810484-0j 0.00173122-0j 0.0020334-0j -0.00063395-0j -0.000625432-0j -0.00449585-0j 0.00100988-0j -0.00174802-0j -0.000418389-0j 0.00173538-0j 0.00794334-0j -0.000306432-0j -0.00116935-0j -0.00560425-0j 0.00316254-0j 0.00514379-0j -0.0108746-0j -0.0125941-0j 0.00392644-0j 0.00379542-0j 0.00259855-0j 0.027283-0j 0.0106078-0j -0.00839169-0j 0.00245837-0j -0.00734656-0j -0.0101967-0j 0.00229042-0j 0.00180053-0j -0.00561371-0j 0.0247812-0j -0.0290378-0j 0.0180157-0j -0.0104606-0j 0.00120448-0j 0.0535476-0j -0.0141162-0j 
5.51464e-05-0j -0.00017712-0j 4.66169e-05-0j 0.000224888-0j -8.48848e-05-0j -0.00015498-0j 0.000515504-0j 3.57429e-05-0j -6.06446e-05-0j -0.000413742-0j -6.3926e-05-0j 0.0005041-0j 2.5536e-05-0j -0.000185352-0j 0.000452183-0j -0.00106477-0j 0.00338477-0j -0.000878391-0j -0.00423751-0j 0.00156715-0j -0.000537902-0j 0.00286125-0j -0.000659887-0j -0.00521005-0j -0.000543476-0j 0.00255654-0j -0.00370782-0j 0.0123332-0j 0.00451758-0j -0.00372224-0j -0.000158514-0j 0.00121404-0j -0.0015294-0j -0.00623106-0j 0.00322751-0j -0.0027352-0j -0.0095903-0j 
0.000456751-0j -0.00294109-0j 0.000386105-0j 0.0109277-0j 0.000352464-0j -0.00257346-0j -0.00171564-0j -0.0250408-0j 0.000251813-0j 0.010079-0j -0.0010615-0j 0.0306952-0j -0.01789-0j -0.00137394-0j 0.00153312-0j 6.12822e-05-0j -0.000390559-0j 5.05552e-05-0j 0.00143084-0j 4.5218e-05-0j 3.09586e-05-0j -0.000330151-0j -0.00321251-0j -0.000301385-0j 3.12794e-05-0j 2.94905e-05-0j 0.00125198-0j 0.000834654-0j 0.00381286-0j -0.00021532-0j 9.12317e-06-0j -0.00296299-0j 0.000516416-0j -0.000160906-0j 0.00272404-0j -0.00487444-0j 0.00650092-0j 
0.000366215-0j -0.00157018-0j -0.000304607-0j 0.0033083-0j 0.0002826-0j 0.00135187-0j -0.000915941-0j -0.00264304-0j -0.000599221-0j -0.0030024-0j 0.00280628-0j -0.00222422-0j 0.00560425-0j -0.00329307-0j -0.000242881-0j -0.00232421-0j 0.00986308-0j 0.00188662-0j -0.0204903-0j -0.00171495-0j -0.00117415-0j -0.00820382-0j 0.0160392-0j 0.00761112-0j 0.00352089-0j 0.00110053-0j 0.0176414-0j -0.0119527-0j 0.013069-0j -0.0161385-0j 0.00239986-0j -0.0145562-0j 0.0366209-0j -0.0185402-0j -0.0277114-0j 0.025922-0j 0.0364597-0j 
6.75403e-05-0j -0.000144268-0j -0.00016945-0j 5.28291e-05-0j 5.21193e-05-0j 0.000374654-0j -8.41565e-05-0j 0.000145668-0j 3.48658e-05-0j -0.000144615-0j -0.000661945-0j 2.5536e-05-0j 9.74462e-05-0j 0.000467021-0j -0.000263545-0j -0.00130407-0j 0.00275697-0j 0.0031929-0j -0.000995445-0j -0.000962229-0j -0.000658793-0j -0.00691688-0j -0.00268933-0j 0.00212749-0j -0.000623253-0j 0.00186252-0j 0.0025851-0j -0.000580676-0j -0.000456475-0j 0.00142321-0j -0.00628262-0j 0.00736177-0j -0.00456739-0j 0.002652-0j -0.000305364-0j -0.0135756-0j 0.00357879-0j 
-3.0518e-05-0j 0.000130849-0j 2.53839e-05-0j -0.000275691-0j -2.355e-05-0j -0.000112656-0j 7.63284e-05-0j 0.000220253-0j 4.99351e-05-0j 0.0002502-0j -0.000233856-0j 0.000185352-0j -0.000467021-0j 0.000274423-0j 2.02401e-05-0j 0.000589242-0j -0.00250052-0j -0.000478302-0j 0.00519478-0j 0.000434781-0j 0.000297674-0j 0.00207986-0j -0.00406632-0j -0.0019296-0j -0.000892628-0j -0.00027901-0j -0.00447252-0j 0.00303029-0j -0.00331331-0j 0.00409148-0j -0.000608421-0j 0.00369033-0j -0.00928425-0j 0.00470037-0j 0.00702548-0j -0.00657182-0j -0.0092434-0j 
-8.07429e-05-0j 0.000519917-0j -6.82544e-05-0j -0.00193177-0j -6.23075e-05-0j 0.000454927-0j 0.000303285-0j 0.00442663-0j -4.45146e-05-0j -0.00178173-0j 0.000187648-0j -0.00542619-0j 0.00316254-0j 0.000242881-0j -0.00027102-0j 0.000512441-0j -0.00326585-0j 0.000422742-0j 0.0119646-0j 0.000378112-0j 0.000258876-0j -0.00276072-0j -0.0268629-0j -0.00252018-0j 0.000261558-0j 0.000246599-0j 0.010469-0j 0.00697936-0j 0.0318831-0j -0.0018005-0j 7.62878e-05-0j -0.0247765-0j 0.00431826-0j -0.0013455-0j 0.0227784-0j -0.04076-0j 0.0543606-0j 
6.72858e-06-0j -4.33264e-05-0j 5.68787e-06-0j 0.000160981-0j 5.19229e-06-0j -3.79106e-05-0j -2.52737e-05-0j -0.000368886-0j 3.70955e-06-0j 0.000148477-0j -1.56373e-05-0j 0.000452183-0j -0.000263545-0j -2.02401e-05-0j 2.2585e-05-0j -0.000129916-0j 0.000827968-0j -0.000107175-0j -0.00303331-0j -9.58602e-05-0j -6.5631e-05-0j 0.000699907-0j 0.00681038-0j 0.000638925-0j -6.63111e-05-0j -6.25187e-05-0j -0.00265415-0j -0.00176943-0j -0.00808312-0j 0.00045647-0j -1.93408e-05-0j 0.00628143-0j -0.00109478-0j 0.000341115-0j -0.00577486-0j 0.0103336-0j -0.0137817-0j 
