-0.0038034-0j -0.000633899-0j -0.000388183-0j -7.92374e-05-0j -4.66911e-06-0j -0.00341559-0j -0.000551188-0j -0.000450043-0j -6.49581e-05-0j -5.62554e-05-0j -6.62976e-06-0j -3.02606e-07-0j -0.00219094-0j -0.00221365-0j -0.000346418-0j -0.000350008-0j -0.000273868-0j -0.000182579-0j -3.95294e-05-0j -0.000276706-0j -0.000184471-0j -3.9939e-05-0j -4.56446e-05-0j -1.61378e-05-0j -3.80372e-06-0j -4.61176e-05-0j -1.6305e-05-0j -4.03445e-06-0j -3.84314e-06-0j -4.07626e-06-0j -3.36204e-07-0j -1.25296e-08-0j -3.39689e-07-0j -1.26594e-08-0j 0.576216-0j 0.71303-0j 0.415934-0j -0.000256588-0j -0.000317511-0j -0.000185215-0j -0.000198752-0j -2.86874e-05-0j -0.000181435-0j -0.000245943-0j -3.54988e-05-0j -0.000143467-0j -3.20735e-05-0j -0.000224514-0j -2.07076e-05-0j -2.13823e-05-0j -2.67279e-06-0j -0.000130967-0j -1.85176e-05-0j -3.96889e-05-0j -2.64593e-05-0j -3.77989e-06-0j -2.31519e-05-0j -3.30741e-06-0j -1.88995e-06-0j -2.29144e-05-0j -1.54346e-05-0j -2.22732e-07-0j -1.92932e-06-0j -1.33667e-05-0j -2.7279e-07-0j -4.67738e-06-0j -2.33869e-06-0j -1.76085e-08-0j -2.75617e-07-0j -2.72847e-06-0j -1.36424e-06-0j -3.37561e-07-0j -5.54617e-10-0j -1.60777e-07-0j -1.96911e-07-0j -2.17895e-08-0j -1.27105e-08-0j -6.86303e-10-0j -4.00344e-10-0j 
-5.06356e-06-0j -0.0235984-0j -5.16798e-07-0j -0.000471973-0j -0.000171641-0j -6.47249e-08-0j 9.98589e-07-0j 2.49435e-06-0j 0.00161079-0j 1.01918e-07-0j -1.72243e-06-0j -2.64816e-07-0j -2.91686e-06-0j 2.86319e-06-0j 4.40927e-05-0j -4.32814e-05-0j -3.64607e-07-0j -0.0103255-0j -0.000235454-0j 3.57899e-07-0j 0.0101355-0j 0.000231122-0j -0.00169923-0j -2.14847e-08-0j 0.0203061-0j 0.00166796-0j 2.10894e-08-0j -2.4031e-05-0j -0.0199325-0j 2.35888e-05-0j -1.23592e-05-0j -1.15792e-06-0j 1.21318e-05-0j 1.13661e-06-0j -2.19113e-06-0j -3.85934e-08-0j 3.09574e-06-0j 3.26589e-05-0j 5.75236e-07-0j -4.61422e-05-0j -2.64604e-07-0j -0.000170875-0j 7.06483e-05-0j -4.66059e-09-0j -3.00969e-06-0j 3.73846e-07-0j 4.08236e-06-0j 1.24436e-06-0j 0.000241421-0j 0.115611-0j -4.8785e-05-0j -9.98157e-05-0j 7.21051e-06-0j 7.19045e-08-0j 0.0020363-0j 0.0065851-0j -5.76778e-06-0j -8.59274e-07-0j 2.40555e-07-0j 1.27002e-07-0j -0.163341-0j 0.00239478-0j 6.89261e-05-0j -1.01874e-05-0j -4.9791e-06-0j 0.000115986-0j 4.23702e-09-0j -1.0826e-06-0j 4.21804e-05-0j -0.00930378-0j -3.39869e-07-0j -8.76992e-08-0j -7.18562e-08-0j -0.00338347-0j 7.03474e-06-0j -1.90684e-08-0j 1.52956e-06-0j -1.26564e-09-0j 1.01522e-07-0j 
-8.7671e-05-0j -1.43376e-05-0j 4.56789e-08-0j 0.000257461-0j 0.0659279-0j 5.72093e-09-0j 3.47602e-05-0j 7.53799e-10-0j 3.00425e-06-0j -1.8111e-08-0j -2.91082e-05-0j 0.000317518-0j 2.57816e-07-0j -2.53073e-07-0j -7.83532e-06-0j 7.69115e-06-0j -6.31285e-06-0j 2.14847e-08-0j -0.0251597-0j 6.19669e-06-0j -2.10894e-08-0j 0.0246968-0j -1.03239e-06-0j 1.899e-09-0j -0.00117329-0j 1.0134e-06-0j -1.86406e-09-0j 1.31089e-05-0j 0.0011517-0j -1.28677e-05-0j 0.00474721-0j 0.0028102-0j -0.00465986-0j -0.0027585-0j 1.9367e-07-0j 3.4112e-09-0j -2.73627e-07-0j -5.80352e-06-0j -1.0222e-07-0j 8.19953e-06-0j 2.33879e-08-0j 9.3212e-05-0j -4.1822e-06-0j 4.11942e-10-0j 1.64179e-06-0j -3.30437e-08-0j 0.000142104-0j -7.36631e-08-0j -0.000131695-0j -4.83627e-07-0j 0.161497-0j 5.90884e-06-0j 2.17904e-09-0j 2.50295e-06-0j -8.51835e-09-0j 1.22818e-05-0j -0.000200772-0j 0.00284453-0j -4.2747e-08-0j 3.83804e-11-0j 6.83294e-07-0j 0.00314498-0j -0.228172-0j -3.07866e-09-0j -8.41444e-05-0j 2.16324e-07-0j -7.52923e-10-0j 0.00129805-0j 5.53941e-05-0j -1.73523e-05-0j 6.03952e-08-0j -1.48207e-06-0j 0.000292283-0j -0.0044434-0j 0.000118884-0j 2.28632e-05-0j -0.00183396-0j 5.14811e-06-0j -0.000412953-0j 
-6.20157e-06-0j -0.00712548-0j -0.0117179-0j -0.00238925-0j 1.46332e-06-0j -7.92715e-08-0j 6.05112e-07-0j -0.000294445-0j -2.10061e-05-0j 0.00114336-0j -4.28305e-06-0j 1.68915e-09-0j -3.57241e-06-0j 3.50668e-06-0j 2.67187e-05-0j -2.62271e-05-0j 8.63755e-05-0j 8.70715e-05-0j 6.16214e-06-0j -8.47862e-05-0j -8.54695e-05-0j -6.04876e-06-0j 0.0992436-0j -0.00147673-0j -0.000130077-0j -0.0974176-0j 0.00144956-0j 0.0116434-0j 0.000127684-0j -0.0114291-0j -2.03812e-05-0j 5.90048e-09-0j 2.00062e-05-0j -5.79192e-09-0j -2.68357e-06-0j -4.7267e-08-0j 3.79149e-06-0j 1.97902e-05-0j 3.48574e-07-0j -2.79607e-05-0j 6.26846e-05-0j 4.472e-06-0j 4.31152e-05-0j 1.10409e-06-0j 7.87675e-08-0j -8.85641e-05-0j -0.000478498-0j 7.59408e-07-0j -6.31828e-06-0j -0.000482354-0j 6.2716e-07-0j -6.09154e-05-0j 0.0814662-0j -8.428e-06-0j -8.49592e-06-0j 0.0166107-0j 0.000676047-0j 1.10465e-08-0j 0.0081807-0j 0.0014349-0j 0.000681495-0j -1.01735e-05-0j -8.86085e-07-0j -0.1151-0j 0.00118502-0j 0.000292573-0j 0.00014409-0j -1.33571e-06-0j -1.7919e-07-0j -0.0234685-0j -0.0115581-0j 2.08723e-05-0j 3.04863e-10-0j 1.43736e-05-0j -0.00167426-0j -2.35264e-08-0j 1.88716e-06-0j 5.3697e-12-0j -4.30727e-10-0j 
-1.55039e-06-0j -2.58399e-07-0j -0.0178222-0j 1.25277e-05-0j -1.90329e-09-0j -1.98179e-08-0j -3.1981e-09-0j 1.01278e-06-0j -3.76899e-10-0j -3.67629e-05-0j 1.49197e-08-0j -1.75578e-12-0j -8.93102e-07-0j 8.76669e-07-0j -1.41212e-07-0j 1.38614e-07-0j 4.32994e-05-0j -7.44252e-08-0j -1.61135e-08-0j -4.25027e-05-0j 7.30558e-08-0j 1.5817e-08-0j 7.21656e-06-0j 0.142818-0j -1.55052e-09-0j -7.08378e-06-0j -0.14019-0j -0.000185229-0j 1.522e-09-0j 0.000181821-0j 5.3155e-08-0j -5.10749e-12-0j -5.2177e-08-0j 5.01351e-12-0j -6.70893e-07-0j -1.18168e-08-0j 9.47873e-07-0j -1.04594e-07-0j -1.84226e-09-0j 1.47776e-07-0j 3.14233e-05-0j -1.16939e-08-0j -7.3959e-08-0j 5.53474e-07-0j -2.05971e-10-0j -4.43965e-05-0j 5.07092e-06-0j -1.30267e-09-0j 1.65218e-08-0j -8.71615e-09-0j -1.08952e-09-0j 1.04493e-07-0j -0.000850177-0j 8.93164e-08-0j -1.53522e-10-0j 5.97613e-07-0j -7.16446e-06-0j -1.91902e-11-0j 0.0167258-0j -1.49746e-05-0j 1.23146e-08-0j -9.07933e-11-0j 1.53933e-09-0j 0.00120118-0j -1.25243e-05-0j 1.0526e-08-0j 0.0002946-0j 2.78397e-09-0j -1.59918e-12-0j -8.4434e-07-0j -0.0236311-0j -2.20596e-07-0j -2.26081e-13-0j 1.28278e-10-0j 1.7695e-05-0j 4.90353e-11-0j -3.93334e-09-0j -3.98206e-15-0j 3.19419e-13-0j 
7.30862e-07-0j 0.00255474-0j -1.44284e-05-0j -0.0200849-0j -0.00235188-0j 9.34224e-09-0j -2.16955e-07-0j 1.72606e-05-0j -0.000355006-0j 4.28305e-06-0j 0.00110722-0j -5.48133e-06-0j 4.21012e-07-0j -4.13266e-07-0j -9.57963e-06-0j 9.40337e-06-0j -5.06341e-06-0j -1.02615e-05-0j 0.000104141-0j 4.97024e-06-0j 1.00727e-05-0j -0.000102225-0j -0.0176992-0j -9.01295e-07-0j 0.0676024-0j 0.0173736-0j 8.84711e-07-0j -0.00205592-0j -0.0663585-0j 0.00201809-0j 0.0162938-0j -3.20571e-05-0j -0.015994-0j 3.14673e-05-0j 3.16262e-07-0j 5.57047e-09-0j -4.46832e-07-0j -7.09551e-06-0j -1.24977e-07-0j 1.00249e-05-0j -3.67463e-06-0j 7.55775e-05-0j -5.08117e-06-0j -6.4723e-08-0j 1.33118e-06-0j 5.19171e-06-0j 8.53359e-05-0j -8.9497e-08-0j -0.00010678-0j 0.000172941-0j -0.000325941-0j 7.17895e-06-0j 0.000100311-0j 1.50306e-06-0j 3.0461e-06-0j 0.139636-0j -0.000120567-0j -5.74096e-06-0j 1.51899e-05-0j 1.76682e-06-0j -0.000244341-0j 0.0163509-0j 0.000460507-0j -0.000141724-0j 0.00643462-0j 0.00245948-0j 2.67547e-07-0j 0.002156-0j 0.000287997-0j -0.197285-0j -2.14611e-05-0j 0.000113336-0j -2.49102e-06-0j -0.0231015-0j -0.00909117-0j 3.79746e-05-0j -0.00304611-0j -4.38754e-08-0j 3.51944e-06-0j 
4.4756e-07-0j -7.1315e-06-0j 0.00256355-0j -0.0121247-0j 1.5171e-05-0j 5.72093e-09-0j -8.82637e-08-0j -2.19086e-07-0j 4.86784e-07-0j -0.00050556-0j -4.42481e-05-0j 2.34066e-08-0j 2.57816e-07-0j -2.53073e-07-0j -3.89728e-06-0j 3.82557e-06-0j -9.36653e-06-0j 2.14847e-08-0j 2.08114e-05-0j 9.19419e-06-0j -2.10894e-08-0j -2.04285e-05-0j 0.000149248-0j -0.0101466-0j 6.13657e-06-0j -0.000146502-0j 0.00995988-0j 0.119204-0j -6.02366e-06-0j -0.117011-0j -0.000317499-0j 1.02346e-07-0j 0.000311657-0j -1.00463e-07-0j 1.9367e-07-0j 3.4112e-09-0j -2.73627e-07-0j -2.88667e-06-0j -5.08442e-08-0j 4.07843e-06-0j -6.7975e-06-0j 1.51033e-05-0j 2.13501e-08-0j -1.19728e-07-0j 2.66022e-07-0j 9.60387e-06-0j 0.000104873-0j 3.7605e-10-0j -2.13388e-05-0j -2.40555e-07-0j 4.31203e-06-0j -3.01646e-08-0j 0.00012229-0j 1.84718e-06-0j -4.23702e-09-0j -0.000578388-0j -0.00014817-0j 7.59498e-08-0j 0.113607-0j 2.15395e-06-0j 3.39869e-07-0j 7.23709e-07-0j -6.09226e-06-0j -0.000172778-0j 0.0246986-0j -1.01874e-05-0j 0.00200101-0j -2.78113e-05-0j 1.2747e-08-0j 0.000817177-0j -0.16051-0j 0.000435028-0j 6.35125e-09-0j -1.02249e-06-0j -0.0348955-0j -4.89854e-07-0j 3.92933e-05-0j 1.11867e-10-0j -8.97338e-09-0j 
-3.33591e-08-0j -0.000194886-0j -3.4047e-09-0j -3.20948e-05-0j -0.0256547-0j -4.26413e-10-0j 1.65502e-08-0j 8.18838e-09-0j 5.45805e-05-0j 1.68915e-09-0j 5.48133e-06-0j 0.00107114-0j -1.92165e-08-0j 1.88629e-08-0j 7.30773e-07-0j -7.17327e-07-0j -2.40206e-09-0j 4.6837e-07-0j -1.60112e-05-0j 2.35787e-09-0j -4.59752e-07-0j 1.57166e-05-0j -1.4033e-05-0j -1.41543e-10-0j -0.0321999-0j 1.37748e-05-0j 1.38939e-10-0j -1.63414e-06-0j 0.0316074-0j 1.60407e-06-0j -0.0018473-0j 0.0197428-0j 0.00181331-0j -0.0193795-0j -1.44353e-08-0j -2.54256e-10-0j 2.0395e-08-0j 5.41274e-07-0j 9.53371e-09-0j -7.64741e-07-0j -1.74323e-09-0j -1.16197e-05-0j 2.31923e-07-0j -3.07043e-11-0j -2.04663e-07-0j 2.46293e-09-0j 6.76593e-08-0j 4.08496e-09-0j 1.64169e-05-0j -1.31927e-05-0j 0.00015525-0j -3.27673e-07-0j 2.36705e-08-0j 1.19171e-09-0j -2.32368e-07-0j 0.000223132-0j -9.55926e-08-0j 2.73449e-06-0j 3.98686e-09-0j 4.1692e-10-0j 1.86393e-05-0j 0.178359-0j -0.000219345-0j -3.34429e-08-0j 1.58451e-05-0j 3.93013e-06-0j 7.02224e-11-0j 0.00437896-0j 0.00314152-0j -0.000315253-0j -5.63285e-09-0j 2.79087e-07-0j 0.00311313-0j -0.251995-0j -2.23868e-05-0j 7.71287e-05-0j -0.00618683-0j 5.4833e-05-0j -0.00439839-0j 
-4.56789e-08-0j 1.46332e-06-0j -8.63104e-05-0j 0.0050827-0j -0.00672874-0j -5.8389e-10-0j 1.8111e-08-0j 1.48812e-08-0j -3.0662e-07-0j 3.42207e-05-0j -0.000574645-0j -3.24065e-05-0j -2.63133e-08-0j 2.58291e-08-0j 7.99689e-07-0j -7.84975e-07-0j 6.36215e-07-0j -2.19277e-09-0j -1.31089e-05-0j -6.24509e-07-0j 2.15243e-09-0j 1.28677e-05-0j -2.03812e-05-0j -1.08771e-05-0j 0.000119748-0j 2.00062e-05-0j 1.0677e-05-0j -0.0247692-0j -0.000117545-0j 0.0243135-0j 0.0937178-0j -0.000286815-0j -0.0919934-0j 0.000281538-0j -1.97664e-08-0j -3.48154e-10-0j 2.7927e-08-0j 5.9232e-07-0j 1.04328e-08-0j -8.36861e-07-0j 4.61716e-07-0j -9.51341e-06-0j -2.17904e-09-0j 8.13242e-09-0j -1.67564e-07-0j -6.52336e-07-0j -1.43214e-05-0j -3.83804e-11-0j 1.3441e-05-0j 4.936e-08-0j 8.41444e-05-0j 3.07866e-09-0j -4.1173e-06-0j -2.5225e-07-0j 8.694e-10-0j 0.000242462-0j 2.0234e-05-0j 1.48207e-06-0j 0.000244848-0j -7.25199e-08-0j -6.97384e-08-0j -0.000320984-0j -0.000118884-0j 5.81713e-06-0j 0.158991-0j 4.2706e-06-0j 4.31262e-06-0j 0.0256257-0j -5.65363e-06-0j -0.000342563-0j -0.000345934-0j 0.00280038-0j -2.9831e-05-0j 0.000453503-0j -0.224631-0j 0.000451358-0j -0.0362054-0j -5.25427e-07-0j 4.21468e-05-0j 
2.40749e-09-0j -1.15887e-07-0j -4.75278e-08-0j -0.000334979-0j 0.00563311-0j 3.07737e-11-0j -1.43428e-09-0j -3.90128e-10-0j 4.0626e-08-0j 2.83151e-08-0j 7.65198e-05-0j -0.0004898-0j 1.38683e-09-0j -1.36131e-09-0j -6.33306e-08-0j 6.21654e-08-0j -1.66791e-08-0j 1.15569e-10-0j 1.73688e-06-0j 1.63722e-08-0j -1.13443e-10-0j -1.70492e-06-0j 8.02862e-07-0j -2.9689e-09-0j -3.20571e-05-0j -7.88089e-07-0j 2.91427e-09-0j -3.42888e-05-0j 3.14673e-05-0j 3.36579e-05-0j -0.0390261-0j 0.0637464-0j 0.0383081-0j -0.0625735-0j 1.04178e-09-0j 1.83493e-11-0j -1.47188e-09-0j -4.69082e-08-0j -8.26216e-10-0j 6.62744e-08-0j -1.21044e-08-0j 1.26049e-06-0j 1.14845e-10-0j -2.132e-10-0j 2.22016e-08-0j 1.71017e-08-0j 5.64153e-07-0j 2.02283e-12-0j -1.78089e-06-0j -3.90902e-09-0j -2.25258e-05-0j -1.6226e-10-0j -2.26724e-09-0j 9.93669e-09-0j -6.88513e-11-0j -1.59796e-05-0j -7.97065e-07-0j -3.96758e-07-0j 1.0042e-07-0j -3.99339e-11-0j 5.52286e-09-0j 0.000268718-0j 3.18257e-05-0j 3.20327e-09-0j 0.000444697-0j -2.81457e-07-0j 1.76875e-09-0j 0.192656-0j 4.73306e-06-0j 2.25769e-05-0j -1.41879e-07-0j 7.83266e-06-0j 0.0211-0j -0.000379659-0j -0.000628292-0j 0.00339333-0j -0.272194-0j 0.000371643-0j -0.0298111-0j 
-6.56697e-11-0j 4.2184e-09-0j -6.70238e-12-0j -1.77696e-07-0j -0.000725105-0j -8.39422e-13-0j 5.22095e-11-0j -1.10604e-13-0j -2.0735e-09-0j 5.3286e-12-0j 6.10599e-08-0j 0.000128032-0j -3.78289e-11-0j 3.71329e-11-0j 2.30531e-09-0j -2.26289e-09-0j -4.72862e-12-0j -3.15241e-12-0j -8.86479e-08-0j 4.64161e-12-0j 3.09441e-12-0j 8.70168e-08-0j 3.03751e-10-0j -2.78636e-13-0j 2.46119e-06-0j -2.98162e-10-0j 2.7351e-13-0j -9.04758e-09-0j -2.41591e-06-0j 8.88111e-09-0j -5.2212e-05-0j -0.0531272-0j 5.12513e-05-0j 0.0521497-0j -2.84169e-11-0j -5.0052e-13-0j 4.01489e-11-0j 1.70751e-09-0j 3.00752e-11-0j -2.41246e-09-0j -3.43166e-12-0j -6.43337e-08-0j -3.13267e-12-0j -6.04435e-14-0j -1.13314e-09-0j 4.84843e-12-0j 2.13439e-10-0j -5.51771e-14-0j 9.08941e-08-0j 1.42293e-10-0j 1.72942e-06-0j 4.42599e-12-0j -3.19726e-13-0j 3.7594e-12-0j 2.50627e-12-0j -8.47672e-09-0j -3.01558e-10-0j 3.04611e-08-0j 1.2577e-11-0j -5.63149e-15-0j -2.01039e-10-0j -3.459e-05-0j -2.44342e-06-0j 4.51726e-13-0j 1.76509e-07-0j -1.49304e-10-0j 2.21525e-13-0j 0.000523412-0j -6.0925e-07-0j 1.19764e-08-0j -1.77695e-11-0j 3.10893e-09-0j 0.220052-0j 4.88706e-05-0j -2.49381e-07-0j 9.21911e-06-0j -0.000739505-0j 0.00387588-0j -0.310901-0j 
