0.0825516-0j 0.0145932-0j 0.0012161-0j 0.0717802-0j 0.0119634-0j 0.00732604-0j 0.00149542-0j 8.81186e-05-0j 0.0451135-0j 0.045581-0j 0.00728015-0j 0.0073556-0j 0.00594422-0j 0.000857974-0j 0.00600582-0j 0.000743028-0j 0.000866866-0j 8.75666e-05-0j 0.000750728-0j 3.99685e-06-0j 8.84741e-05-0j 4.03827e-06-0j 0.033415-0j 0.0413489-0j 0.0241202-0j 0.00528337-0j 0.00653784-0j 0.00417687-0j 0.00381374-0j 0.00278458-0j 0.00060288-0j 0.00516862-0j 0.000696145-0j 0.00344574-0j 0.000746025-0j 0.00301503-0j 0.000246125-0j 0.00201002-0j 5.80121e-05-0j 0.000435181-0j 6.15311e-05-0j 0.000861436-0j 0.000304564-0j 5.12759e-06-0j 0.000502504-0j 7.17863e-05-0j 7.61409e-05-0j 0.000177662-0j 1.91094e-07-0j 4.18754e-05-0j 4.44155e-05-0j 6.34507e-06-0j 3.70129e-06-0j 2.36467e-07-0j 1.37939e-07-0j 
-0.00123585-0j -0.000218469-0j -1.82057e-05-0j -0.61951-0j 0.000527099-0j 0.000322781-0j 6.58873e-05-0j 3.88245e-06-0j -0.000675374-0j -0.00325812-0j 0.0213493-0j 0.102993-0j -8.89884e-05-0j -1.28444e-05-0j -0.000429295-0j -1.11235e-05-0j -6.19634e-05-0j -1.31092e-06-0j -5.36619e-05-0j -5.98352e-08-0j -6.32411e-06-0j -2.88655e-07-0j -0.000500241-0j 0.00182181-0j -0.000420161-0j -7.90951e-05-0j 0.000288053-0j 0.0122488-0j -6.64334e-05-0j -4.16868e-05-0j 0.00176797-0j -0.0446085-0j -1.04217e-05-0j 0.000151817-0j -0.00643868-0j 0.010288-0j -3.68463e-06-0j -3.50135e-05-0j -8.68475e-07-0j 0.00148495-0j -9.21156e-07-0j 3.79543e-05-0j 1.34189e-05-0j -7.6763e-08-0j -8.75336e-06-0j 3.16286e-06-0j 3.35472e-06-0j -3.09478e-06-0j -2.86079e-09-0j -7.29447e-07-0j -7.73695e-07-0j 2.7956e-07-0j -6.44746e-08-0j 1.04186e-08-0j -2.40283e-09-0j 
0.000349477-0j -0.0119499-0j 5.14828e-06-0j 4.32533e-06-0j 7.20889e-07-0j 0.00817273-0j -1.743e-05-0j 5.30985e-09-0j 0.000190985-0j -0.000187471-0j 3.08201e-05-0j -3.0253e-05-0j -0.00486751-0j 3.63218e-06-0j 0.00477795-0j 0.0582346-0j -3.56535e-06-0j -7.17052e-05-0j -0.0571631-0j 1.69204e-08-0j 7.03859e-05-0j -1.66091e-08-0j -0.00028217-0j 2.4916e-06-0j -0.000199862-0j -4.4615e-05-0j 3.93957e-07-0j 0.00682244-0j -3.1601e-05-0j -2.35142e-05-0j -5.09097e-06-0j -6.02432e-05-0j 0.00113707-0j 2.07634e-07-0j 4.4954e-08-0j 0.00483237-0j -0.116641-0j -1.66552e-05-0j -4.89878e-07-0j -3.60596e-06-0j -0.00961939-0j -1.00405e-05-0j 0.00102996-0j 8.37534e-06-0j 0.000805395-0j 4.3257e-09-0j 8.49407e-05-0j -0.0826173-0j -1.61368e-09-0j -3.46983e-07-0j -0.00681346-0j -7.39555e-08-0j 5.9323e-06-0j 1.4249e-11-0j -1.14298e-09-0j 
-0.0509328-0j -0.00292232-0j -0.000740877-0j 0.000303877-0j 0.349148-0j 3.10143e-05-0j -0.000605254-0j -7.17029e-05-0j -0.000566828-0j 0.000192964-0j 0.00432683-0j -0.00147298-0j 0.0108848-0j -0.150203-0j -0.00370548-0j 0.000441605-0j 0.0511334-0j 0.000158332-0j -0.000150335-0j 1.20782e-05-0j -5.39005e-05-0j -4.11175e-06-0j 0.00014146-0j -0.000519528-0j 0.000102111-0j -0.00105801-0j 0.00388565-0j 1.76825e-05-0j -0.00076371-0j -0.00344786-0j -0.000244008-0j -6.4941e-05-0j 0.0203169-0j 0.0126626-0j 0.000896147-0j 1.27639e-05-0j 1.04195e-06-0j -0.0024888-0j 0.0051508-0j -0.000176134-0j -2.4904e-05-0j -0.0746159-0j -3.82669e-06-0j -4.17237e-06-0j 0.0146655-0j -0.0189169-0j 9.14627e-05-0j 7.52121e-07-0j -2.33647e-07-0j 0.00371804-0j -1.79766e-05-0j 1.53235e-05-0j -3.01178e-06-0j 8.58095e-07-0j -1.68655e-07-0j 
0.00021401-0j -0.00731777-0j 3.15267e-06-0j 0.000186086-0j 3.10143e-05-0j 0.35161-0j -0.00074988-0j 2.28442e-07-0j -0.00034711-0j 0.000118166-0j -5.60146e-05-0j 1.90689e-05-0j 0.00884656-0j -6.60138e-06-0j -0.00301162-0j -0.10584-0j 2.2473e-06-0j 0.000130322-0j 0.0360308-0j -3.07524e-08-0j -4.43654e-05-0j 1.0469e-08-0j 8.66263e-05-0j -0.000318145-0j 6.25302e-05-0j 1.36968e-05-0j -5.03031e-05-0j -0.00209449-0j 9.88689e-06-0j 7.21886e-06-0j 1.56293e-06-0j 0.00769226-0j -0.000349082-0j -2.65121e-05-0j -5.74003e-06-0j -0.00151189-0j 0.0358088-0j 5.21085e-06-0j 1.50393e-07-0j 1.12818e-06-0j 0.00295316-0j 0.00128204-0j -0.131512-0j -2.57123e-06-0j -0.000251981-0j -5.52335e-07-0j -0.0108458-0j 0.0258481-0j 4.954e-10-0j 1.08559e-07-0j 0.0021317-0j 9.44314e-06-0j -1.85601e-06-0j -1.81941e-09-0j 3.57599e-10-0j 
-7.13367e-05-0j -0.116-0j -0.0144077-0j -8.82905e-07-0j 1.40684e-05-0j 1.743e-05-0j 0.00791795-0j -2.9928e-05-0j -3.89846e-05-0j 3.82673e-05-0j 0.000601463-0j -0.000590396-0j 0.00049422-0j -0.00331714-0j -0.000485127-0j -0.0118739-0j 0.0032561-0j 0.0998163-0j 0.0116554-0j -0.000159502-0j -0.0979797-0j 0.000156567-0j 5.75977e-05-0j -5.08596e-07-0j 4.07967e-05-0j -0.000870675-0j 7.68819e-06-0j -0.000692713-0j -0.000616704-0j 4.79981e-06-0j 0.00464939-0j 6.11676e-06-0j 0.0110378-0j -4.2383e-08-0j -4.10549e-05-0j -0.000490652-0j -0.000123304-0j 3.39973e-06-0j 0.00137095-0j 0.00329319-0j -0.0917868-0j -9.74656e-05-0j 1.08879e-06-0j -0.023481-0j 0.00781814-0j -1.21057e-05-0j 0.000810491-0j -8.73368e-05-0j 2.28648e-05-0j 0.000971047-0j -0.065013-0j 0.000207341-0j -0.0166317-0j -2.019e-07-0j 1.61953e-05-0j 
0.0727763-0j 0.00417562-0j 0.00105862-0j 0.00042184-0j 0.484685-0j 4.30538e-05-0j -0.000840209-0j -9.95374e-05-0j 0.000268515-0j 0.000275609-0j -0.00204969-0j -0.00210384-0j -0.00515628-0j 0.0711536-0j -0.0052925-0j -0.000209195-0j 0.0730333-0j -7.50041e-05-0j -0.000214722-0j -5.72161e-06-0j -7.69856e-05-0j -5.87277e-06-0j -0.000202128-0j -0.000239102-0j -0.00013362-0j 0.00151175-0j 0.00178829-0j -2.5266e-05-0j 0.000999373-0j 0.00492654-0j 0.000348656-0j -2.98878e-05-0j -0.0290301-0j 0.00582772-0j 0.000412434-0j -1.67026e-05-0j -1.48881e-06-0j 0.00325678-0j -0.00735981-0j 0.000230485-0j 3.55845e-05-0j -0.0343405-0j -1.76115e-06-0j 5.96177e-06-0j -0.0191909-0j -0.00870611-0j 4.20938e-05-0j -9.84208e-07-0j 3.33851e-07-0j -0.00486534-0j 2.35238e-05-0j 7.05233e-06-0j 3.94114e-06-0j 3.94921e-07-0j 2.20699e-07-0j 
-4.36846e-05-0j -0.0710351-0j -0.00882287-0j -3.79846e-05-0j 0.000605254-0j 0.00074988-0j 0.340649-0j -0.00128757-0j 7.08535e-05-0j -2.41205e-05-0j -0.00109314-0j 0.000372136-0j -0.000898231-0j 0.0060288-0j 0.000305783-0j 0.0215804-0j -0.00205237-0j -0.181413-0j -0.00734659-0j 0.00028989-0j 0.0617582-0j -9.86868e-05-0j -1.76825e-05-0j 6.4941e-05-0j -1.27639e-05-0j 0.000267298-0j -0.00098168-0j 0.000212663-0j 0.000192946-0j -1.47354e-06-0j -0.00142737-0j -0.000781029-0j -0.00338861-0j 5.41175e-06-0j 0.00524216-0j 0.000153508-0j 3.78544e-05-0j -1.06366e-06-0j -0.000420881-0j -0.00103033-0j 0.0281786-0j 0.0124451-0j -0.000139024-0j 0.00720868-0j -0.00244603-0j 0.00154573-0j -0.103489-0j 2.73247e-05-0j -7.01951e-06-0j -0.000303808-0j 0.0203404-0j -0.0264747-0j 0.0052035-0j 2.57799e-05-0j -5.06695e-06-0j 
-0.000305792-0j 0.0104561-0j -4.50475e-06-0j 0.000258323-0j 4.30538e-05-0j 0.488102-0j -0.00104098-0j 3.17122e-07-0j 0.000164431-0j 0.000168775-0j 2.6535e-05-0j 2.7236e-05-0j -0.00419075-0j 3.12718e-06-0j -0.00430147-0j 0.0501379-0j 3.20979e-06-0j -6.17356e-05-0j 0.0514624-0j 1.45679e-08-0j -6.33666e-05-0j 1.49527e-08-0j -0.000123778-0j -0.00014642-0j -8.18255e-05-0j -1.9571e-05-0j -2.3151e-05-0j 0.00299276-0j -1.29377e-05-0j -1.03148e-05-0j -2.23322e-06-0j 0.00354021-0j 0.000498793-0j -1.22016e-05-0j -2.64173e-06-0j 0.00197842-0j -0.051166-0j -6.81879e-06-0j -2.14892e-07-0j -1.47631e-06-0j -0.00421967-0j 0.000590035-0j -0.0605256-0j 3.67396e-06-0j 0.000329736-0j -2.54201e-07-0j -0.00499156-0j -0.0338243-0j -7.07862e-10-0j -1.42058e-07-0j -0.00278949-0j 4.34602e-06-0j 2.42874e-06-0j -8.37347e-10-0j -4.67945e-10-0j 
4.20355e-06-0j -0.00014283-0j -0.162322-0j 5.20257e-08-0j -1.66664e-06-0j 5.30985e-09-0j 2.9928e-05-0j 0.00766365-0j 2.29719e-06-0j -2.25492e-06-0j -7.12538e-05-0j 6.99428e-05-0j 3.02682e-07-0j 0.00120633-0j -2.97112e-07-0j -7.27231e-06-0j -0.00118414-0j -0.0116882-0j 7.1385e-06-0j 0.127497-0j 0.0114731-0j -0.125151-0j -3.39398e-06-0j 2.99693e-08-0j -2.40397e-06-0j 0.000103147-0j -9.10801e-07-0j -4.24247e-07-0j 7.30593e-05-0j -2.82831e-07-0j -0.00169083-0j 3.74617e-09-0j 1.35908e-05-0j 2.49744e-09-0j 1.49303e-05-0j -3.00496e-07-0j -2.4999e-08-0j -2.00331e-07-0j 0.0154455-0j -0.00119762-0j -0.000172569-0j -1.20009e-07-0j 2.20745e-10-0j -0.0624938-0j 9.62641e-06-0j -0.000136386-0j 1.52381e-06-0j -1.77069e-08-0j -0.0369944-0j 0.0109401-0j -0.000122232-0j 0.00055183-0j -0.0442647-0j 0.000326666-0j -0.0262033-0j 
-0.0300187-0j -0.00172235-0j -0.000436657-0j -0.000527099-0j -0.605626-0j -5.37968e-05-0j 0.00104986-0j 0.000124374-0j 0.000112562-0j 0.00054302-0j -0.000859236-0j -0.0041451-0j -0.00216153-0j 0.0298278-0j -0.0104276-0j -8.76954e-05-0j 0.143894-0j -3.1442e-05-0j -0.000423057-0j -2.39852e-06-0j -0.000151681-0j -1.15709e-05-0j 8.33736e-05-0j -0.000303635-0j 7.00269e-05-0j -0.000623567-0j 0.00227094-0j 1.04217e-05-0j -0.000523745-0j -0.00203209-0j -0.000143813-0j -3.79543e-05-0j 0.0119743-0j 0.00740059-0j 0.000523747-0j 8.75336e-06-0j 6.14104e-07-0j -0.00170679-0j 0.00303577-0j -0.000120791-0j -1.46779e-05-0j -0.0436087-0j -2.23648e-06-0j -2.45911e-06-0j 0.0100574-0j -0.0110558-0j 5.34547e-05-0j 5.15797e-07-0j -1.37707e-07-0j 0.0025498-0j -1.23282e-05-0j 8.95571e-06-0j -2.06545e-06-0j 5.01508e-07-0j -1.15662e-07-0j 
6.24196e-05-0j 0.1015-0j 0.0126067-0j -5.273e-05-0j 0.000840209-0j 0.00104098-0j 0.472886-0j -0.0017874-0j -3.35644e-05-0j -3.44511e-05-0j 0.000517838-0j 0.000531518-0j 0.000425506-0j -0.00285594-0j 0.000436747-0j -0.010223-0j -0.00293139-0j 0.0859383-0j -0.0104931-0j -0.000137325-0j 0.0882086-0j -0.000140953-0j 2.5266e-05-0j 2.98878e-05-0j 1.67026e-05-0j -0.000381933-0j -0.000451799-0j -0.000303868-0j -0.000252484-0j 2.1055e-06-0j 0.00203952-0j -0.000359453-0j 0.00484189-0j 2.49065e-06-0j 0.0024126-0j -0.000200877-0j -5.4089e-05-0j 1.39188e-06-0j 0.000601383-0j 0.00134826-0j -0.0402635-0j 0.00572759-0j -6.39832e-05-0j -0.0103003-0j 0.00320082-0j 0.000711392-0j -0.0476287-0j -3.57565e-05-0j 1.003e-05-0j 0.000397556-0j -0.0266169-0j -0.0121844-0j -0.00680918-0j 1.18647e-05-0j 6.63049e-06-0j 
0.000126133-0j -0.00431293-0j 1.85811e-06-0j -0.000322781-0j -5.37968e-05-0j -0.609895-0j 0.00130073-0j -3.96251e-07-0j 6.89301e-05-0j 0.000332531-0j 1.11235e-05-0j 5.36619e-05-0j -0.00175678-0j 1.31092e-06-0j -0.008475-0j 0.021018-0j 6.32411e-06-0j -2.58798e-05-0j 0.101394-0j 6.1069e-09-0j -0.000124849-0j 2.94607e-08-0j 5.10557e-05-0j -0.000185937-0j 4.28826e-05-0j 8.07261e-06-0j -2.93993e-05-0j -0.00123445-0j 6.78033e-06-0j 4.25464e-06-0j 9.21156e-07-0j 0.00449569-0j -0.000205742-0j -1.54948e-05-0j -3.35472e-06-0j -0.00103684-0j 0.0211049-0j 3.57355e-06-0j 8.86383e-08-0j 7.73695e-07-0j 0.00174053-0j 0.000749281-0j -0.0768611-0j -1.51543e-06-0j -0.000172806-0j -3.22808e-07-0j -0.00633875-0j 0.0177264-0j 2.91978e-10-0j 7.44489e-08-0j 0.0014619-0j 5.51898e-06-0j -1.27284e-06-0j -1.06334e-09-0j 2.45238e-10-0j 
2.57414e-06-0j -8.74649e-05-0j -0.0994014-0j 2.23827e-06-0j -7.17029e-05-0j 2.28442e-07-0j 0.00128757-0j 0.329708-0j -4.17508e-06-0j 1.42131e-06-0j 0.000129502-0j -4.4086e-05-0j -5.50115e-07-0j -0.00219247-0j 1.87275e-07-0j 1.32172e-05-0j 0.000746379-0j 0.0212429-0j -4.49951e-06-0j -0.231721-0j -0.00723168-0j 0.0788845-0j 1.04195e-06-0j -3.82669e-06-0j 7.52121e-07-0j -3.16661e-05-0j 0.000116297-0j 1.30244e-07-0j -2.28578e-05-0j 8.68294e-08-0j 0.000519085-0j -4.78336e-07-0j -4.17237e-06-0j -3.1889e-07-0j -0.0019064-0j 9.40151e-08-0j 7.6747e-09-0j 6.26768e-08-0j -0.00474179-0j 0.000374695-0j 5.29789e-05-0j 1.53235e-05-0j -2.81862e-08-0j 0.0191856-0j -3.01178e-06-0j 0.0174147-0j -0.000194571-0j 5.53989e-09-0j 0.0113573-0j -0.0034228-0j 3.82422e-05-0j -0.0704613-0j 0.0138489-0j -0.041711-0j 0.00819814-0j 
-3.67811e-06-0j 0.000124976-0j 0.142032-0j 3.10714e-06-0j -9.95374e-05-0j 3.17122e-07-0j 0.0017874-0j 0.457698-0j 1.9778e-06-0j 2.03005e-06-0j -6.1347e-05-0j -6.29677e-05-0j 2.60598e-07-0j 0.00103861-0j 2.67483e-07-0j -6.2612e-06-0j 0.00106605-0j -0.0100631-0j -6.42661e-06-0j 0.10977-0j -0.0103289-0j 0.11267-0j -1.48881e-06-0j -1.76115e-06-0j -9.84208e-07-0j 4.52467e-05-0j 5.35234e-05-0j -1.86102e-07-0j 2.99112e-05-0j -1.24068e-07-0j -0.000741704-0j -2.20144e-07-0j 5.96177e-06-0j -1.46763e-07-0j -0.000877381-0j -1.23026e-07-0j -1.09661e-08-0j -8.20173e-08-0j 0.00677539-0j -0.000490317-0j -7.56999e-05-0j 7.05233e-06-0j -1.29721e-08-0j -0.0274137-0j 3.94114e-06-0j 0.00801478-0j -8.95473e-05-0j -7.24938e-09-0j -0.0162281-0j 0.004479-0j -5.00428e-05-0j -0.0324284-0j -0.0181224-0j -0.0191966-0j -0.0107279-0j 
-2.57468e-05-0j -0.0418665-0j -0.00520001-0j 6.58873e-05-0j -0.00104986-0j -0.00130073-0j -0.590882-0j 0.0022334-0j -1.40703e-05-0j -6.78775e-05-0j 0.000217079-0j 0.00104723-0j 0.000178373-0j -0.00119722-0j 0.000860504-0j -0.00428551-0j -0.00577559-0j 0.0360256-0j -0.020674-0j -5.75673e-05-0j 0.173794-0j -0.000277714-0j -1.04217e-05-0j 3.79543e-05-0j -8.75336e-06-0j 0.000157539-0j -0.000573736-0j 0.000125339-0j 0.00013232-0j -8.68475e-07-0j -0.000841259-0j -0.000456467-0j -0.00199718-0j 3.16286e-06-0j 0.00306374-0j 0.000105275-0j 2.23106e-05-0j -7.29447e-07-0j -0.000248058-0j -0.000706588-0j 0.0166078-0j 0.00727343-0j -8.12519e-05-0j 0.00424864-0j -0.00167746-0j 0.000903392-0j -0.0604834-0j 1.8739e-05-0j -4.13714e-06-0j -0.000208348-0j 0.0139492-0j -0.0154729-0j 0.00356851-0j 1.50669e-05-0j -3.47486e-06-0j 
1.51714e-06-0j -5.15499e-05-0j -0.0585851-0j -3.88245e-06-0j 0.000124374-0j -3.96251e-07-0j -0.0022334-0j -0.571905-0j 8.291e-07-0j 3.99972e-06-0j -2.57169e-05-0j -0.000124062-0j 1.09244e-07-0j 0.000435388-0j 5.2701e-07-0j -2.62472e-06-0j 0.00210039-0j -0.00421848-0j -1.26621e-05-0j 0.046016-0j -0.0203507-0j 0.221989-0j 6.14104e-07-0j -2.23648e-06-0j 5.15797e-07-0j -1.86633e-05-0j 6.79691e-05-0j 7.6763e-08-0j -1.56756e-05-0j 5.11754e-08-0j 0.000305937-0j -2.7956e-07-0j -2.45911e-06-0j -1.86373e-07-0j -0.00111418-0j 6.44746e-08-0j 4.52331e-09-0j 4.29831e-08-0j -0.00279471-0j 0.000256962-0j 3.12246e-05-0j 8.95571e-06-0j -1.64732e-08-0j 0.0113076-0j -2.06545e-06-0j 0.0101779-0j -0.000113716-0j 3.7992e-09-0j 0.00669375-0j -0.00234732-0j 2.62261e-05-0j -0.0411806-0j 0.00949745-0j -0.0243777-0j 0.0056222-0j 
0.00233329-0j 0.000412471-0j 3.43726e-05-0j 0.00202884-0j 0.00033814-0j 0.000207068-0j 4.22675e-05-0j 2.49064e-06-0j -0.314519-0j -0.317778-0j 0.000205771-0j 0.000207903-0j 0.000168011-0j 2.42503e-05-0j 0.000169752-0j 2.10014e-05-0j 2.45016e-05-0j 2.47504e-06-0j 2.1219e-05-0j 1.12969e-07-0j 2.50069e-06-0j 1.1414e-07-0j 0.000944461-0j 0.00116871-0j 0.000681748-0j -0.0368343-0j -0.0455801-0j 0.000118058-0j -0.0265884-0j 7.87051e-05-0j 1.70402e-05-0j 0.000146089-0j 1.96763e-05-0j 9.73926e-05-0j 2.10861e-05-0j 8.52185e-05-0j 6.95661e-06-0j 5.68124e-05-0j 1.63969e-06-0j 1.23002e-05-0j 1.73915e-06-0j 2.43482e-05-0j 8.60837e-06-0j 1.44929e-07-0j 1.42031e-05-0j 2.02901e-06-0j 2.15209e-06-0j 5.02155e-06-0j 5.4012e-09-0j 1.18359e-06-0j 1.25539e-06-0j 1.79341e-07-0j 1.04616e-07-0j 6.68365e-09-0j 3.89879e-09-0j 
-0.000376533-0j 0.00314856-0j 0.000798235-0j 0.0641338-0j 0.00258116-0j -3.34154e-05-0j 0.000652112-0j 7.7254e-05-0j -0.000205771-0j -0.000207903-0j -0.307686-0j -0.310874-0j -2.71127e-05-0j 0.000374139-0j -2.73936e-05-0j 0.000160312-0j 0.000378016-0j 5.74778e-05-0j 0.000161974-0j 4.38464e-06-0j 5.80734e-05-0j 4.43007e-06-0j -0.000152412-0j -0.0001886-0j -0.000110017-0j 0.00113992-0j 0.00141057-0j 0.00373193-0j 0.000822835-0j -1.2701e-05-0j -0.0514984-0j 0.00461803-0j 0.000150197-0j -1.57167e-05-0j -0.063726-0j 0.00269385-0j -1.12262e-06-0j -9.16805e-06-0j 3.80785e-05-0j -0.0371735-0j 2.6832e-05-0j 0.00018586-0j -1.38917e-06-0j 4.49539e-06-0j 0.000108418-0j 4.71197e-05-0j 3.32029e-05-0j -8.10349e-07-0j 2.51736e-07-0j 2.74865e-05-0j 1.93684e-05-0j 5.56276e-06-0j 3.24494e-06-0j 3.11507e-07-0j 1.81713e-07-0j 
-0.00263573-0j -0.000465936-0j -3.8828e-05-0j -3.26214e-05-0j -5.43689e-06-0j -3.3294e-06-0j -6.79612e-07-0j -4.00465e-08-0j 0.355287-0j -0.34875-0j -0.000232443-0j 0.000228166-0j -0.000189789-0j -2.73936e-05-0j 0.000186297-0j -2.37236e-05-0j 2.68896e-05-0j -2.79585e-06-0j 2.32871e-05-0j -1.27613e-07-0j 2.74441e-06-0j 1.25265e-07-0j -0.00106688-0j -1.87915e-05-0j 0.00150735-0j 0.0416087-0j 0.000732874-0j -0.00013336-0j -0.058787-0j -8.89069e-05-0j -1.92489e-05-0j -2.34894e-06-0j -2.22267e-05-0j -1.56596e-06-0j -3.3904e-07-0j 0.000188419-0j -7.85833e-06-0j 0.000125612-0j -1.85223e-06-0j 2.71959e-05-0j -1.96458e-06-0j -3.9149e-07-0j -1.38412e-07-0j -1.63715e-07-0j 3.14031e-05-0j -3.26241e-08-0j -3.46031e-08-0j 1.11027e-05-0j -6.10131e-09-0j 2.61692e-06-0j 2.77567e-06-0j -2.88359e-09-0j 2.31306e-07-0j -1.07465e-10-0j 8.62025e-09-0j 
-0.00215207-0j -0.000380435-0j -3.17029e-05-0j -0.00187126-0j -0.000311877-0j -0.000190985-0j -3.89846e-05-0j -2.29719e-06-0j -0.285437-0j 0.293097-0j 0.000186744-0j -0.000191755-0j 0.000152476-0j 2.2008e-05-0j -0.000156568-0j 1.90595e-05-0j -2.25986e-05-0j 2.24618e-06-0j -1.9571e-05-0j 1.02524e-07-0j -2.30646e-06-0j -1.05275e-07-0j 0.00173759-0j 0.00106065-0j -0.000628798-0j -0.0677666-0j -0.0413656-0j 0.000217199-0j 0.0245233-0j 0.000144799-0j 3.135e-05-0j 0.000132581-0j 3.61998e-05-0j 8.83873e-05-0j 1.91364e-05-0j -7.85997e-05-0j 1.27986e-05-0j -5.23998e-05-0j 3.01665e-06-0j -1.13449e-05-0j 3.19964e-06-0j 2.20968e-05-0j 7.8124e-06-0j 2.66637e-07-0j -1.30999e-05-0j 1.8414e-06-0j 1.9531e-06-0j -4.63153e-06-0j 9.93697e-09-0j -1.09166e-06-0j -1.15788e-06-0j 1.62758e-07-0j -9.64902e-08-0j 6.06565e-09-0j -3.59598e-09-0j 
0.044806-0j 0.00522902-0j -4.52899e-06-0j -0.000267323-0j 0.00649329-0j 0.0052774-0j 0.000535838-0j -3.2817e-07-0j -0.000168011-0j -0.000169752-0j -2.71127e-05-0j -2.73936e-05-0j -0.310416-0j 0.000465677-0j -0.313633-0j 0.000535249-0j 0.000470503-0j 3.13768e-05-0j 0.000540796-0j -1.4885e-08-0j 3.1702e-05-0j -1.50393e-08-0j -0.000124444-0j -0.000153991-0j -8.98282e-05-0j -1.96763e-05-0j -2.43482e-05-0j 0.00149665-0j -1.42031e-05-0j 0.00303311-0j -2.24524e-06-0j 0.00185201-0j -0.0363537-0j 0.00375328-0j -2.77834e-06-0j 0.00108034-0j 0.000266407-0j 0.00218941-0j 3.14869e-05-0j -1.6207e-06-0j 4.43247e-05-0j -0.0449854-0j 0.000329661-0j 1.83732e-06-0j -0.0262415-0j 3.8963e-05-0j 5.4849e-05-0j 0.000192302-0j -7.11671e-10-0j 2.27284e-05-0j 3.19953e-05-0j 2.27356e-06-0j 1.32624e-06-0j -8.80648e-10-0j -5.13711e-10-0j 
-0.00646719-0j -0.000749968-0j 0.00896227-0j 3.85848e-05-0j 0.0896035-0j 3.93804e-06-0j 0.00359647-0j 0.00130792-0j 2.42503e-05-0j 2.45016e-05-0j -0.000374139-0j -0.000378016-0j -0.000465677-0j -0.300723-0j -0.000470503-0j -3.81854e-05-0j -0.303839-0j 0.000645338-0j -3.85811e-05-0j 9.92178e-05-0j 0.000652026-0j 0.000100246-0j 1.79619e-05-0j 2.22267e-05-0j 1.29656e-05-0j -0.000271521-0j -0.00033599-0j 2.24524e-06-0j -0.000195994-0j -0.000437792-0j 0.00144992-0j 2.77834e-06-0j 0.005214-0j -0.00054174-0j 0.00179418-0j 1.6207e-06-0j 1.32302e-07-0j -0.000316015-0j -0.0623084-0j 0.00104661-0j 0.000147982-0j 0.006452-0j 1.63715e-07-0j 7.61072e-05-0j 0.00376366-0j -0.0771027-0j 0.000183118-0j 9.55006e-08-0j 7.13041e-06-0j -0.0449765-0j 0.000106819-0j 9.41779e-05-0j 5.49371e-05-0j 8.82344e-06-0j 5.147e-06-0j 
0.00217437-0j 0.000384377-0j 3.20315e-05-0j -0.00183683-0j -0.000306139-0j -0.000187471-0j -3.82673e-05-0j -2.25492e-06-0j -0.293097-0j 0.296014-0j 0.000191755-0j -0.000193664-0j 0.000156568-0j 2.25986e-05-0j -0.000158126-0j 1.9571e-05-0j -2.28235e-05-0j 2.30646e-06-0j -1.97658e-05-0j 1.05275e-07-0j -2.32942e-06-0j -1.06323e-07-0j -0.0017556-0j -0.0010581-0j 0.000581828-0j 0.0684688-0j 0.0412664-0j -0.00021945-0j -0.0226915-0j -0.0001463-0j -3.16748e-05-0j -0.000132263-0j -3.6575e-05-0j -8.81754e-05-0j -1.90905e-05-0j 7.27285e-05-0j -1.29312e-05-0j 4.84857e-05-0j -3.04791e-06-0j 1.04975e-05-0j -3.2328e-06-0j -2.20439e-05-0j -7.79368e-06-0j -2.694e-07-0j 1.21214e-05-0j -1.83699e-06-0j -1.94842e-06-0j 4.28557e-06-0j -1.00399e-08-0j 1.01012e-06-0j 1.07139e-06-0j -1.62368e-07-0j 8.92827e-08-0j -6.05111e-09-0j 3.32737e-09-0j 
0.000425339-0j -0.00355668-0j -0.000901702-0j -0.0010312-0j -4.15021e-05-0j 5.3728e-07-0j -1.04852e-05-0j -1.24215e-06-0j 0.000232443-0j -0.000228166-0j 0.347568-0j -0.341173-0j 3.0627e-05-0j -0.000422635-0j -3.00635e-05-0j -0.000181092-0j 0.000414858-0j -6.4928e-05-0j 0.00017776-0j -4.95297e-06-0j 6.37334e-05-0j 4.86184e-06-0j 0.000172167-0j 3.03247e-06-0j -0.000243247-0j -0.00128767-0j -2.26804e-05-0j -0.00421566-0j 0.00181929-0j 1.43473e-05-0j 0.0581736-0j -7.42524e-05-0j -0.000169666-0j 2.52705e-07-0j 0.00102464-0j 0.00595611-0j 1.26813e-06-0j -2.02706e-05-0j -4.30142e-05-0j -0.0821908-0j -3.031e-05-0j -2.9884e-06-0j 2.23362e-08-0j -5.07808e-06-0j 0.000239713-0j -7.5763e-07-0j -5.33864e-07-0j -1.79169e-06-0j -2.84366e-07-0j 6.07728e-05-0j 4.28236e-05-0j -8.94427e-08-0j 7.17459e-06-0j -5.00867e-09-0j 4.01767e-07-0j 
