-0.0308392-0j -0.0381616-0j -0.0222609-0j -0.00383076-0j -0.00446922-0j -0.00273683-0j -0.00391056-0j -0.00161303-0j -0.00240761-0j -0.000347508-0j -0.00271968-0j -0.000392552-0j -0.00222061-0j -0.00224362-0j -0.000320518-0j -0.00194304-0j -0.000323839-0j -0.00160292-0j -0.000280453-0j -0.000512141-0j -0.000231362-0j -7.39213e-05-0j -0.00178329-0j -0.000315243-0j -2.62703e-05-0j -0.00197374-0j -0.00034891-0j -0.00156037-0j -2.90759e-05-0j -0.00104025-0j -0.00157654-0j -0.000275838-0j -0.00182044-0j -0.000183892-0j -0.000278696-0j -2.29865e-05-0j -0.000643622-0j -1.53243e-05-0j -0.00106192-0j -2.32247e-05-0j -0.00112634-0j -0.000321811-0j -0.000113777-0j -0.000657031-0j -2.68176e-05-0j -0.000187723-0j -0.00019911-0j -9.48144e-06-0j -0.000171403-0j -1.56436e-05-0j -1.65925e-05-0j -0.000116148-0j -9.67897e-06-0j -3.03e-05-0j -2.525e-06-0j 
0.000301707-0j 5.3141e-06-0j -0.000426267-0j 3.74771e-05-0j 6.2235e-07-0j 2.67749e-05-0j -3.71688e-05-0j -4.64432e-05-0j -0.00455603-0j 3.39975e-06-0j -7.32556e-05-0j 5.46639e-08-0j -0.00420217-0j 0.00412485-0j 3.13569e-06-0j -5.23363e-05-0j -3.078e-06-0j 0.00593704-0j 3.90538e-08-0j 0.00380762-0j -4.43027e-06-0j -2.84128e-06-0j 1.74463e-05-0j -0.00059655-0j 2.57008e-07-0j 2.74848e-07-0j -9.39802e-06-0j 1.52655e-05-0j 4.04889e-09-0j 1.0177e-05-0j -1.49846e-05-0j -0.000521981-0j 2.53501e-07-0j -0.000347987-0j 0.000512377-0j 2.24882e-07-0j 6.29669e-06-0j 1.49921e-07-0j -2.03344e-05-0j -2.20744e-07-0j -1.07055e-05-0j -8.66809e-06-0j -0.000215306-0j -1.89176e-05-0j 3.73442e-09-0j 0.000695305-0j 0.00036606-0j 9.2759e-08-0j -8.24113e-06-0j -2.99554e-07-0j -1.57707e-07-0j 0.000646861-0j -2.78683e-07-0j 0.000281794-0j -1.21403e-07-0j 
0.000284452-0j 5.01018e-06-0j -0.000401888-0j 3.53338e-05-0j 5.86757e-07-0j 2.52437e-05-0j -3.50431e-05-0j -4.37871e-05-0j -0.00213663-0j 3.20531e-06-0j -3.43545e-05-0j 5.15377e-08-0j -0.00197068-0j 0.00193442-0j 2.95636e-06-0j -2.4544e-05-0j -2.90196e-06-0j 0.00278428-0j 3.68203e-08-0j 0.00178565-0j -4.1769e-06-0j -2.67879e-06-0j -0.00481086-0j -0.000279762-0j 2.42309e-07-0j -7.57901e-05-0j -4.40737e-06-0j -0.0042095-0j 3.81733e-09-0j -0.00280633-0j 0.00413205-0j -0.000244792-0j -6.99035e-05-0j -0.000163195-0j 0.000240288-0j 2.12021e-07-0j -0.00173633-0j 1.41347e-07-0j 0.00560727-0j -2.08119e-07-0j 0.00295208-0j -4.06505e-06-0j -0.000100972-0j 0.00521659-0j 3.52084e-09-0j 0.000326075-0j 0.00017167-0j 8.7454e-08-0j 0.00227252-0j -2.82422e-07-0j -1.48688e-07-0j 0.000303357-0j -2.62745e-07-0j 0.000132152-0j -1.1446e-07-0j 
-6.15856e-05-0j -1.08474e-06-0j 8.70114e-05-0j 0.000731377-0j 1.21453e-05-0j 0.000522521-0j -0.00072536-0j -0.000906354-0j 0.000462594-0j -0.00310487-0j 7.43796e-06-0j -4.99226e-05-0j 0.000426665-0j -0.000418814-0j -0.00286372-0j 5.31394e-06-0j 0.00281102-0j -0.000602814-0j -3.56664e-05-0j -0.000386605-0j 0.00404601-0j 0.00259484-0j -3.5612e-06-0j -0.00579083-0j -0.000719247-0j -5.61031e-08-0j -9.12285e-05-0j -3.11605e-06-0j -1.1331e-05-0j -2.07737e-06-0j 3.05872e-06-0j -0.00506698-0j -5.17456e-08-0j -0.00337799-0j 0.00497375-0j -0.000629341-0j -1.28531e-06-0j -0.000419561-0j 4.15074e-06-0j 0.000617761-0j 2.18525e-06-0j -8.41429e-05-0j -0.00209002-0j 3.86155e-06-0j -1.04509e-05-0j 0.00674947-0j 0.00355342-0j -0.00025959-0j 1.68221e-06-0j 0.000838314-0j 0.00044135-0j 0.00627922-0j 0.000779906-0j 0.00273543-0j 0.000339752-0j 
-4.10571e-05-0j -7.23157e-07-0j 5.80076e-05-0j 0.000487585-0j 8.0969e-06-0j 0.000348347-0j -0.000483573-0j -0.000604236-0j -3.20531e-06-0j -0.00206991-0j -5.15377e-08-0j -3.32817e-05-0j -2.95636e-06-0j 2.90196e-06-0j -0.00190914-0j -3.68203e-08-0j 0.00187402-0j 4.1769e-06-0j -2.37776e-05-0j 2.67879e-06-0j 0.00269734-0j 0.00172989-0j 0.000694387-0j 4.01247e-05-0j -0.000479498-0j 1.09394e-05-0j 6.32123e-07-0j 0.000607589-0j -7.55399e-06-0j 0.000405059-0j -0.00059641-0j 3.51091e-05-0j 1.00897e-05-0j 2.34061e-05-0j -3.44631e-05-0j -0.000419561-0j 0.000250618-0j -0.000279707-0j -0.000809339-0j 0.000411841-0j -0.000426096-0j 5.83026e-07-0j 1.44818e-05-0j -0.00075295-0j -6.96728e-06-0j -4.67671e-05-0j -2.46216e-05-0j -0.00017306-0j -0.000328009-0j 0.000558876-0j 0.000294233-0j -4.35087e-05-0j 0.000519937-0j -1.89538e-05-0j 0.000226501-0j 
3.62897e-06-0j 6.39187e-08-0j -5.1272e-06-0j -8.66444e-05-0j -1.43883e-06-0j -6.19018e-05-0j 8.59316e-05-0j 0.000107373-0j 2.83312e-07-0j 0.00112914-0j 4.55533e-09-0j 1.81552e-05-0j 2.61308e-07-0j -2.565e-07-0j 0.00104144-0j 3.25448e-09-0j -0.00102227-0j -3.69189e-07-0j 1.29707e-05-0j -2.36773e-07-0j -0.0014714-0j -0.000943655-0j 2.09846e-07-0j -7.1302e-06-0j -0.00810328-0j 3.3059e-09-0j -1.12329e-07-0j 1.83615e-07-0j -0.000127659-0j 1.2241e-07-0j -1.80237e-07-0j -6.23893e-06-0j 3.04914e-09-0j -4.15928e-06-0j 6.12413e-06-0j -0.00709037-0j 7.57374e-08-0j -0.00472691-0j -2.44585e-07-0j 0.00695991-0j -1.28767e-07-0j -1.03604e-07-0j -2.57343e-06-0j -2.27544e-07-0j -0.000117744-0j 8.31057e-06-0j 4.37529e-06-0j -0.00292463-0j -9.91254e-08-0j 0.00944473-0j 0.0049724-0j 7.73155e-06-0j 0.00878669-0j 3.36811e-06-0j 0.00382776-0j 
-5.02844e-05-0j -8.85683e-07-0j 7.10445e-05-0j 0.00029546-0j 4.90646e-06-0j 0.000211087-0j -0.00029303-0j -0.000366147-0j 0.000759338-0j 5.41722e-05-0j 1.22093e-05-0j 8.71025e-07-0j 0.000700361-0j -0.000687475-0j 4.99647e-05-0j 8.72272e-06-0j -4.90454e-05-0j -0.000989507-0j 6.2229e-07-0j -0.000634604-0j -7.05928e-05-0j -4.52735e-05-0j 0.00042377-0j -0.00470305-0j 6.16423e-06-0j 6.67605e-06-0j -7.40917e-05-0j 0.000370799-0j 9.7111e-08-0j 0.000247199-0j -0.000363976-0j -0.00411517-0j 6.15753e-06-0j -0.00274345-0j 0.00403945-0j 5.3937e-06-0j 0.000152947-0j 3.5958e-06-0j -0.000493922-0j -5.29446e-06-0j -0.000260037-0j -6.83371e-05-0j -0.00169742-0j -0.00045951-0j 8.95685e-08-0j 0.00548162-0j 0.00288592-0j 2.22479e-06-0j -0.000200177-0j -7.18468e-06-0j -3.78254e-06-0j 0.0050997-0j -6.6841e-06-0j 0.00222159-0j -2.91181e-06-0j 
-1.25711e-05-0j -2.21421e-07-0j 1.77611e-05-0j -1.56155e-06-0j -2.59312e-08-0j -1.11562e-06-0j 1.5487e-06-0j 1.93514e-06-0j 0.000380651-0j -1.41656e-07-0j 6.12041e-06-0j -2.27766e-09-0j 0.000351086-0j -0.000344626-0j -1.30654e-07-0j 4.37263e-06-0j 1.2825e-07-0j -0.000496033-0j -1.62724e-09-0j -0.000318122-0j 1.84595e-07-0j 1.18387e-07-0j -7.26928e-07-0j 4.9841e-05-0j -1.07087e-08-0j -1.1452e-08-0j 7.85193e-07-0j -6.36062e-07-0j -1.68704e-10-0j -4.24041e-07-0j 6.24358e-07-0j 4.36109e-05-0j -1.05625e-08-0j 2.90739e-05-0j -4.28084e-05-0j -9.37007e-09-0j -2.62362e-07-0j -6.24671e-09-0j 8.47266e-07-0j 9.19767e-09-0j 4.46063e-07-0j 7.24208e-07-0j 1.79886e-05-0j 7.88235e-07-0j -1.55601e-10-0j -5.80919e-05-0j -3.05838e-05-0j -3.86496e-09-0j 3.4338e-07-0j 1.24814e-08-0j 6.57113e-09-0j -5.40444e-05-0j 1.16118e-08-0j -2.35435e-05-0j 5.05847e-09-0j 
5.92608e-06-0j 1.04379e-07-0j -8.37268e-06-0j -0.000105933-0j -1.75914e-06-0j -7.56824e-05-0j 0.000105062-0j 0.000131277-0j -4.45131e-05-0j 0.000915517-0j -7.15718e-07-0j 1.47204e-05-0j -4.10558e-05-0j 4.03004e-05-0j 0.00084441-0j -5.11334e-07-0j -0.000828873-0j 5.80058e-05-0j 1.05168e-05-0j 3.72011e-05-0j -0.00119303-0j -0.000765128-0j -4.99418e-05-0j 0.000838749-0j -0.00320361-0j -7.86781e-07-0j 1.32136e-05-0j -4.3699e-05-0j -5.04695e-05-0j -2.91327e-05-0j 4.2895e-05-0j 0.000733905-0j -7.25672e-07-0j 0.00048927-0j -0.000720401-0j -0.00280316-0j -1.80249e-05-0j -0.00186877-0j 5.82093e-05-0j 0.00275158-0j 3.06457e-05-0j 1.21873e-05-0j 0.00030272-0j 5.41537e-05-0j -4.65496e-05-0j -0.000977599-0j -0.00051468-0j -0.00115624-0j 2.35911e-05-0j 0.00373395-0j 0.00196582-0j -0.000909487-0j 0.00347379-0j -0.000396202-0j 0.0015133-0j 
3.62897e-06-0j 6.39187e-08-0j -5.1272e-06-0j -4.30968e-05-0j -7.15672e-07-0j -3.07899e-05-0j 4.27422e-05-0j 5.34074e-05-0j -8.23425e-05-0j 0.000182956-0j -1.32397e-06-0j 2.94172e-06-0j -7.5947e-05-0j 7.45496e-05-0j 0.000168746-0j -9.45889e-07-0j -0.000165641-0j 0.000107302-0j 2.10166e-06-0j 6.88163e-05-0j -0.000238413-0j -0.000152902-0j 2.09846e-07-0j 0.00103078-0j 4.2382e-05-0j 3.3059e-09-0j 1.62388e-05-0j 1.83615e-07-0j 6.67685e-07-0j 1.2241e-07-0j -1.80237e-07-0j 0.00090193-0j 3.04914e-09-0j 0.000601287-0j -0.000885335-0j 3.70843e-05-0j 7.57374e-08-0j 2.47228e-05-0j -2.44585e-07-0j -3.64019e-05-0j -1.28767e-07-0j 1.49776e-05-0j 0.000372027-0j -2.27544e-07-0j 6.15826e-07-0j -0.00120142-0j -0.000632514-0j 1.52965e-05-0j -9.91254e-08-0j -4.93981e-05-0j -2.60068e-05-0j -0.00111771-0j -4.59564e-05-0j -0.000486911-0j -2.00201e-05-0j 
-2.70487e-07-0j -4.76422e-09-0j 3.82159e-07-0j 8.08102e-06-0j 1.34194e-07-0j 5.77336e-06-0j -8.01453e-06-0j -1.00143e-05-0j -2.11169e-08-0j -0.000140757-0j -3.39534e-10-0j -2.2632e-06-0j -1.94767e-08-0j 1.91184e-08-0j -0.000129824-0j -2.42575e-10-0j 0.000127436-0j 2.75178e-08-0j -1.61691e-06-0j 1.7648e-08-0j 0.000183423-0j 0.000117635-0j 2.27952e-06-0j 6.65009e-07-0j 0.00152592-0j 3.59115e-08-0j 1.04765e-08-0j 1.99458e-06-0j 2.40393e-05-0j 1.32972e-06-0j -1.95788e-06-0j 5.81883e-07-0j 3.31223e-08-0j 3.87922e-07-0j -5.71176e-07-0j 0.00133518-0j 8.22722e-07-0j 0.000890119-0j -2.65688e-06-0j -0.00131061-0j -1.39878e-06-0j 9.66282e-09-0j 2.40014e-07-0j -2.47177e-06-0j 2.21721e-05-0j -7.75097e-07-0j -4.08068e-07-0j 0.000550733-0j -1.07678e-06-0j -0.00177852-0j -0.000936346-0j -7.21094e-07-0j -0.00165461-0j -3.14132e-07-0j -0.000720801-0j 
-3.7038e-07-0j -6.52367e-09-0j 5.23292e-07-0j 8.84311e-06-0j 1.4685e-07-0j 6.31782e-06-0j -8.77035e-06-0j -1.09588e-05-0j 5.59306e-06-0j -0.000115242-0j 8.99297e-08-0j -1.85295e-06-0j 5.15865e-06-0j -5.06373e-06-0j -0.000106291-0j 6.42489e-08-0j 0.000104335-0j -7.28841e-06-0j -1.32381e-06-0j -4.6743e-06-0j 0.000150174-0j 9.63114e-05-0j -2.14173e-08-0j -0.000140762-0j 0.000827037-0j -3.37407e-10-0j -2.21756e-06-0j -1.87401e-08-0j 1.30291e-05-0j -1.24934e-08-0j 1.83953e-08-0j -0.000123167-0j -3.11201e-10-0j -8.21112e-05-0j 0.000120901-0j 0.000723658-0j -7.72992e-09-0j 0.000482439-0j 2.49628e-08-0j -0.000710343-0j 1.31423e-08-0j -2.04532e-06-0j -5.08037e-05-0j 2.32236e-08-0j 1.20172e-05-0j 0.000164064-0j 8.63755e-05-0j 0.000298494-0j 1.01169e-08-0j -0.000963949-0j -0.000507493-0j 0.000152634-0j -0.000896788-0j 6.64921e-05-0j -0.00039067-0j 
1.95207e-08-0j 3.43828e-10-0j -2.75799e-08-0j -7.00322e-07-0j -1.16296e-08-0j -5.00334e-07-0j 6.9456e-07-0j 8.67869e-07-0j -1.46628e-07-0j 1.52691e-05-0j -2.3576e-09-0j 2.45509e-07-0j -1.3524e-07-0j 1.32751e-07-0j 1.40832e-05-0j -1.68435e-09-0j -1.38241e-05-0j 1.91074e-07-0j 1.754e-07-0j 1.22542e-07-0j -1.98975e-05-0j -1.27609e-05-0j 1.12879e-09-0j 5.54494e-06-0j -0.000221402-0j 1.77829e-11-0j 8.73548e-08-0j 9.87692e-10-0j -3.48795e-06-0j 6.58462e-10-0j -9.69519e-10-0j 4.85182e-06-0j 1.64018e-11-0j 3.23455e-06-0j -4.76255e-06-0j -0.000193726-0j 4.07402e-10-0j -0.000129151-0j -1.31566e-09-0j 0.000190162-0j -6.92658e-10-0j 8.057e-08-0j 2.00128e-06-0j -1.22399e-09-0j -3.21705e-06-0j -6.46287e-06-0j -3.40253e-06-0j -7.9908e-05-0j -5.3321e-10-0j 0.000258053-0j 0.000135858-0j -6.01259e-06-0j 0.000240074-0j -2.61928e-06-0j 0.000104584-0j 
-5.32472e-10-0j -9.37867e-12-0j 7.52304e-10-0j 2.54925e-08-0j 4.23332e-10-0j 1.82127e-08-0j -2.52828e-08-0j -3.15914e-08-0j -4.15699e-11-0j -7.79315e-07-0j -6.68395e-13-0j -1.25305e-08-0j -3.83412e-11-0j 3.76357e-11-0j -7.18787e-07-0j -4.77524e-13-0j 7.05561e-07-0j 5.41705e-11-0j -8.9522e-09-0j 3.47413e-11-0j 1.01554e-06-0j 6.51299e-07-0j -3.07903e-11-0j 2.09785e-09-0j 1.69981e-05-0j -4.85069e-13-0j 3.30494e-11-0j -2.69415e-11-0j 2.67788e-07-0j -1.7961e-11-0j 2.64458e-11-0j 1.83562e-09-0j -4.47394e-13-0j 1.22374e-09-0j -1.80184e-09-0j 1.48734e-05-0j -1.11128e-11-0j 9.91558e-06-0j 3.58875e-11-0j -1.45997e-05-0j 1.88938e-11-0j 3.04825e-11-0j 7.57153e-10-0j 3.33871e-11-0j 2.46989e-07-0j -2.44513e-09-0j -1.2873e-09-0j 6.13495e-06-0j 1.45445e-11-0j -1.98121e-05-0j -1.04305e-05-0j -2.27477e-09-0j -1.84317e-05-0j -9.90964e-10-0j -8.02945e-06-0j 
