-0.2382+0.112079j -0.236132-0.112919j -0.124702-0.146581j 0.000377485-0.227177j -0.124327+0.145266j -0.0778749+0.064659j 0.0417153-0.0578623j -0.131734-0.0770643j -0.063244+0.0987685j 0.0147804-0.062084j 0.0175548+0.0651225j 0.0616241+0.0961141j -0.132434+0.0753948j 0.040373+0.0573255j -0.0772351-0.0644934j -0.0255931-0.0360231j -0.0109101-0.0310802j 0.0741279-0.058009j -0.0392559-0.0569591j -0.0789621+0.0091034j -0.0482946-0.074768j 0.0775614+0.0144582j 0.0182502-0.0176473j -0.0562968+0.0731258j -0.00101667-0.0066094j 0.000903093-0.099952j -0.00116009+0.00676359j -0.0540622-0.0730464j 0.0245159+0.0180392j -0.07717+0.0148262j -0.0475117+0.0722396j 0.0798336+0.00907456j -0.0388078+0.0566501j 0.0723555+0.0580652j -0.0101574+0.0319432j -0.0251738+0.0353159j 
0.0478116+0.0905313j 0.0656564+0.151474j 0.0121322-0.0990144j 0.062411+0.195695j 0.0149153+0.00667268j 0.0339073+0.0193366j -0.00775476-0.130125j 0.24384+0.0972125j -0.264604+0.167102j 0.211415+0.10033j -0.00512246-0.209553j -0.133382+0.0829456j -0.0547044+0.0143696j -0.00159446-0.0287678j -0.0144296+0.0092735j 0.000771463+0.0225553j 0.0553582+0.0143911j 0.124344-0.0175528j -0.060442+0.124743j -0.0486274+0.0815208j -0.0232117+0.100456j -0.0890104+0.0331998j -0.118613-0.0636539j -0.0466902+0.0281708j 0.148387-0.0414868j 0.150871-0.122598j -0.0361603-0.0802819j -0.0267322-0.0196681j -0.0269549+0.0044706j 0.154733-0.0152821j -0.01778+0.0384905j 0.0162926-0.0534085j 0.0341841-0.0322808j -0.0126523+0.03804j -0.0154447+0.0288376j 0.00466333+0.0163105j 
-0.110546-0.107677j -0.0433501-0.074649j 0.0492978-0.170215j 0.00385764+0.0527774j 0.0571418-0.0260062j 0.0377545+0.0190376j 0.00827725-0.0338153j 0.226644+0.00455841j -0.240644-0.123625j 0.185397-0.08779j -0.0574867+0.149111j -0.0693759-0.0792355j -0.067644-0.0106618j 0.0133659+0.0150479j 0.0214292-0.00842571j 0.0156657+0.0213647j 0.0169282-0.0167352j 0.117346-0.0626657j -0.075371+0.133407j 0.171171-0.00476797j 0.0550199+0.0669785j -0.0562906+0.0694922j 0.165976-0.202326j -0.0584943+0.0557194j -0.139381-0.00357717j -0.0182082-0.0342426j -0.0849854+0.0148412j 0.00548898-0.0811464j -0.0349438+0.0346475j -0.055939+0.0674402j 0.068776-0.0354835j -0.130677+0.0638291j -0.0317432+0.0267076j 0.0615655-0.004569j 0.0580784-0.00248586j 0.00708663-0.0226233j 
-0.00906714+0.0525191j 0.00940645+0.0831787j 0.00195294+0.00507715j 0.00761852+0.0329631j 0.146053-0.105791j -0.048087-0.244903j -0.116535+0.0650279j -0.229344-0.0844153j 0.022588+0.0397025j 0.0731387+0.0839443j -0.0457797+0.0769964j 0.182663+0.148926j -0.102412+0.0067119j 0.0550496-0.014165j 0.0380695-0.0184443j -0.126905-0.133289j 0.0578773+0.0187887j 0.0431708+0.0634266j -0.0183859+0.126065j 0.0574339+0.00710762j -0.156266-0.0664868j 0.0134134-0.0469822j -0.00600554+0.0120498j -0.155978-0.136868j 0.0153589+0.0242706j 0.00287947-0.110412j -0.064272+0.0826629j 0.00911881-0.00352343j -0.0120166+0.023843j 0.00951717+0.078685j 0.0020708-0.0292248j -0.0216392+0.0378074j -0.00151227-0.0961244j -0.00172171+0.000371521j -0.0566666-0.0125558j 0.00108353+0.0265937j 
-0.155601-0.0718991j -0.0351429+0.0577231j -0.0301401-0.0104693j 0.00526886+0.0432595j 0.134164-0.0969007j -0.0224683+0.271275j 0.277097-0.0911873j 0.208432-0.00164559j -0.0150779+0.146553j 0.10988+0.125878j -0.0859871+0.0913709j 0.147976+0.101587j -0.105521+0.0313943j 0.0693955-0.0374191j 0.0337211-0.0173613j 0.146012+0.121792j -0.0820274-0.0334034j 0.0278749-0.0976105j 0.0138004-0.150708j -0.0503856-0.0213788j 0.197512+0.0310604j -0.0432604-0.0162867j 0.0471167+0.0554691j 0.151797+0.142983j 0.0416302+0.0148897j -0.0799678-0.0517138j -0.0204426-0.0203025j 0.000902851+0.0258342j 0.0330688+0.0066098j 0.00869796-0.0180886j -0.00810746-0.0353661j -0.00634365+0.0540347j 0.031489-0.103525j -0.00546667+0.00775535j -0.0646223-0.00870581j -0.00413915+0.0246464j 
-0.092939-0.0451829j -0.146437+0.0205449j -0.108102-0.157822j -0.0224248+0.0696572j -0.0433302-0.027349j -0.0760909-0.161604j -0.345491+0.0545504j -0.18485+0.0397731j 0.167424-0.0933039j 0.125434+0.204752j -0.108971+0.0157692j 0.0526386+0.0205857j 0.0187046-0.0288714j -0.0136696+0.0200107j -0.013191+0.0190935j -0.066379-0.0345822j 0.108799-0.0452588j -0.131912+0.17323j -0.0228455+0.0964077j -0.110774+0.0250337j -0.0980078+0.00766884j 0.0519671-0.0373176j -0.100409+0.0370001j -0.0257474-0.0941238j -0.0185539+0.000978291j 0.0243736-0.0759784j 0.0322289-0.0381487j -0.000518741+0.0529745j 0.0358818-0.0930976j -0.0409348+0.00474384j -0.00208395+0.0190794j -0.00173618-0.0555252j -0.00966289+0.00134911j -0.0217542-0.000661175j -0.00091191-0.00145749j -0.000191043+0.00421318j 
-0.0253125-0.0933085j 0.103218-0.0145353j 0.0287617-0.160495j 0.153139-0.0705314j 0.114712-0.0223184j -0.162165-0.0812581j -0.126402+0.012079j -0.33245-0.0877044j -0.12216-0.00798343j -0.125497-0.171997j 0.130278-0.0257436j 0.0398535+0.0533439j -0.0671177+0.0350018j 0.0259784-0.0210054j 0.01714-0.0253854j 0.00044526-0.00442792j 0.0926445-0.126382j -0.0274914+0.128545j -0.119371+0.0600294j -0.0875308+0.0505613j -0.00195336-0.011641j 0.014775-0.0102901j -0.0589617-0.0502738j -0.00151197+0.0441239j -0.0159105+0.000383049j -0.00240619+0.0703178j -0.0174565+0.0152866j 0.0215792-0.0108104j -0.0368929+0.0937383j 0.049101+0.0698353j -0.0133992-0.0203229j 0.00173866+0.0235823j 0.0230731-0.067265j -0.0115423+0.016025j -0.0553521-0.0109682j -0.00535134+0.0197846j 
-0.130513+0.0778645j 0.0904419-0.0105974j 0.00837184+0.0447982j -0.109192-0.144468j -0.0926096+0.0083806j 0.0426449+0.12962j -0.136659-0.158356j -0.0943394+0.1888j 0.0748285+0.152457j 0.0252364+0.0321085j -0.0491415-0.0244184j 0.00323293-0.0812823j 0.0397819+0.0329804j -0.0158849-0.041209j -0.00371862+0.0133099j 0.0385171+0.0466709j 0.0787129-0.0738856j 0.176007-0.0290999j -0.2123+0.18721j 0.0635427+0.0536755j 0.00344044+0.0634357j -0.142073+0.00360153j 0.108471-0.129509j -0.0444689+0.08919j -0.00278907-0.0209879j 0.104293-0.0366661j -0.0607163+0.0713034j 0.0242024-0.0430145j -0.0623461-0.0291396j 0.0652106-0.0678928j 0.0305792+0.0118406j -0.083052+0.0580763j -0.0433541+0.0755906j 0.046024+0.00309018j 0.0564264+0.0342104j 0.0194019-0.0180372j 
-0.0968437+0.0478522j -0.0075961+0.045j 0.0666298+0.0607891j 0.189135-0.0917203j 0.0704721-0.065687j 0.294988-0.0363771j -0.0684615+0.166012j 0.114588+0.178122j 0.0267544-0.0606571j -0.0334914+0.00249519j 0.0153547-0.00842236j -0.00337334+0.0117686j -0.0213133+0.0105001j 0.00470157+0.00348437j 0.000548107-0.0103822j -0.0247601+0.0500176j 0.133512+0.00787964j -0.070294+0.0354552j -0.0324353-0.0179875j -0.017545-0.0313197j -0.0680016+0.0933369j 0.0267254+0.0200446j -0.0481605-0.108032j -0.115381+0.0686682j -0.00895557-0.00899944j -0.0238573-0.0267264j 0.0350865+0.00133558j -0.00980822-0.0151861j -0.010986+0.0649823j 0.0104642+0.0787829j 0.00277803-0.0195647j 0.00124089-0.0106167j 0.051682-0.0482341j -0.0178589+0.0109135j -0.0241631-0.0319444j -0.0151874+0.00644267j 
0.0762377-0.0954846j -0.0122046+0.0864821j -0.205013-0.0763748j 0.20582-0.201099j 0.0198517-0.0648709j -0.0285951+0.246905j -0.134353-0.198813j 0.0364237+0.0967953j 0.0899588-0.0170295j -0.0394034-0.00429824j 0.0308165-0.0125089j -0.0162909-0.0359562j -0.00209706+0.0147182j -0.009254-0.00469924j -0.0008596-0.0152081j 0.0421357+0.0491046j -0.109209+0.10786j 0.0872556-0.124233j 0.154305-0.0282573j 0.116185+0.0340971j 0.062846+0.0209521j -0.0107333+0.102613j 0.0256499-0.108957j 0.0519892-0.0185671j 0.00169596+0.0162604j -0.0109315-0.0644037j 0.0199717-0.0725j -0.0150629-0.050843j 0.0219915+0.0829498j -0.0531293+0.0463646j 0.0109132-0.0163936j 0.0340044-0.00643101j 0.0683225-0.015593j -0.0086342-0.000891712j 0.00643293-0.0309367j -0.0133885-0.00948456j 
-0.0555236-0.108222j 0.0236329+0.0386453j -0.14946+0.320541j 0.000140041-0.114871j -0.0103212-0.011304j -0.158153-0.341367j 0.106917-0.0626788j 0.0632585-0.000469292j 0.0331409+0.00319295j 0.00994304-0.00412264j -0.00389521+0.00379323j -0.00208431-0.0205105j 0.00484966+0.00257199j -0.00744424-0.00842406j 0.00271989+0.00221379j -0.0851525-0.0832011j 0.0889005-0.0116665j 0.0453223+0.12957j -0.081696+0.214496j -0.0103007+0.0825028j -0.0324164+0.00643577j -0.0145449+0.0160017j -0.0211554-0.112681j 0.0124437-0.0381613j -0.0265594-0.00437163j 0.080501-0.0428491j 0.00975457-0.0271405j 0.0175856-0.0247249j -0.0261041+0.0394549j -0.014072+0.0260019j 0.00884472+0.00448538j -0.00441286-0.000989083j 0.0143589+0.0173994j -0.00270232+0.00139229j 0.0105708-0.0024535j 0.00226107-0.00405383j 
