0.0829416-0j 0.0146621-0j 0.00122184-0j 0.0723462-0j 0.0120577-0j 0.00738381-0j 0.00150721-0j 8.88134e-05-0j 0.0456122-0j 0.0460849-0j 0.00736065-0j 0.00743692-0j 0.00600994-0j 0.00086746-0j 0.00607222-0j 0.000751243-0j 0.00087645-0j 0.000759028-0j 8.85348e-05-0j 8.94523e-05-0j 4.04104e-06-0j 4.08292e-06-0j 0.0338907-0j 0.0419376-0j 0.0244636-0j 0.00535859-0j 0.00663092-0j 0.00423634-0j 0.00386804-0j 0.00282423-0j 0.000611463-0j 0.0052422-0j 0.000706057-0j 0.0034948-0j 0.000756647-0j 0.00305795-0j 0.000249629-0j 0.00203863-0j 5.88381e-05-0j 0.000441377-0j 6.24072e-05-0j 0.000873701-0j 0.0003089-0j 0.000509659-0j 5.2006e-06-0j 7.28084e-05-0j 7.7225e-05-0j 0.000180192-0j 4.24716e-05-0j 1.93815e-07-0j 6.43541e-06-0j 4.50479e-05-0j 2.39834e-07-0j 3.75399e-06-0j 1.39903e-07-0j 
-0.00125738-0j -0.000222276-0j -1.8523e-05-0j -0.62173-0j 0.000535712-0j 0.000328055-0j 6.6964e-05-0j 3.94589e-06-0j -0.000691477-0j -0.00330205-0j 0.021584-0j 0.103071-0j -9.111e-05-0j -1.31506e-05-0j -0.000435084-0j -1.13888e-05-0j -6.2799e-05-0j -5.43855e-05-0j -1.34218e-06-0j -6.40939e-06-0j -6.12617e-08-0j -2.92547e-07-0j -0.00051378-0j 0.00186325-0j -0.000444011-0j -8.12357e-05-0j 0.000294605-0j 0.0124224-0j -7.02043e-05-0j -4.2815e-05-0j 0.00179302-0j -0.0450505-0j -1.07037e-05-0j 0.000155271-0j -0.00650249-0j 0.0107355-0j -3.78434e-06-0j -3.70009e-05-0j -8.91978e-07-0j 0.00154954-0j -9.46086e-07-0j 3.88177e-05-0j 1.37241e-05-0j -9.25023e-06-0j -7.88405e-08-0j 3.23481e-06-0j 3.43103e-06-0j -3.27045e-06-0j -7.70852e-07-0j -2.93821e-09-0j 2.85919e-07-0j -8.17612e-07-0j 1.06556e-08-0j -6.81344e-08-0j -2.53922e-09-0j 
0.000355568-0j -0.0120816-0j 5.23801e-06-0j 5.37354e-06-0j 8.95591e-07-0j 0.0100252-0j -2.15177e-05-0j 6.59665e-09-0j 0.000195538-0j -0.000190719-0j 3.15549e-05-0j -3.07771e-05-0j -0.00495219-0j 3.71878e-06-0j 0.00483013-0j 0.0588707-0j -3.62712e-06-0j -0.0574196-0j -7.29526e-05-0j 7.11545e-05-0j 1.73238e-08-0j -1.68968e-08-0j -0.000285725-0j 3.11493e-06-0j -0.000204298-0j -4.51771e-05-0j 4.92514e-07-0j 0.00686491-0j -3.23024e-05-0j -2.38104e-05-0j -5.15511e-06-0j -7.48402e-05-0j 0.00114415-0j 2.59578e-07-0j 5.62002e-08-0j 0.00490853-0j -0.116628-0j -1.70249e-05-0j -4.9605e-07-0j -3.68599e-06-0j -0.00961768-0j -1.24734e-05-0j 0.00127146-0j 0.000818088-0j 8.42747e-06-0j 5.40787e-09-0j 0.000104851-0j -0.083391-0j -3.54685e-07-0j -1.63401e-09-0j -9.18751e-08-0j -0.00687681-0j 1.78137e-11-0j 6.02579e-06-0j -1.16835e-09-0j 
-0.0513311-0j -0.00296373-0j -0.000751409-0j 0.000310146-0j 0.351855-0j 3.16542e-05-0j -0.000615783-0j -7.29514e-05-0j -0.000575482-0j 0.000197565-0j 0.00437882-0j -0.00150326-0j 0.0109466-0j -0.150577-0j -0.00375799-0j 0.000446912-0j 0.0516937-0j -0.000153426-0j 0.000160241-0j -5.50113e-05-0j 1.2224e-05-0j -4.19652e-06-0j 0.000145289-0j -0.00052912-0j 0.000104875-0j -0.00108316-0j 0.00394471-0j 1.81611e-05-0j -0.000781866-0j -0.00350784-0j -0.000249818-0j -6.614e-05-0j 0.0206034-0j 0.012775-0j 0.0009098-0j 1.31094e-05-0j 1.07015e-06-0j -0.00253209-0j 0.00522368-0j -0.000180328-0j -2.54969e-05-0j -0.0750346-0j -3.89734e-06-0j 0.0148723-0j -4.27178e-06-0j -0.0190239-0j 9.28561e-05-0j 7.72476e-07-0j 0.00377065-0j -2.39215e-07-0j 1.55572e-05-0j -1.84046e-05-0j 8.71187e-07-0j -3.08353e-06-0j -1.72675e-07-0j 
0.00021774-0j -0.00739843-0j 3.20761e-06-0j 0.000189925-0j 3.16542e-05-0j 0.354335-0j -0.000760531-0j 2.33155e-07-0j -0.000352409-0j 0.000120983-0j -5.68698e-05-0j 1.95236e-05-0j 0.00892509-0j -6.70217e-06-0j -0.00306401-0j -0.1061-0j 2.30088e-06-0j 0.0364244-0j 0.000131479-0j -4.51371e-05-0j -3.12219e-08-0j 1.07186e-08-0j 8.89707e-05-0j -0.000324019-0j 6.42224e-05-0j 1.40675e-05-0j -5.12318e-05-0j -0.00213763-0j 1.01545e-05-0j 7.41422e-06-0j 1.60523e-06-0j 0.00778496-0j -0.000356272-0j -2.70015e-05-0j -5.84601e-06-0j -0.00154303-0j 0.0363162-0j 5.35187e-06-0j 1.54463e-07-0j 1.15871e-06-0j 0.00299481-0j 0.00129749-0j -0.132259-0j -0.000257171-0j -2.62419e-06-0j -5.62532e-07-0j -0.0109067-0j 0.0262144-0j 1.11497e-07-0j 5.08807e-10-0j 9.55694e-06-0j 0.00216177-0j -1.853e-09-0j -1.89424e-06-0j 3.67276e-10-0j 
-7.258e-05-0j -0.116903-0j -0.014566-0j -1.09687e-06-0j 1.74223e-05-0j 2.15177e-05-0j 0.00971202-0j -3.69463e-05-0j -3.99141e-05-0j 3.89303e-05-0j 0.000613851-0j -0.000598721-0j 0.000502801-0j -0.0033745-0j -0.000490408-0j -0.0120421-0j 0.00329132-0j 0.0117453-0j 0.100907-0j -0.0984195-0j -0.000162277-0j 0.000158277-0j 5.83234e-05-0j -6.35833e-07-0j 4.17023e-05-0j -0.00087885-0j 9.5811e-06-0j -0.000697001-0j -0.000628394-0j 4.86028e-06-0j 0.00467785-0j 7.59861e-06-0j 0.0110709-0j -5.29861e-08-0j -5.09973e-05-0j -0.000498368-0j -0.000124073-0j 3.47519e-06-0j 0.00137943-0j 0.00334475-0j -0.0917672-0j -0.000120694-0j 1.35262e-06-0j 0.00791592-0j -0.0234774-0j -1.50384e-05-0j 0.00100043-0j -8.87143e-05-0j 0.000986318-0j 2.30073e-05-0j 0.000255947-0j -0.0656152-0j -2.50822e-07-0j -0.0167867-0j 1.64506e-05-0j 
0.0733454-0j 0.00423478-0j 0.00107366-0j 0.000427802-0j 0.485334-0j 4.36624e-05-0j -0.000849384-0j -0.000100626-0j 0.000271445-0j 0.000282125-0j -0.00206541-0j -0.00214668-0j -0.00516331-0j 0.0710248-0j -0.00536645-0j -0.0002108-0j 0.0738192-0j -0.000219094-0j -7.5583e-05-0j -7.85567e-05-0j -5.76583e-06-0j -5.99268e-06-0j -0.000207598-0j -0.000240928-0j -0.000134544-0j 0.00154769-0j 0.00179618-0j -2.59498e-05-0j 0.00100306-0j 0.00501224-0j 0.000356957-0j -3.01161e-05-0j -0.0294396-0j 0.00581696-0j 0.000414267-0j -1.6818e-05-0j -1.52911e-06-0j 0.00324843-0j -0.00746395-0j 0.000231343-0j 3.64317e-05-0j -0.0341661-0j -1.77461e-06-0j -0.0190798-0j 6.10381e-06-0j -0.0086623-0j 4.22809e-05-0j -9.91013e-07-0j -0.00483738-0j 3.41807e-07-0j 7.08379e-06-0j 2.36114e-05-0j 3.96685e-07-0j 3.95588e-06-0j 2.21525e-07-0j 
-4.4446e-05-0j -0.0715881-0j -0.00891983-0j -3.87683e-05-0j 0.000615783-0j 0.000760531-0j 0.343266-0j -0.00130585-0j 7.19353e-05-0j -2.46956e-05-0j -0.00110631-0j 0.000379801-0j -0.000906174-0j 0.0060817-0j 0.000311092-0j 0.021703-0j -0.00208786-0j -0.0074507-0j -0.181859-0j 0.0624328-0j 0.000292463-0j -0.000100403-0j -1.81611e-05-0j 6.614e-05-0j -1.31094e-05-0j 0.000273661-0j -0.000996636-0j 0.000217036-0j 0.000197539-0j -1.51342e-06-0j -0.00145662-0j -0.000790415-0j -0.00344733-0j 5.51167e-06-0j 0.00530479-0j 0.000156665-0j 3.86345e-05-0j -1.09245e-06-0j -0.000429535-0j -0.00105144-0j 0.028575-0j 0.0125547-0j -0.000140701-0j -0.00248842-0j 0.00731052-0j 0.00156431-0j -0.104066-0j 2.78879e-05-0j -0.000310055-0j -7.16413e-06-0j -0.0266239-0j 0.0206265-0j 2.60907e-05-0j 0.00527701-0j -5.17134e-06-0j 
-0.000311122-0j 0.0105714-0j -4.58326e-06-0j 0.000261974-0j 4.36624e-05-0j 0.488755-0j -0.00104904-0j 3.21604e-07-0j 0.000166225-0j 0.000172765-0j 2.68245e-05-0j 2.78799e-05-0j -0.00420981-0j 3.1613e-06-0j -0.00437544-0j 0.0500454-0j 3.28568e-06-0j 0.0520144-0j -6.20163e-05-0j -6.44563e-05-0j 1.47268e-08-0j 1.53062e-08-0j -0.000127127-0j -0.000147538-0j -8.23913e-05-0j -2.01006e-05-0j -2.33278e-05-0j 0.0030544-0j -1.30272e-05-0j -1.0594e-05-0j -2.29366e-06-0j 0.00354479-0j 0.000509066-0j -1.22948e-05-0j -2.66191e-06-0j 0.00197955-0j -0.0518911-0j -6.86594e-06-0j -2.20707e-07-0j -1.48652e-06-0j -0.00427919-0j 0.000590798-0j -0.0602223-0j 0.000329926-0j 3.74963e-06-0j -2.56142e-07-0j -0.00496622-0j -0.0336306-0j -1.4304e-07-0j -7.27019e-10-0j 4.35164e-06-0j -0.00277334-0j -8.43743e-10-0j 2.43013e-06-0j -4.71181e-10-0j 
-0.0302534-0j -0.00174676-0j -0.000442864-0j -0.000535712-0j -0.607756-0j -5.46759e-05-0j 0.00106363-0j 0.000126008-0j 0.000115246-0j 0.000550342-0j -0.000876903-0j -0.00418754-0j -0.00219216-0j 0.0301547-0j -0.0104684-0j -8.94986e-05-0j 0.144-0j -0.000427389-0j -3.20899e-05-0j -0.000153241-0j -2.44797e-06-0j -1.169e-05-0j 8.56299e-05-0j -0.000310541-0j 7.40018e-05-0j -0.000638391-0j 0.00231516-0j 1.07037e-05-0j -0.000551701-0j -0.00206744-0j -0.000147237-0j -3.88177e-05-0j 0.0121432-0j 0.00749769-0j 0.000533963-0j 9.25023e-06-0j 6.30724e-07-0j -0.00178669-0j 0.00307872-0j -0.000127243-0j -1.50273e-05-0j -0.044038-0j -2.28735e-06-0j 0.0104942-0j -2.51769e-06-0j -0.0111652-0j 5.44974e-05-0j 5.45075e-07-0j 0.00266065-0j -1.40988e-07-0j 9.13055e-06-0j -1.29867e-05-0j 5.11301e-07-0j -2.1758e-06-0j -1.21843e-07-0j 
4.27682e-06-0j -0.000144861-0j -0.163585-0j 6.46337e-08-0j -2.06401e-06-0j 6.59665e-09-0j 3.69463e-05-0j 0.0093994-0j 2.35196e-06-0j -2.29399e-06-0j -7.27226e-05-0j 7.09301e-05-0j 3.09898e-07-0j 0.0012273-0j -3.0226e-07-0j -7.42222e-06-0j -0.00119705-0j 7.23928e-06-0j -0.0118534-0j 0.0115612-0j 0.128889-0j -0.125712-0j -3.43674e-06-0j 3.74668e-08-0j -2.45733e-06-0j 0.000104117-0j -1.13507e-06-0j -4.29592e-07-0j 7.44454e-05-0j -2.86395e-07-0j -0.00170133-0j 4.68335e-09-0j 1.37186e-05-0j 3.12224e-09-0j 1.85477e-05-0j -3.07166e-07-0j -2.5314e-08-0j -2.04777e-07-0j 0.0154919-0j -0.00121648-0j -0.000173641-0j -1.49558e-07-0j 2.75969e-10-0j 9.80905e-06-0j -0.0624737-0j -0.00016889-0j 1.89302e-06-0j -1.80999e-08-0j 0.011077-0j -0.0369895-0j 0.00068108-0j -0.000124157-0j 0.000403254-0j -0.0446698-0j -0.0264481-0j 
6.35075e-05-0j 0.10229-0j 0.0127453-0j -5.34752e-05-0j 0.000849384-0j 0.00104904-0j 0.473486-0j -0.00180123-0j -3.39306e-05-0j -3.52656e-05-0j 0.000521829-0j 0.00054236-0j 0.000427426-0j -0.00286863-0j 0.000444243-0j -0.0102369-0j -0.00298149-0j -0.0106397-0j 0.0857798-0j 0.0891547-0j -0.00013795-0j -0.000143377-0j 2.59498e-05-0j 3.01161e-05-0j 1.6818e-05-0j -0.000391026-0j -0.000453806-0j -0.000310116-0j -0.000253424-0j 2.16248e-06-0j 0.00208132-0j -0.000359906-0j 0.00492579-0j 2.50967e-06-0j 0.00241547-0j -0.000200986-0j -5.52036e-05-0j 1.4015e-06-0j 0.00061375-0j 0.0013489-0j -0.0408299-0j 0.00571663-0j -6.40667e-05-0j 0.0031924-0j -0.0104458-0j 0.000712288-0j -0.0473852-0j -3.57774e-05-0j 0.000397771-0j 1.02366e-05-0j -0.0121229-0j -0.0264619-0j 1.18801e-05-0j -0.0067699-0j 6.63434e-06-0j 
0.000128331-0j -0.00436048-0j 1.8905e-06-0j -0.000328055-0j -5.46759e-05-0j -0.61204-0j 0.00131366-0j -4.02726e-07-0j 7.05735e-05-0j 0.000337015-0j 1.13888e-05-0j 5.43855e-05-0j -0.00178734-0j 1.34218e-06-0j -0.0085352-0j 0.0212475-0j 6.40939e-06-0j 0.101465-0j -2.633e-05-0j -0.000125735-0j 6.2525e-09-0j 2.9858e-08-0j 5.24374e-05-0j -0.000190167-0j 4.53167e-05-0j 8.29108e-06-0j -3.0068e-05-0j -0.00125988-0j 7.16519e-06-0j 4.36978e-06-0j 9.46086e-07-0j 0.004569-0j -0.000209979-0j -1.58472e-05-0j -3.43103e-06-0j -0.00108879-0j 0.021404-0j 3.77639e-06-0j 9.10372e-08-0j 8.17612e-07-0j 0.00176508-0j 0.000761501-0j -0.0776227-0j -0.000181465-0j -1.54664e-06-0j -3.30151e-07-0j -0.00640114-0j 0.0184974-0j 7.86748e-08-0j 2.9988e-10-0j 5.60898e-06-0j 0.00152539-0j -1.08753e-09-0j -1.33662e-06-0j 2.59158e-10-0j 
2.61901e-06-0j -8.87087e-05-0j -0.100175-0j 2.28444e-06-0j -7.29514e-05-0j 2.33155e-07-0j 0.00130585-0j 0.332216-0j -4.23883e-06-0j 1.4552e-06-0j 0.000131064-0j -4.49948e-05-0j -5.58514e-07-0j -0.00221191-0j 1.9174e-07-0j 1.33767e-05-0j 0.000759355-0j -4.59226e-06-0j 0.0213628-0j -0.00733392-0j -0.232291-0j 0.0797461-0j 1.07015e-06-0j -3.89734e-06-0j 7.72476e-07-0j -3.24205e-05-0j 0.000118071-0j 1.33769e-07-0j -2.34024e-05-0j 8.91793e-08-0j 0.000529771-0j -4.87167e-07-0j -4.27178e-06-0j -3.24778e-07-0j -0.00192935-0j 9.65595e-08-0j 7.88241e-09-0j 6.4373e-08-0j -0.00482395-0j 0.000382409-0j 5.40695e-05-0j 1.55572e-05-0j -2.87066e-08-0j -3.08353e-06-0j 0.0194534-0j 0.0175681-0j -0.000196913-0j 5.68982e-09-0j -0.00348211-0j 0.011518-0j -0.0708466-0j 3.90294e-05-0j -0.0419469-0j 0.0140422-0j 0.00831413-0j 
-2.61955e-05-0j -0.0421925-0j -0.00525715-0j 6.6964e-05-0j -0.00106363-0j -0.00131366-0j -0.59292-0j 0.00225558-0j -1.44058e-05-0j -6.87928e-05-0j 0.000221551-0j 0.00105799-0j 0.00018147-0j -0.00121792-0j 0.000866588-0j -0.00434624-0j -0.00581602-0j -0.0207549-0j 0.0364191-0j 0.173915-0j -5.85687e-05-0j -0.000279687-0j -1.07037e-05-0j 3.88177e-05-0j -9.25023e-06-0j 0.00016129-0j -0.000584927-0j 0.000127916-0j 0.000139388-0j -8.91978e-07-0j -0.000858499-0j -0.000463896-0j -0.00203178-0j 3.23481e-06-0j 0.00311339-0j 0.000110546-0j 2.27703e-05-0j -7.70852e-07-0j -0.000253159-0j -0.000741919-0j 0.0168415-0j 0.00736837-0j -8.25778e-05-0j -0.00175588-0j 0.00430866-0j 0.000918094-0j -0.0610765-0j 1.96782e-05-0j -0.000218781-0j -4.22238e-06-0j -0.0156256-0j 0.0145545-0j 1.53127e-05-0j 0.00372357-0j -3.64901e-06-0j 
-3.74222e-06-0j 0.000126753-0j 0.143137-0j 3.15106e-06-0j -0.000100626-0j 3.21604e-07-0j 0.00180123-0j 0.458245-0j 1.99938e-06-0j 2.07804e-06-0j -6.18208e-05-0j -6.42531e-05-0j 2.63441e-07-0j 0.00104332-0j 2.73806e-07-0j -6.30956e-06-0j 0.00108437-0j -6.5578e-06-0j -0.0100765-0j -0.0104729-0j 0.109567-0j 0.113878-0j -1.52911e-06-0j -1.77461e-06-0j -9.91013e-07-0j 4.63247e-05-0j 5.37622e-05-0j -1.91138e-07-0j 3.0023e-05-0j -1.27425e-07-0j -0.000756973-0j -2.21826e-07-0j 6.10381e-06-0j -1.47884e-07-0j -0.000878506-0j -1.23877e-07-0j -1.12629e-08-0j -8.25844e-08-0j 0.00689279-0j -0.000490594-0j -7.72582e-05-0j 7.08379e-06-0j -1.30712e-08-0j 3.95588e-06-0j -0.0277964-0j 0.00799944-0j -8.96621e-05-0j -7.2995e-09-0j 0.00446722-0j -0.0164577-0j -0.0322592-0j -5.0071e-05-0j -0.0191-0j -0.0180148-0j -0.0106662-0j 
1.54359e-06-0j -5.2283e-05-0j -0.0590411-0j -3.94589e-06-0j 0.000126008-0j -4.02726e-07-0j -0.00225558-0j -0.573834-0j 8.48868e-07-0j 4.05366e-06-0j -2.6247e-05-0j -0.000125339-0j 1.11848e-07-0j 0.000442957-0j 5.34116e-07-0j -2.67882e-06-0j 0.00211528-0j -1.27924e-05-0j -0.00427812-0j -0.0204296-0j 0.0465185-0j 0.222143-0j 6.30724e-07-0j -2.28735e-06-0j 5.45075e-07-0j -1.9108e-05-0j 6.9296e-05-0j 7.88405e-08-0j -1.65132e-05-0j 5.25603e-08-0j 0.000312235-0j -2.85919e-07-0j -2.51769e-06-0j -1.90613e-07-0j -0.00113234-0j 6.81344e-08-0j 4.64572e-09-0j 4.54229e-08-0j -0.00284313-0j 0.000269835-0j 3.18674e-05-0j 9.13055e-06-0j -1.68479e-08-0j -2.1758e-06-0j 0.0114654-0j 0.0103108-0j -0.000115569-0j 4.01486e-09-0j -0.00245705-0j 0.00678846-0j -0.04158-0j 2.754e-05-0j -0.0246187-0j 0.00990848-0j 0.00586662-0j 
0.00238143-0j 0.000420981-0j 3.50817e-05-0j 0.00207721-0j 0.000346202-0j 0.000212005-0j 4.32752e-05-0j 2.55002e-06-0j -0.317976-0j -0.321271-0j 0.00021134-0j 0.00021353-0j 0.000172558-0j 2.49066e-05-0j 0.000174346-0j 2.15698e-05-0j 2.51647e-05-0j 2.17933e-05-0j 2.54202e-06-0j 2.56836e-06-0j 1.16027e-07-0j 1.17229e-07-0j 0.000973074-0j 0.00120412-0j 0.000702402-0j -0.0373563-0j -0.0462261-0j 0.000121634-0j -0.0269652-0j 8.10895e-05-0j 1.75564e-05-0j 0.000150515-0j 2.02724e-05-0j 0.000100343-0j 2.17249e-05-0j 8.78002e-05-0j 7.16737e-06-0j 5.85335e-05-0j 1.68936e-06-0j 1.26729e-05-0j 1.79184e-06-0j 2.50858e-05-0j 8.86916e-06-0j 1.46334e-05-0j 1.4932e-07-0j 2.09048e-06-0j 2.21729e-06-0j 5.17368e-06-0j 1.21945e-06-0j 5.56483e-09-0j 1.84774e-07-0j 1.29342e-06-0j 6.88613e-09-0j 1.07785e-07-0j 4.01691e-09-0j 
-0.000384301-0j 0.00320323-0j 0.000812129-0j 0.0648387-0j 0.00263424-0j -3.42121e-05-0j 0.000665543-0j 7.88465e-05-0j -0.00021134-0j -0.00021353-0j -0.311047-0j -0.31427-0j -2.78464e-05-0j 0.000383046-0j -2.8135e-05-0j 0.000164124-0j 0.000387016-0j 0.000165824-0j 5.88469e-05-0j 5.94567e-05-0j 4.48911e-06-0j 4.53563e-06-0j -0.000157029-0j -0.000194314-0j -0.00011335-0j 0.00117069-0j 0.00144865-0j 0.00379673-0j 0.000845048-0j -1.30858e-05-0j -0.0522265-0j 0.00469821-0j 0.000154252-0j -1.61928e-05-0j -0.064627-0j 0.00274062-0j -1.15663e-06-0j -9.4458e-06-0j 3.91082e-05-0j -0.0376991-0j 2.75573e-05-0j 0.000190877-0j -1.43125e-06-0j 0.000111345-0j 4.61698e-06-0j 4.83939e-05-0j 3.41004e-05-0j -8.34899e-07-0j 2.82298e-05-0j 2.58546e-07-0j 5.71322e-06-0j 1.98919e-05-0j 3.19934e-07-0j 3.33271e-06-0j 1.86628e-07-0j 
-0.00269011-0j -0.000475548-0j -3.9629e-05-0j -4.06544e-05-0j -6.77573e-06-0j -4.14927e-06-0j -8.46967e-07-0j -4.9908e-08-0j 0.359192-0j -0.350339-0j -0.000238733-0j 0.000232849-0j -0.000194925-0j -2.8135e-05-0j 0.000190121-0j -2.43656e-05-0j 2.74415e-05-0j 2.37651e-05-0j -2.87152e-06-0j 2.80074e-06-0j -1.31066e-07-0j 1.27836e-07-0j -0.0010992-0j -2.35665e-05-0j 0.00154565-0j 0.0421984-0j 0.000904719-0j -0.0001374-0j -0.0593376-0j -9.16003e-05-0j -1.9832e-05-0j -2.94582e-06-0j -2.29001e-05-0j -1.96388e-06-0j -4.25192e-07-0j 0.000193207-0j -8.0964e-06-0j 0.000128804-0j -1.90834e-06-0j 2.7887e-05-0j -2.0241e-06-0j -4.90969e-07-0j -1.73584e-07-0j 3.22011e-05-0j -1.68675e-07-0j -4.09141e-08-0j -4.3396e-08-0j 1.13848e-05-0j 2.68343e-06-0j -6.28615e-09-0j -3.61633e-09-0j 2.8462e-06-0j -1.34773e-10-0j 2.37184e-07-0j 8.83931e-09-0j 
0.0452985-0j 0.00530313-0j -4.62242e-06-0j -0.000273697-0j 0.00658531-0j 0.00536921-0j 0.000545142-0j -3.35994e-07-0j -0.000172558-0j -0.000174346-0j -2.78464e-05-0j -2.8135e-05-0j -0.313807-0j 0.000473763-0j -0.317059-0j 0.000546274-0j 0.000478672-0j 0.000551935-0j 3.2022e-05-0j 3.23539e-05-0j -1.52879e-08-0j -1.54463e-08-0j -0.000128214-0j -0.000158656-0j -9.25496e-05-0j -2.02724e-05-0j -2.50858e-05-0j 0.00153224-0j -1.46334e-05-0j 0.00309558-0j -2.31326e-06-0j 0.00189604-0j -0.0368665-0j 0.00383059-0j -2.86251e-06-0j 0.00110603-0j 0.000272752-0j 0.00223451-0j 3.21344e-05-0j -1.6698e-06-0j 4.538e-05-0j -0.04562-0j 0.000337514-0j -0.0266116-0j 1.881e-06-0j 3.97642e-05-0j 5.61549e-05-0j 0.000196883-0j 2.31958e-05-0j -7.33231e-10-0j 2.32761e-06-0j 3.2757e-05-0j -9.07327e-10-0j 1.35778e-06-0j -5.29274e-10-0j 
-0.00219646-0j -0.000388283-0j -3.2357e-05-0j -0.00191588-0j -0.000319313-0j -0.000195538-0j -3.99141e-05-0j -2.35196e-06-0j -0.28493-0j 0.296318-0j 0.000189376-0j -0.000196945-0j 0.000154625-0j 2.23182e-05-0j -0.000160805-0j 1.93281e-05-0j -2.32102e-05-0j -2.01006e-05-0j 2.27784e-06-0j -2.36888e-06-0j 1.03969e-07-0j -1.08124e-07-0j 0.00176502-0j 0.00107898-0j -0.000647847-0j -0.0677591-0j -0.041422-0j 0.000220627-0j 0.0248708-0j 0.000147085-0j 3.18448e-05-0j 0.000134872-0j 3.67712e-05-0j 8.99149e-05-0j 1.94671e-05-0j -8.09809e-05-0j 1.30006e-05-0j -5.39872e-05-0j 3.06427e-06-0j -1.16886e-05-0j 3.25015e-06-0j 2.24787e-05-0j 7.94743e-06-0j -1.34968e-05-0j 2.70846e-07-0j 1.87323e-06-0j 1.98686e-06-0j -4.77184e-06-0j -1.12473e-06-0j 1.00938e-08-0j 1.65571e-07-0j -1.19296e-06-0j 6.17048e-09-0j -9.94134e-08-0j -3.70492e-09-0j 
-0.00653827-0j -0.000763014-0j 0.00908927-0j 3.95047e-05-0j 0.0905853-0j 4.03193e-06-0j 0.00365866-0j 0.00133065-0j 2.49066e-05-0j 2.51647e-05-0j -0.000383046-0j -0.000387016-0j -0.000473763-0j -0.303987-0j -0.000478672-0j -3.90945e-05-0j -0.307137-0j -3.94996e-05-0j 0.000658608-0j 0.000665433-0j 0.000101261-0j 0.000102311-0j 1.85061e-05-0j 2.29001e-05-0j 1.33584e-05-0j -0.00027886-0j -0.000345072-0j 2.31326e-06-0j -0.000201292-0j -0.000446809-0j 0.00148429-0j 2.86251e-06-0j 0.00530436-0j -0.000552898-0j 0.00183671-0j 1.6698e-06-0j 1.3631e-07-0j -0.000322524-0j -0.0631872-0j 0.00107142-0j 0.000151489-0j 0.00656381-0j 1.68675e-07-0j 0.00382889-0j 7.79184e-05-0j -0.0781902-0j 0.000187459-0j 9.83938e-08-0j -0.0456109-0j 7.30022e-06-0j 9.6419e-05-0j 0.000109351-0j 9.03357e-06-0j 5.62444e-05-0j 5.26958e-06-0j 
0.00221922-0j 0.000392307-0j 3.26923e-05-0j -0.00186865-0j -0.000311442-0j -0.000190719-0j -3.89303e-05-0j -2.29399e-06-0j -0.296318-0j 0.299209-0j 0.000196945-0j -0.000198866-0j 0.000160805-0j 2.32102e-05-0j -0.000162374-0j 2.01006e-05-0j -2.34366e-05-0j -2.02967e-05-0j 2.36888e-06-0j -2.39199e-06-0j 1.08124e-07-0j -1.09179e-07-0j -0.00178331-0j -0.00108322-0j 0.000587695-0j 0.0684613-0j 0.0415849-0j -0.000222914-0j -0.0225616-0j -0.000148609-0j -3.21748e-05-0j -0.000135403-0j -3.71523e-05-0j -9.02684e-05-0j -1.95437e-05-0j 7.34618e-05-0j -1.31353e-05-0j 4.89746e-05-0j -3.09602e-06-0j 1.06033e-05-0j -3.28383e-06-0j -2.25671e-05-0j -7.97868e-06-0j 1.22436e-05-0j -2.73652e-07-0j -1.88059e-06-0j -1.99467e-06-0j 4.32878e-06-0j 1.0203e-06-0j -1.01984e-08-0j -1.66222e-07-0j 1.08219e-06-0j -6.19474e-09-0j 9.01829e-08-0j 3.36092e-09-0j 
0.000434114-0j -0.00361843-0j -0.000917398-0j -0.001269-0j -5.15563e-05-0j 6.69586e-07-0j -1.30258e-05-0j -1.54315e-06-0j 0.000238733-0j -0.000232849-0j 0.351365-0j -0.342704-0j 3.14559e-05-0j -0.000432697-0j -3.06806e-05-0j -0.000185397-0j 0.000422032-0j 0.000180828-0j -6.64746e-05-0j 6.48361e-05-0j -5.07099e-06-0j 4.94601e-06-0j 0.000177383-0j 3.80303e-06-0j -0.000249429-0j -0.00132243-0j -2.83525e-05-0j -0.00428886-0j 0.00185955-0j 1.47819e-05-0j 0.0589961-0j -9.19516e-05-0j -0.000174246-0j 3.16919e-07-0j 0.00126486-0j 0.00603081-0j 1.30655e-06-0j -2.07857e-05-0j -4.41774e-05-0j -0.0829578-0j -3.11293e-05-0j -3.73577e-06-0j 2.8012e-08-0j 0.000245017-0j -5.21543e-06-0j -9.47147e-07-0j -6.674e-07-0j -1.83722e-06-0j 6.21203e-05-0j -2.92059e-07-0j -1.11817e-07-0j 4.37726e-05-0j -6.26163e-09-0j 7.33371e-06-0j 4.1068e-07-0j 
