-0.14492-0j 0.695261-0j 0.702466-0j -0.00843285-0j 0.116368-0j -0.0104351-0j -0.00608715-0j 0.143998-0j 0.0839991-0j -0.00592558-0j 0.0495496-0j -0.00691317-0j 0.012562-0j -0.00423344-0j -0.00604903-0j 0.0578079-0j 0.0353999-0j -0.0024951-0j 0.0146556-0j 0.0505819-0j 0.00897471-0j 0.020864-0j 0.0128237-0j 0.0052895-0j -0.00456118-0j 0.0359593-0j -0.0051524-0j -0.000465524-0j 0.00908484-0j -0.00420692-0j 0.00107626-0j 0.0406203-0j -0.00425052-0j -0.00368105-0j -0.000525865-0j 0.0331663-0j -0.00303672-0j 0.0102624-0j -0.000429367-0j 0.03351-0j -0.000970245-0j 0.00121576-0j -0.000433816-0j 0.0290205-0j 0.00837923-0j -0.000375696-0j 0.0239407-0j 0.00846606-0j 0.000992666-0j 0.00733182-0j -0.000309933-0j 0.00764918-0j 0.00100295-0j 0.00604845-0j -9.90252e-05-0j 0.000868583-0j 0.00193251-0j 0.000716544-0j 0.000228939-0j 
7.19429e-05-0j 0.000716544-0j 0.000663021-0j -2.13883e-06-0j -0.00852428-0j 5.18033e-06-0j -5.97782e-06-0j 0.0206461-0j -0.0238245-0j -1.50291e-06-0j 5.10664e-05-0j 3.43192e-06-0j 0.0580355-0j -1.07373e-06-0j -1.40506e-06-0j -0.000116611-0j 3.64836e-05-0j -7.36354e-07-0j -0.132525-0j 4.77415e-05-0j 0.0414626-0j 2.50201e-05-0j 0.0542569-0j 0.0284346-0j -1.15686e-06-0j 3.706e-05-0j 2.55782e-06-0j -1.18071e-07-0j -0.000665488-0j -1.06701e-06-0j -0.170411-0j -8.19398e-05-0j -9.87305e-07-0j 1.82739e-06-0j 2.61056e-07-0j 3.41816e-05-0j -2.98217e-06-0j 0.0014714-0j -1.08901e-07-0j 3.16283e-05-0j 3.18842e-06-0j 0.37678-0j -1.00766e-07-0j -5.85406e-05-0j -0.0006138-0j 1.86508e-07-0j 9.55339e-05-0j -0.000567951-0j -0.157176-0j 0.00105122-0j -3.04367e-07-0j -0.000102141-0j -0.145435-0j -0.00171551-0j 3.25417e-07-0j 0.269185-0j 0.00183415-0j -0.439289-0j 0.469671-0j 
0.0319283-0j 0.00323826-0j 0.00327181-0j 0.0018579-0j 0.000268164-0j 0.00229903-0j 0.0013411-0j 0.000331836-0j 0.000193571-0j -0.00394013-0j -0.000696524-0j 0.00152309-0j -5.80436e-05-0j 0.000932697-0j 0.0013327-0j 0.000269246-0j 0.000164879-0j 0.000549711-0j 2.24372e-05-0j 0.000235591-0j 1.37399e-05-0j 9.71761e-05-0j 1.96325e-05-0j 8.09801e-06-0j 0.0010049-0j 0.000167484-0j -0.00342602-0j 0.000102563-0j 2.09355e-05-0j 0.000926855-0j 1.23364e-06-0j -0.000571004-0j 0.00093646-0j 0.000810998-0j -0.000349667-0j 0.000154476-0j 0.000669039-0j -7.13755e-05-0j 9.45967e-05-0j 0.000156077-0j 0.000213761-0j -4.20584e-06-0j 9.5577e-05-0j 0.000135166-0j 1.93095e-05-0j 8.27721e-05-0j 0.000111507-0j 1.95096e-05-0j 1.13782e-06-0j 1.68958e-05-0j 6.82835e-05-0j 3.56269e-05-0j 1.14961e-06-0j 1.39383e-05-0j 2.18169e-05-0j 9.95594e-07-0j 4.45336e-06-0j 8.21323e-07-0j 2.62417e-07-0j 
-0.000530205-0j -0.00377796-0j 0.00370845-0j 0.0043236-0j 0.000624057-0j -3.8178e-05-0j 0.00306242-0j -5.51052e-06-0j 0.000442023-0j -0.00152309-0j -0.000269246-0j 5.0451e-05-0j -2.24372e-05-0j -0.00108815-0j 0.00151056-0j 8.91856e-06-0j -0.000192359-0j 0.00188747-0j 7.43214e-07-0j 0.000267031-0j -1.60299e-05-0j 0.000333662-0j 2.22526e-05-0j 2.78051e-05-0j -0.00117239-0j -0.000195398-0j -1.88506e-05-0j -0.000119656-0j -2.44248e-05-0j 0.00215692-0j -1.43924e-06-0j -3.14177e-06-0j -0.00211724-0j -1.34675e-05-0j -1.92393e-06-0j 0.000359487-0j 0.00152776-0j -3.92721e-07-0j 0.00022014-0j -0.000352873-0j 0.000979804-0j -2.31413e-08-0j -0.00021609-0j -2.24459e-06-0j 4.49359e-05-0j -1.37452e-06-0j 0.000254627-0j -4.41091e-05-0j 2.64788e-06-0j -2.80574e-07-0j 0.000155926-0j 0.000163301-0j -2.59916e-06-0j 3.18283e-05-0j 0.000100001-0j -1.6533e-08-0j 2.04126e-05-0j 1.8755e-06-0j 1.20282e-06-0j 
-0.0051524-0j 0.0247189-0j 0.0249751-0j -0.000299817-0j 0.00413729-0j -0.000371004-0j -0.000216419-0j 0.00511964-0j 0.00298646-0j 0.000635836-0j -0.00531685-0j -0.000245787-0j -0.00134795-0j -0.000150513-0j -0.000215064-0j 0.00205527-0j 0.00125859-0j -8.87093e-05-0j 0.000521059-0j 0.00179836-0j 0.000319082-0j 0.000741786-0j 0.000455926-0j 0.00018806-0j 0.0317661-0j 0.00127848-0j -0.1083-0j -1.6551e-05-0j 0.000322997-0j 0.0292989-0j 3.82647e-05-0j -0.00435871-0j 0.0296025-0j 0.0256365-0j 5.64273e-05-0j 0.00117918-0j 0.021149-0j -0.0011012-0j -1.52655e-05-0j 0.0011914-0j 0.00675722-0j -0.000130456-0j -1.54237e-05-0j 0.00103178-0j 0.00029791-0j -1.33573e-05-0j 0.000851175-0j 0.000300998-0j 3.52927e-05-0j 0.000260672-0j -1.10192e-05-0j 0.000271955-0j 3.56584e-05-0j 0.000215043-0j -3.52069e-06-0j 3.08811e-05-0j 6.87073e-05-0j 2.54756e-05-0j 8.13958e-06-0j 
-0.0228107-0j 0.00686634-0j -0.0023375-0j -0.00132735-0j -0.000191586-0j 0.00487483-0j -0.000958129-0j 0.00070362-0j -0.000138294-0j -0.000932697-0j -0.000164879-0j -0.00108815-0j -1.37399e-05-0j -0.000623937-0j 0.00282584-0j -0.000192359-0j -0.000110298-0j -0.000392733-0j -1.60299e-05-0j 0.000499542-0j -9.19147e-06-0j -6.9426e-05-0j 4.16285e-05-0j -5.7855e-06-0j -0.000717939-0j -0.000119656-0j -0.000810998-0j -7.32743e-05-0j -1.49571e-05-0j 0.00196529-0j -8.81353e-07-0j -0.000135166-0j -0.000669039-0j -0.000542526-0j -8.27721e-05-0j 0.000327548-0j 0.00141862-0j -1.68958e-05-0j 0.000200581-0j -0.000111507-0j -0.000152718-0j -9.95594e-07-0j -6.82835e-05-0j -9.0421e-05-0j 4.09435e-05-0j -5.53713e-05-0j 0.000236436-0j -1.39383e-05-0j 2.41262e-06-0j -1.13026e-05-0j 0.000144787-0j -2.54531e-05-0j -8.21323e-07-0j 2.95546e-05-0j -1.55868e-05-0j -6.66013e-07-0j -3.18163e-06-0j 1.74152e-06-0j -1.8748e-07-0j 
-0.0316656-0j -0.00325269-0j -0.00333862-0j 0.0018966-0j 0.000273751-0j 0.00224354-0j 0.00125378-0j 0.000323827-0j 0.000180968-0j 0.0013327-0j 0.000235591-0j -0.00151056-0j 1.96325e-05-0j -0.00282584-0j 0.0013381-0j -0.000267031-0j -0.000499542-0j 0.00267938-0j -2.22526e-05-0j 0.000236545-0j -4.16285e-05-0j 0.000473652-0j 1.97121e-05-0j 3.9471e-05-0j 0.00102584-0j 0.000170973-0j -0.00112582-0j 0.000104699-0j 2.13717e-05-0j -0.000930987-0j 1.25934e-06-0j -0.000187637-0j -0.000955582-0j 0.00238717-0j -0.000114904-0j -0.000155164-0j -0.000615446-0j -2.34546e-05-0j -9.50184e-05-0j -0.000159264-0j 0.00230806-0j -1.38208e-06-0j -9.75287e-05-0j 0.000397862-0j -1.93956e-05-0j 0.00024364-0j -0.000102574-0j -1.9908e-05-0j -1.14289e-06-0j 4.97327e-05-0j -6.28137e-05-0j 0.000384677-0j -1.17309e-06-0j -1.28218e-05-0j 0.000235566-0j 2.93053e-06-0j 4.80847e-05-0j -7.55531e-07-0j 2.83342e-06-0j 
-0.00420692-0j -0.000426678-0j -0.000431099-0j 0.0235531-0j -3.53338e-05-0j 0.0291455-0j 0.0170015-0j -4.37233e-05-0j -2.55053e-05-0j -0.0756621-0j -0.00883004-0j 0.0292478-0j 7.64792e-06-0j 0.0179105-0j 0.0255918-0j 0.00341332-0j 0.00209022-0j 0.0105561-0j -2.95636e-06-0j 0.00298665-0j -1.81039e-06-0j 0.00123193-0j -2.58681e-06-0j -1.06701e-06-0j -0.000132408-0j 0.00321619-0j 0.000451418-0j 0.00261395-0j 0.000265406-0j -0.000122124-0j -1.62546e-07-0j -0.0109649-0j -0.000123389-0j -0.000106858-0j -0.00891174-0j 0.00296639-0j -8.81536e-05-0j -0.000904848-0j 0.00241093-0j 0.00299713-0j -2.81655e-05-0j 5.54168e-07-0j 0.00243591-0j 0.00259559-0j 0.000244792-0j 0.00210956-0j 0.00214125-0j 0.000247329-0j -1.49921e-07-0j 0.000214193-0j 0.0017403-0j 0.000684141-0j -1.51475e-07-0j 0.0001767-0j 0.000556034-0j -1.31181e-07-0j 5.64566e-05-0j -1.08219e-07-0j -3.45764e-08-0j 
0.0395669-0j -0.00136354-0j -0.00657795-0j -0.000782309-0j -0.000112917-0j 0.00284906-0j -0.000657075-0j 0.000411226-0j -9.48406e-05-0j -0.000549711-0j -9.71761e-05-0j 0.00188747-0j -8.09801e-06-0j -0.000392733-0j -0.00267938-0j 0.000333662-0j -6.9426e-05-0j 0.00326454-0j 2.78051e-05-0j -0.000473652-0j -5.7855e-06-0j 0.000577094-0j -3.9471e-05-0j 4.80912e-05-0j -0.000423137-0j -7.05229e-05-0j 0.00140674-0j -4.31863e-05-0j -8.81536e-06-0j -0.000390273-0j -5.1945e-07-0j 0.000234457-0j -0.00188274-0j 0.00100502-0j 0.000143575-0j -6.50455e-05-0j -0.000327797-0j 2.93071e-05-0j -3.9832e-05-0j -0.00031379-0j 0.00168242-0j 1.72694e-06-0j -0.000192157-0j 0.000167504-0j -8.13068e-06-0j 0.000102575-0j -5.46328e-05-0j -3.92238e-05-0j -4.79105e-07-0j 2.0938e-05-0j -3.34556e-05-0j 0.000280403-0j -2.31128e-06-0j -6.8291e-06-0j 0.000171711-0j 1.23378e-06-0j 3.50504e-05-0j -4.02409e-07-0j 2.06537e-06-0j 
0.000607217-0j -0.0058879-0j -0.00594891-0j 3.53338e-05-0j 0.0228177-0j 4.37233e-05-0j 2.55053e-05-0j 0.0282354-0j 0.0164707-0j 0.0109209-0j 0.00126644-0j -0.00422155-0j -0.0151342-0j -0.00258516-0j -0.00369386-0j -0.000489552-0j -0.000299788-0j -0.00152364-0j 0.00585025-0j -0.000428358-0j 0.00358253-0j -0.000176689-0j 0.00511896-0j 0.00211147-0j 1.91114e-05-0j 0.0443815-0j -6.51566e-05-0j 1.95055e-06-0j 0.00178137-0j 1.76271e-05-0j 0.000647823-0j -0.15131-0j 1.78097e-05-0j 1.54237e-05-0j -6.65002e-06-0j 0.0409344-0j 1.27239e-05-0j -0.00607322-0j 1.79905e-06-0j 0.0413586-0j 4.06534e-06-0j -0.00220862-0j 1.8177e-06-0j 0.0358176-0j 0.00164301-0j 1.57417e-06-0j 0.029548-0j 0.00166004-0j 0.000597508-0j 0.00143763-0j 1.29863e-06-0j 0.00944073-0j 0.0006037-0j 0.00118599-0j 4.14917e-07-0j 0.000522819-0j 0.000378929-0j 0.000431304-0j 0.000137804-0j 
8.55615e-05-0j -0.0288388-0j 0.0283081-0j -0.000697717-0j 0.00962808-0j 6.16095e-06-0j -0.000494197-0j -8.50174e-05-0j 0.00681962-0j 0.000245787-0j -0.00205527-0j -8.1415e-06-0j -0.000521059-0j 0.000175599-0j -0.000243765-0j 6.80791e-05-0j -0.00146835-0j -0.00030459-0j 1.72596e-05-0j 0.00203836-0j -0.000372262-0j 0.00254698-0j 0.000516772-0j 0.000645718-0j -0.0370605-0j -0.00149155-0j -0.000595888-0j 1.93095e-05-0j -0.00037683-0j 0.0681827-0j -4.46421e-05-0j -2.39824e-05-0j -0.0669282-0j -0.000425723-0j 3.10474e-07-0j 0.00274412-0j 0.0482942-0j -6.05899e-06-0j -3.5525e-05-0j -0.00269363-0j 0.0309726-0j -7.17793e-07-0j 3.48713e-05-0j -1.71339e-05-0j 0.000693281-0j 2.21813e-07-0j 0.00194367-0j -0.000680525-0j 8.21312e-05-0j -4.32875e-06-0j -2.51625e-05-0j 0.00124654-0j -8.062e-05-0j 0.000491054-0j -1.61376e-05-0j -5.12816e-07-0j 0.000314929-0j 5.8174e-05-0j 3.73089e-05-0j 
0.00368105-0j 0.0524136-0j -0.0178431-0j 0.0002142-0j -0.00295583-0j -0.000786672-0j 0.000154617-0j 0.0108556-0j -0.00213363-0j 0.000150513-0j -0.00125859-0j 0.000175599-0j -0.000319082-0j 0.000100687-0j -0.000456017-0j -0.00146835-0j -0.000841947-0j 6.3377e-05-0j -0.000372262-0j 0.00381321-0j -0.000213453-0j -0.000529957-0j 0.000966739-0j -0.000134357-0j -0.0226948-0j -0.000913387-0j -0.0256365-0j 1.18246e-05-0j -0.00023076-0j 0.0621248-0j -2.73376e-05-0j -0.00103178-0j -0.021149-0j -0.0171498-0j 1.33573e-05-0j 0.00250031-0j 0.0448441-0j -0.000260672-0j -3.23687e-05-0j -0.000851175-0j -0.00482759-0j -3.08811e-05-0j 1.10192e-05-0j -0.000690221-0j 0.000631684-0j 8.9355e-06-0j 0.00180482-0j -0.000215043-0j 7.4834e-05-0j -0.000174379-0j -2.33649e-05-0j -0.000194294-0j -2.54756e-05-0j 0.000455974-0j 2.5153e-06-0j -2.06583e-05-0j -4.90869e-05-0j 5.40181e-05-0j -5.8152e-06-0j 
0.000525865-0j -0.00252287-0j -0.00254901-0j -0.00591888-0j -0.000422261-0j -0.00732424-0j -0.00427248-0j -0.000522521-0j -0.000304804-0j -6.48948e-05-0j -0.104964-0j 2.50855e-05-0j 0.000137574-0j 1.53617e-05-0j 2.19499e-05-0j 0.0405744-0j 0.0248467-0j 9.05385e-06-0j -5.31803e-05-0j 0.0355026-0j -3.25662e-05-0j 0.0146441-0j -4.65328e-05-0j -1.91938e-05-0j 1.6551e-05-0j -0.000130484-0j -5.64273e-05-0j 0.0312731-0j 0.0063765-0j 1.52655e-05-0j -3.90537e-06-0j 0.000444859-0j 1.54237e-05-0j 1.33573e-05-0j -0.106619-0j -0.000120349-0j 1.10192e-05-0j -0.0217394-0j 0.0288441-0j -0.000121596-0j 3.52069e-06-0j 1.33146e-05-0j 0.0291431-0j -0.000105306-0j 0.00588125-0j 0.0252386-0j -8.68727e-05-0j 0.00594219-0j -3.60205e-06-0j 0.00514609-0j 0.0208208-0j -2.77563e-05-0j -3.63937e-06-0j 0.00424531-0j 0.00665235-0j -3.15179e-06-0j 0.0013564-0j -2.60009e-06-0j -8.30743e-07-0j 
6.98607e-05-0j 0.000497791-0j -0.000488631-0j 0.0548115-0j -8.22268e-05-0j -0.000483994-0j 0.0388233-0j 7.26075e-07-0j -5.82416e-05-0j -0.0292478-0j -0.00341332-0j 0.000968808-0j 2.95636e-06-0j -0.0208956-0j 0.0290071-0j 0.000113063-0j -0.00243859-0j 0.0362451-0j -9.7927e-08-0j 0.00338523-0j 2.11213e-06-0j 0.00422993-0j -2.93204e-06-0j -3.66365e-06-0j 0.000154476-0j -0.00375222-0j 2.48379e-06-0j -0.00304961-0j -0.00030964-0j -0.0002842-0j 1.89637e-07-0j -6.03312e-05-0j 0.000278971-0j 1.7745e-06-0j -4.90341e-05-0j 0.00690322-0j -0.0002013-0j -4.97865e-06-0j 0.00561058-0j -0.0067762-0j -0.0001291-0j 3.04914e-09-0j -0.00550734-0j -4.31027e-05-0j 0.000569667-0j -3.50317e-05-0j 0.00488958-0j -0.000559185-0j -3.48888e-07-0j -3.55692e-06-0j 0.003974-0j 0.00313585-0j 3.42469e-07-0j 0.000403498-0j 0.00254866-0j 2.17841e-09-0j 0.000258776-0j -2.47119e-07-0j -1.58486e-07-0j 
0.00511001-0j -0.0248291-0j -0.0254851-0j -0.000306063-0j 0.00422349-0j -0.00036205-0j -0.000202329-0j 0.00499607-0j 0.00279202-0j -0.000215064-0j 0.00179836-0j 0.000243765-0j 0.000455926-0j 0.000456017-0j -0.000215935-0j -0.00203836-0j -0.00381321-0j -0.000432383-0j -0.000516772-0j 0.00180565-0j -0.000966739-0j 0.00361558-0j 0.000457773-0j 0.000916635-0j 0.0324279-0j 0.00130511-0j -0.0355884-0j -1.68958e-05-0j 0.000329726-0j -0.0294295-0j 3.90619e-05-0j -0.00143231-0j -0.030207-0j 0.075461-0j 1.85425e-05-0j -0.00118443-0j -0.0194549-0j -0.000361862-0j 1.53335e-05-0j -0.00121573-0j 0.0729604-0j -4.28689e-05-0j 1.57386e-05-0j 0.00303705-0j -0.000299239-0j -3.93172e-05-0j -0.000782992-0j -0.000307144-0j -3.545e-05-0j 0.000767287-0j 1.01365e-05-0j 0.0029364-0j -3.63866e-05-0j -0.000197817-0j -3.80143e-05-0j 9.08985e-05-0j 0.00074186-0j -2.34349e-05-0j 8.78863e-05-0j 
-6.19738e-05-0j 0.000904539-0j 0.000913913-0j 0.00034697-0j -0.00713627-0j 0.000429354-0j 0.000250456-0j -0.00883068-0j -0.00515123-0j 7.64792e-06-0j 0.0187193-0j -2.95636e-06-0j -0.0714986-0j -1.81039e-06-0j -2.58681e-06-0j -0.0072361-0j -0.00443119-0j -1.06701e-06-0j 0.0276383-0j -0.00633158-0j 0.016925-0j -0.00261164-0j 0.0241835-0j 0.0099752-0j -1.95055e-06-0j 4.67832e-05-0j 6.65002e-06-0j 3.85071e-05-0j 0.0536033-0j -1.79905e-06-0j 0.00627677-0j -0.000159498-0j -1.8177e-06-0j -1.57417e-06-0j -0.000131282-0j 4.31496e-05-0j -1.29863e-06-0j -0.18275-0j 3.55163e-05-0j 4.35968e-05-0j -4.14917e-07-0j -0.0213994-0j 3.58844e-05-0j 3.77559e-05-0j 0.04944-0j 3.10768e-05-0j 3.1147e-05-0j 0.0499524-0j 0.00578926-0j 0.04326-0j 2.5637e-05-0j 9.95162e-06-0j 0.00584926-0j 0.0356877-0j 8.19115e-06-0j 0.0050656-0j 0.0114024-0j 0.00417891-0j 0.00133518-0j 
0.00300557-0j -0.00090472-0j 0.000307992-0j -0.0168272-0j 2.52437e-05-0j 0.0617996-0j -0.0121465-0j -9.27101e-05-0j 1.82218e-05-0j -0.0179105-0j -0.00209022-0j -0.0208956-0j 1.81039e-06-0j -0.0119814-0j 0.0542644-0j -0.00243859-0j -0.00139828-0j -0.00754162-0j 2.11213e-06-0j 0.00633285-0j 1.21108e-06-0j -0.000880134-0j -5.48504e-06-0j 7.62306e-07-0j 9.45967e-05-0j -0.00229776-0j 0.000106858-0j -0.0018675-0j -0.000189615-0j -0.000258949-0j 1.16128e-07-0j -0.00259559-0j 8.81536e-05-0j 7.1484e-05-0j -0.00210956-0j 0.00628988-0j -0.000186919-0j -0.000214193-0j 0.00511209-0j -0.00214125-0j 2.01224e-05-0j 1.31181e-07-0j -0.0017403-0j -0.00173635-0j 0.000519053-0j -0.00141121-0j 0.00454028-0j -0.0001767-0j -3.1789e-07-0j -0.000143287-0j 0.0036901-0j -0.000488774-0j 1.08219e-07-0j 0.000374672-0j -0.00039725-0j 8.77549e-08-0j -4.03345e-05-0j -2.29465e-07-0j 2.47026e-08-0j 
-1.00835e-05-0j 0.00686921-0j -0.00674282-0j 8.22268e-05-0j 0.0531-0j -7.26075e-07-0j 5.82416e-05-0j -0.000468881-0j 0.037611-0j 0.00422155-0j 0.000489552-0j -0.000139835-0j -0.00585025-0j 0.00301602-0j -0.00418682-0j -1.6216e-05-0j 0.000349753-0j -0.00523153-0j 0.000193785-0j -0.000485524-0j -0.00417962-0j -0.000606674-0j 0.00580211-0j 0.00724987-0j -2.22967e-05-0j -0.0517784-0j -3.58504e-07-0j -2.27564e-06-0j -0.00207826-0j 4.10207e-05-0j -0.000755794-0j -0.000832535-0j -4.02659e-05-0j -2.56128e-07-0j -3.65897e-08-0j 0.0952603-0j 2.90552e-05-0j -3.3416e-05-0j 4.18666e-06-0j -0.0935075-0j 1.8634e-05-0j -1.21523e-05-0j -4.10963e-06-0j -0.000594792-0j 0.00382352-0j -2.61409e-08-0j 0.0674733-0j -0.00375317-0j 0.00139049-0j -2.38736e-05-0j 2.96543e-06-0j 0.0432729-0j -0.0013649-0j 0.00270822-0j 1.90183e-06-0j -8.682e-06-0j 0.00173687-0j 0.000984889-0j 0.000631642-0j 
-0.00638508-0j -0.0104085-0j -0.0502122-0j 0.000126245-0j -0.0017421-0j -0.000459765-0j 0.000106035-0j 0.00634448-0j -0.00146322-0j 8.87093e-05-0j -0.000741786-0j -0.00030459-0j -0.00018806-0j 6.3377e-05-0j 0.000432383-0j 0.00254698-0j -0.000529957-0j -0.000526813-0j 0.000645718-0j -0.00361558-0j -0.000134357-0j 0.0044052-0j -0.000916635-0j 0.00111682-0j -0.0133758-0j -0.000538331-0j 0.0444685-0j 6.96916e-06-0j -0.000136005-0j -0.0123369-0j -1.61122e-05-0j 0.0017897-0j -0.0595155-0j 0.0317699-0j -2.31693e-05-0j -0.000496519-0j -0.010362-0j 0.000452156-0j 6.42787e-06-0j -0.00239529-0j 0.0531831-0j 5.35657e-05-0j 3.10091e-05-0j 0.00127863-0j -0.000125442-0j -1.65529e-05-0j -0.000417035-0j -0.000605153-0j -1.48608e-05-0j 0.000323036-0j 5.39888e-06-0j 0.00214043-0j -7.16909e-05-0j -0.000105361-0j -2.77098e-05-0j 3.82692e-05-0j 0.000540765-0j -1.24818e-05-0j 6.4063e-05-0j 
2.8287e-06-0j -6.90019e-05-0j -6.9717e-05-0j 1.64601e-07-0j 0.00109717-0j 2.03684e-07-0j 1.18816e-07-0j 0.00135768-0j 0.000791978-0j -3.49078e-07-0j 1.48418e-05-0j 1.34939e-07-0j 0.0340557-0j 8.26328e-08-0j 1.18071e-07-0j -5.7372e-06-0j -3.5133e-06-0j 4.8702e-08-0j -0.0131645-0j -5.02005e-06-0j -0.00806156-0j -2.07066e-06-0j -0.0115189-0j -0.00475131-0j 8.90301e-08-0j -3.56881e-06-0j -3.0353e-07-0j 9.08659e-09-0j 8.56556e-05-0j 8.21152e-08-0j 0.0684682-0j 1.21671e-05-0j 8.29662e-08-0j 7.18508e-08-0j -3.09789e-08-0j -3.29162e-06-0j 5.92739e-08-0j -0.000292026-0j 8.38085e-09-0j -3.32574e-06-0j 1.89383e-08-0j -0.233429-0j 8.4677e-09-0j -2.88017e-06-0j 7.90028e-05-0j 7.33324e-09-0j -2.37602e-06-0j 7.98215e-05-0j 0.0631503-0j 6.91275e-05-0j 6.04962e-09-0j -7.5915e-07-0j 0.0638047-0j 5.70273e-05-0j 1.93288e-09-0j 0.0552565-0j 1.82205e-05-0j 0.0455843-0j 0.0145644-0j 
0.00417231-0j 0.00042858-0j 0.000439902-0j 0.0240438-0j -3.60699e-05-0j 0.028442-0j 0.0158946-0j -4.2668e-05-0j -2.38447e-05-0j 0.0255918-0j 0.00298665-0j -0.0290071-0j -2.58681e-06-0j -0.0542644-0j 0.0256955-0j -0.00338523-0j -0.00633285-0j 0.051452-0j 2.93204e-06-0j 0.00299875-0j 5.48504e-06-0j 0.00600463-0j -2.59729e-06-0j -5.20076e-06-0j -0.000135166-0j 0.00328319-0j 0.00014834-0j 0.00266841-0j 0.000270935-0j 0.000122668-0j -1.65932e-07-0j -0.00360318-0j 0.000125909-0j -0.000314537-0j -0.00292848-0j -0.00297961-0j 8.10921e-05-0j -0.000297341-0j -0.00242167-0j -0.00305833-0j -0.000304114-0j 1.82104e-07-0j -0.00248565-0j 0.00764012-0j -0.000245883-0j 0.00620949-0j -0.00196973-0j -0.000252379-0j 1.50589e-07-0j 0.000630477-0j -0.00160089-0j 0.00738694-0j 1.54568e-07-0j -0.000162546-0j 0.00600372-0j -3.86131e-07-0j 0.000609584-0j 9.955e-08-0j -3.73335e-07-0j 
-8.73258e-06-0j 0.00294334-0j -0.00288919-0j -0.0137741-0j -0.000982662-0j 0.000121627-0j -0.00975626-0j 8.67706e-06-0j -0.000696025-0j -2.50855e-05-0j -0.0405744-0j 8.30938e-07-0j 5.31803e-05-0j -1.7922e-05-0j 2.48792e-05-0j 0.00134399-0j -0.0289878-0j 3.10871e-05-0j -1.76156e-06-0j 0.0402406-0j 3.79939e-05-0j 0.0502816-0j -5.27428e-05-0j -6.59034e-05-0j -1.93095e-05-0j 0.000152231-0j -3.10474e-07-0j -0.0364853-0j -0.00743925-0j 3.5525e-05-0j 4.55627e-06-0j 2.4477e-06-0j -3.48713e-05-0j -2.21813e-07-0j -0.00058664-0j -0.00028007-0j 2.51625e-05-0j -0.000119614-0j 0.0671245-0j 0.000274917-0j 1.61376e-05-0j 7.32594e-08-0j -0.0658894-0j 1.74872e-06-0j 0.0136865-0j -0.000419116-0j -0.000198375-0j -0.0134347-0j -8.38248e-06-0j -8.54567e-05-0j 0.0475446-0j -0.000127225-0j 8.22825e-06-0j 0.00969423-0j 0.0304919-0j 5.23391e-08-0j 0.00621723-0j -5.93735e-06-0j -3.80782e-06-0j 
-0.000433816-0j -0.0124846-0j 0.00425011-0j -2.52437e-05-0j -0.0163017-0j 9.27101e-05-0j -1.82218e-05-0j 0.0598699-0j -0.0117672-0j 0.00258516-0j 0.000299788-0j 0.00301602-0j -0.00358253-0j 0.00172937-0j -0.00783239-0j 0.000349753-0j 0.000200547-0j 0.00108854-0j -0.00417962-0j -0.000908283-0j -0.00239657-0j 0.000126232-0j 0.0108542-0j -0.0015085-0j -1.36539e-05-0j -0.0317077-0j -1.54237e-05-0j -1.39354e-06-0j -0.00127267-0j 3.73761e-05-0j -0.000462827-0j -0.0358176-0j -1.27239e-05-0j -1.03178e-05-0j -1.57417e-06-0j 0.0867966-0j 2.69795e-05-0j -0.00143763-0j 3.81468e-06-0j -0.029548-0j -2.90442e-06-0j -0.000522819-0j -1.29863e-06-0j -0.0239606-0j 0.00348381-0j -1.05306e-06-0j 0.0626531-0j -0.00118599-0j 0.00126694-0j -0.000961721-0j 2.75358e-06-0j -0.00674479-0j -0.000431304-0j 0.00251475-0j -2.96431e-07-0j -0.000349745-0j -0.00027072-0j 0.000914529-0j -9.84517e-05-0j 
-0.000375696-0j -0.00534944-0j 0.0018211-0j 0.00422865-0j 0.000301678-0j -0.0155302-0j 0.0030524-0j -0.00110794-0j 0.000217763-0j -1.53617e-05-0j -0.0248467-0j -1.7922e-05-0j 3.25662e-05-0j -1.02764e-05-0j 4.65421e-05-0j -0.0289878-0j -0.0166214-0j -6.46838e-06-0j 3.79939e-05-0j 0.0752791-0j 2.17855e-05-0j -0.0104622-0j -9.86673e-05-0j 1.37127e-05-0j -1.18246e-05-0j 9.32222e-05-0j -1.33573e-05-0j -0.0223426-0j -0.00455559-0j 3.23687e-05-0j 2.79013e-06-0j 0.000105306-0j -1.10192e-05-0j -8.9355e-06-0j -0.0252386-0j -0.000255187-0j 2.33649e-05-0j -0.00514609-0j 0.0611606-0j 8.68727e-05-0j -2.5153e-06-0j 3.15179e-06-0j -0.0208208-0j 7.04454e-05-0j 0.0124705-0j -0.0168837-0j -0.000184203-0j -0.00424531-0j -7.63772e-06-0j -0.00344253-0j 0.0441481-0j 1.983e-05-0j 2.60009e-06-0j 0.00900168-0j -0.00475267-0j 2.10842e-06-0j -0.000969057-0j -5.5132e-06-0j 5.93511e-07-0j 
