-0.582018-0j -0.0102514-0j 0.822306-0j -0.0722966-0j -0.00120057-0j -0.0516512-0j 0.0717018-0j 0.0895931-0j -0.045438-0j -0.00655841-0j -0.000730589-0j -0.000105452-0j -0.0419089-0j 0.0411378-0j -0.00604903-0j -0.000521958-0j 0.00593772-0j 0.0592111-0j -7.53382e-05-0j 0.037974-0j 0.00854638-0j 0.00548108-0j -0.0336554-0j -0.00594948-0j -0.00049579-0j -0.000530205-0j -9.37279e-05-0j -0.0294484-0j -7.81066e-06-0j -0.0196323-0j 0.0289066-0j -0.0052058-0j -0.000489025-0j -0.00347053-0j 0.00511001-0j -0.000433816-0j -0.0121469-0j -0.000289211-0j 0.0392268-0j 0.000425834-0j 0.0206519-0j -8.64482e-05-0j -0.00214728-0j 0.0364938-0j -7.20401e-06-0j 0.00693438-0j 0.00365077-0j -0.00017894-0j 0.0158979-0j 0.000577865-0j 0.000304231-0j 0.00645125-0j 0.000537604-0j 0.00281037-0j 0.000234198-0j 
-0.0206928-0j -0.000364471-0j 0.0292358-0j 0.00775769-0j -4.26843e-05-0j -0.00183638-0j 0.00254925-0j 0.00318534-0j -0.00161548-0j -0.000233174-0j 7.83949e-05-0j 1.13153e-05-0j -0.00149001-0j 0.00146259-0j -0.000215064-0j -1.85574e-05-0j 0.000211107-0j 0.00210516-0j -2.67853e-06-0j 0.00135011-0j 0.000303853-0j 0.000194871-0j -0.00119656-0j -0.000211525-0j -1.76271e-05-0j -1.88506e-05-0j -3.33235e-06-0j 0.00315993-0j -2.77696e-07-0j -0.000697996-0j -0.00310178-0j 0.000558601-0j -1.73865e-05-0j -0.000123389-0j -0.000548323-0j 4.65501e-05-0j -0.000431863-0j -1.02824e-05-0j 0.00139465-0j -4.56936e-05-0j 0.000734245-0j -3.07353e-06-0j -7.63433e-05-0j 0.00129748-0j -2.56128e-07-0j 0.000246541-0j 0.000129797-0j -6.36194e-06-0j 0.000565224-0j 2.05451e-05-0j 1.08165e-05-0j 0.000229364-0j 1.91137e-05-0j 9.99184e-05-0j 8.32653e-06-0j 
-0.00186961-0j -0.00231352-0j -0.00134955-0j -0.000232237-0j -0.000270943-0j -0.000165918-0j -0.000237075-0j -9.77886e-05-0j -0.114463-0j 8.54133e-05-0j 0.0318922-0j -2.37982e-05-0j 0.0260399-0j 0.0263097-0j -1.94312e-05-0j 0.0227849-0j -1.96325e-05-0j 0.0187966-0j -1.70023e-05-0j 0.0060056-0j -1.40262e-05-0j -4.48143e-06-0j -0.000108111-0j 0.00369668-0j -1.59262e-06-0j 0.00048512-0j -0.016588-0j -9.45967e-05-0j 7.14649e-06-0j -6.30645e-05-0j -9.5577e-05-0j 0.0032346-0j -0.000110363-0j 0.0021564-0j 0.00326812-0j -1.39354e-06-0j -3.90192e-05-0j -9.29027e-07-0j -6.43783e-05-0j -1.40798e-06-0j -6.82835e-05-0j 0.0037737-0j 0.0013342-0j -3.9832e-05-0j -1.6258e-06-0j 0.00220132-0j 0.00233486-0j -5.74806e-07-0j -1.03912e-05-0j -9.48382e-07-0j -1.00591e-06-0j 0.001362-0j -5.86782e-07-0j 0.000355311-0j -1.53076e-07-0j 
0.000381632-0j 0.000472246-0j 0.000275477-0j -0.00453218-0j -0.00528754-0j -0.00323795-0j -0.0046266-0j -0.00190838-0j 0.0116219-0j -0.0780049-0j -0.00323816-0j 0.0217341-0j -0.00264394-0j -0.00267134-0j 0.0177458-0j -0.00231345-0j 0.0179297-0j -0.0019085-0j 0.0155276-0j -0.000609775-0j 0.0128096-0j 0.00409273-0j 2.2068e-05-0j 0.0358845-0j 0.00445701-0j -9.90247e-05-0j -0.161023-0j 1.93095e-05-0j -0.0199998-0j 1.2873e-05-0j 1.95096e-05-0j 0.0313989-0j 2.25277e-05-0j 0.0209326-0j 0.0317243-0j 0.00389988-0j 7.96475e-06-0j 0.00259992-0j 1.31412e-05-0j 0.0039403-0j 1.39383e-05-0j 0.0366321-0j 0.0129514-0j 8.13068e-06-0j 0.00454986-0j 0.0213687-0j 0.0226649-0j 0.00160862-0j 2.12109e-06-0j 0.00265409-0j 0.00281508-0j 0.0132212-0j 0.00164213-0j 0.00344908-0j 0.000428391-0j 
0.0337015-0j 0.0205718-0j -0.0121959-0j -0.00209872-0j 0.00488402-0j 0.00445009-0j 0.00210807-0j -0.000883712-0j -0.00131903-0j -0.000190386-0j -0.00149001-0j -0.000215064-0j -0.00238779-0j 0.00245186-0j -0.000344647-0j 0.00315938-0j 0.000353896-0j 0.00086409-0j 0.000456017-0j -0.000280582-0j 0.000124721-0j -4.04985e-05-0j -0.000976991-0j -0.000172709-0j -1.43924e-05-0j -0.00108133-0j -0.000191154-0j 0.000841154-0j -1.59295e-05-0j 0.00284351-0j -0.000863726-0j 0.000148696-0j -0.00195749-0j 0.000502666-0j -0.000152687-0j 1.23914e-05-0j 0.0017461-0j 4.18889e-05-0j 0.00116048-0j -1.27239e-05-0j 0.00183143-0j -0.000346038-0j 0.00030867-0j 0.000354186-0j -2.88365e-05-0j 0.000205146-0j 0.000323754-0j 2.57225e-05-0j -9.39046e-05-0j 1.70955e-05-0j 2.69795e-05-0j 6.26119e-05-0j 5.21766e-06-0j -1.66001e-05-0j -1.38335e-06-0j 
-2.24879e-05-0j -2.78273e-05-0j -1.62326e-05-0j 0.000536916-0j 0.000626402-0j 0.000383591-0j 0.000548102-0j 0.00022608-0j 7.11778e-06-0j 0.0283677-0j -1.98319e-06-0j -0.00790395-0j -1.61926e-06-0j -1.63605e-06-0j -0.00645355-0j -1.41686e-06-0j -0.00652042-0j -1.16885e-06-0j -0.00564685-0j -3.73452e-07-0j -0.00465842-0j -0.00148839-0j -1.30037e-06-0j 4.41842e-05-0j 0.0502142-0j 5.83509e-06-0j -0.000198266-0j -1.13782e-06-0j -0.225324-0j -7.58548e-07-0j -1.14961e-06-0j 3.86612e-05-0j -1.32746e-06-0j 2.57741e-05-0j 3.90619e-05-0j 0.0439374-0j -4.69327e-07-0j 0.0292916-0j -7.74351e-07-0j 0.0443927-0j -8.21323e-07-0j 4.51048e-05-0j 1.59469e-05-0j -4.79105e-07-0j 0.0512603-0j 2.63111e-05-0j 2.79071e-05-0j 0.0181233-0j -1.24986e-07-0j 0.0299018-0j 0.0317157-0j 1.62792e-05-0j 0.0185008-0j 4.24682e-06-0j 0.0048264-0j 
0.00344879-0j 6.07452e-05-0j -0.00487264-0j 0.0611598-0j -0.000336513-0j -0.0144776-0j 0.0200976-0j 0.0251125-0j 0.000269246-0j -0.00371544-0j -1.30658e-05-0j 0.000180301-0j 0.000248334-0j -0.000243765-0j -0.00342686-0j 3.0929e-06-0j 0.00336381-0j -0.00035086-0j -4.26802e-05-0j -0.000225018-0j 0.00484166-0j 0.00310511-0j -0.0290646-0j -0.00166761-0j -0.000422778-0j -0.000457882-0j -2.62715e-05-0j 0.0767546-0j -6.66043e-06-0j -0.0169543-0j -0.0753424-0j 0.00440388-0j -0.000422319-0j -0.000972772-0j -0.00432285-0j 0.00111649-0j -0.01049-0j -0.00024662-0j 0.033876-0j -0.00109594-0j 0.0178348-0j -2.4231e-05-0j -0.000601872-0j 0.0315158-0j -6.14312e-06-0j 0.00194367-0j 0.00102329-0j -0.000152589-0j 0.0137293-0j 0.000492766-0j 0.000259428-0j 0.00180825-0j 0.000458434-0j 0.000787732-0j 0.000199709-0j 
-0.0340508-0j -0.0205225-0j 0.0112849-0j 0.00212047-0j 0.00479416-0j 0.00151493-0j -0.00216377-0j 0.00426318-0j 0.0013327-0j 0.000192359-0j -0.00146259-0j -0.000211107-0j -0.00245186-0j 0.00247627-0j -0.000353896-0j -0.00104492-0j 0.000357418-0j 0.00081258-0j -0.000150822-0j 0.00299848-0j 0.000117286-0j 0.000432793-0j 0.000987115-0j 0.000174499-0j 1.45416e-05-0j -0.00106143-0j -0.000187637-0j 0.000863726-0j -1.56364e-05-0j -0.00287298-0j -0.000872323-0j 0.000152687-0j 0.00195279-0j -0.000507875-0j -0.000154206-0j 1.27239e-05-0j 0.000356269-0j -4.23229e-05-0j -0.0010738-0j -1.28505e-05-0j -0.000623218-0j 0.000345209-0j 6.298e-05-0j 0.00173651-0j 2.87674e-05-0j -0.000189822-0j -0.00011017-0j 5.24833e-06-0j 0.00173843-0j -1.58185e-05-0j -9.18086e-06-0j 0.000306975-0j 2.55812e-05-0j 0.000307314-0j 2.56095e-05-0j 
0.0147836-0j -0.000772819-0j -0.0208871-0j 0.00183638-0j 3.04951e-05-0j 0.00122847-0j 0.00540538-0j -0.00227572-0j 0.00115415-0j 0.000166588-0j 1.85574e-05-0j 2.67853e-06-0j -0.00315938-0j -0.00104492-0j -0.000456017-0j 1.24142e-05-0j -0.000150822-0j 0.00446374-0j 1.79183e-06-0j -0.000964564-0j 0.000644286-0j -0.000139223-0j 0.000854867-0j 0.000151121-0j 1.25934e-05-0j 1.34675e-05-0j 2.38075e-06-0j -0.00222003-0j 1.98396e-07-0j 0.000498672-0j -0.000734245-0j -0.000392449-0j -3.68661e-05-0j 8.81536e-05-0j -0.000129797-0j -3.27041e-05-0j 0.00392238-0j 7.34614e-06-0j -0.000996385-0j -1.08165e-05-0j -0.000491181-0j -6.51706e-06-0j 0.000693385-0j 0.00275115-0j -5.43089e-07-0j -0.000176138-0j -8.68294e-05-0j 5.77821e-05-0j -0.000403815-0j -1.46781e-05-0j -7.23578e-06-0j 0.00048634-0j 4.05283e-05-0j -7.13851e-05-0j -5.94876e-06-0j 
0.00211195-0j 3.71987e-05-0j -0.00298387-0j -0.000791766-0j 4.35645e-06-0j 0.000187425-0j -0.000260181-0j -0.000325103-0j -0.0318922-0j 2.37982e-05-0j 0.00154765-0j -1.15487e-06-0j -0.0294152-0j 0.0288739-0j 2.19499e-05-0j -0.000366354-0j -2.1546e-05-0j 0.0415593-0j 2.73377e-07-0j 0.0266534-0j -3.10119e-05-0j -1.9889e-05-0j 0.000122124-0j -0.00417585-0j 1.79905e-06-0j 1.92393e-06-0j -6.57861e-05-0j -0.000322509-0j 2.83422e-08-0j 7.12389e-05-0j 0.000316575-0j 0.0110277-0j 1.7745e-06-0j -0.00243591-0j -0.0108248-0j -4.751e-06-0j 4.40768e-05-0j 1.04945e-06-0j -0.000142341-0j 4.66358e-06-0j -7.49386e-05-0j -6.06766e-05-0j -0.00150714-0j -0.000132423-0j 2.61409e-08-0j 0.00486713-0j 0.00256242-0j 6.49313e-07-0j -5.76879e-05-0j -2.09688e-06-0j -1.10395e-06-0j 0.00452803-0j -1.95078e-06-0j 0.00197255-0j -8.49823e-07-0j 
-0.00561692-0j -0.00342864-0j 0.00203264-0j -0.0165458-0j 0.0385044-0j 0.0350834-0j 0.0166195-0j -0.00696697-0j 0.000219839-0j -0.00303364-0j 0.000248334-0j -0.00342686-0j 0.000397965-0j -0.000408644-0j -0.00549168-0j -0.000526564-0j 0.00563904-0j -0.000144015-0j 0.00726626-0j 4.67636e-05-0j 0.00198732-0j -0.00064531-0j -0.0237311-0j -0.0013616-0j -0.000345197-0j -0.0262655-0j -0.00150701-0j 0.0204316-0j -0.000382063-0j 0.0690689-0j -0.0209799-0j 0.00117229-0j -0.0475474-0j 0.0039629-0j -0.00120374-0j 0.000297202-0j 0.0424129-0j 0.00100469-0j 0.0281881-0j -0.000305177-0j 0.0444854-0j -0.00272808-0j 0.00243348-0j 0.00860319-0j -0.000691632-0j 0.00161732-0j 0.0025524-0j 0.000616945-0j -0.00228094-0j 0.000410029-0j 0.000647093-0j 0.000493617-0j 0.000125144-0j -0.000130872-0j -3.3179e-05-0j 
-0.0121959-0j -0.029065-0j -0.0340862-0j -0.00151493-0j 0.00345938-0j 0.00321224-0j 0.00139358-0j -0.000742245-0j -0.000952128-0j -0.000137428-0j 0.00210516-0j 0.000303853-0j 0.00086409-0j -0.00081258-0j 0.000124721-0j -0.00446374-0j -0.000117286-0j 0.00241504-0j -0.000644286-0j 0.00262416-0j 0.000348581-0j 0.000378765-0j -0.000705229-0j -0.000124668-0j -1.0389e-05-0j 0.00152776-0j 0.000270072-0j 0.000607177-0j 2.2506e-05-0j -0.000411384-0j -0.000570982-0j 0.000107335-0j -0.0013865-0j -7.2723e-05-0j -0.000100936-0j 8.94456e-06-0j 0.0012604-0j -6.06025e-06-0j -0.00162603-0j -8.41136e-06-0j 0.0012107-0j -0.0002451-0j 0.00022281-0j 0.000297487-0j -2.0425e-05-0j -0.000287443-0j 0.000214024-0j 1.85675e-05-0j 0.00299849-0j -2.39536e-05-0j 1.78353e-05-0j 5.25888e-05-0j 4.3824e-06-0j 0.000530064-0j 4.4172e-05-0j 
-0.000431099-0j -7.59315e-06-0j 0.00060908-0j -0.0154516-0j 8.50174e-05-0j 0.00365765-0j -0.00507752-0j -0.00634448-0j 0.00323816-0j -0.0217341-0j -0.000157139-0j 0.0010547-0j 0.00298665-0j -0.0029317-0j -0.020046-0j 3.71976e-05-0j 0.0196772-0j -0.0042197-0j -0.000249665-0j -0.00270623-0j 0.0283221-0j 0.0181639-0j -2.49284e-05-0j -0.0405358-0j -0.00503473-0j -3.92721e-07-0j -0.0006386-0j 6.58318e-05-0j -7.93169e-05-0j -1.45416e-05-0j -6.46205e-05-0j 0.107048-0j -3.62219e-07-0j -0.0236459-0j -0.105079-0j 0.0132959-0j -8.99714e-06-0j -0.00293692-0j 2.90552e-05-0j -0.0130512-0j 1.52968e-05-0j -0.000589-0j -0.0146302-0j 2.70308e-05-0j -7.31564e-05-0j 0.0472463-0j 0.0248739-0j -0.00181713-0j 1.17755e-05-0j 0.0058682-0j 0.00308945-0j 0.0439545-0j 0.00545934-0j 0.019148-0j 0.00237827-0j 
-0.00343965-0j -0.0020996-0j 0.00124474-0j 0.0002142-0j -0.000498473-0j -0.000454185-0j -0.000215154-0j 9.01935e-05-0j -0.0260399-0j 1.94312e-05-0j -0.0294152-0j 2.19499e-05-0j -0.0471389-0j 0.0484038-0j 3.51754e-05-0j 0.0623714-0j -3.61194e-05-0j 0.0170586-0j -4.65421e-05-0j -0.00553915-0j -1.27292e-05-0j 4.13336e-06-0j 9.97137e-05-0j -0.00340957-0j 1.46892e-06-0j 0.000110363-0j -0.0037737-0j -8.58499e-05-0j 1.6258e-06-0j -0.000290214-0j 8.81536e-05-0j 0.00293551-0j 0.000199785-0j 0.00992347-0j -0.00301429-0j -1.26469e-06-0j -0.000178211-0j -4.27526e-06-0j -0.000118441-0j 1.29863e-06-0j -0.000186919-0j -0.00683136-0j 0.00609367-0j -3.6149e-05-0j 2.94311e-06-0j 0.00404993-0j 0.00639144-0j -2.6253e-06-0j 9.5841e-06-0j -1.7448e-06-0j -2.75358e-06-0j 0.00123606-0j -5.32525e-07-0j -0.000327714-0j 1.41187e-07-0j 
0.00567513-0j 0.00342042-0j -0.00188081-0j 0.0167172-0j 0.037796-0j 0.0119434-0j -0.0170586-0j 0.0336099-0j -0.000222117-0j 0.00306508-0j 0.000243765-0j -0.00336381-0j 0.000408644-0j -0.000412711-0j -0.00563904-0j 0.000174154-0j 0.00569517-0j -0.00013543-0j -0.00240322-0j -0.000499746-0j 0.00186885-0j 0.0068962-0j 0.023977-0j 0.00137571-0j 0.000348774-0j -0.0257823-0j -0.00147928-0j 0.0209799-0j -0.000375033-0j -0.0697846-0j -0.0211887-0j 0.00120374-0j 0.0474334-0j -0.00400397-0j -0.00121573-0j 0.000305177-0j 0.00865377-0j -0.0010151-0j -0.0260826-0j -0.000308215-0j -0.015138-0j 0.00272154-0j 0.000496519-0j 0.0421799-0j 0.000689974-0j -0.00149651-0j -0.000868556-0j 0.000125879-0j 0.0422265-0j -0.000379401-0j -0.000220199-0j 0.00242011-0j 0.000613556-0j 0.00242279-0j 0.000614234-0j 
0.00389664-0j -0.0189442-0j -0.0364436-0j 0.000484029-0j -0.00221861-0j 0.000345807-0j 0.00522625-0j -0.00380958-0j 0.000304209-0j 4.39088e-05-0j -0.00135011-0j -0.000194871-0j 0.000280582-0j 0.00299848-0j 4.04985e-05-0j -0.000964564-0j 0.000432793-0j -0.00262416-0j -0.000139223-0j 0.00328877-0j -0.000378765-0j 0.000474694-0j 0.000225324-0j 3.9832e-05-0j 3.31934e-06-0j -0.000979804-0j -0.000173206-0j 0.000197159-0j -1.44339e-05-0j 0.000131439-0j 0.00210696-0j 3.4853e-05-0j -0.000903703-0j 2.32354e-05-0j 0.000372462-0j 2.90442e-06-0j 8.13238e-05-0j 1.93628e-06-0j -0.00173848-0j 3.10385e-05-0j 0.00150529-0j -0.000159754-0j 1.43761e-05-0j -0.00155175-0j -1.33128e-05-0j -0.000307323-0j 0.0002661-0j 1.19801e-06-0j 0.00309593-0j -2.56103e-05-0j 2.2175e-05-0j -0.000274313-0j -2.28594e-05-0j 0.000547288-0j 4.56073e-05-0j 
2.54028e-05-0j 4.47431e-07-0j -3.58904e-05-0j 0.00183051-0j -1.00718e-05-0j -0.000433312-0j 0.000601521-0j 0.000751614-0j 1.98319e-06-0j 0.00790395-0j -9.62389e-08-0j -0.000383558-0j 1.82915e-06-0j -1.7955e-06-0j 0.00729006-0j 2.27814e-08-0j -0.00715592-0j -2.58433e-06-0j 9.07947e-05-0j -1.65741e-06-0j -0.0102998-0j -0.00660559-0j 1.46892e-06-0j -4.99114e-05-0j -0.056723-0j 2.31413e-08-0j -7.86303e-07-0j -3.87918e-06-0j -0.000893611-0j 8.56871e-07-0j 3.8078e-06-0j 0.000131808-0j 2.1344e-08-0j -2.9115e-05-0j -0.000129382-0j 0.149796-0j 5.30162e-07-0j -0.0330884-0j -1.71209e-06-0j -0.14704-0j -9.01371e-07-0j -7.25231e-07-0j -1.8014e-05-0j -1.59281e-06-0j -0.000824205-0j 5.8174e-05-0j 3.0627e-05-0j -0.0204724-0j -6.93878e-07-0j 0.0661131-0j 0.0348068-0j 5.41208e-05-0j 0.0615068-0j 2.35768e-05-0j 0.0267944-0j 
0.00347529-0j 0.00209457-0j -0.00115176-0j -0.000216419-0j -0.000489302-0j -0.000154617-0j 0.000220838-0j -0.000435109-0j 0.0263097-0j -1.96325e-05-0j -0.0288739-0j 2.1546e-05-0j -0.0484038-0j 0.0488856-0j 3.61194e-05-0j -0.0206285-0j -3.64789e-05-0j 0.0160417-0j 1.53932e-05-0j 0.0591949-0j -1.19704e-05-0j -4.41718e-05-0j -0.000100747-0j 0.0034449-0j -1.48414e-06-0j 0.000108332-0j -0.00370426-0j -8.81536e-05-0j 1.59588e-06-0j 0.000293222-0j 8.90311e-05-0j 0.00301429-0j -0.000199306-0j -0.0100263-0j -0.00304429-0j -1.29863e-06-0j -3.63615e-05-0j 4.31957e-06-0j 0.000109594-0j 1.31155e-06-0j 6.36069e-05-0j 0.00681499-0j 0.00124333-0j -0.000177232-0j -2.93606e-06-0j -0.00374741-0j -0.00217495-0j -5.35656e-07-0j -0.000177428-0j 1.61447e-06-0j 9.37018e-07-0j 0.00606019-0j -2.61087e-06-0j 0.00606689-0j -2.61376e-06-0j 
-0.00246394-0j 0.000128803-0j 0.00348118-0j 0.0144776-0j 0.000240416-0j 0.00968492-0j 0.0426147-0j -0.0179412-0j -0.000192359-0j 0.00265444-0j -3.0929e-06-0j 4.26802e-05-0j 0.000526564-0j 0.000174154-0j -0.00726626-0j -2.06903e-06-0j -0.00240322-0j -0.000743957-0j 2.85514e-05-0j 0.000160761-0j 0.0102662-0j -0.0022184-0j 0.0207647-0j 0.0011914-0j 0.000302047-0j 0.000327127-0j 1.87692e-05-0j -0.0539245-0j 4.75844e-06-0j 0.0121128-0j -0.0178348-0j -0.00309397-0j -0.000895477-0j 0.000694982-0j -0.00102329-0j -0.000784395-0j 0.0952746-0j 0.000176194-0j -0.0242022-0j -0.000259428-0j -0.0119308-0j -5.13789e-05-0j 0.00546648-0j 0.0668255-0j -1.30258e-05-0j -0.00138863-0j -0.000684542-0j 0.00138588-0j -0.00980868-0j -0.000352049-0j -0.000173547-0j 0.00383418-0j 0.000972056-0j -0.000562783-0j -0.000142679-0j 
0.000702115-0j 0.00042858-0j -0.000254081-0j 0.00418017-0j -0.00972786-0j -0.00886356-0j -0.0041988-0j 0.00176015-0j 0.00264394-0j -0.0177458-0j 0.00298665-0j -0.020046-0j 0.00478622-0j -0.00491466-0j -0.0321245-0j -0.00633285-0j 0.0329865-0j -0.00173203-0j 0.0425052-0j 0.000562414-0j 0.0116252-0j -0.00377485-0j -2.0354e-05-0j -0.0330974-0j -0.00411084-0j -2.25277e-05-0j -0.0366321-0j 1.7524e-05-0j -0.00454986-0j 5.92398e-05-0j -1.79943e-05-0j 0.0284956-0j -4.0781e-05-0j 0.0963291-0j -0.0292603-0j 0.00353928-0j 3.63772e-05-0j 0.0119645-0j 2.41767e-05-0j -0.00363426-0j 3.81548e-05-0j -0.0663135-0j 0.0591525-0j 7.37889e-06-0j -0.00823642-0j 0.0393135-0j 0.062043-0j 0.007347-0j -1.95635e-06-0j 0.00488291-0j 0.00770602-0j 0.0119987-0j 0.00149029-0j -0.00318119-0j -0.000395118-0j 
-0.00150885-0j 7.88755e-05-0j 0.00213178-0j -0.000187425-0j -3.1124e-06-0j -0.00012538-0j -0.000551684-0j 0.000232265-0j 0.0227849-0j -1.70023e-05-0j 0.000366354-0j -2.73377e-07-0j -0.0623714-0j -0.0206285-0j 4.65421e-05-0j 0.000245077-0j 1.53932e-05-0j 0.0881217-0j -1.82878e-07-0j -0.0190421-0j -6.57571e-05-0j 1.42094e-05-0j -8.72495e-05-0j 0.00298337-0j -1.28531e-06-0j -1.37452e-06-0j 4.69999e-05-0j 0.000226581-0j -2.02487e-08-0j -5.08955e-05-0j 7.49386e-05-0j -0.0077476-0j 3.76263e-06-0j 0.0017403-0j -0.00256242-0j 3.33785e-06-0j -0.000400326-0j -7.49762e-07-0j 0.000101693-0j 1.10395e-06-0j 5.0131e-05-0j -0.000128658-0j 0.0136886-0j -0.000280788-0j 5.54287e-08-0j -0.00347725-0j -0.00171416-0j -5.89736e-06-0j 4.12142e-05-0j 1.49808e-06-0j 7.38499e-07-0j 0.00960115-0j -4.1364e-06-0j -0.00140926-0j 6.07143e-07-0j 
0.00203264-0j 0.00484416-0j 0.00568103-0j -0.0119434-0j 0.0272729-0j 0.0253245-0j 0.0109867-0j -0.00585168-0j 0.000158688-0j -0.0021898-0j -0.00035086-0j 0.00484166-0j -0.000144015-0j 0.00013543-0j 0.00198732-0j 0.000743957-0j -0.00186885-0j -0.000402507-0j -0.0102662-0j -0.00043736-0j 0.00555435-0j 0.00603531-0j -0.01713-0j -0.000982853-0j -0.000249176-0j 0.0371093-0j 0.00212919-0j 0.0147483-0j 0.000539798-0j -0.00999251-0j -0.0138692-0j 0.000846201-0j -0.033678-0j -0.000573331-0j -0.000795757-0j 0.000214532-0j 0.0306152-0j -0.000145353-0j -0.0394962-0j -0.000201743-0j 0.0294079-0j -0.00193231-0j 0.00175658-0j 0.00722597-0j -0.000489886-0j -0.00226613-0j 0.00168731-0j 0.000445334-0j 0.0728334-0j -0.000574518-0j 0.000427773-0j 0.000414598-0j 0.00010511-0j 0.00417889-0j 0.00105945-0j 
-0.000709391-0j -0.000427552-0j 0.000235102-0j -0.00422349-0j -0.00954887-0j -0.00301741-0j 0.00430973-0j -0.00849128-0j -0.00267134-0j 0.0179297-0j 0.0029317-0j -0.0196772-0j 0.00491466-0j -0.00496357-0j -0.0329865-0j 0.00209451-0j 0.0333148-0j -0.00162878-0j -0.014058-0j -0.00601032-0j 0.0109322-0j 0.0403405-0j 2.05649e-05-0j 0.0334403-0j 0.00415344-0j -2.21132e-05-0j -0.035958-0j 1.79943e-05-0j -0.00446615-0j -5.98537e-05-0j -1.81734e-05-0j 0.0292603-0j 4.06832e-05-0j -0.0973274-0j -0.0295515-0j 0.00363426-0j 7.42226e-06-0j -0.0120885-0j -2.23708e-05-0j -0.00367043-0j -1.29837e-05-0j 0.0661545-0j 0.0120693-0j 3.61773e-05-0j 0.00821668-0j -0.0363769-0j -0.0211126-0j 0.00149906-0j 3.62173e-05-0j -0.00451817-0j -0.00262228-0j 0.0588275-0j 0.00730664-0j 0.0588926-0j 0.00731471-0j 
-4.13725e-05-0j -2.52543e-05-0j 1.49718e-05-0j -0.000495214-0j 0.00115243-0j 0.00105004-0j 0.000497422-0j -0.000208521-0j 1.61926e-06-0j 0.00645355-0j 1.82915e-06-0j 0.00729006-0j 2.93129e-06-0j -3.00995e-06-0j 0.0116826-0j -3.87851e-06-0j -0.0119961-0j -1.06077e-06-0j -0.0154577-0j 3.44447e-07-0j -0.00422768-0j 0.00137278-0j 1.19937e-06-0j -4.07525e-05-0j -0.0463141-0j 1.32746e-06-0j -4.51048e-05-0j -1.03261e-06-0j -0.0512603-0j -3.49074e-06-0j 1.06032e-06-0j 3.50864e-05-0j 2.40304e-06-0j 0.000118609-0j -3.6028e-05-0j 0.0398748-0j -2.14354e-06-0j 0.134796-0j -1.42463e-06-0j -0.0409448-0j -2.24829e-06-0j -8.16512e-05-0j 7.2834e-05-0j -4.34805e-07-0j -0.0927944-0j 4.84064e-05-0j 7.63931e-05-0j 0.0827738-0j 1.15279e-07-0j 0.0550125-0j 0.0868186-0j 1.47739e-05-0j 0.0167902-0j -3.91697e-06-0j -0.00445153-0j 
0.000307992-0j -1.61004e-05-0j -0.000435148-0j -0.00365765-0j -6.07394e-05-0j -0.00244682-0j -0.0107663-0j 0.00453271-0j -0.00231345-0j 0.0155276-0j -3.71976e-05-0j 0.000249665-0j 0.00633285-0j 0.00209451-0j -0.0425052-0j -2.48837e-05-0j -0.014058-0j -0.00894738-0j 0.000167016-0j 0.00193343-0j 0.0600536-0j -0.0129769-0j 1.78097e-05-0j 0.0289602-0j 0.00359698-0j 2.80574e-07-0j 0.000456238-0j -4.62506e-05-0j 5.66667e-05-0j 1.0389e-05-0j -1.52968e-05-0j -0.0752075-0j -7.68043e-07-0j 0.0168934-0j -0.0248739-0j -0.00934111-0j 8.17162e-05-0j 0.00209824-0j -2.0758e-05-0j -0.00308945-0j -1.02329e-05-0j -0.00124891-0j 0.132878-0j 5.73157e-05-0j -0.00015512-0j -0.0337544-0j -0.0166397-0j 0.016504-0j -8.41282e-06-0j -0.00419244-0j -0.00206672-0j 0.0932004-0j 0.0115759-0j -0.01368-0j -0.00169911-0j 
0.00124474-0j 0.00296643-0j 0.0034789-0j 0.000154617-0j -0.000353071-0j -0.000327848-0j -0.000142232-0j 7.57551e-05-0j -0.0187966-0j 1.40262e-05-0j 0.0415593-0j -3.10119e-05-0j 0.0170586-0j -0.0160417-0j -1.27292e-05-0j -0.0881217-0j 1.19704e-05-0j 0.0476769-0j 6.57571e-05-0j 0.0518053-0j -3.55769e-05-0j -3.86575e-05-0j 7.19771e-05-0j -0.00246115-0j 1.06032e-06-0j -0.000155926-0j 0.00533168-0j -6.19697e-05-0j -2.29701e-06-0j 4.19867e-05-0j 5.82756e-05-0j 0.00211897-0j 0.000141509-0j -0.00143567-0j -0.00199265-0j -9.129e-07-0j -0.000128639-0j 6.18522e-07-0j 0.000165956-0j 8.58481e-07-0j -0.000123567-0j -0.00483869-0j 0.00439864-0j -3.03622e-05-0j 2.08462e-06-0j -0.00567461-0j 0.00422518-0j -1.89504e-06-0j -0.000306032-0j 2.44476e-06-0j -1.82031e-06-0j 0.00103819-0j -4.47277e-07-0j 0.0104643-0j -4.50828e-06-0j 
