-0.145376-0j 0.697403-0j 0.70463-0j -0.0085127-0j 0.117098-0j -0.0105339-0j 0.144901-0j -0.00614479-0j 0.0845257-0j -0.00600051-0j 0.0500155-0j -0.00700059-0j 0.0126807-0j -0.00428697-0j 0.0583514-0j -0.00612552-0j 0.0357328-0j 0.0147941-0j -0.00252665-0j 0.0090595-0j 0.0510575-0j 0.0210601-0j 0.0129448-0j 0.00533947-0j -0.00463339-0j 0.0364116-0j -0.00523398-0j -0.000472894-0j 0.00919942-0j -0.00427352-0j 0.00108985-0j 0.0411312-0j -0.00431781-0j -0.00053419-0j -0.00373933-0j 0.0335835-0j 0.0103918-0j -0.00308479-0j -0.000436165-0j 0.0339315-0j 0.00123112-0j -0.000985606-0j 0.00848491-0j 0.0293856-0j -0.000440685-0j -0.000381644-0j 0.00857284-0j 0.0242419-0j 0.0010052-0j 0.0074243-0j -0.00031484-0j 0.00774539-0j 0.00101562-0j -0.000100593-0j 0.000879552-0j 0.00612473-0j 0.00195688-0j 0.000725593-0j 0.000231831-0j 
7.25074e-05-0j 0.000725593-0j 0.000658222-0j -2.17953e-06-0j -0.0086317-0j 5.25388e-06-0j 0.0208072-0j -6.04781e-06-0j -0.0239514-0j -1.53633e-06-0j 5.20372e-05-0j 3.4916e-06-0j 0.0587636-0j -1.09761e-06-0j -0.000118265-0j -1.40812e-06-0j 3.71772e-05-0j -0.133552-0j -7.74493e-07-0j 0.0419827-0j 4.76948e-05-0j 2.6233e-05-0j 0.0538598-0j 0.0296239-0j -1.1863e-06-0j 3.78834e-05-0j 2.61049e-06-0j -1.21076e-07-0j -0.000678121-0j -1.09416e-06-0j -0.172519-0j -8.33634e-05-0j -9.92571e-07-0j 2.66432e-07-0j 1.86502e-06-0j 3.4941e-05-0j 0.00149222-0j -3.0361e-06-0j -1.11673e-07-0j 3.16968e-05-0j 0.379632-0j 3.21397e-06-0j -0.000625452-0j -5.95577e-05-0j -1.01304e-07-0j 1.90348e-07-0j -0.000567379-0j 9.6955e-05-0j -0.159119-0j 0.0010661-0j -3.09871e-07-0j -0.000102635-0j -0.144345-0j 3.28024e-07-0j 0.271222-0j -0.00173552-0j 0.00183719-0j -0.441527-0j 0.467394-0j 
0.0324338-0j 0.00329987-0j 0.00333407-0j 0.00189921-0j 0.000274127-0j 0.00235015-0j 0.000339215-0j 0.00137092-0j 0.000197875-0j -0.00397324-0j -0.000702376-0j 0.00156185-0j -5.85314e-05-0j 0.000956435-0j 0.000276099-0j 0.00136662-0j 0.000169075-0j 2.30082e-05-0j 0.000563702-0j 1.40896e-05-0j 0.000241587-0j 9.96494e-05-0j 2.01322e-05-0j 8.30412e-06-0j 0.00103372-0j 0.000172287-0j -0.00346568-0j 0.000105504-0j 2.15359e-05-0j 0.000953435-0j 1.26901e-06-0j -0.000577613-0j 0.000963315-0j -0.000353715-0j 0.000834255-0j 0.000158906-0j -7.22017e-05-0j 0.000688226-0j 9.73095e-05-0j 0.000160553-0j -4.25452e-06-0j 0.000219891-0j 1.98632e-05-0j 0.000139043-0j 9.8318e-05-0j 8.51458e-05-0j 2.00691e-05-0j 0.000114704-0j 1.17045e-06-0j 1.73803e-05-0j 7.02417e-05-0j 3.66486e-05-0j 1.18258e-06-0j 2.24426e-05-0j 1.02415e-06-0j 1.4338e-05-0j 4.58107e-06-0j 8.44877e-07-0j 2.69942e-07-0j 
-0.000655599-0j -0.00384985-0j 0.00375496-0j 0.00435749-0j 0.000628949-0j -4.75047e-05-0j -6.85671e-06-0j 0.00311568-0j 0.00044971-0j -0.00156185-0j -0.000276099-0j 6.20866e-05-0j -2.30082e-05-0j -0.00111584-0j 1.09755e-05-0j 0.00153914-0j -0.000197255-0j 9.14622e-07-0j 0.00192738-0j -1.64379e-05-0j 0.000272084-0j 0.000340716-0j 2.26737e-05-0j 2.8393e-05-0j -0.00120601-0j -0.000201002-0j -2.36036e-05-0j -0.000123088-0j -2.51252e-05-0j 0.00218753-0j -1.48052e-06-0j -3.93393e-06-0j -0.00213362-0j -2.40903e-06-0j -1.68632e-05-0j 0.000364589-0j -4.91741e-07-0j 0.00156413-0j 0.000223264-0j -0.000355603-0j -2.89761e-08-0j 0.00100394-0j 4.55736e-05-0j -2.81054e-06-0j -0.000217761-0j -1.72109e-06-0j -4.44503e-05-0j 0.000260688-0j 2.68545e-06-0j -3.51317e-07-0j 0.000159638-0j 0.000167323-0j -2.61926e-06-0j 0.000102464-0j -2.07015e-08-0j 3.25859e-05-0j 2.09153e-05-0j 1.92015e-06-0j 1.23245e-06-0j 
-0.00523398-0j 0.0251086-0j 0.0253688-0j -0.000306483-0j 0.00421588-0j -0.000379254-0j 0.00521689-0j -0.000221231-0j 0.00304318-0j 0.000641179-0j -0.00534436-0j -0.000252043-0j -0.00135498-0j -0.000154344-0j 0.00210083-0j -0.000220537-0j 0.00128649-0j 0.000532633-0j -9.0967e-05-0j 0.00032617-0j 0.00183822-0j 0.000758229-0j 0.000466054-0j 0.000192237-0j 0.0322669-0j 0.00131093-0j -0.108179-0j -1.70256e-05-0j 0.000331207-0j 0.0297608-0j 3.92379e-05-0j -0.00439504-0j 0.0300692-0j 5.70804e-05-0j 0.0260407-0j 0.00120911-0j -0.00111041-0j 0.0214825-0j -1.57033e-05-0j 0.00122164-0j -0.00013155-0j 0.00686376-0j 0.000305483-0j 0.00105797-0j -1.5866e-05-0j -1.37404e-05-0j 0.000308648-0j 0.000872781-0j 3.61904e-05-0j 0.000267297-0j -1.13352e-05-0j 0.000278858-0j 3.65654e-05-0j -3.62165e-06-0j 3.16666e-05-0j 0.000220509-0j 7.04537e-05-0j 2.61236e-05-0j 8.34661e-06-0j 
-0.0231718-0j 0.0069384-0j -0.00238197-0j -0.00135686-0j -0.000195846-0j 0.00494149-0j 0.000713242-0j -0.000979433-0j -0.000141369-0j -0.000956435-0j -0.000169075-0j -0.00111584-0j -1.40896e-05-0j -0.000606609-0j -0.000197255-0j 0.00287349-0j -0.000107234-0j -1.64379e-05-0j -0.000402728-0j -8.93619e-06-0j 0.000507966-0j -7.1193e-05-0j 4.23305e-05-0j -5.93275e-06-0j -0.000738527-0j -0.000123088-0j -0.000834255-0j -7.53756e-05-0j -1.5386e-05-0j 0.00200472-0j -9.06628e-07-0j -0.000139043-0j -0.000688226-0j -8.51458e-05-0j -0.000529118-0j 0.00033412-0j -1.73803e-05-0j 0.00144708-0j 0.000204606-0j -0.000114704-0j -1.02415e-06-0j -0.000157098-0j 4.1765e-05-0j -8.81863e-05-0j -7.02417e-05-0j -5.40028e-05-0j -1.4338e-05-0j 0.00024118-0j 2.46102e-06-0j -1.10233e-05-0j 0.000147692-0j -2.6183e-05-0j -8.44877e-07-0j -1.60337e-05-0j -6.49553e-07-0j 3.01475e-05-0j -3.27288e-06-0j 1.77646e-06-0j -1.92856e-07-0j 
-0.0319622-0j -0.00327272-0j -0.00340149-0j 0.00193877-0j 0.000279838-0j 0.00225005-0j 0.000324766-0j 0.00125652-0j 0.000181363-0j 0.00136662-0j 0.000241587-0j -0.00153914-0j 2.01322e-05-0j -0.00287349-0j -0.000272084-0j 0.00135456-0j -0.000507966-0j -2.26737e-05-0j 0.00271978-0j -4.23305e-05-0j 0.000239455-0j 0.000480794-0j 1.99546e-05-0j 4.00662e-05-0j 0.00105526-0j 0.000175877-0j -0.00115074-0j 0.000107702-0j 2.19846e-05-0j -0.000945591-0j 1.29545e-06-0j -0.000191789-0j -0.000982794-0j -0.000117446-0j 0.00241957-0j -0.000157598-0j -2.39737e-05-0j -0.000612837-0j -9.65089e-05-0j -0.000163799-0j -1.41266e-06-0j 0.00235387-0j -1.96998e-05-0j 0.000403261-0j -0.000100306-0j 0.000246946-0j -2.04749e-05-0j -0.000102139-0j -1.16082e-06-0j 5.04077e-05-0j -6.25474e-05-0j 0.000392312-0j -1.20649e-06-0j 0.000240241-0j 2.9703e-06-0j -1.27674e-05-0j 4.9039e-05-0j -7.52328e-07-0j 2.88965e-06-0j 
-0.00427352-0j -0.000434797-0j -0.000439302-0j 0.0239245-0j -3.61194e-05-0j 0.029605-0j -4.46955e-05-0j 0.0172696-0j -2.60724e-05-0j -0.0755773-0j -0.00884789-0j 0.0297089-0j 7.71218e-06-0j 0.0181929-0j 0.00347804-0j 0.0259953-0j 0.00212986-0j -3.0316e-06-0j 0.0107225-0j -1.85647e-06-0j 0.00304328-0j 0.00125529-0j -2.65265e-06-0j -1.09416e-06-0j -0.000136205-0j 0.00327717-0j 0.000456643-0j 0.00267198-0j 0.000271289-0j -0.000125626-0j -1.67207e-07-0j -0.0109871-0j -0.000126928-0j -0.00895814-0j -0.000109923-0j 0.00302264-0j -0.00090953-0j -9.06817e-05-0j 0.00246445-0j 0.00305396-0j 5.60583e-07-0j -2.89732e-05-0j 0.000250219-0j 0.00264481-0j 0.00248999-0j 0.0021564-0j 0.000252812-0j 0.00218186-0j -1.54221e-07-0j 0.000218941-0j 0.00177894-0j 0.000697113-0j -1.55819e-07-0j 0.000568379-0j -1.34943e-07-0j 0.000180617-0j 5.77081e-05-0j -1.11322e-07-0j -3.5568e-08-0j 
0.0400244-0j -0.00138949-0j -0.0066353-0j -0.000799703-0j -0.000115427-0j 0.00290017-0j 0.000418603-0j -0.000691108-0j -9.97528e-05-0j -0.000563702-0j -9.96494e-05-0j 0.00192738-0j -8.30412e-06-0j -0.000402728-0j 0.000340716-0j -0.00271978-0j -7.1193e-05-0j 2.8393e-05-0j 0.00330232-0j -5.93275e-06-0j -0.000480794-0j 0.000583774-0j -4.00662e-05-0j 4.86478e-05-0j -0.000435272-0j -7.25454e-05-0j 0.001441-0j -4.44248e-05-0j -9.06817e-06-0j -0.000401465-0j -5.34347e-07-0j 0.000240167-0j -0.00191714-0j 0.000147072-0j 0.0010295-0j -6.69108e-05-0j 3.00208e-05-0j -0.000346948-0j -4.09743e-05-0j -0.000319524-0j 1.769e-06-0j 0.00172391-0j -8.36385e-06-0j 0.000171583-0j -0.000195668-0j 0.000105073-0j -3.99405e-05-0j -5.78247e-05-0j -4.92845e-07-0j 2.14479e-05-0j -3.54102e-05-0j 0.000287318-0j -2.35352e-06-0j 0.000175946-0j 1.26383e-06-0j -7.22808e-06-0j 3.59148e-05-0j -4.25919e-07-0j 2.1163e-06-0j 
0.00061683-0j -0.00598092-0j -0.0060429-0j 3.61194e-05-0j 0.0231758-0j 4.46955e-05-0j 0.0286786-0j 2.60724e-05-0j 0.0167292-0j 0.0109086-0j 0.00127303-0j -0.00428811-0j -0.0151648-0j -0.00262592-0j -0.000500421-0j -0.00375209-0j -0.000306444-0j 0.00596117-0j -0.00154766-0j 0.00365046-0j -0.000437868-0j -0.000180611-0j 0.00521603-0j 0.0021515-0j 1.96595e-05-0j 0.0450797-0j -6.59108e-05-0j 2.00649e-06-0j 0.00182073-0j 1.81326e-05-0j 0.000662199-0j -0.151135-0j 1.83205e-05-0j -6.72699e-06-0j 1.5866e-05-0j 0.0415784-0j -0.00610422-0j 1.30888e-05-0j 1.85065e-06-0j 0.0420093-0j -0.0022201-0j 4.18193e-06-0j 0.00167932-0j 0.0363811-0j 1.86983e-06-0j 1.61932e-06-0j 0.00169672-0j 0.0300129-0j 0.000610766-0j 0.0014694-0j 1.33587e-06-0j 0.00958926-0j 0.000617096-0j 4.26816e-07-0j 0.00053442-0j 0.0012122-0j 0.000387302-0j 0.000440874-0j 0.000140861-0j 
0.000105797-0j -0.0292934-0j 0.0285714-0j -0.000703186-0j 0.0096728-0j 7.66604e-06-0j -0.000105451-0j -0.000502791-0j 0.00691622-0j 0.000252043-0j -0.00210083-0j -1.00192e-05-0j -0.000532633-0j 0.000180068-0j 8.35119e-05-0j -0.000248378-0j -0.0015009-0j 2.11732e-05-0j -0.00031103-0j -0.000380531-0j 0.00207028-0j 0.00259249-0j 0.000524888-0j 0.000657287-0j -0.0376448-0j -0.00152942-0j -0.000736769-0j 1.98632e-05-0j -0.000386408-0j 0.0682823-0j -4.57776e-05-0j -2.99331e-05-0j -0.0665993-0j 3.88756e-07-0j -0.000526373-0j 0.00277414-0j -7.56264e-06-0j 0.0488231-0j -3.60291e-05-0j -0.00270577-0j -8.95942e-07-0j 0.0313372-0j 0.00070089-0j -2.13853e-05-0j 3.51411e-05-0j 2.7774e-07-0j -0.000683615-0j 0.00198356-0j 8.30341e-05-0j -5.40301e-06-0j -2.57615e-05-0j 0.00127315-0j -8.09875e-05-0j -1.6535e-05-0j -6.40092e-07-0j 0.000501149-0j 0.000321663-0j 5.93709e-05-0j 3.81073e-05-0j 
0.00053419-0j -0.00256264-0j -0.0025892-0j -0.00601239-0j -0.000430282-0j -0.00743996-0j -0.000532446-0j -0.00433998-0j -0.000310594-0j -6.544e-05-0j -0.104842-0j 2.5724e-05-0j 0.000138292-0j 1.57527e-05-0j 0.0412127-0j 2.25085e-05-0j 0.0252375-0j -5.43616e-05-0j 9.28428e-06-0j -3.32895e-05-0j 0.0360611-0j 0.0148745-0j -4.75664e-05-0j -1.96201e-05-0j 1.70256e-05-0j -0.000133796-0j -5.70804e-05-0j 0.031764-0j 0.00649741-0j 1.57033e-05-0j -4.0047e-06-0j 0.000448567-0j 1.5866e-05-0j -0.106493-0j 1.37404e-05-0j -0.000123404-0j -0.0217834-0j 1.13352e-05-0j 0.0292969-0j -0.000124683-0j 1.34262e-05-0j 3.62165e-06-0j 0.00599276-0j -0.000107979-0j 0.0296006-0j 0.0256348-0j 0.00605487-0j -8.90778e-05-0j -3.69366e-06-0j 0.00524367-0j 0.0211477-0j -2.84608e-05-0j -3.73194e-06-0j 0.00675678-0j -3.23195e-06-0j 0.00432581-0j 0.00138212-0j -2.66623e-06-0j -8.51872e-07-0j 
0.00373933-0j 0.0527941-0j -0.0181244-0j 0.000218962-0j -0.00301197-0j -0.000797429-0j 0.0109692-0j 0.000158055-0j -0.00217416-0j 0.000154344-0j -0.00128649-0j 0.000180068-0j -0.00032617-0j 9.7891e-05-0j -0.0015009-0j -0.000463708-0j -0.000815942-0j -0.000380531-0j 6.499e-05-0j -0.00020687-0j 0.0038651-0j -0.000541705-0j 0.000979937-0j -0.000137341-0j -0.0230526-0j -0.000936572-0j -0.0260407-0j 1.21637e-05-0j -0.000236626-0j 0.0625759-0j -2.80329e-05-0j -0.00105797-0j -0.0214825-0j 1.37404e-05-0j -0.016516-0j 0.0025423-0j -0.000267297-0j 0.0451697-0j -3.30181e-05-0j -0.000872781-0j -3.16666e-05-0j -0.00490371-0j 0.000642316-0j -0.000671006-0j 1.13352e-05-0j 8.71467e-06-0j -0.000220509-0j 0.00183513-0j 7.60948e-05-0j -0.00016953-0j -2.38337e-05-0j -0.000199226-0j -2.61236e-05-0j 2.58744e-06-0j -2.00842e-05-0j 0.000463648-0j -5.03345e-05-0j 5.49281e-05-0j -5.96311e-06-0j 
8.63828e-05-0j 0.000507263-0j -0.00049476-0j 0.0548916-0j -8.28713e-05-0j -0.00059842-0j 9.03451e-07-0j 0.0392485-0j -5.92545e-05-0j -0.0297089-0j -0.00347804-0j 0.00118098-0j 3.0316e-06-0j -0.021225-0j 0.000138259-0j 0.0292769-0j -0.00248483-0j -1.20512e-07-0j 0.0366618-0j 2.16588e-06-0j 0.00342747-0j 0.00429202-0j -2.98752e-06-0j -3.7411e-06-0j 0.000158906-0j -0.00382337-0j 3.11004e-06-0j -0.00311731-0j -0.000316504-0j -0.000288233-0j 1.95075e-07-0j -7.48295e-05-0j 0.000281129-0j -6.10109e-05-0j 2.22192e-06-0j 0.00693505-0j -6.1945e-06-0j -0.000206092-0j 0.00565437-0j -0.00676412-0j 3.81794e-09-0j -0.00013228-0j 0.000574094-0j -5.34608e-05-0j -0.005515-0j -4.35883e-05-0j -0.000559944-0j 0.00495869-0j -3.53839e-07-0j -4.42557e-06-0j 0.00404298-0j 0.00318274-0j 3.45118e-07-0j 0.00259499-0j 2.72767e-09-0j 0.000410488-0j 0.000263472-0j -2.53001e-07-0j -1.62389e-07-0j 
-6.29549e-05-0j 0.00091884-0j 0.000928362-0j 0.000352441-0j -0.00724877-0j 0.000436123-0j -0.00896989-0j 0.000254405-0j -0.00523244-0j 7.71218e-06-0j 0.0186979-0j -3.0316e-06-0j -0.0714085-0j -1.85647e-06-0j -0.00735002-0j -2.65265e-06-0j -0.00450095-0j 0.0280702-0j -1.09416e-06-0j 0.0171894-0j -0.00643126-0j -0.00265276-0j 0.0245614-0j 0.0101311-0j -2.00649e-06-0j 4.79728e-05-0j 6.72699e-06-0j 3.9362e-05-0j 0.0544448-0j -1.85065e-06-0j 0.00639557-0j -0.000160835-0j -1.86983e-06-0j -0.000131966-0j -1.61932e-06-0j 4.42468e-05-0j -0.182533-0j -1.33587e-06-0j 3.63048e-05-0j 4.47054e-05-0j -0.0214419-0j -4.26816e-07-0j 0.0502161-0j 3.8716e-05-0j 3.6681e-05-0j 3.17667e-05-0j 0.0507365-0j 3.19391e-05-0j 0.00589884-0j 0.0439391-0j 2.62062e-05-0j 1.02047e-05-0j 0.00595997-0j 8.37301e-06-0j 0.00516148-0j 0.0362479-0j 0.0115814-0j 0.004258-0j 0.00136045-0j 
0.00515787-0j -0.024902-0j -0.0258818-0j -0.000312868-0j 0.00430371-0j -0.0003631-0j 0.00499468-0j -0.00020277-0j 0.00278923-0j -0.000220537-0j 0.00183822-0j 0.000248378-0j 0.000466054-0j 0.000463708-0j -0.00207028-0j -0.000218592-0j -0.0038651-0j -0.000524888-0j -0.000438903-0j -0.000979937-0j 0.00182201-0j 0.00365834-0j 0.000461942-0j 0.000927517-0j 0.0329392-0j 0.00133824-0j -0.0359194-0j -1.73803e-05-0j 0.000338107-0j -0.029516-0j 4.00554e-05-0j -0.00145932-0j -0.0306772-0j 1.89528e-05-0j 0.0755251-0j -0.00119916-0j -0.000368698-0j -0.0191293-0j 1.55741e-05-0j -0.00124634-0j -4.36795e-05-0j 0.0734744-0j -0.000302969-0j 0.0030684-0j 1.61868e-05-0j -3.98508e-05-0j -0.000314889-0j -0.000777176-0j -3.58926e-05-0j 0.000775235-0j 1.00935e-05-0j 0.00298509-0j -3.73048e-05-0j -3.87687e-05-0j 9.18416e-05-0j -0.000196354-0j 0.000754185-0j -2.3262e-05-0j 8.93479e-05-0j 
0.00305315-0j -0.000914215-0j 0.000313853-0j -0.0170925-0j 2.58049e-05-0j 0.0622483-0j -9.39779e-05-0j -0.012338-0j 1.8627e-05-0j -0.0181929-0j -0.00212986-0j -0.021225-0j 1.85647e-06-0j -0.0115387-0j -0.00248483-0j 0.0546583-0j -0.00135084-0j 2.16588e-06-0j -0.00766052-0j 1.17745e-06-0j 0.00639889-0j -0.000896823-0j -5.57754e-06-0j 7.81708e-07-0j 9.73095e-05-0j -0.00234133-0j 0.000109923-0j -0.00190896-0j -0.000193818-0j -0.000264145-0j 1.19459e-07-0j -0.00264481-0j 9.06817e-05-0j -0.0021564-0j 6.97174e-05-0j 0.00635548-0j -0.000218941-0j -0.00019067-0j 0.00518183-0j -0.00218186-0j 1.34943e-07-0j 2.06995e-05-0j 0.000526116-0j -0.00167744-0j -0.00177894-0j -0.00136767-0j -0.000180617-0j 0.00458763-0j -3.24268e-07-0j -0.000138861-0j 0.00374044-0j -0.000498042-0j 1.11322e-07-0j -0.000406069-0j 8.55862e-08-0j 0.000379771-0j -4.12287e-05-0j -2.34069e-07-0j 2.5411e-08-0j 
-1.24683e-05-0j 0.00697774-0j -0.00680575-0j 8.28713e-05-0j 0.0531739-0j -9.03451e-07-0j -0.000579694-0j 5.92545e-05-0j 0.0380203-0j 0.00428811-0j 0.000500421-0j -0.00017046-0j -0.00596117-0j 0.00306357-0j -1.98927e-05-0j -0.00422576-0j 0.000357518-0j 0.000236968-0j -0.00529167-0j -0.00425887-0j -0.000493144-0j -0.000617537-0j 0.00587449-0j 0.00735629-0j -2.29361e-05-0j -0.052593-0j -4.48896e-07-0j -2.3409e-06-0j -0.00212419-0j 4.16028e-05-0j -0.000772565-0j -0.00102933-0j -4.05774e-05-0j -4.58153e-08-0j -3.20707e-07-0j 0.0953963-0j -4.15738e-05-0j 2.97468e-05-0j 4.24607e-06-0j -0.093045-0j -1.51204e-05-0j 1.9093e-05-0j 0.00385298-0j -0.000735389-0j -4.14141e-06-0j -3.2732e-08-0j -0.00375801-0j 0.0682101-0j 0.00140132-0j -2.97017e-05-0j 3.03602e-06-0j 0.0437807-0j -0.00136678-0j 1.94867e-06-0j -1.08025e-05-0j 0.00275495-0j 0.00176827-0j 0.00100197-0j 0.000643117-0j 
-0.00645891-0j -0.0105725-0j -0.0504878-0j 0.000129052-0j -0.00177519-0j -0.000468012-0j 0.00643782-0j 0.000111527-0j -0.00153413-0j 9.0967e-05-0j -0.000758229-0j -0.00031103-0j -0.000192237-0j 6.499e-05-0j 0.00259249-0j 0.000438903-0j -0.000541705-0j 0.000657287-0j -0.00053291-0j -0.000137341-0j -0.00365834-0j 0.00444191-0j -0.000927517-0j 0.00112618-0j -0.0135867-0j -0.000551995-0j 0.0449798-0j 7.16902e-06-0j -0.000139462-0j -0.0125314-0j -1.6522e-05-0j 0.00182742-0j -0.0598423-0j -2.37336e-05-0j 0.0321351-0j -0.000509122-0j 0.0004617-0j -0.0108297-0j 6.61221e-06-0j -0.00243125-0j 5.46973e-05-0j 0.0538106-0j -0.00012863-0j 0.00130557-0j 3.15757e-05-0j -1.69561e-05-0j -0.000614257-0j -0.000439986-0j -1.52388e-05-0j 0.000329854-0j 5.7143e-06-0j 0.00218619-0j -7.27707e-05-0j -2.83931e-05-0j 3.90776e-05-0j -0.000111163-0j 0.000552344-0j -1.31694e-05-0j 6.54359e-05-0j 
2.87349e-06-0j -7.00934e-05-0j -7.08198e-05-0j 1.68261e-07-0j 0.0011145-0j 2.08213e-07-0j 0.00137913-0j 1.21457e-07-0j 0.00080449-0j -3.52011e-07-0j 1.49193e-05-0j 1.38373e-07-0j 0.0340175-0j 8.47359e-08-0j -5.86468e-06-0j 1.21076e-07-0j -3.59137e-06-0j -0.013372-0j 4.99415e-08-0j -0.00818865-0j -5.1316e-06-0j -2.11668e-06-0j -0.0117005-0j -0.00482622-0j 9.15833e-08-0j -3.65959e-06-0j -3.07044e-07-0j 9.34718e-09-0j 8.75573e-05-0j 8.44701e-08-0j 0.0695429-0j 1.22692e-05-0j 8.53454e-08-0j -3.13375e-08-0j 7.39113e-08-0j -3.37536e-06-0j -0.000293546-0j 6.09737e-08-0j 8.62119e-09-0j -3.41034e-06-0j -0.233151-0j 1.94814e-08-0j 8.07568e-05-0j -2.95344e-06-0j 8.71053e-09-0j 7.54354e-09-0j 8.15937e-05-0j -2.43646e-06-0j 0.0641416-0j 7.06622e-05-0j 6.22311e-09-0j -7.78461e-07-0j 0.0648063-0j 1.98831e-09-0j 0.0561239-0j 5.82933e-05-0j 1.8625e-05-0j 0.0462998-0j 0.014793-0j 
0.00421139-0j 0.000431219-0j 0.000448185-0j 0.0244229-0j -3.68719e-05-0j 0.028344-0j -4.27917e-05-0j 0.0158285-0j -2.38967e-05-0j 0.0259953-0j 0.00304328-0j -0.0292769-0j -2.65265e-06-0j -0.0546583-0j -0.00342747-0j 0.0257659-0j -0.00639889-0j 2.98752e-06-0j 0.0517345-0j 5.57754e-06-0j 0.00301643-0j 0.0060566-0j -2.62925e-06-0j -5.27918e-06-0j -0.000139043-0j 0.00334545-0j 0.000151623-0j 0.00272765-0j 0.000276941-0j 0.000124592-0j -1.70691e-07-0j -0.00364813-0j 0.000129494-0j -0.00297444-0j -0.000318806-0j -0.00299777-0j -0.000301998-0j 8.07483e-05-0j -0.00244418-0j -0.00311571-0j 1.86134e-07-0j -0.00031015-0j -0.00024816-0j 0.00767066-0j -0.00254034-0j 0.00625414-0j -0.000257924-0j -0.00194285-0j 1.52952e-07-0j 0.000634989-0j -0.00158407-0j 0.00746238-0j 1.58969e-07-0j 0.00608432-0j -3.91371e-07-0j -0.000160832-0j 0.000617747-0j 9.91279e-08-0j -3.80745e-07-0j 
-0.000440685-0j -0.0125756-0j 0.00431725-0j -2.58049e-05-0j -0.0165576-0j 9.39779e-05-0j 0.0603004-0j -1.8627e-05-0j -0.0119519-0j 0.00262592-0j 0.000306444-0j 0.00306357-0j -0.00365046-0j 0.00166546-0j 0.000357518-0j -0.00788925-0j 0.000194359-0j -0.00425887-0j 0.0011057-0j -0.00231526-0j -0.000920673-0j 0.000129035-0j 0.0109674-0j -0.00153711-0j -1.40454e-05-0j -0.0322065-0j -1.5866e-05-0j -1.4335e-06-0j -0.00130079-0j 3.8126e-05-0j -0.000473097-0j -0.0363811-0j -1.30888e-05-0j -1.61932e-06-0j -1.00628e-05-0j 0.0874239-0j -0.0014694-0j 2.75208e-05-0j 3.89122e-06-0j -0.0300129-0j -0.00053442-0j -2.98771e-06-0j 0.00353098-0j -0.0230743-0j -1.33587e-06-0j -1.02703e-06-0j -0.0012122-0j 0.0631059-0j 0.00128421-0j -0.000931953-0j 2.80883e-06-0j -0.0068509-0j -0.000440874-0j -3.04932e-07-0j -0.00033895-0j 0.00254879-0j -0.000276702-0j 0.000926994-0j -0.000100636-0j 
-1.07979e-05-0j 0.00298974-0j -0.00291605-0j -0.0137947-0j -0.000987226-0j 0.000150388-0j 1.07626e-05-0j -0.00986343-0j -0.000705884-0j -2.5724e-05-0j -0.0412127-0j 1.02258e-06-0j 5.43616e-05-0j -1.83781e-05-0j 0.00163828-0j 2.535e-05-0j -0.0294438-0j -2.16098e-06-0j 3.17443e-05-0j 3.88378e-05-0j 0.0406135-0j 0.0508579-0j -5.35712e-05-0j -6.70841e-05-0j -1.98632e-05-0j 0.000156095-0j -3.88756e-07-0j -0.037058-0j -0.00758031-0j 3.60291e-05-0j 4.67215e-06-0j 3.05504e-06-0j -3.51411e-05-0j -0.000725286-0j -2.7774e-07-0j -0.000283135-0j -0.000148359-0j 2.57615e-05-0j 0.0672181-0j 0.000276156-0j 9.14416e-08-0j 1.6535e-05-0j 0.0137496-0j 2.18262e-06-0j -0.0655613-0j -0.000518169-0j -0.0134107-0j -0.000202447-0j -8.47463e-06-0j -0.000105993-0j 0.0480621-0j -0.000129941-0j 8.26575e-06-0j 0.0308487-0j 6.53291e-08-0j 0.00983123-0j 0.00631019-0j -6.05951e-06-0j -3.88931e-06-0j 
-0.000381644-0j -0.00538827-0j 0.00184981-0j 0.00429546-0j 0.000307408-0j -0.0156435-0j -0.00111954-0j 0.00310063-0j 0.000221899-0j -1.57527e-05-0j -0.0252375-0j -1.83781e-05-0j 3.32895e-05-0j -9.99096e-06-0j -0.0294438-0j 4.7327e-05-0j -0.0160066-0j 3.88378e-05-0j -6.63301e-06-0j 2.11135e-05-0j 0.0758231-0j -0.0106268-0j -0.000100014-0j 1.40173e-05-0j -1.21637e-05-0j 9.55884e-05-0j -1.37404e-05-0j -0.0226933-0j -0.00464198-0j 3.30181e-05-0j 2.8611e-06-0j 0.000107979-0j -1.13352e-05-0j -0.0256348-0j -8.71467e-06-0j -0.000259473-0j -0.00524367-0j 2.38337e-05-0j 0.0616006-0j 8.90778e-05-0j 3.23195e-06-0j -2.58744e-06-0j 0.0126005-0j 6.84843e-05-0j -0.0211477-0j -0.0162586-0j -0.00432581-0j -0.000187297-0j -7.76639e-06-0j -0.00332574-0j 0.0444656-0j 2.03334e-05-0j 2.66623e-06-0j -0.00482728-0j 2.04983e-06-0j 0.00909556-0j -0.000987431-0j -5.60608e-06-0j 6.08607e-07-0j 
