0.112184-0.0170158j -0.160689-0.0240915j 0.0448322+0.0271016j 0.196348-0.0687612j -0.150958-0.0466138j 0.0898245+0.0434013j 0.0133069+0.0169456j 0.179056-0.0106102j -0.0886389+0.00139012j 0.114172+0.031047j -0.059509-0.0258197j 0.0402414+0.0474971j 0.0208632+0.0107334j -0.116967-0.0159158j 0.0547854-0.0198811j 0.0118368-0.0253305j 0.0369884+0.0545537j -0.107747-0.0337147j -0.115202-0.0924742j -0.0955632+0.0101841j 0.0634045+0.0285744j 0.0525013-0.013437j -0.0306766+0.0513862j 0.130888+0.0325944j 0.0845918+0.0325842j 0.123341+0.0307409j -0.0753226-0.028044j -0.0152123-0.0117187j -0.00484065+0.0128024j 0.0151552-0.00915185j 0.0535849-0.0199353j 0.0188366-0.0260406j -0.0938141+0.0164007j 0.015057+0.0447129j -0.0487186+0.0924294j -0.197722-0.0694448j 
0.0601945+0.0039127j -0.0373783-0.013874j -0.0242706+0.00843614j -0.0315262-0.00865862j -0.0762821+0.0211662j -0.0679249-0.0290685j -0.152706-0.0382201j 0.00576301+0.00455885j 0.154858+0.0124786j -0.0398701+0.0769552j 0.00228639+0.108199j 0.166885-0.0535451j -0.0209934+0.0931661j -0.106587-0.201917j -0.0367157-0.00932339j 0.0113122+0.0120056j 0.158739+0.0797683j -0.15248+0.0514578j 0.11059-0.0467685j -0.0811973+0.024283j -0.063075-0.00526332j 0.0524243-0.044255j -0.00760202-0.0604256j 0.000186163-0.0469052j 0.0365121+0.0280855j 0.0219777+0.0368802j -0.053736-0.0127367j -0.00771204+0.0430297j -0.0390599+0.025578j -0.0351726+0.00775407j -0.00623737+0.0287131j -0.0260302+0.0436083j 0.0173309-0.0434529j 0.0142967+0.0117044j -0.0327738+0.0316287j -0.0469601+0.0258188j 
0.0866921-0.0327537j -0.00535938+0.0858733j -0.0156542+0.0373993j -0.0317925-0.0394131j 0.0180811+0.0950537j -0.0480072-0.0564592j -0.0101524-0.0832225j 0.0397909+0.130779j -0.0217318+0.0175747j -0.169808+0.250418j 0.083303+0.186909j 0.215661+0.136992j -0.0162379+0.116164j -0.136881-0.117116j -0.10466+0.103883j -0.014933+0.16708j 0.16487+0.115766j -0.0259737+0.219604j 0.0958125+0.0552572j -0.0293115+0.13927j -0.064638-0.104233j -0.0015362-0.0388174j 0.0423335-0.018421j -0.0224769+0.0148053j -0.0265221-0.0847137j -0.0183019+0.0466677j -0.00850378-0.0147196j -0.0250271+0.00169743j -0.047171-0.0162287j -0.0449385-0.00331542j 0.0200652+0.0400423j 0.00637157-0.0261156j 0.00778327+0.00871867j -0.028799-0.0405791j -0.0207057-0.0160138j 0.00237057+0.0224483j 
0.0367778+0.00216156j 0.134589-0.000188799j -0.000477479-0.0272556j 0.0258769-0.00643174j -0.0945846-0.00635724j 0.0717954-0.0937747j -0.0465051-0.0541312j -0.0329316-0.0404389j 0.0172438-0.203436j 0.10808-0.0524847j -0.0252106-0.0219609j 0.228645-0.185745j -0.222108-0.0682539j 0.0642215+0.0583927j 0.130439-0.142038j -0.0385012+0.0884064j -0.00433133-0.0805756j -0.0420533+0.0381802j 0.0893735+0.00578884j 0.0888305+0.0212403j 0.0369519-0.0237269j 0.0193295-0.0263401j 0.0937194-0.0393098j 0.0275196-0.0213501j 0.0284201-0.0256724j 0.0460992-0.0358722j -0.011415+0.0336255j 0.00679973+0.00784681j -0.0301707+0.00303729j -0.0204493-0.00810981j 0.0182645-0.0327379j -0.0369099+0.000433212j 0.00541533-0.0162001j -0.000698576-0.0190496j 0.00795786-0.0126973j 0.00473956+0.0596394j 
-0.00570977-0.0574647j -0.00881524-0.111913j -0.0886022-0.0244111j 0.0188218-0.031678j -0.100966-0.0484352j -0.0175584+0.10424j -0.00882839-0.109364j -0.0511291-0.0507188j -0.220848+0.0240227j -0.230192+0.0332738j -0.140649-0.137155j 0.0100967+0.0255975j -0.182744+0.13151j -0.153391+0.129795j -0.168936-0.0634355j 0.0227003+0.0303721j -0.100485-0.109952j -0.153917-0.072921j -0.0456307+0.0283311j -0.0612138-0.011727j 0.0739351-0.0770847j -0.054049+0.00858192j 0.0992736-0.0450779j -0.0812507+0.0952453j -0.00655698+0.0329732j -0.0415103+0.0778252j -0.00172679-0.0327061j -0.0103348+0.00813475j -0.00170139+0.044313j 0.0135234+0.0318676j -0.0230606+0.0282016j -0.0129076-0.00341511j 0.0154949+0.020093j 0.0447635+0.0266736j 0.0288574-0.0122789j -0.0195442-0.0635505j 
-0.0421778+0.0846579j -0.123786-0.0221107j 0.0189863+0.0531205j 0.0130724+0.0365237j 0.0709151-0.0315504j -0.14239+0.0917932j 0.0448136+0.147462j 0.105027-0.113069j 0.0705359+0.208861j -0.204069-0.0796181j 0.051411+0.0814798j 0.21074-0.191272j 0.206803+0.0180438j 0.1044+0.192318j -0.1197+0.165427j -0.0285314-0.159694j 0.00729514-0.0244838j -0.0261053-0.149172j 0.0116074-0.0644503j -0.125734-0.0120159j 0.0213273+0.0295512j -0.105821+0.0105954j 0.116065+0.00964833j -0.0552245-0.0683717j -0.0289734-0.0281343j -0.0495231-0.0608641j 0.00743512+0.0252627j 0.0055323-0.00316834j -0.00198198+0.0412608j -0.00246071+0.0227819j -0.000634275-0.0834085j 0.0197557-0.00341119j 0.00318514-0.00806184j 0.0204767-0.0020231j 0.0195287-0.0133923j 0.0292507+0.0165213j 
-0.0641156+0.102104j -0.0730411-0.00669572j 0.0317873+0.0597245j -0.0700432+0.0308165j 0.00211282+0.0364821j -0.040986+0.0347395j -0.0726484+0.0934539j -0.06799+0.00224818j 0.0340915+0.301351j 0.152777-0.151066j 0.128336+0.148538j -0.155957+0.137054j 0.180452+0.149013j -0.0281082+0.0582247j 0.0123806+0.148989j 0.00690875-0.181692j -0.0454242+0.161388j -0.0452981-0.0599245j -0.049496+0.0399819j 0.0694782-0.121654j -0.0637082-0.00767082j -0.0184945-0.0165606j -0.0499768+0.0228376j 0.0392447-0.0245706j 0.0271974-0.0115537j 0.00466621-0.0517437j 0.00270426+0.0417929j 0.0145898-0.000607012j 0.0284205-0.00139966j 0.00673456-0.0107719j -0.0146259-0.0083943j -0.002093+0.0491996j 0.00432547-0.00977407j 0.00932493+0.00602154j -0.00452768-0.010223j -0.0146562+0.0147958j 
0.0229659-0.0399915j -0.0388692-0.0135708j 0.0444842-0.0390931j -0.0667835-0.0251228j 0.0268821+0.0851712j 0.0663275-0.107635j -0.0325471-0.0654077j -0.0690243+0.0337897j 0.00037757-0.180374j 0.0952633-0.134644j 0.151139+0.0158275j 0.0146528-0.0147757j 0.118972-0.0504699j 0.0319321-0.0427638j -0.0282054-0.165271j 0.0690626+0.140563j -0.0562709+0.0158131j -0.0760103+0.084792j -0.00253956+0.0559223j 0.10833+0.040588j -0.0833887+0.0163078j -0.0319798-0.0231376j 0.0201469+0.0356103j 0.0470483-0.076137j 0.0383441-0.0459148j 0.00377559-0.061529j -0.0183179+0.0380885j 0.00382282-0.0111116j -0.0044583-0.0424105j -0.0173532-0.0324953j 3.9029e-05+0.00240577j -0.0288673-0.00253063j 0.00849558-0.00334303j 0.00120932-0.0217069j 0.005155-0.00277776j 0.00201513+0.0850267j 
0.084161+0.0760632j -0.107279+0.139213j -0.137416-0.0379181j -0.0887373+0.0305263j -0.109821-0.0597524j -0.162216+0.0645734j -0.131029+0.0457864j 0.0150755-0.0552521j -0.145456-0.0285376j 0.00356854-0.0339415j 0.0257236+0.0134537j -0.0308905+0.00816937j -0.0728956-0.201354j 0.025448-0.00126745j -0.189137+0.04872j 0.0863953-0.0199741j 0.0946849+0.00339465j -0.104128+0.0483857j 0.0859246-0.013969j 0.00710646+0.0315054j -0.0565063+0.00458179j 0.03315-0.0301879j -0.0419475-0.0214847j 0.0558053-0.00692962j 0.0294081-0.00791486j 0.000558176+0.00465448j 0.0101668+0.0307015j 0.0115813+0.00697671j -0.0122811+0.00133231j -0.0149712-0.0126828j -0.0528828-0.00131646j -0.0376722+0.0157627j 0.00198561-0.0157469j -0.00837775-0.00607172j -0.0348557+0.0206038j -0.0260568+0.042976j 
0.00617786+0.0505405j -0.198732-0.100976j 0.0469558-0.0558735j 0.0226833-0.0689193j 0.128675-0.0642706j -0.162639-0.00955803j -0.0260575-0.074047j 0.150969-0.0247705j 0.0534168-0.135178j 0.00068359+0.0659121j -0.00680323-0.0364873j -0.0343421-0.0260014j 0.239295-0.0115679j 0.0428434-0.0133092j -0.154837-0.0752056j 0.024425+0.0214632j 0.102973+0.0519651j 0.133522-0.0588638j 0.0333653+0.0753987j -0.0456121+0.028674j -0.0339372-0.0530746j 0.0143736+0.0674105j -0.0355001-0.0520538j -0.00152508+0.047746j -0.0362752+0.0161932j -0.00726311+0.0485604j 0.0289376+3.14062e-05j -0.00581707+0.00707226j 0.0131358+0.00557044j 0.0100239-0.00172703j -0.0202155-0.0302994j 0.023695-0.00872516j 0.0109276+0.0102633j -0.0118752+0.00431787j -0.0310082-0.0315255j -0.0068748-0.062388j 
-0.0492778-0.184531j -0.314686+0.0986762j -0.0132508+0.0365358j -0.0260486+0.0618617j -0.069024-0.000789934j -0.0309045-0.0107108j 0.0287721-0.00528089j -0.0451618-0.000257287j 0.0213478-0.0546912j -0.123368+0.00137042j 0.0452381-0.0140375j -0.0814417+0.00649814j 0.20815-0.0139692j 0.0581977-0.0286901j -0.155211+0.0597987j 0.0029215-0.0159666j -0.0608705-0.095904j -0.173857+0.0980203j 0.0168913-0.043183j -0.093337-0.00770856j -0.0407566+0.064773j 0.051598-0.0149126j -0.0508316+0.0439641j 0.00872577-0.027821j 0.0320215-0.0111286j 0.00724755+0.0112953j -0.0378161-0.0304619j 0.00186597-0.0104987j 0.0275179-0.00844913j 0.0215117+0.00522088j 0.00329627+0.0694858j 0.0184019+0.000376734j 0.0116704-0.00305143j 0.0464555+0.00740173j -0.0135888+0.0542486j -0.0526547+0.0481476j 
-0.390391+0.103518j -0.035497+0.134781j 0.0195645-0.0472917j -0.015126-0.0062615j 0.0213185+0.0151873j -0.069173-0.0334821j -0.0903265-0.0430698j 0.00280208+0.0393726j -0.00926041-0.044397j 0.0416873+0.0412903j -0.0896218-0.000204953j -0.0128308+0.00491977j 0.17186-0.109728j -0.07582-0.0150434j -0.045765+0.0529503j 0.0884368-0.0194129j -0.252069+0.0903045j 0.0963649-0.0329451j -0.0564247+0.0144124j -0.0181874+0.0026104j 0.0679828-0.000873163j -0.0602348-0.00996123j 0.0712425+0.0103189j -0.0105631-0.00331257j -0.00792803+0.00216414j 0.0399739-0.0156026j -0.0554977+0.0155264j -0.00701641+0.00944249j 0.0196459-0.0234546j 0.0344368-0.0230495j 0.106341-0.0470401j 0.0170511-0.0331713j 0.0138745-0.013029j 0.0506396-0.0442339j 0.0590833-0.0335837j 0.00818117+0.0101278j 
