-0.183185-0j -0.20693-0j -0.168957-0j -0.170708-0j -0.147838-0j -0.12196-0j -0.0389668-0j 0.12005-0j -0.0266307-0j -0.0210534-0j -0.0140356-0j -0.0212716-0j -0.0245623-0j -0.00868409-0j -0.014328-0j -0.0151972-0j -0.00886501-0j -0.00231266-0j -0.0157022-0j -0.00226642-0j 0.0854988-0j 0.0123407-0j -0.0132736-0j -0.00191588-0j -0.0134111-0j -0.0121171-0j -0.00193573-0j -0.00174895-0j -0.0149941-0j -0.00999607-0j -0.00216421-0j -0.00874656-0j -0.00865685-0j -0.00144281-0j -0.00126246-0j -0.00124951-0j -0.0123695-0j -0.00618475-0j -0.00178538-0j -0.00510216-0j -0.00624885-0j -0.000892692-0j -0.000736434-0j -0.000901943-0j -0.00282353-0j -0.000407541-0j -0.00062253-0j -8.98544e-05-0j 
0.00191588-0j 0.00216421-0j -0.00171677-0j 0.00178538-0j -0.00455053-0j -0.00123923-0j 0.000407541-0j 0.119658-0j -0.0265438-0j 0.0203873-0j -0.0139898-0j -0.0212021-0j 0.0237852-0j 0.0425395-0j -0.0142812-0j 0.0445802-0j 0.00858452-0j -0.00230511-0j 0.000164225-0j 0.105374-0j -0.000894206-0j -0.573762-0j -0.000134872-0j -0.08654-0j 0.000140263-0j 0.000126729-0j 0.0899989-0j 0.0813147-0j -0.000152355-0j 0.000104546-0j -0.0977574-0j 9.14776e-05-0j -0.000266463-0j 0.0670812-0j 0.0586961-0j -0.170975-0j -0.000125686-0j -0.000317898-0j -0.0806457-0j 5.33619e-05-0j -0.000192343-0j -0.203977-0j 0.0342394-0j -0.123416-0j -2.86898e-05-0j -0.0184086-0j 6.51085e-06-0j 0.00417765-0j 
0.0134111-0j -0.0146245-0j 0.0123695-0j -0.0124902-0j -0.0104483-0j 0.00801667-0j 0.029915-0j -0.00878896-0j -0.0018821-0j 0.00154134-0j 0.00102756-0j -0.00155638-0j -0.00173592-0j 0.00063577-0j 0.00094181-0j -0.00111193-0j 0.0030675-0j 0.00307764-0j -0.109905-0j 0.000165927-0j -0.577698-0j 0.000872166-0j -0.0929062-0j 0.000140263-0j 0.0938126-0j -0.0848114-0j -0.000141631-0j 0.000128042-0j 0.101312-0j 0.0675414-0j -0.000152954-0j -0.0549662-0j -0.0605922-0j -0.000101969-0j 8.2984e-05-0j 9.14776e-05-0j 0.0865263-0j 0.0417891-0j -0.000130631-0j -0.168787-0j -0.0392698-0j -6.30901e-05-0j 0.000254823-0j 5.92866e-05-0j -0.207237-0j 0.000312872-0j -0.121132-0j 0.000182876-0j 
-0.00193573-0j 0.00211087-0j -0.00178538-0j 0.0018028-0j 0.00150808-0j -0.00115711-0j -0.00431786-0j -0.120898-0j -0.0258895-0j 0.0212021-0j 0.0141348-0j -0.021409-0j -0.0238787-0j 0.00874544-0j 0.0129552-0j -0.0152953-0j 0.0421955-0j 0.042335-0j -0.000165927-0j -0.106466-0j -0.000872166-0j -0.55962-0j -0.000140263-0j -0.0899989-0j 0.000141631-0j -0.000128042-0j 0.090877-0j -0.0821574-0j 0.000152954-0j 0.000101969-0j 0.0981417-0j -8.2984e-05-0j -9.14776e-05-0j 0.0654278-0j -0.0532462-0j -0.0586961-0j 0.000130631-0j 6.30901e-05-0j 0.0838186-0j -0.000254823-0j -5.92866e-05-0j 0.0404814-0j -0.163506-0j -0.0380409-0j -0.000312872-0j -0.200752-0j -0.000182876-0j -0.117341-0j 
0.0471982-0j -0.0134111-0j 0.0215346-0j 0.0217578-0j -0.00958138-0j -0.00790423-0j -0.00252544-0j -0.0015594-0j 0.00686148-0j -0.00136448-0j 0.00448749-0j -0.00137862-0j 0.00313061-0j -0.000562817-0j 0.00182619-0j -0.00098493-0j -0.000574543-0j -0.000149884-0j 0.0972939-0j -0.000146887-0j 0.106179-0j -0.000160301-0j -0.326967-0j 0.000493631-0j -0.330356-0j -0.147652-0j 0.000498747-0j 0.000222914-0j 0.0929062-0j -0.30555-0j -0.000140263-0j 0.0541953-0j -0.105487-0j 0.000461298-0j -8.18201e-05-0j 0.000159257-0j -0.150728-0j 0.0383218-0j 0.000227558-0j -0.062172-0j 0.038719-0j -5.78555e-05-0j 9.38628e-05-0j -5.84551e-05-0j 0.0174951-0j -2.64128e-05-0j 0.00385731-0j -5.82348e-06-0j 
-0.00812838-0j 0.0636847-0j -0.00749705-0j -0.00757475-0j -0.00655992-0j -0.00541166-0j -0.00172905-0j -0.00106765-0j -0.00118167-0j 0.0064794-0j -0.000622795-0j 0.00654655-0j -0.00108989-0j -0.000385335-0j -0.00063577-0j -0.000674336-0j -0.000393362-0j -0.000102618-0j 0.0666126-0j -0.000100567-0j 0.0726955-0j -0.00010975-0j 0.0563097-0j -8.50122e-05-0j 0.0568932-0j -0.356526-0j -8.58932e-05-0j 0.000538257-0j -0.441178-0j 0.0424057-0j 0.000666059-0j -0.257354-0j 0.0367244-0j -6.4021e-05-0j 0.000388534-0j -5.54438e-05-0j 0.0524744-0j 0.0262372-0j -7.92219e-05-0j 0.0216446-0j 0.0265091-0j -3.9611e-05-0j -3.26774e-05-0j -4.00215e-05-0j 0.0119781-0j -1.80836e-05-0j 0.00264092-0j -3.98706e-06-0j 
-0.00681247-0j 0.00193573-0j -0.00310825-0j -0.00314046-0j 0.00138295-0j 0.00114088-0j 0.000364516-0j -0.0214506-0j 0.0943842-0j -0.0187693-0j 0.0617285-0j -0.0189638-0j 0.0430637-0j -0.00774193-0j 0.0251205-0j -0.0135484-0j -0.00790322-0j -0.00206175-0j 0.000146887-0j 0.0942493-0j 0.000160301-0j 0.102856-0j -0.000493631-0j -0.316736-0j -0.000498747-0j -0.000222914-0j -0.320018-0j -0.143031-0j 0.000140263-0j -0.000461298-0j 0.0899989-0j 8.18201e-05-0j -0.000159257-0j -0.295989-0j 0.0524994-0j -0.102186-0j -0.000227558-0j 5.78555e-05-0j -0.146011-0j -9.38628e-05-0j 5.84551e-05-0j 0.0371227-0j -0.0602265-0j 0.0375074-0j 2.64128e-05-0j 0.0169476-0j 5.82348e-06-0j 0.0037366-0j 
0.00117323-0j -0.00919209-0j 0.00108211-0j 0.00109332-0j 0.000946843-0j 0.000781106-0j 0.000249567-0j -0.0146862-0j -0.0162547-0j 0.0891285-0j -0.00856696-0j 0.0900522-0j -0.0149922-0j -0.00530054-0j -0.00874544-0j -0.00927594-0j -0.00541096-0j -0.00141158-0j 0.000100567-0j 0.0645281-0j 0.00010975-0j 0.0704206-0j 8.50122e-05-0j 0.0545476-0j 8.58932e-05-0j -0.000538257-0j 0.0551128-0j -0.345369-0j -0.000666059-0j 6.4021e-05-0j -0.427373-0j -0.000388534-0j 5.54438e-05-0j 0.0410787-0j -0.249301-0j 0.0355752-0j 7.92219e-05-0j 3.9611e-05-0j 0.0508323-0j 3.26774e-05-0j 4.00215e-05-0j 0.0254161-0j 0.0209672-0j 0.0256795-0j 1.80836e-05-0j 0.0116032-0j 3.98706e-06-0j 0.00255828-0j 
-0.0584048-0j 0.00028753-0j -0.0131644-0j -0.0132161-0j -0.000604568-0j 0.0185112-0j -0.0122296-0j 0.00192966-0j -0.000147108-0j -0.00164039-0j 0.00112563-0j -0.00164684-0j -3.31579e-05-0j -0.00342278-0j -0.00223844-0j 0.00346268-0j 0.00202429-0j -0.000908077-0j -0.120395-0j 0.000181764-0j -0.00227643-0j 3.43679e-06-0j -0.393083-0j 0.000593449-0j -0.394629-0j -0.0929062-0j 0.000595782-0j 0.000140263-0j 0.00193517-0j -0.00132792-0j -2.92158e-06-0j 0.130641-0j 0.195347-0j 2.00479e-06-0j -0.000197232-0j -0.000294921-0j -0.0889489-0j 0.00403787-0j 0.000134289-0j 0.11465-0j -0.274689-0j -6.09607e-06-0j -0.000173089-0j 0.000414705-0j -0.0823091-0j 0.000124264-0j 0.0280601-0j -4.23631e-05-0j 
0.00843-0j -4.15014e-05-0j 0.00190011-0j 0.00190758-0j 8.72619e-05-0j -0.00267186-0j 0.00176519-0j 0.0265438-0j -0.00202356-0j -0.0225646-0j 0.0154839-0j -0.0226533-0j -0.000456109-0j -0.0470826-0j -0.0307913-0j 0.0476315-0j 0.0278455-0j -0.0124912-0j -0.000181764-0j -0.116628-0j -3.43679e-06-0j -0.00220519-0j -0.000593449-0j -0.380783-0j -0.000595782-0j -0.000140263-0j -0.38228-0j -0.0899989-0j 2.92158e-06-0j -2.00479e-06-0j 0.00187461-0j 0.000197232-0j 0.000294921-0j -0.00128636-0j 0.126553-0j 0.189234-0j -0.000134289-0j 6.09607e-06-0j -0.0861655-0j 0.000173089-0j -0.000414705-0j 0.00391151-0j 0.111062-0j -0.266093-0j -0.000124264-0j -0.0797334-0j 4.23631e-05-0j 0.0271821-0j 
0.0340695-0j 0.0188582-0j -0.00790423-0j -0.00717033-0j 0.0134729-0j -0.0219328-0j 0.0232177-0j -0.00112563-0j -0.00964832-0j -0.00098493-0j -0.00065662-0j -0.00089348-0j 0.00223844-0j -0.000406263-0j -0.0025767-0j -0.000638333-0j -0.000496523-0j 0.00472256-0j 0.0702305-0j -0.000106029-0j -0.149304-0j 0.000225408-0j -0.236018-0j 0.000356322-0j -0.214103-0j 0.0541953-0j 0.000323238-0j -8.18201e-05-0j -0.130641-0j -0.0870938-0j 0.000197232-0j 0.150382-0j 0.038719-0j 0.000131488-0j -0.000227036-0j -5.84551e-05-0j 0.0496727-0j -0.0538865-0j -7.49923e-05-0j 0.0273209-0j 0.107438-0j 8.1354e-05-0j -4.12471e-05-0j -0.000162202-0j -0.160842-0j 0.000242827-0j -0.270742-0j 0.000408747-0j 
0.0134111-0j -0.000779012-0j -0.0243259-0j 0.0237263-0j 0.000187523-0j -0.0173935-0j -0.011164-0j 0.00176153-0j 3.37794e-05-0j -0.00457457-0j -0.00506916-0j 0.00446181-0j -6.12712e-05-0j 0.00063577-0j 0.00401858-0j -0.00107404-0j -0.00190207-0j -0.000828957-0j -0.109905-0j 0.000165927-0j -0.00207809-0j 3.13734e-06-0j -0.0929062-0j 0.000140263-0j 0.0906163-0j -0.49502-0j -0.000136806-0j 0.000747345-0j 0.00539664-0j 0.00598012-0j -8.14745e-06-0j -0.353948-0j 0.119161-0j -9.02834e-06-0j 0.000534365-0j -0.0001799-0j -0.164365-0j -0.000750021-0j 0.000248147-0j -0.205825-0j 0.0852021-0j 1.13233e-06-0j 0.00031074-0j -0.000128632-0j 0.0773392-0j -0.000116761-0j 0.0256153-0j -3.86721e-05-0j 
-0.0049175-0j -0.00272194-0j 0.00114088-0j 0.00103495-0j -0.00194465-0j 0.00316573-0j -0.00335119-0j -0.0154839-0j -0.132719-0j -0.0135484-0j -0.00903225-0j -0.0122904-0j 0.0307913-0j -0.00558842-0j -0.0354442-0j -0.00878069-0j -0.00683-0j 0.0649619-0j 0.000106029-0j 0.0680328-0j -0.000225408-0j -0.144632-0j -0.000356322-0j -0.228632-0j -0.000323238-0j 8.18201e-05-0j -0.207403-0j 0.0524994-0j -0.000197232-0j -0.000131488-0j -0.126553-0j 0.000227036-0j 5.84551e-05-0j -0.0843684-0j 0.145676-0j 0.0375074-0j 7.49923e-05-0j -8.1354e-05-0j 0.0481183-0j 4.12471e-05-0j 0.000162202-0j -0.0522003-0j 0.026466-0j 0.104076-0j -0.000242827-0j -0.155808-0j -0.000408747-0j -0.26227-0j 
0.00821261-0j -0.0275338-0j -0.022293-0j 0.00765324-0j 0.00588392-0j -0.0160919-0j 0.00174697-0j 0.00107871-0j 0.00119392-0j 0.00824452-0j 0.000629249-0j -0.00283037-0j -0.00324086-0j 0.00486366-0j 0.000642358-0j 0.000604845-0j -0.00116969-0j 0.000103682-0j -0.0673029-0j 0.000101609-0j -0.0734488-0j 0.000110888-0j 0.16744-0j -0.000252789-0j -0.0574828-0j 0.154142-0j 8.67833e-05-0j -0.000232713-0j -0.561364-0j -0.0428451-0j 0.000847506-0j 0.111266-0j -0.0329399-0j 6.46844e-05-0j -0.000167981-0j 4.97303e-05-0j 0.156036-0j -0.331163-0j -0.000235571-0j -0.0218689-0j -0.0237773-0j 0.000499966-0j 3.3016e-05-0j 3.58972e-05-0j 0.0356176-0j -5.37728e-05-0j -0.00266828-0j 4.02838e-06-0j 
-0.00193573-0j 0.000112441-0j 0.00351114-0j -0.0034246-0j -2.70666e-05-0j 0.00251053-0j 0.00161139-0j 0.024231-0j 0.000464659-0j -0.0629262-0j -0.0697297-0j 0.0613752-0j -0.000842826-0j 0.00874544-0j 0.0552782-0j -0.0147742-0j -0.0261642-0j -0.0114029-0j -0.000165927-0j -0.106466-0j -3.13734e-06-0j -0.00201306-0j -0.000140263-0j -0.0899989-0j 0.000136806-0j -0.000747345-0j 0.0877806-0j -0.479529-0j 8.14745e-06-0j 9.02834e-06-0j 0.00522776-0j -0.000534365-0j 0.0001799-0j 0.00579298-0j -0.342872-0j 0.115432-0j -0.000248147-0j -1.13233e-06-0j -0.159222-0j -0.00031074-0j 0.000128632-0j -0.000726551-0j -0.199384-0j 0.0825359-0j 0.000116761-0j 0.074919-0j 3.86721e-05-0j 0.0248137-0j 
0.00774292-0j 0.00874656-0j 0.0342278-0j -0.0355958-0j -0.0183908-0j -0.00500828-0j 0.00164706-0j 0.00101702-0j 0.00112563-0j -0.000864559-0j 0.00399565-0j 0.000899114-0j 0.00497589-0j -0.00180396-0j -0.00298765-0j -0.0018905-0j -0.000364042-0j 9.7752e-05-0j -0.0634538-0j 9.57979e-05-0j -0.0692482-0j 0.000104546-0j 0.0521124-0j -7.86755e-05-0j -0.0541953-0j 0.241559-0j 8.18201e-05-0j -0.000364688-0j 0.0588672-0j -0.272061-0j -8.88735e-05-0j -0.0353454-0j -0.507908-0j 0.000410738-0j 5.33619e-05-0j 0.000766802-0j -0.239571-0j 0.12283-0j 0.000361687-0j 0.101714-0j 0.0743183-0j -0.00018544-0j -0.00015356-0j -0.0001122-0j 0.0110852-0j -1.67357e-05-0j -0.00251568-0j 3.79799e-06-0j 
-0.00118539-0j 0.00397416-0j 0.00321771-0j -0.00110465-0j -0.000849271-0j 0.00232267-0j -0.000252153-0j 0.0148384-0j 0.0164231-0j 0.113409-0j 0.00865574-0j -0.0389336-0j -0.0445802-0j 0.0669029-0j 0.00883607-0j 0.00832005-0j -0.0160898-0j 0.00142621-0j -0.000101609-0j -0.0651968-0j -0.000110888-0j -0.0711504-0j 0.000252789-0j 0.162201-0j -8.67833e-05-0j 0.000232713-0j -0.055684-0j 0.149319-0j -0.000847506-0j -6.46844e-05-0j -0.543797-0j 0.000167981-0j -4.97303e-05-0j -0.0415044-0j 0.107784-0j -0.0319092-0j 0.000235571-0j -0.000499966-0j 0.151153-0j -3.3016e-05-0j -3.58972e-05-0j -0.3208-0j -0.0211845-0j -0.0230333-0j 5.37728e-05-0j 0.034503-0j -4.02838e-06-0j -0.00258479-0j 
-0.0117347-0j -0.0379789-0j 0.0105152-0j 0.0109289-0j -0.0269062-0j 0.0068149-0j -0.0261756-0j -0.00154134-0j 0.00164684-0j -0.0038888-0j -0.000899114-0j -0.0040418-0j -0.00147569-0j 0.00273398-0j -0.000824084-0j -0.00286342-0j 0.00260765-0j -0.00269293-0j 0.096167-0j -0.000145186-0j -0.101312-0j 0.000152954-0j -0.0789787-0j 0.000119236-0j -0.082086-0j -0.220249-0j 0.000123928-0j 0.000332516-0j -0.25561-0j -0.0590987-0j 0.000385902-0j -0.142743-0j -0.156036-0j 8.92229e-05-0j 0.000215503-0j 0.000235571-0j 0.0735552-0j 0.179704-0j -0.000111048-0j 0.147689-0j -0.101127-0j -0.000271305-0j -0.00022297-0j 0.000152674-0j -0.176171-0j 0.000265969-0j 0.10599-0j -0.000160016-0j 
-0.00111759-0j -0.00126246-0j -0.00494035-0j 0.00513781-0j 0.00265448-0j 0.000722883-0j -0.000237732-0j 0.0139898-0j 0.0154839-0j -0.0118926-0j 0.0549629-0j 0.0123679-0j 0.0684467-0j -0.0248147-0j -0.0410972-0j -0.0260051-0j -0.00500764-0j 0.00134464-0j -9.57979e-05-0j -0.0614681-0j -0.000104546-0j -0.0670812-0j 7.86755e-05-0j 0.0504817-0j -8.18201e-05-0j 0.000364688-0j -0.0524994-0j 0.234-0j 8.88735e-05-0j -0.000410738-0j 0.0570251-0j -5.33619e-05-0j -0.000766802-0j -0.263548-0j -0.0342394-0j -0.492014-0j -0.000361687-0j 0.00018544-0j -0.232074-0j 0.00015356-0j 0.0001122-0j 0.118987-0j 0.0985308-0j 0.0719926-0j 1.67357e-05-0j 0.0107384-0j -3.79799e-06-0j -0.00243696-0j 
-0.00782316-0j 0.00853098-0j 0.0355958-0j -0.0359431-0j 0.00609483-0j -0.00467639-0j -0.0174504-0j -0.00102756-0j 0.00109789-0j -0.000899114-0j -0.00403706-0j 0.000907886-0j -0.00499546-0j -0.000370866-0j 0.00271025-0j 0.000648625-0j -0.00178937-0j -0.00179529-0j 0.0641114-0j -9.67907e-05-0j -0.0675414-0j 0.000101969-0j 0.0541953-0j -8.18201e-05-0j -0.054724-0j -0.244062-0j 8.26183e-05-0j 0.000368467-0j -0.0590987-0j -0.265356-0j 8.92229e-05-0j 0.0320636-0j -0.174366-0j 0.000400614-0j -4.84073e-05-0j 0.000263246-0j 0.248997-0j -0.024377-0j -0.000375918-0j -0.48572-0j 0.0229074-0j 3.68026e-05-0j 0.000733305-0j -3.45839e-05-0j 0.120888-0j -0.000182509-0j 0.0706602-0j -0.000106678-0j 
0.00169376-0j 0.00548178-0j -0.00151774-0j -0.00157745-0j 0.00388358-0j -0.000983646-0j 0.00377813-0j -0.0212021-0j 0.0226533-0j -0.053493-0j -0.0123679-0j -0.0555976-0j -0.0202991-0j 0.0376078-0j -0.0113358-0j -0.0393882-0j 0.03587-0j -0.0370431-0j 0.000145186-0j 0.0931577-0j -0.000152954-0j -0.0981417-0j -0.000119236-0j -0.0765072-0j -0.000123928-0j -0.000332516-0j -0.0795173-0j -0.213357-0j -0.000385902-0j -8.92229e-05-0j -0.247612-0j -0.000215503-0j -0.000235571-0j -0.0572493-0j -0.138276-0j -0.151153-0j 0.000111048-0j 0.000271305-0j 0.0712535-0j 0.00022297-0j -0.000152674-0j 0.174081-0j 0.143067-0j -0.0979622-0j -0.000265969-0j -0.170658-0j 0.000160016-0j 0.102674-0j 
0.00484034-0j 0.0475588-0j 0.00446439-0j 0.0213191-0j -0.0114483-0j 0.00385815-0j -0.0191703-0j 0.00063577-0j -0.00206224-0j -0.00165105-0j 0.000370866-0j -0.00788436-0j -0.00190207-0j 0.000229461-0j 0.000453261-0j 0.00189792-0j -0.00325895-0j 0.00192146-0j -0.0396669-0j 5.98862e-05-0j 0.126867-0j -0.000191535-0j -0.0335316-0j 5.06236e-05-0j -0.160126-0j 0.0908481-0j 0.000241746-0j -0.000137156-0j -0.329465-0j 0.0740059-0j 0.000497403-0j 0.0785114-0j -0.0218689-0j -0.000111729-0j -0.000118531-0j 3.3016e-05-0j -0.147689-0j 0.0457888-0j 0.00022297-0j 0.179322-0j -0.0188992-0j -6.91286e-05-0j -0.000270727-0j 2.85326e-05-0j 0.132803-0j -0.000200496-0j -0.319272-0j 0.000482014-0j 
-0.00958138-0j -0.000187523-0j -0.0511483-0j -0.0169509-0j -0.000118935-0j -0.036572-0j 0.00797596-0j -0.0012585-0j -2.41332e-05-0j 0.00324086-0j 0.00362158-0j 0.00107404-0j -0.00012883-0j -0.00567427-0j -0.00287101-0j 0.000681201-0j -0.00399934-0j 0.000592235-0j 0.0785201-0j -0.000118544-0j 0.00148466-0j -2.24143e-06-0j -0.195347-0j 0.000294921-0j -0.0647394-0j -0.119161-0j 9.77388e-05-0j 0.0001799-0j -0.00382326-0j -0.0042724-0j 5.77208e-06-0j -0.0852021-0j -0.0755765-0j 6.45016e-06-0j 0.000128632-0j 0.0001141-0j -0.345599-0j 0.00669396-0j 0.00052176-0j 0.147049-0j -0.0540385-0j -1.01061e-05-0j -0.000222003-0j 8.15834e-05-0j 0.162616-0j -0.000245505-0j -0.0183004-0j 2.76287e-05-0j 
0.00112918-0j -0.00123134-0j -0.00513781-0j 0.00518794-0j -0.000879712-0j 0.000674979-0j 0.00251875-0j -0.0141348-0j 0.0151022-0j -0.0123679-0j -0.0555324-0j 0.0124886-0j -0.0687158-0j -0.00510151-0j 0.0372813-0j 0.00892227-0j -0.024614-0j -0.0246954-0j 9.67907e-05-0j 0.0621051-0j -0.000101969-0j -0.0654278-0j 8.18201e-05-0j 0.0524994-0j -8.26183e-05-0j -0.000368467-0j -0.0530116-0j -0.236425-0j -8.92229e-05-0j -0.000400614-0j -0.0572493-0j 4.84073e-05-0j -0.000263246-0j -0.257052-0j 0.0310603-0j -0.16891-0j 0.000375918-0j -3.68026e-05-0j 0.241205-0j -0.000733305-0j 3.45839e-05-0j -0.0236141-0j -0.470521-0j 0.0221905-0j 0.000182509-0j 0.117106-0j 0.000106678-0j 0.0684491-0j 
-0.000698642-0j -0.00686452-0j -0.000644379-0j -0.00307715-0j 0.00165242-0j -0.000556876-0j 0.00276699-0j 0.00874544-0j -0.0283675-0j -0.0227113-0j 0.00510151-0j -0.108455-0j -0.0261642-0j 0.0031564-0j 0.00623491-0j 0.0261071-0j -0.044829-0j 0.0264309-0j -5.98862e-05-0j -0.0384256-0j 0.000191535-0j 0.122897-0j -5.06236e-05-0j -0.0324823-0j -0.000241746-0j 0.000137156-0j -0.155115-0j 0.0880052-0j -0.000497403-0j 0.000111729-0j -0.319155-0j 0.000118531-0j -3.3016e-05-0j 0.0716901-0j 0.0760545-0j -0.0211845-0j -0.00022297-0j 6.91286e-05-0j -0.143067-0j 0.000270727-0j -2.85326e-05-0j 0.044356-0j 0.173711-0j -0.0183078-0j 0.000200496-0j 0.128647-0j -0.000482014-0j -0.309282-0j 
-0.00239534-0j -0.00270583-0j 0.0152135-0j -0.0022322-0j -0.0616111-0j 0.0109817-0j -0.000509533-0j -0.000314624-0j -0.000348225-0j 0.00189573-0j -0.000183531-0j -0.000278149-0j 0.00221168-0j 0.00756792-0j -0.000187354-0j -0.00633339-0j 0.000798238-0j -3.02405e-05-0j 0.01963-0j -2.9636e-05-0j 0.0214226-0j -3.23422e-05-0j -0.114267-0j 0.000172513-0j 0.0167658-0j 0.015148-0j -2.53118e-05-0j -2.28694e-05-0j -0.129079-0j 0.0124965-0j 0.000194874-0j 0.0109344-0j 0.344917-0j -1.88663e-05-0j -1.6508e-05-0j -0.000520731-0j -0.106485-0j -0.515295-0j 0.000160763-0j 0.00637842-0j 0.248974-0j 0.000777954-0j -9.62967e-06-0j -0.000375883-0j -0.0243067-0j 3.66965e-05-0j 0.00077825-0j -1.17494e-06-0j 
0.00138295-0j 2.70666e-05-0j 0.00738263-0j 0.00244665-0j 1.71667e-05-0j 0.00527871-0j -0.00115123-0j -0.0173115-0j -0.000331968-0j 0.0445802-0j 0.0498173-0j 0.0147742-0j -0.00177215-0j -0.0780533-0j -0.0394927-0j 0.00937037-0j -0.0550135-0j 0.00814659-0j 0.000118544-0j 0.076063-0j 2.24143e-06-0j 0.0014382-0j -0.000294921-0j -0.189234-0j -9.77388e-05-0j -0.0001799-0j -0.0627135-0j -0.115432-0j -5.77208e-06-0j -6.45016e-06-0j -0.00370362-0j -0.000128632-0j -0.0001141-0j -0.00413871-0j -0.0825359-0j -0.0732115-0j -0.00052176-0j 1.01061e-05-0j -0.334784-0j 0.000222003-0j -8.15834e-05-0j 0.00648449-0j 0.142447-0j -0.0523475-0j 0.000245505-0j 0.157527-0j -2.76287e-05-0j -0.0177278-0j 
0.00790423-0j -0.0173935-0j 0.013929-0j -0.013006-0j 0.036572-0j -0.0196534-0j -0.0214144-0j 0.00103821-0j -0.00223844-0j -0.000882571-0j -0.00298765-0j 0.000824084-0j -0.00394464-0j -0.00184154-0j -0.00467377-0j -0.00173274-0j -0.000444921-0j -0.00435576-0j -0.0647757-0j 9.77937e-05-0j 0.137707-0j -0.000207901-0j 0.0531981-0j -8.03146e-05-0j -0.0496727-0j 0.0983026-0j 7.49923e-05-0j -0.00014841-0j -0.117064-0j -0.396281-0j 0.000176734-0j -0.138702-0j -0.206694-0j 0.000598276-0j 0.000209402-0j 0.000312051-0j -0.0875345-0j -0.244261-0j 0.000132153-0j 0.0495563-0j 0.291638-0j 0.000368768-0j -7.48165e-05-0j -0.000440294-0j -0.144126-0j 0.000217591-0j 0.249714-0j -0.000377-0j 
0.00484034-0j -0.00527827-0j -0.0219407-0j -0.00450795-0j -0.0471088-0j -0.0142197-0j 0.0107969-0j 0.00063577-0j -0.000679285-0j -0.00273398-0j 0.000370866-0j -0.000561726-0j 0.00307912-0j 0.0016617-0j 0.000339917-0j -0.00501342-0j -0.00544104-0j 0.00111078-0j -0.0396669-0j 5.98862e-05-0j 0.0417891-0j -6.30901e-05-0j 0.164794-0j -0.000248795-0j 0.0338588-0j -0.03061-0j -5.11175e-05-0j 4.62128e-05-0j -0.179704-0j 0.024377-0j 0.000271305-0j -0.0198384-0j -0.273196-0j -3.68026e-05-0j 2.99505e-05-0j 0.000412451-0j -0.153478-0j 0.109224-0j 0.00023171-0j -0.0609186-0j -0.177058-0j -0.000164898-0j 9.19705e-05-0j 0.000267309-0j 0.367592-0j -0.000554963-0j -0.0437188-0j 6.60034e-05-0j 
0.000345738-0j 0.000390553-0j -0.00219588-0j 0.00032219-0j 0.00889279-0j -0.00158507-0j 7.35447e-05-0j -0.00432787-0j -0.00479007-0j 0.026077-0j -0.00252459-0j -0.00382613-0j 0.0304231-0j 0.104102-0j -0.00257719-0j -0.08712-0j 0.0109803-0j -0.000415978-0j 2.9636e-05-0j 0.0190157-0j 3.23422e-05-0j 0.0207522-0j -0.000172513-0j -0.110692-0j 2.53118e-05-0j 2.28694e-05-0j 0.0162412-0j 0.014674-0j -0.000194874-0j 1.88663e-05-0j -0.125039-0j 1.6508e-05-0j 0.000520731-0j 0.0121054-0j 0.0105923-0j 0.334124-0j -0.000160763-0j -0.000777954-0j -0.103152-0j 9.62967e-06-0j 0.000375883-0j -0.499169-0j 0.00617882-0j 0.241183-0j -3.66965e-05-0j -0.0235461-0j 1.17494e-06-0j 0.000753896-0j 
-0.00114088-0j 0.00251053-0j -0.00201048-0j 0.00187725-0j -0.00527871-0j 0.00283673-0j 0.0030909-0j 0.0142812-0j -0.0307913-0j -0.0121404-0j -0.0410972-0j 0.0113358-0j -0.0542611-0j -0.0253317-0j -0.0642908-0j -0.023835-0j -0.00612019-0j -0.0599164-0j -9.77937e-05-0j -0.0627487-0j 0.000207901-0j 0.133398-0j 8.03146e-05-0j 0.0515334-0j -7.49923e-05-0j 0.00014841-0j -0.0481183-0j 0.0952265-0j -0.000176734-0j -0.000598276-0j -0.113401-0j -0.000209402-0j -0.000312051-0j -0.38388-0j -0.134362-0j -0.200226-0j -0.000132153-0j -0.000368768-0j -0.0847953-0j 7.48165e-05-0j 0.000440294-0j -0.236618-0j 0.0480055-0j 0.282512-0j -0.000217591-0j -0.139616-0j 0.000377-0j 0.2419-0j 
