0.0640447-0j 0.0103352-0j 0.00843863-0j 0.00121801-0j 0.00105483-0j 0.000124313-0j 5.67408e-06-0j 0.0588852-0j 0.00931056-0j 0.00736065-0j 0.0049071-0j 0.00106242-0j 0.00122677-0j 0.00043373-0j 0.000102231-0j 0.000108433-0j 9.03605e-06-0j 3.36754e-07-0j 0.0384285-0j 0.0388267-0j 0.00599109-0j 0.00605318-0j 0.00464068-0j 0.00468877-0j 0.000669824-0j 0.00423634-0j 0.000676766-0j 0.00428024-0j 0.000748886-0j 0.000499258-0j 0.000756647-0j 6.24072e-05-0j 0.00043237-0j 0.000504431-0j 6.30539e-05-0j 0.00043685-0j 8.82571e-05-0j 4.41285e-05-0j 8.91717e-05-0j 5.2006e-06-0j 6.36941e-06-0j 4.45859e-05-0j 5.25449e-06-0j 6.43541e-06-0j 4.11143e-07-0j 4.15404e-07-0j 1.29498e-08-0j 1.3084e-08-0j 
-0.000392307-0j 0.00298505-0j 0.0074623-0j -0.102649-0j 0.000304661-0j 0.000109237-0j 8.33309e-06-0j 0.000348203-0j -0.00259594-0j 4.35254e-05-0j -0.00840699-0j -0.000598721-0j 0.0493788-0j 2.56476e-06-0j 0.0125192-0j -6.11067e-05-0j -1.02379e-05-0j -5.73311e-07-0j 0.000228693-0j 0.000237691-0j -0.00168111-0j -0.00174726-0j 2.76173e-05-0j 2.87039e-05-0j -0.000379895-0j -0.00363956-0j -0.000394841-0j -0.00378275-0j -0.000210139-0j 0.0405887-0j -0.000218407-0j -5.32776e-05-0j -0.000371461-0j 0.0421856-0j -5.53738e-05-0j -0.000386076-0j 0.0072262-0j -1.23826e-05-0j 0.0075105-0j 0.000856083-0j -5.43762e-06-0j -1.28698e-05-0j 0.000889765-0j -5.65156e-06-0j -5.86626e-07-0j -6.09707e-07-0j -2.58986e-08-0j -2.69176e-08-0j 
-5.60439e-05-0j 0.000861916-0j 0.000705989-0j -0.00473818-0j -0.0169085-0j 0.141684-0j -0.000227854-0j -8.92781e-07-0j 1.34529e-05-0j 1.06693e-05-0j -7.43985e-08-0j -7.1606e-05-0j -0.000169468-0j 1.89924e-06-0j -2.11156e-05-0j 0.00140472-0j 0.000359378-0j -3.52182e-07-0j -3.36278e-05-0j 3.27989e-05-0j 0.000499635-0j -0.00048732-0j 0.000388246-0j -0.000378677-0j -0.00260568-0j -3.70711e-06-0j 0.00254145-0j 3.61574e-06-0j -0.00597096-0j 4.16363e-05-0j 0.00582379-0j -0.000743977-0j 7.27238e-05-0j -4.061e-05-0j 0.000725639-0j -7.09313e-05-0j 0.0328239-0j -0.00106289-0j -0.0320149-0j -0.000124868-0j 0.0145949-0j 0.00103669-0j 0.00012179-0j -0.0142351-0j 0.00157847-0j -0.00153957-0j -1.09586e-06-0j 1.06885e-06-0j 
-0.000240238-0j -3.87683e-05-0j 0.00608425-0j -4.56888e-06-0j -0.0723284-0j 8.96295e-05-0j -2.1284e-08-0j 0.00021323-0j 3.37146e-05-0j -0.00512312-0j 1.77692e-05-0j 3.84714e-06-0j -0.000853854-0j 0.0870367-0j 3.70191e-07-0j 0.00717745-0j -6.28923e-06-0j 1.21942e-09-0j 0.000140045-0j 0.000145555-0j 2.18334e-05-0j 2.26924e-05-0j -0.00325068-0j -0.00337857-0j 2.44105e-06-0j 1.54386e-05-0j 2.53709e-06-0j 1.6046e-05-0j -0.000524576-0j 1.81945e-06-0j -0.000545214-0j 2.27431e-07-0j 0.0288031-0j 1.89104e-06-0j 2.36379e-07-0j 0.0299363-0j -6.18218e-05-0j 0.00891201-0j -6.42541e-05-0j 1.89526e-08-0j 0.00042431-0j 0.00926264-0j 1.96983e-08-0j 0.000441004-0j -2.87995e-07-0j -2.99326e-07-0j 4.71931e-11-0j 4.90499e-11-0j 
-3.43197e-05-0j 0.000527814-0j 0.000432328-0j -0.00290153-0j -0.0103543-0j 0.0867636-0j -0.000139532-0j -3.15549e-05-0j 0.000475487-0j 0.000377101-0j -2.62957e-06-0j -0.00253087-0j -0.00598975-0j 6.71275e-05-0j -0.000746318-0j 0.0496491-0j 0.012702-0j -1.24477e-05-0j 6.06057e-05-0j -2.08061e-05-0j -0.000900468-0j 0.000309134-0j -0.000699718-0j 0.000240215-0j 0.00469608-0j 6.68115e-06-0j -0.00161218-0j -2.29366e-06-0j 0.0107612-0j -7.5039e-05-0j -0.00369434-0j 0.00134083-0j -0.000131067-0j 2.57611e-05-0j -0.000460312-0j 4.49955e-05-0j -0.0591569-0j 0.00191559-0j 0.0203088-0j 0.000225044-0j -0.0263036-0j -0.000657628-0j -7.72582e-05-0j 0.00903011-0j -0.0028448-0j 0.000976629-0j 1.97502e-06-0j -6.7803e-07-0j 
3.30242e-06-0j -0.000102111-0j 4.35132e-07-0j 0.00172327-0j -1.04216e-05-0j -0.0166435-0j 0.180975-0j 5.26077e-08-0j -1.59376e-06-0j 6.57596e-09-0j 4.38397e-09-0j 2.6043e-05-0j -2.09997e-07-0j 3.87492e-10-0j -0.000237141-0j 2.65801e-06-0j 0.000956313-0j 0.000566214-0j 1.98153e-06-0j -1.93269e-06-0j -5.91915e-05-0j 5.77326e-05-0j 2.39293e-07-0j -2.33395e-07-0j 0.000947682-0j 2.18444e-07-0j -0.000924324-0j -2.1306e-07-0j -7.39894e-06-0j -4.93263e-06-0j 7.21657e-06-0j -0.00835533-0j 2.22948e-08-0j 4.81105e-06-0j 0.00814939-0j -2.17453e-08-0j 0.000124868-0j -4.35987e-07-0j -0.00012179-0j 0.0317673-0j -0.000852762-0j 4.2524e-07-0j -0.0309843-0j 0.000831743-0j 0.0131134-0j -0.0127902-0j 0.00295295-0j -0.00288017-0j 
0.000161818-0j -0.00123127-0j -0.00307804-0j 0.0423405-0j -0.000125666-0j -4.50579e-05-0j -3.43723e-06-0j -0.000436035-0j 0.00325074-0j -5.45044e-05-0j 0.0105276-0j 0.000749744-0j -0.0618342-0j -3.2117e-06-0j -0.0156771-0j 7.65205e-05-0j 1.28203e-05-0j 7.17924e-07-0j 9.70952e-05-0j 0.000463665-0j -0.000713743-0j -0.00340838-0j 1.17254e-05-0j 5.59929e-05-0j -0.00016129-0j -0.00154523-0j -0.00077022-0j -0.00737904-0j -8.92179e-05-0j 0.0172326-0j -0.000426048-0j -2.26198e-05-0j -0.000157709-0j 0.0822918-0j -0.000108018-0j -0.00075312-0j 0.00306799-0j -5.25721e-06-0j 0.0146508-0j 0.000363463-0j -2.30863e-06-0j -2.51051e-05-0j 0.00173567-0j -1.10245e-05-0j -2.49061e-07-0j -1.18936e-06-0j -1.09957e-08-0j -5.25083e-08-0j 
4.90384e-05-0j -0.000754177-0j -0.000617741-0j 0.0041459-0j 0.014795-0j -0.123974-0j 0.000199373-0j -4.35254e-05-0j 0.000655866-0j 0.000520156-0j -3.62712e-06-0j -0.00349098-0j -0.00826199-0j 9.25927e-05-0j -0.00102944-0j 0.0684838-0j 0.0175206-0j -1.71698e-05-0j -2.85867e-05-0j -2.97114e-05-0j 0.000424735-0j 0.000441446-0j 0.000330045-0j 0.00034303-0j -0.00221506-0j -3.15138e-06-0j -0.00230221-0j -3.27537e-06-0j -0.00507586-0j 3.53946e-05-0j -0.00527556-0j -0.000632448-0j 6.18218e-05-0j 3.67872e-05-0j -0.000657331-0j 6.42541e-05-0j 0.0279033-0j -0.00090355-0j 0.0290011-0j -0.000106149-0j 0.012407-0j -0.000939099-0j -0.000110326-0j 0.0128951-0j 0.00134184-0j 0.00139464-0j -9.31583e-07-0j -9.68235e-07-0j 
2.02231e-06-0j -6.25298e-05-0j 2.66463e-07-0j 0.00105528-0j -6.38192e-06-0j -0.010192-0j 0.110824-0j 1.85939e-06-0j -5.63307e-05-0j 2.32424e-07-0j 1.54949e-07-0j 0.000920477-0j -7.42222e-06-0j 1.36957e-08-0j -0.00838162-0j 9.39458e-05-0j 0.0338004-0j 0.0200125-0j -3.57122e-06-0j 1.22601e-06-0j 0.000106678-0j -3.66229e-05-0j -4.31266e-07-0j 1.48055e-07-0j -0.00170796-0j -3.9369e-07-0j 0.000586349-0j 1.35155e-07-0j 1.33347e-05-0j 8.88983e-06-0j -4.57786e-06-0j 0.0150584-0j -4.01809e-08-0j -3.05191e-06-0j -0.0051696-0j 1.37942e-08-0j -0.000225044-0j 7.85758e-07-0j 7.72582e-05-0j -0.0572527-0j 0.00153689-0j -2.69753e-07-0j 0.019655-0j -0.00052762-0j -0.0236337-0j 0.00811352-0j -0.00532196-0j 0.00182705-0j 
9.90932e-05-0j 1.59911e-05-0j -0.00250963-0j 1.88457e-06-0j 0.0298339-0j -3.69703e-05-0j 8.77921e-09-0j -0.000267016-0j -4.22189e-05-0j 0.0064154-0j -2.22513e-05-0j -4.81755e-06-0j 0.00106923-0j -0.108991-0j -4.63569e-07-0j -0.00898792-0j 7.87564e-06-0j -1.52702e-09-0j 5.94584e-05-0j 0.000283936-0j 9.26971e-06-0j 4.42663e-05-0j -0.00138012-0j -0.0065906-0j 1.03639e-06-0j 6.55468e-06-0j 4.94912e-06-0j 3.1301e-05-0j -0.000222717-0j 7.72476e-07-0j -0.00106355-0j 9.65595e-08-0j 0.0122288-0j 3.68886e-06-0j 4.61107e-07-0j 0.058397-0j -2.62474e-05-0j 0.00378373-0j -0.000125341-0j 8.04662e-09-0j 0.000180147-0j 0.0180687-0j 3.84256e-08-0j 0.000860269-0j -1.22273e-07-0j -5.83898e-07-0j 2.00366e-11-0j 9.5682e-11-0j 
-2.88962e-06-0j 8.93469e-05-0j -3.8074e-07-0j -0.00150786-0j 9.11893e-06-0j 0.0145631-0j -0.158353-0j 2.56476e-06-0j -7.77001e-05-0j 3.20595e-07-0j 2.1373e-07-0j 0.00126967-0j -1.02379e-05-0j 1.88912e-08-0j -0.0115612-0j 0.000129585-0j 0.0466227-0j 0.0276044-0j 1.68448e-06-0j 1.75076e-06-0j -5.03182e-05-0j -5.22979e-05-0j 2.03421e-07-0j 2.11424e-07-0j 0.000805616-0j 1.85697e-07-0j 0.000837312-0j 1.93003e-07-0j -6.28977e-06-0j -4.19318e-06-0j -6.53723e-06-0j -0.00710279-0j 1.89526e-08-0j -4.35816e-06-0j -0.00738224-0j 1.96983e-08-0j 0.000106149-0j -3.70628e-07-0j 0.000110326-0j 0.0270051-0j -0.000724925-0j -3.8521e-07-0j 0.0280676-0j -0.000753447-0j 0.0111476-0j 0.0115862-0j 0.00251028-0j 0.00260904-0j 
-2.02273e-05-0j 0.000311082-0j 0.000254805-0j -0.0017101-0j -0.00610261-0j 0.0511366-0j -8.2237e-05-0j 5.45044e-05-0j -0.000821304-0j -0.000651362-0j 4.54203e-06-0j 0.00437155-0j 0.010346-0j -0.000115949-0j 0.00128911-0j -0.0857583-0j -0.0219401-0j 2.15008e-05-0j -1.21369e-05-0j -5.79582e-05-0j 0.000180328-0j 0.000861132-0j 0.000140126-0j 0.000669151-0j -0.000940438-0j -1.33797e-06-0j -0.00449094-0j -6.38929e-06-0j -0.00215503-0j 1.50273e-05-0j -0.0102911-0j -0.000268515-0j 2.62474e-05-0j 7.1761e-05-0j -0.00128226-0j 0.000125341-0j 0.0118468-0j -0.000383616-0j 0.0565727-0j -4.50673e-05-0j 0.00526757-0j -0.00183191-0j -0.000215213-0j 0.0251546-0j 0.0005697-0j 0.00272053-0j -3.95518e-07-0j -1.88874e-06-0j 
1.19191e-06-0j -3.68537e-05-0j 1.57047e-07-0j 0.000621961-0j -3.76137e-06-0j -0.00600696-0j 0.0653173-0j -3.2117e-06-0j 9.72994e-05-0j -4.01463e-07-0j -2.67642e-07-0j -0.00158993-0j 1.28203e-05-0j -2.36564e-08-0j 0.0144775-0j -0.000162272-0j -0.058383-0j -0.0345674-0j 7.15174e-07-0j 3.41522e-06-0j -2.13633e-05-0j -0.000102018-0j 8.63654e-08-0j 4.12427e-07-0j 0.000342037-0j 7.88405e-08-0j 0.00163335-0j 3.76492e-07-0j -2.67042e-06-0j -1.78028e-06-0j -1.27522e-05-0j -0.0030156-0j 8.04662e-09-0j -8.50149e-06-0j -0.0144006-0j 3.84256e-08-0j 4.50673e-05-0j -1.57356e-07-0j 0.000215213-0j 0.0114654-0j -0.000307778-0j -7.51432e-07-0j 0.0547517-0j -0.00146975-0j 0.00473289-0j 0.0226013-0j 0.00106578-0j 0.00508948-0j 
-0.446474-0j 0.000296745-0j 0.000242291-0j 3.49717e-05-0j 3.02864e-05-0j 3.56928e-06-0j 1.62915e-07-0j 0.00169072-0j -0.0649066-0j 0.00021134-0j 0.000140893-0j 3.05042e-05-0j 3.52233e-05-0j 1.24533e-05-0j 2.93527e-06-0j 3.11333e-06-0j 2.59444e-07-0j 9.6689e-09-0j 0.00110336-0j 0.0011148-0j 0.000172017-0j 0.000173799-0j -0.0323515-0j -0.0326868-0j -0.00466954-0j 0.000121634-0j -0.00471793-0j 0.000122895-0j 2.15021e-05-0j 1.43347e-05-0j 2.17249e-05-0j 1.79184e-06-0j 1.24142e-05-0j 1.44833e-05-0j 1.81041e-06-0j 1.25429e-05-0j 2.53405e-06-0j 1.26702e-06-0j 2.56031e-06-0j 1.4932e-07-0j 1.82879e-07-0j 1.28015e-06-0j 1.50868e-07-0j 1.84774e-07-0j 1.18048e-08-0j 1.19271e-08-0j 3.71816e-10-0j 3.75669e-10-0j 
0.504346-0j -0.000335209-0j -0.000273697-0j -3.95047e-05-0j -3.42121e-05-0j -4.03193e-06-0j -1.84032e-07-0j -3.30901e-05-0j 0.00127033-0j -4.13626e-06-0j -2.75751e-06-0j -5.97017e-07-0j -6.89376e-07-0j -2.43731e-07-0j -5.7448e-08-0j -6.09328e-08-0j -5.07774e-09-0j -1.89236e-10-0j -0.00124638-0j 0.00121566-0j -0.000194314-0j 0.000189524-0j 0.0365449-0j -0.0356442-0j 0.0052748-0j -0.0001374-0j -0.00514479-0j 0.000134014-0j -2.42892e-05-0j -1.61928e-05-0j 2.36905e-05-0j -2.0241e-06-0j -1.40234e-05-0j 1.57937e-05-0j 1.97421e-06-0j 1.36777e-05-0j -2.86251e-06-0j -1.43125e-06-0j 2.79196e-06-0j -1.68675e-07-0j -2.06584e-07-0j 1.39598e-06-0j 1.64518e-07-0j 2.01492e-07-0j -1.33349e-08-0j 1.30063e-08-0j -4.20011e-10-0j 4.09658e-10-0j 
-0.000296745-0j -0.436745-0j -3.90995e-05-0j 0.00053784-0j 0.000230448-0j 8.26276e-05-0j 6.30322e-06-0j -0.000272838-0j 0.00203407-0j 0.00659682-0j -2.27365e-05-0j -0.0907436-0j 0.000268013-0j -2.00964e-06-0j 6.79505e-05-0j 4.78808e-05-0j 8.022e-06-0j 4.49224e-07-0j -0.000178054-0j -0.000179899-0j 0.00130887-0j 0.00132243-0j -2.15021e-05-0j -2.17249e-05-0j 0.000295776-0j 0.00379673-0j 0.000298841-0j 0.00383607-0j -0.0316465-0j 0.000109072-0j -0.0319745-0j -0.00802349-0j -2.00334e-06-0j 0.000110203-0j -0.00810663-0j -2.0241e-06-0j 3.89719e-05-0j 9.64074e-06-0j 3.93757e-05-0j 4.61698e-06-0j 4.23358e-06-0j 9.74064e-06-0j 4.66482e-06-0j 4.27746e-06-0j 4.56731e-07-0j 4.61464e-07-0j 2.0164e-08-0j 2.03729e-08-0j 
0.411797-0j -0.000273697-0j -0.000223472-0j -3.22555e-05-0j -2.79341e-05-0j -3.29206e-06-0j -1.50261e-07-0j -0.0015594-0j 0.0598654-0j -0.000194925-0j -0.00012995-0j -2.8135e-05-0j -3.24875e-05-0j -1.14861e-05-0j -2.70729e-06-0j -2.87152e-06-0j -2.39293e-07-0j -8.91793e-09-0j 0.000988694-0j -0.00102821-0j 0.00015414-0j -0.000160301-0j -0.0289894-0j 0.030148-0j -0.00418425-0j 0.000108993-0j 0.00435149-0j -0.00011335-0j 1.92675e-05-0j 1.2845e-05-0j -2.00376e-05-0j 1.60562e-06-0j 1.11241e-05-0j -1.33584e-05-0j -1.6698e-06-0j -1.15687e-05-0j 2.27069e-06-0j 1.13535e-06-0j -2.36145e-06-0j 1.33802e-07-0j 1.63873e-07-0j -1.18073e-06-0j -1.3915e-07-0j -1.70423e-07-0j 1.0578e-08-0j -1.10008e-08-0j 3.33175e-10-0j -3.46491e-10-0j 
-0.000242291-0j -3.90995e-05-0j -0.44062-0j 0.000665216-0j 0.00076703-0j 4.49625e-05-0j -2.14659e-08-0j -0.000222771-0j -3.52233e-05-0j 0.00266226-0j 0.00537858-0j -4.01929e-06-0j -0.0640556-0j 0.000473907-0j 5.58335e-05-0j 7.88478e-05-0j 3.26823e-06-0j -1.27399e-09-0j -0.000145381-0j -0.000146887-0j -2.26652e-05-0j -2.29001e-05-0j 0.00167848-0j 0.00169587-0j -2.53405e-06-0j 0.00231367-0j -2.56031e-06-0j 0.00233765-0j 0.000270864-0j 0.000547227-0j 0.00027367-0j -2.36096e-07-0j -0.0453882-0j 0.000552898-0j -2.38542e-07-0j -0.0458586-0j -0.00460831-0j 4.82163e-05-0j -0.00465607-0j 2.8403e-06-0j 4.63158e-06-0j 4.87159e-05-0j 2.86974e-06-0j 4.67958e-06-0j 1.48706e-07-0j 1.50247e-07-0j -4.89911e-11-0j -4.94987e-11-0j 
-0.416065-0j 0.000276533-0j 0.000225788-0j 3.25897e-05-0j 2.82235e-05-0j 3.32618e-06-0j 1.51818e-07-0j -0.00152096-0j 0.0583898-0j -0.000190121-0j -0.000126747-0j -2.74415e-05-0j -3.16868e-05-0j -1.1203e-05-0j -2.64056e-06-0j -2.80074e-06-0j -2.33395e-07-0j -8.69812e-09-0j 0.00102821-0j -0.00103824-0j 0.000160301-0j -0.000161864-0j -0.030148-0j 0.0304422-0j -0.00435149-0j 0.00011335-0j 0.00439395-0j -0.000114455-0j 2.00376e-05-0j 1.33584e-05-0j -2.02331e-05-0j 1.6698e-06-0j 1.15687e-05-0j -1.34887e-05-0j -1.68609e-06-0j -1.16816e-05-0j 2.36145e-06-0j 1.18073e-06-0j -2.38449e-06-0j 1.3915e-07-0j 1.70423e-07-0j -1.19224e-06-0j -1.40507e-07-0j -1.72086e-07-0j 1.10008e-08-0j -1.11081e-08-0j 3.46491e-10-0j -3.49872e-10-0j 
3.49717e-05-0j -0.00053784-0j -0.000665216-0j -0.426832-0j -5.48931e-05-0j 0.00092476-0j 0.000142182-0j 3.21543e-05-0j -0.000484519-0j 4.01929e-06-0j -0.000776331-0j 0.00257895-0j 0.00921632-0j 2.36839e-07-0j -0.109788-0j 0.000263213-0j 0.000135383-0j 1.26841e-05-0j 2.09839e-05-0j 2.12014e-05-0j -0.000311775-0j -0.000315006-0j 2.53405e-06-0j 2.56031e-06-0j 0.00162596-0j -0.00033395-0j 0.00164281-0j -0.000337411-0j -3.89719e-05-0j 0.00752747-0j -3.93757e-05-0j 0.000464245-0j -3.40836e-05-0j 0.00760548-0j 0.000469056-0j -3.44368e-05-0j -0.0309282-0j -2.29644e-06-0j -0.0312487-0j -0.0112486-0j 4.73819e-05-0j -2.32024e-06-0j -0.0113651-0j 4.78729e-05-0j 1.03025e-05-0j 1.04093e-05-0j 6.83824e-07-0j 6.9091e-07-0j 
0.000335209-0j 0.493356-0j 4.41676e-05-0j -0.000607555-0j -0.000260319-0j -9.33378e-05-0j -7.12025e-06-0j 5.33989e-06-0j -3.98101e-05-0j -0.00012911-0j 4.44991e-07-0j 0.001776-0j -5.24544e-06-0j 3.9332e-08-0j -1.3299e-06-0j -9.37105e-07-0j -1.57004e-07-0j -8.79203e-09-0j 0.000201134-0j -0.000196176-0j -0.00147853-0j 0.00144208-0j 2.42892e-05-0j -2.36905e-05-0j -0.000334114-0j -0.00428886-0j 0.000325879-0j 0.00418315-0j 0.0357485-0j -0.00012321-0j -0.0348674-0j 0.00906349-0j 2.26301e-06-0j 0.000120174-0j -0.0088401-0j -2.20723e-06-0j -4.40234e-05-0j -1.08904e-05-0j 4.29383e-05-0j -5.21543e-06-0j -4.78234e-06-0j 1.06219e-05-0j 5.08688e-06-0j 4.66447e-06-0j -5.15933e-07-0j 5.03216e-07-0j -2.27776e-08-0j 2.22162e-08-0j 
-0.360322-0j 0.000239485-0j 0.000195538-0j 2.82235e-05-0j 2.44423e-05-0j 2.88055e-06-0j 1.31479e-07-0j 2.36407e-05-0j -0.000907566-0j 2.95509e-06-0j 1.97006e-06-0j 4.2653e-07-0j 4.92514e-07-0j 1.7413e-07-0j 4.10429e-08-0j 4.35325e-08-0j 3.62771e-09-0j 1.35197e-10-0j -0.00262067-0j -0.000868509-0j -0.000408569-0j -0.000135403-0j 0.0768403-0j 0.0254654-0j 0.0110909-0j -0.000288902-0j 0.00367562-0j -9.57441e-05-0j -5.10711e-05-0j -3.40474e-05-0j -1.69253e-05-0j -4.25593e-06-0j -2.94859e-05-0j -1.12836e-05-0j -1.41044e-06-0j -9.77184e-06-0j -6.01879e-06-0j -3.0094e-06-0j -1.99467e-06-0j -3.54661e-07-0j -4.34369e-07-0j -9.97335e-07-0j -1.17537e-07-0j -1.43953e-07-0j -2.80384e-08-0j -9.29212e-09-0j -8.83126e-10-0j -2.92674e-10-0j 
3.02864e-05-0j -0.000230448-0j -0.00076703-0j -5.48931e-05-0j -0.429938-0j 0.00162094-0j -6.4332e-07-0j 2.78464e-05-0j -0.000207602-0j -0.000669046-0j 2.32054e-06-0j -4.78808e-05-0j 0.0052577-0j 0.0113664-0j -6.93517e-06-0j -0.0893293-0j 0.00015737-0j -4.58487e-08-0j 1.81726e-05-0j 1.83609e-05-0j -0.000133586-0j -0.00013497-0j -0.000421815-0j -0.000426186-0j -3.01875e-05-0j 2.00334e-06-0j -3.05003e-05-0j 2.0241e-06-0j 0.00320957-0j -1.11322e-05-0j 0.00324283-0j -4.23358e-06-0j 0.00373755-0j -1.12475e-05-0j -4.27746e-06-0j 0.00377628-0j 0.000764526-0j -0.0545274-0j 0.000772448-0j -4.71218e-07-0j -0.00789843-0j -0.0550924-0j -4.76101e-07-0j -0.00798028-0j 8.95986e-06-0j 9.05271e-06-0j -2.05797e-09-0j -2.0793e-09-0j 
0.297251-0j -0.000197565-0j -0.000161311-0j -2.32832e-05-0j -2.01639e-05-0j -2.37633e-06-0j -1.08464e-07-0j 0.00219276-0j -0.0841801-0j 0.000274095-0j 0.00018273-0j 3.95622e-05-0j 4.56825e-05-0j 1.61512e-05-0j 3.80688e-06-0j 4.0378e-06-0j 3.36484e-07-0j 1.254e-08-0j 0.000713677-0j -0.000666383-0j 0.000111264-0j -0.000103891-0j -0.0209256-0j 0.0195389-0j -0.00302035-0j 7.86755e-05-0j 0.0028202-0j -7.34618e-05-0j 1.3908e-05-0j 9.272e-06-0j -1.29863e-05-0j 1.159e-06-0j 8.02979e-06-0j -8.65756e-06-0j -1.08219e-06-0j -7.49767e-06-0j 1.63907e-06-0j 8.19537e-07-0j -1.53045e-06-0j 9.65833e-08-0j 1.1829e-07-0j -7.65227e-07-0j -9.01829e-08-0j -1.10451e-07-0j 7.63558e-09-0j -7.12958e-09-0j 2.40498e-10-0j -2.24561e-10-0j 
-3.56928e-06-0j 8.26276e-05-0j 4.49625e-05-0j -0.00092476-0j -0.00162094-0j -0.416316-0j 0.00207441-0j -3.28173e-06-0j 7.4436e-05-0j 3.92188e-05-0j -2.73478e-07-0j -0.000806627-0j -0.000937676-0j 6.98131e-06-0j 0.00358105-0j 0.0158239-0j -0.125008-0j 0.000247525-0j -2.14166e-06-0j -2.16385e-06-0j 4.78975e-05-0j 4.83939e-05-0j 2.47263e-05-0j 2.49826e-05-0j -0.000508555-0j -2.36096e-07-0j -0.000513826-0j -2.38542e-07-0j -0.000572406-0j 3.99146e-06-0j -0.000578338-0j 0.00218606-0j 4.63158e-06-0j 4.03283e-06-0j 0.00220871-0j 4.67958e-06-0j 0.00640631-0j -0.000101894-0j 0.0064727-0j 0.000752543-0j -0.0428846-0j -0.00010295-0j 0.000760341-0j -0.0433291-0j -0.0143705-0j -0.0145195-0j 1.67098e-05-0j 1.68829e-05-0j 
0.000273697-0j 0.402823-0j 3.60627e-05-0j -0.000496067-0j -0.000212549-0j -7.621e-05-0j -5.81366e-06-0j 0.000251647-0j -0.00187609-0j -0.00608445-0j 2.09706e-05-0j 0.0836957-0j -0.000247196-0j 1.85356e-06-0j -6.26728e-05-0j -4.41619e-05-0j -7.39894e-06-0j -4.14333e-07-0j -0.00015955-0j 0.000165927-0j 0.00117284-0j -0.00121972-0j -1.92675e-05-0j 2.00376e-05-0j 0.000265037-0j 0.00340215-0j -0.00027563-0j -0.00353813-0j -0.0283576-0j 9.7737e-05-0j 0.029491-0j -0.00718964-0j -1.79514e-06-0j -0.000101643-0j 0.007477-0j 1.86689e-06-0j 3.49217e-05-0j 8.63882e-06-0j -3.63175e-05-0j 4.13715e-06-0j 3.79361e-06-0j -8.9841e-06-0j -4.30251e-06-0j -3.94523e-06-0j 4.09265e-07-0j -4.25623e-07-0j 1.80684e-08-0j -1.87906e-08-0j 
0.000273697-0j 4.41676e-05-0j 0.497734-0j -0.000751442-0j -0.000866452-0j -5.07906e-05-0j 2.42483e-08-0j 4.36e-06-0j 6.89376e-07-0j -5.21048e-05-0j -0.000105268-0j 7.8664e-08-0j 0.00125367-0j -9.27514e-06-0j -1.09275e-06-0j -1.54318e-06-0j -6.39646e-08-0j 2.4934e-11-0j 0.000164225-0j -0.000160177-0j 2.56031e-05-0j -2.4972e-05-0j -0.00189604-0j 0.00184931-0j 2.86251e-06-0j -0.00261357-0j -2.79196e-06-0j 0.00254915-0j -0.000305973-0j -0.000618159-0j 0.000298431-0j 2.66699e-07-0j 0.0512714-0j 0.000602922-0j -2.60125e-07-0j -0.0500077-0j 0.00520564-0j -5.4466e-05-0j -0.00507734-0j -3.20846e-06-0j -5.23192e-06-0j 5.31236e-05-0j 3.12938e-06-0j 5.10297e-06-0j -1.67981e-07-0j 1.63841e-07-0j 5.53413e-11-0j -5.39772e-11-0j 
-0.0949731-0j 6.31229e-05-0j 5.15396e-05-0j 7.4391e-06-0j 6.44245e-06-0j 7.5925e-07-0j 3.46549e-08-0j -0.00140743-0j 0.0540311-0j -0.000175928-0j -0.000117286-0j -2.53931e-05-0j -2.93214e-05-0j -1.03667e-05-0j -2.44345e-06-0j -2.59167e-06-0j -2.15972e-07-0j -8.04882e-09-0j 0.000234705-0j 0.00248667-0j 3.6591e-05-0j 0.000387678-0j -0.00688174-0j -0.0729114-0j -0.000993294-0j 2.58738e-05-0j -0.0105239-0j 0.00027413-0j 4.57388e-06-0j 3.04925e-06-0j 4.84598e-05-0j 3.81157e-07-0j 2.64073e-06-0j 3.23065e-05-0j 4.03832e-06-0j 2.79783e-05-0j 5.39037e-07-0j 2.69519e-07-0j 5.71104e-06-0j 3.17631e-08-0j 3.89016e-08-0j 2.85552e-06-0j 3.36526e-07-0j 4.12159e-07-0j 2.51109e-09-0j 2.66047e-08-0j 7.90919e-11-0j 8.37971e-10-0j 
