-0.291009-0j -0.294025-0j -0.0341882-0j -0.0423057-0j -0.0246783-0j -0.0208702-0j -0.00301236-0j -0.0243486-0j -0.0149104-0j -0.00351442-0j -0.021305-0j -0.00215213-0j -0.00307512-0j -0.00878788-0j -0.00126842-0j -0.0151937-0j -0.00268588-0j -0.000223824-0j -0.0171631-0j -0.0140136-0j -0.00303403-0j -0.0141588-0j -0.000252836-0j -0.0122619-0j -0.00247727-0j -0.00250295-0j -0.00020644-0j -0.0101155-0j -0.00216762-0j -0.000208579-0j -0.00323196-0j -0.000180635-0j -0.00178819-0j -0.000149016-0j -0.000571336-0j -4.76113e-05-0j 0.0597428-0j 0.00995713-0j 0.00609747-0j -0.0132528-0j 0.00124464-0j 7.33412e-05-0j -0.0104772-0j -0.00220879-0j -0.00698481-0j -0.0105858-0j -0.0013526-0j -0.000276099-0j -0.0122234-0j -0.0017462-0j -1.62693e-05-0j -0.00116414-0j -0.00432163-0j -0.00106933-0j -0.00713033-0j -0.0017643-0j -0.000712884-0j -0.00756286-0j -0.00108041-0j -0.000218275-0j -0.000145517-0j -0.00203724-0j -0.000220537-0j -1.2862e-05-0j -0.00441167-0j -0.00124755-0j -0.000720272-0j -8.57467e-06-0j -0.00118839-0j -1.29953e-05-0j -0.00115089-0j -0.000441075-0j -0.000254655-0j -0.00126048-0j -0.000727736-0j -9.0034e-05-0j -0.000771881-0j -1.50057e-05-0j -0.000735278-0j -0.000148549-0j -0.00015756-0j -0.000450264-0j -5.3053e-06-0j -8.75331e-06-0j -0.000191815-0j -9.19097e-05-0j -0.000117462-0j -9.28428e-06-0j -2.39769e-05-0j -5.41583e-06-0j -1.41285e-06-0j 
0.0255607-0j 0.0258256-0j 0.00300291-0j 0.00371591-0j 0.00216762-0j -0.175257-0j 0.00026459-0j -0.204466-0j -0.125209-0j 0.000308688-0j -0.178908-0j 0.000189032-0j 0.000270102-0j -0.0737957-0j 0.000111411-0j 0.00133453-0j -0.0225546-0j 1.96595e-05-0j 0.00150751-0j 0.00123088-0j -0.0254781-0j 0.00124363-0j 2.22078e-05-0j 0.00107702-0j -0.0208028-0j -0.0210184-0j 1.81326e-05-0j 0.000888496-0j -0.0182024-0j 1.83205e-05-0j 0.000283879-0j 1.5866e-05-0j -0.0150162-0j 1.30888e-05-0j -0.00479776-0j 4.18193e-06-0j 0.00105173-0j 0.000175288-0j -0.0206322-0j 0.00116405-0j -0.00209481-0j 1.29112e-06-0j 0.000920264-0j 0.000194009-0j 0.000613509-0j 0.0009298-0j -0.0228356-0j -0.00231853-0j 0.00107364-0j 0.000153377-0j 1.42901e-06-0j 0.000102252-0j 0.000379589-0j -0.0180532-0j 0.000626291-0j 0.000154967-0j -0.0120354-0j 0.000664281-0j -0.0182402-0j -0.00183296-0j -0.00122197-0j 0.00017894-0j -0.00185195-0j 1.12973e-06-0j 0.000387498-0j -0.021062-0j 6.32649e-05-0j 7.53154e-07-0j 0.000104382-0j 1.14144e-06-0j 0.000101088-0j -0.00744655-0j -0.00213845-0j 0.000110714-0j -0.0122862-0j -0.000756056-0j -0.0130315-0j 1.31802e-06-0j 6.45829e-05-0j -0.00124743-0j -0.0013231-0j -0.00760168-0j 4.6599e-07-0j 7.68844e-07-0j 1.6848e-05-0j -0.000771807-0j -0.00198309-0j 8.15483e-07-0j -0.000201345-0j 4.75698e-07-0j 1.24098e-07-0j 
-0.00368937-0j -0.0037276-0j 0.041307-0j 0.0511149-0j 0.029817-0j -0.00026459-0j -0.169772-0j -0.000308688-0j -0.000189032-0j -0.198068-0j -0.000270102-0j -0.121291-0j -0.173309-0j -0.000111411-0j -0.0714865-0j -0.000192623-0j 0.00324515-0j -0.0386573-0j -0.000217591-0j -0.000177662-0j 0.00366579-0j -0.000179503-0j -0.0436681-0j -0.000155454-0j 0.00299311-0j 0.00302412-0j -0.0356548-0j -0.000128243-0j 0.00261897-0j -0.0360243-0j -4.09743e-05-0j -0.031198-0j 0.00216054-0j -0.025737-0j 0.000690302-0j -0.0082231-0j -0.000151804-0j 0.00241121-0j -1.54934e-05-0j -0.000168016-0j -0.0140591-0j -0.00511328-0j -0.000132829-0j 0.00266872-0j -8.85524e-05-0j -0.000134205-0j -1.71481e-05-0j -0.0155606-0j -0.000154967-0j 0.00210981-0j -0.00565936-0j 0.00140654-0j -5.4789e-05-0j -1.35568e-05-0j -9.03973e-05-0j 0.00213167-0j -9.03784e-06-0j -9.58808e-05-0j -1.36973e-05-0j -0.0123017-0j -0.00820113-0j 0.00246144-0j -0.0124292-0j -0.00447412-0j -5.59304e-05-0j -1.58162e-05-0j 0.000870251-0j -0.00298275-0j 0.00143584-0j -0.00452048-0j -1.45908e-05-0j -5.59188e-06-0j -0.014352-0j 0.00152294-0j -9.22613e-06-0j -0.00507419-0j -9.78579e-06-0j -0.00521981-0j 0.000888381-0j -0.00837199-0j -0.00887984-0j -5.70838e-06-0j -0.00184548-0j -0.00304489-0j 0.000231756-0j -0.00517991-0j -1.48917e-06-0j -0.00322959-0j -0.00135131-0j -0.00188393-0j -0.000491469-0j 
-0.0276087-0j 0.0269282-0j -0.00324351-0j -6.95398e-05-0j 0.00456089-0j 0.189299-0j -0.00028579-0j 0.00382639-0j 0.135242-0j -5.7768e-06-0j -0.186546-0j -0.000204178-0j 0.000281634-0j -0.233601-0j 0.000352674-0j -0.00144146-0j 0.0243617-0j -2.12347e-05-0j -2.82117e-05-0j -0.0013295-0j 0.000476798-0j 0.00129673-0j -4.15597e-07-0j -2.01554e-05-0j 0.0224696-0j -0.0219157-0j -1.95854e-05-0j 0.00186949-0j 0.000340641-0j 1.91027e-05-0j 0.00119993-0j -2.96917e-07-0j -0.0315957-0j 2.75402e-05-0j -0.0202798-0j 1.76767e-05-0j -0.001136-0j -0.000189333-0j 0.0222853-0j -2.17841e-05-0j 0.00226265-0j -1.39457e-06-0j -0.000993998-0j -3.63069e-06-0j -0.000662666-0j 0.000969498-0j 0.000427347-0j 4.3389e-05-0j -2.00922e-05-0j -0.000165666-0j -2.67425e-08-0j -0.000110444-0j -0.000410003-0j 0.0194996-0j 0.00131778-0j 0.000161583-0j 0.0129998-0j 0.000692643-0j -0.019019-0j 0.00197982-0j 0.00131988-0j -3.3487e-06-0j -0.00193102-0j -1.22025e-06-0j 0.00122663-0j 0.000394156-0j -6.83339e-05-0j -8.13499e-07-0j 0.00021963-0j 1.19017e-06-0j 0.000534588-0j 0.00804319-0j 4.0019e-05-0j 0.000115441-0j -0.0258514-0j 0.000816634-0j -0.0135878-0j -2.46655e-08-0j 0.000204438-0j -0.00262472-0j -0.00137959-0j -0.0240632-0j -5.03327e-07-0j 1.61773e-06-0j 8.90981e-05-0j -0.00244317-0j -0.0104872-0j 8.503e-07-0j -0.00106478-0j 1.50583e-06-0j 6.56269e-07-0j 
0.00398498-0j -0.00388676-0j -0.0446167-0j -0.000956566-0j 0.0627381-0j 0.00028579-0j 0.183375-0j 5.7768e-06-0j 0.000204178-0j 0.00370665-0j -0.000281634-0j 0.13101-0j -0.180709-0j -0.000352674-0j -0.226291-0j 0.000208057-0j -0.00350517-0j 0.0417547-0j 4.072e-06-0j 0.000191897-0j -6.86018e-05-0j -0.000187167-0j 0.000817207-0j 2.90918e-06-0j -0.00323292-0j 0.00315324-0j 0.0385116-0j -0.000269837-0j -4.90115e-05-0j -0.0375624-0j -0.000173195-0j 0.000583841-0j 0.004546-0j -0.0541534-0j 0.00291786-0j -0.0347584-0j 0.000163967-0j -0.0026044-0j 1.67348e-05-0j 3.14427e-06-0j 0.0151855-0j 0.00552297-0j 0.000143471-0j -4.99425e-05-0j 9.56475e-05-0j -0.000139935-0j 3.2091e-07-0j 0.000291201-0j 2.90006e-06-0j -0.00227885-0j 0.00010591-0j -0.00151923-0j 5.91789e-05-0j 1.4643e-05-0j -0.000190205-0j 0.00222268-0j 9.76199e-06-0j -9.99744e-05-0j -1.42821e-05-0j 0.0132874-0j 0.00885824-0j -4.60635e-05-0j -0.0129599-0j 0.0048326-0j -0.000177049-0j 2.95986e-07-0j -0.000939979-0j 0.00322173-0j 0.00302116-0j -0.00471349-0j -7.71612e-05-0j 6.03992e-06-0j 0.000268584-0j 0.00158796-0j -1.94127e-05-0j 0.00548075-0j -1.02036e-05-0j 9.76837e-05-0j 0.00281218-0j -0.0176155-0j -0.00925897-0j -1.80699e-05-0j 0.00199335-0j -0.00640676-0j 0.0012256-0j -0.0163971-0j -7.87523e-06-0j -0.00336748-0j -0.00714615-0j -0.0059636-0j -0.00259905-0j 
0.0204862-0j -0.021305-0j -0.00247727-0j 0.0029782-0j -0.00178819-0j 0.144579-0j -0.000218275-0j 0.168676-0j -0.303997-0j -0.000254655-0j -0.14339-0j 0.000458952-0j 0.00021648-0j 0.0608784-0j -9.19097e-05-0j -0.00110093-0j 0.0186066-0j -1.62183e-05-0j -0.00124363-0j 0.000986517-0j 0.0210184-0j -0.00102595-0j -1.83205e-05-0j 0.0026149-0j -0.0166729-0j 0.0173393-0j 1.45328e-05-0j 0.000712105-0j -0.0441938-0j -1.51136e-05-0j -0.000234188-0j 3.85211e-05-0j -0.0120351-0j 1.04903e-05-0j 0.00395795-0j -3.44991e-06-0j 0.00432896-0j 0.000721493-0j -0.0849228-0j -0.000960294-0j -0.0086223-0j 5.3143e-06-0j 0.000737567-0j -0.000160049-0j -0.000506119-0j -0.000767046-0j 0.0188384-0j 0.00191269-0j 0.000860495-0j 0.000122928-0j -1.17887e-06-0j -8.43532e-05-0j 0.00153898-0j -0.0144691-0j -0.000516663-0j -0.000127841-0j 0.00992873-0j 0.00161281-0j 0.0150474-0j -0.00146907-0j 0.00100807-0j 0.000143416-0j 0.00152778-0j 9.05449e-07-0j 0.000310569-0j -0.0168806-0j 0.000256497-0j -6.2132e-07-0j -8.61106e-05-0j -9.41638e-07-0j -8.33936e-05-0j -0.0301908-0j -0.00171391-0j 0.000268802-0j 0.0101356-0j -0.0030653-0j -0.0316391-0j 1.05636e-06-0j 5.17615e-05-0j 0.00102908-0j -0.00321235-0j -0.00609254-0j 1.88928e-06-0j -6.34264e-07-0j -1.38989e-05-0j -0.000618583-0j 0.00163596-0j 1.97991e-06-0j 0.000166101-0j 3.81259e-07-0j -1.02375e-07-0j 
0.021305-0j -0.0215129-0j 0.00250295-0j -0.00298991-0j 0.00162216-0j -0.146078-0j 0.000220537-0j 0.164518-0j -0.104363-0j -0.000248378-0j 0.149031-0j 0.00015756-0j -0.000224997-0j -0.290717-0j 0.000438903-0j 0.00111234-0j -0.0187994-0j 1.63863e-05-0j -0.00121298-0j 0.00102595-0j 0.0205003-0j -0.00103596-0j -1.78689e-05-0j -0.000866596-0j -0.0173393-0j 0.0175084-0j 1.51136e-05-0j 0.000664915-0j 0.0146461-0j -1.52611e-05-0j 0.0024812-0j -1.27662e-05-0j -0.0112376-0j 9.79513e-06-0j -0.0419341-0j 3.65515e-05-0j -0.00437382-0j -0.00072897-0j 0.0858029-0j -0.000936625-0j 0.00871166-0j -5.36937e-06-0j 0.000767046-0j -0.000156104-0j 0.000511364-0j -0.00077453-0j 0.0183741-0j 0.00186554-0j -0.000863878-0j 0.000127841-0j -1.14982e-06-0j 8.52274e-05-0j 0.00031639-0j -0.0150474-0j 0.000468691-0j -0.000129088-0j -0.0100316-0j -0.000553351-0j 0.0151942-0j -0.00152778-0j -0.00101852-0j -0.00014398-0j 0.00154269-0j 9.41638e-07-0j 0.00152654-0j 0.016947-0j 5.27317e-05-0j 6.27759e-07-0j 7.81152e-05-0j -9.50825e-07-0j 0.00153158-0j -0.00620675-0j 0.00172065-0j -9.22251e-05-0j -0.00919449-0j -0.000630178-0j 0.0108553-0j -1.06051e-06-0j 0.000254423-0j -0.000933527-0j 0.00110215-0j -0.0299467-0j 3.88406e-07-0j 5.75373e-07-0j 0.000255264-0j -0.00304052-0j -0.0300456-0j -6.79302e-07-0j -0.00305057-0j 1.874e-06-0j 1.8802e-06-0j 
-0.00295693-0j 0.00307512-0j -0.0340766-0j 0.0409672-0j -0.0245978-0j 0.000218275-0j 0.140055-0j 0.000254655-0j -0.000458952-0j 0.163398-0j -0.00021648-0j -0.294484-0j -0.138903-0j 9.19097e-05-0j 0.0589733-0j 0.000158906-0j -0.00267712-0j 0.0318907-0j 0.000179503-0j -0.000142391-0j -0.00302412-0j 0.000148083-0j 0.0360243-0j -0.000377428-0j 0.00239889-0j -0.00249477-0j -0.0285764-0j -0.000102784-0j 0.0063586-0j 0.0297186-0j 3.38021e-05-0j -0.0757457-0j 0.00173161-0j -0.0206275-0j -0.00056947-0j 0.00678371-0j -0.000624832-0j 0.00992462-0j -6.37716e-05-0j 0.000138606-0j -0.0578677-0j -0.0210464-0j -0.000106459-0j -0.00220158-0j 7.3052e-05-0j 0.000110714-0j 1.41465e-05-0j 0.0128368-0j -0.000124202-0j 0.00169095-0j 0.00466874-0j -0.00116033-0j -0.000222133-0j -1.08654e-05-0j 7.45739e-05-0j -0.00175854-0j 7.45584e-06-0j -0.000232789-0j 1.12997e-05-0j -0.00985948-0j 0.00676559-0j 0.00197278-0j 0.0102536-0j -0.00358589-0j -4.48268e-05-0j -1.26763e-05-0j 0.00352829-0j 0.00246064-0j -0.00118451-0j 0.00372921-0j 1.20368e-05-0j -2.26714e-05-0j -0.0115027-0j 0.00369755-0j 7.61117e-06-0j -0.0205725-0j -2.3759e-05-0j -0.00418353-0j 0.000712014-0j 0.00690654-0j -0.0215594-0j -4.57511e-06-0j -0.0074822-0j 0.0025119-0j -0.000191189-0j -0.00415156-0j 1.2285e-06-0j -0.00784114-0j 0.00111477-0j -0.00150992-0j 0.000405441-0j 
-0.00307512-0j 0.00310512-0j 0.0344297-0j -0.0411283-0j 0.0223139-0j -0.000220537-0j -0.141506-0j 0.000248378-0j -0.00015756-0j 0.15937-0j 0.000224997-0j -0.101097-0j 0.144368-0j -0.000438903-0j -0.281619-0j -0.000160553-0j 0.00270486-0j -0.0322211-0j 0.000175079-0j -0.000148083-0j -0.00294959-0j 0.000149527-0j 0.0351364-0j 0.000125082-0j 0.00249477-0j -0.00251911-0j -0.0297186-0j -9.59723e-05-0j -0.00210729-0j 0.0300085-0j -0.00035813-0j 0.0251027-0j 0.00161686-0j -0.0192606-0j 0.00603348-0j -0.0718728-0j 0.000631307-0j -0.0100275-0j 6.44325e-05-0j 0.00013519-0j 0.0584674-0j 0.0212646-0j -0.000110714-0j -0.00214732-0j -7.38091e-05-0j 0.000111794-0j 1.37978e-05-0j 0.0125204-0j 0.00012469-0j 0.00175854-0j 0.00455366-0j 0.00117236-0j -4.5667e-05-0j -1.12997e-05-0j -6.76498e-05-0j -0.0017757-0j -7.5331e-06-0j 7.98693e-05-0j 1.14099e-05-0j -0.0102536-0j -0.0068357-0j -0.00198054-0j 0.0103536-0j -0.00372921-0j -0.000220337-0j 1.27261e-05-0j 0.00072536-0j -0.00248614-0j 0.00107453-0j 0.00376559-0j -0.000221065-0j -4.66087e-06-0j 0.011548-0j -0.00126862-0j -6.90448e-06-0j -0.00422937-0j 8.15163e-06-0j 0.00419998-0j 0.00349976-0j -0.00626527-0j 0.00739696-0j -2.2488e-05-0j -0.00153822-0j -0.00227867-0j 0.00351133-0j -0.0204061-0j -2.25624e-05-0j 0.00269027-0j -0.0204736-0j -0.00742169-0j -0.00744622-0j 
-0.0188604-0j -0.0190558-0j 0.00435749-0j -0.00274184-0j -0.00159941-0j 0.129316-0j -0.000195231-0j -0.296698-0j 0.0923876-0j 0.000447933-0j 0.13201-0j -0.00013948-0j -0.000199299-0j 0.0544513-0j -8.22065e-05-0j 0.00391469-0j -0.0661612-0j 5.76689e-05-0j -0.00111234-0j 0.00178611-0j 0.0187994-0j 0.00180462-0j -1.63863e-05-0j -0.000794695-0j -0.0301867-0j -0.0304995-0j 2.63119e-05-0j -0.00065559-0j 0.0134309-0j 2.65846e-05-0j -0.000209464-0j -1.1707e-05-0j 0.01108-0j -9.65775e-06-0j 0.0035401-0j -3.0857e-06-0j -0.000776034-0j -0.000129339-0j 0.0152238-0j 0.00341461-0j 0.00154568-0j -9.52672e-07-0j -0.00067903-0j 0.000569102-0j 0.0022332-0j -0.000686067-0j -0.0669857-0j -0.00680113-0j 0.00155795-0j -0.000113172-0j 4.19183e-06-0j 0.0003722-0j -0.000280086-0j 0.0133208-0j 0.000908803-0j -0.000114344-0j -0.0438095-0j -0.00049015-0j 0.0134588-0j 0.00135247-0j -0.00444802-0j 0.000259658-0j 0.00136649-0j -8.33588e-07-0j -0.000285921-0j -0.0305628-0j -4.66809e-05-0j 2.74151e-06-0j 0.000151467-0j -8.42227e-07-0j -7.45895e-05-0j 0.00549454-0j -0.00310308-0j -8.16916e-05-0j -0.0178283-0j 0.000557867-0j 0.00961545-0j 1.91256e-06-0j -4.76535e-05-0j -0.00181013-0j 0.000976267-0j 0.00560901-0j -3.43838e-07-0j 1.11566e-06-0j -1.24316e-05-0j 0.000569489-0j 0.00146325-0j -6.01716e-07-0j 0.000148565-0j -3.51001e-07-0j -9.15672e-08-0j 
-0.0129128-0j -0.0130466-0j -0.00151701-0j -0.00187721-0j -0.00109504-0j -0.614074-0j 0.000927084-0j 0.103293-0j 0.0632535-0j -0.000155943-0j 0.0903809-0j -9.54955e-05-0j -0.000136451-0j 0.0372802-0j -5.6283e-05-0j -0.00067418-0j 0.0113942-0j -9.93161e-06-0j 0.00528211-0j -0.000621817-0j -0.0892716-0j -0.000628261-0j 7.78128e-05-0j -0.00054409-0j 0.0105092-0j 0.0106181-0j -9.16023e-06-0j -0.000448851-0j 0.00919553-0j -9.25516e-06-0j -0.00014341-0j -8.01521e-06-0j 0.00758593-0j -6.61221e-06-0j 0.00242374-0j -2.11263e-06-0j -0.000531314-0j -8.85524e-05-0j 0.010423-0j -0.000588057-0j 0.00105826-0j -6.5225e-07-0j 0.00322447-0j -9.80096e-05-0j -0.000309933-0j 0.00325789-0j 0.0115361-0j 0.00117128-0j -0.000542384-0j 0.000537412-0j -7.21909e-07-0j -5.16556e-05-0j -0.000191762-0j -0.0632556-0j -0.00031639-0j 0.000542981-0j 0.00608008-0j -0.000335583-0j -0.0639112-0j -0.00642241-0j 0.000617317-0j -9.03973e-05-0j -0.00648897-0j 3.95841e-06-0j -0.000195757-0j 0.0106401-0j -3.19603e-05-0j -3.80479e-07-0j -5.27317e-05-0j 3.99943e-06-0j -5.10679e-05-0j 0.00376186-0j 0.0010803-0j -5.59304e-05-0j 0.00620675-0j 0.000381945-0j 0.00658325-0j -6.65839e-07-0j -3.26261e-05-0j 0.000630178-0j 0.000668404-0j 0.00384023-0j -2.3541e-07-0j -3.88406e-07-0j -8.51132e-06-0j 0.000389903-0j 0.00100182-0j -4.11967e-07-0j 0.000101716-0j -2.40314e-07-0j -6.26918e-08-0j 
0.00272226-0j 0.00275047-0j 0.0599401-0j -0.0377158-0j -0.0220009-0j 0.000195231-0j 0.125269-0j -0.000447933-0j 0.00013948-0j -0.287414-0j 0.000199299-0j 0.0894966-0j 0.127879-0j 8.22065e-05-0j 0.0527473-0j -0.000565037-0j 0.00951928-0j -0.113397-0j 0.000160553-0j -0.000257803-0j -0.00270486-0j -0.000260475-0j 0.0322211-0j 0.000114704-0j 0.00434326-0j 0.00438827-0j -0.0517383-0j 9.46262e-05-0j -0.00193244-0j -0.0522745-0j 3.02335e-05-0j 0.0230199-0j -0.00159419-0j 0.0189904-0j -0.00050935-0j 0.00606754-0j 0.000112011-0j -0.00177915-0j 1.14321e-05-0j -0.000492857-0j 0.0103737-0j 0.00377291-0j 9.80096e-05-0j 0.00782838-0j -0.000322334-0j 9.90252e-05-0j -5.0302e-05-0j -0.0456451-0j -0.00022487-0j -0.00155675-0j -0.0166011-0j 0.00511985-0j 4.04269e-05-0j 1.00031e-05-0j -0.000131174-0j -0.00157288-0j -3.28981e-05-0j 7.0747e-05-0j 1.01067e-05-0j 0.00907699-0j -0.0298525-0j 0.00357177-0j 0.00917106-0j 0.00330129-0j 4.12691e-05-0j -2.29507e-05-0j -0.000642128-0j -0.0108573-0j 0.00208353-0j 0.00333551-0j 1.07661e-05-0j 4.12605e-06-0j -0.020826-0j -0.00112372-0j -1.33879e-05-0j 0.00374407-0j 7.22059e-06-0j -0.0075744-0j -0.000655505-0j -0.0121485-0j 0.00655212-0j 4.21201e-06-0j 0.00136171-0j -0.0044184-0j -0.000171005-0j 0.00382207-0j 1.09881e-06-0j 0.002383-0j 0.000997081-0j 0.00139008-0j 0.000362638-0j 
0.0018638-0j 0.00188312-0j -0.0208676-0j -0.0258223-0j -0.015063-0j -0.000927084-0j -0.594858-0j 0.000155943-0j 9.54955e-05-0j 0.10006-0j 0.000136451-0j 0.0612741-0j 0.0875527-0j 5.6283e-05-0j 0.0361136-0j 9.73095e-05-0j -0.00163939-0j 0.019529-0j -0.000762407-0j 8.97516e-05-0j 0.0128444-0j 9.06817e-05-0j -0.153007-0j 7.85327e-05-0j -0.00151206-0j -0.00152773-0j 0.0180122-0j 6.47861e-05-0j -0.00132305-0j 0.0181988-0j 2.06995e-05-0j 0.0157606-0j -0.00109146-0j 0.0130019-0j -0.000348728-0j 0.00415416-0j 7.66886e-05-0j -0.0012181-0j 7.827e-06-0j 8.48788e-05-0j 0.00710239-0j 0.00258313-0j -0.000465412-0j -0.00134819-0j 4.4735e-05-0j -0.000470235-0j 8.6629e-06-0j 0.00786091-0j 7.82863e-05-0j 0.00739246-0j 0.00285901-0j -0.000710557-0j 2.76784e-05-0j -4.75009e-05-0j 4.5667e-05-0j 0.00746907-0j 4.56575e-06-0j 4.84372e-05-0j -4.79932e-05-0j -0.0431034-0j 0.00414306-0j -0.00124347-0j -0.0435501-0j -0.0156767-0j 2.8255e-05-0j 7.99006e-06-0j -0.000439635-0j 0.00150683-0j -0.00072536-0j -0.0158391-0j 7.37102e-06-0j 2.82491e-06-0j 0.00725036-0j -0.000769361-0j 4.66087e-06-0j 0.00256339-0j 4.9436e-06-0j 0.00263695-0j -0.000448794-0j 0.00422937-0j 0.00448593-0j 2.88377e-06-0j 0.000932302-0j 0.00153822-0j -0.000117079-0j 0.00261679-0j 7.52301e-07-0j 0.00163153-0j 0.000682655-0j 0.000951725-0j 0.000248281-0j 
-0.0226741-0j -0.0227633-0j 0.00274184-0j -5.71106e-05-0j -0.00385546-0j -0.16002-0j 0.000241587-0j -0.00323456-0j 0.336462-0j 4.88331e-06-0j -0.153204-0j -0.000507966-0j 0.000231296-0j 0.19747-0j -0.000298126-0j -0.00484418-0j 0.0818703-0j -7.13616e-05-0j 2.38482e-05-0j -0.00109187-0j -0.000403052-0j -0.00109617-0j 3.51317e-07-0j -5.01438e-05-0j 0.0184535-0j 0.018526-0j -1.60848e-05-0j 0.00153535-0j 0.000847468-0j -1.61481e-05-0j -0.00101434-0j -7.38688e-07-0j -0.0259485-0j 2.26178e-05-0j 0.0171431-0j -1.49426e-05-0j 0.000960294-0j 0.000160049-0j -0.0188384-0j -7.3208e-05-0j -0.00191269-0j 1.17887e-06-0j -0.000816337-0j -1.22013e-05-0j 0.000560171-0j -0.000819546-0j 0.00143615-0j 0.000145814-0j -1.6501e-05-0j -0.000136056-0j -8.98713e-08-0j 9.33619e-05-0j -0.00170334-0j 0.0160144-0j -0.00111396-0j -0.000136591-0j -0.0109891-0j 0.0017232-0j 0.0160773-0j 0.00162596-0j -0.00111573-0j -2.75017e-06-0j 0.00163235-0j -1.00215e-06-0j 0.00100739-0j 0.000323706-0j -0.00028389-0j 6.87675e-07-0j -0.00018566-0j -1.00609e-06-0j -0.000451904-0j 0.0334151-0j 3.28663e-05-0j 0.0002872-0j 0.021853-0j 0.00339267-0j -0.0338047-0j -2.02569e-08-0j 0.000167898-0j 0.00221876-0j -0.00343222-0j -0.0197623-0j -2.09105e-06-0j -1.36752e-06-0j -7.53173e-05-0j -0.00200649-0j 0.00886516-0j 2.11543e-06-0j 0.00090009-0j 1.23669e-06-0j -5.54764e-07-0j 
-0.0136141-0j -0.0123501-0j -0.00159941-0j 0.00385546-0j -0.00443806-0j 0.093345-0j -0.000140926-0j -0.212145-0j 0.0666889-0j 0.00032028-0j 0.0855555-0j -0.000100682-0j -0.000129165-0j 0.0470571-0j -7.10433e-05-0j 0.00282577-0j -0.0477577-0j 4.16276e-05-0j 0.00156413-0j -0.00065559-0j -0.0264349-0j -0.000594718-0j 2.30417e-05-0j 0.00111747-0j 0.01108-0j 0.0100512-0j -9.65775e-06-0j -0.00181914-0j -0.018886-0j -8.76103e-06-0j 0.00192571-0j 1.64618e-05-0j 0.0307449-0j -2.67985e-05-0j -0.032546-0j 2.83684e-05-0j -0.000560171-0j -9.33619e-05-0j 0.0109891-0j -0.00480148-0j 0.00111573-0j -6.87675e-07-0j -0.00049015-0j -0.000800246-0j -0.000326767-0j -0.00044464-0j 0.0941924-0j 0.00956345-0j 0.00111396-0j -8.16916e-05-0j -5.89437e-06-0j -5.44611e-05-0j -0.000202177-0j 0.00961545-0j -0.00128229-0j -7.41066e-05-0j 0.0064103-0j -0.000317666-0j 0.00872266-0j 0.000976267-0j 0.000650845-0j 0.00018566-0j 0.000885621-0j -6.01716e-07-0j -0.000247094-0j -0.021853-0j -3.36961e-05-0j -4.01144e-07-0j -0.000213715-0j -5.45847e-07-0j 0.00235018-0j 0.00396617-0j -0.00221876-0j -5.29443e-05-0j 0.0251552-0j 0.00040269-0j 0.00623177-0j 1.36752e-06-0j -4.11824e-05-0j 0.00255403-0j 0.000632718-0j 0.00484734-0j -2.48195e-07-0j -1.57416e-06-0j 0.000391696-0j 0.000492155-0j -0.0461043-0j -3.89972e-07-0j -0.00468102-0j -3.03337e-07-0j 2.88512e-06-0j 
0.00327272-0j 0.00328559-0j 0.0377158-0j -0.000785595-0j -0.0530344-0j -0.000241587-0j -0.155013-0j -4.88331e-06-0j 0.000507966-0j -0.00313334-0j -0.000231296-0j 0.325934-0j -0.14841-0j 0.000298126-0j 0.191291-0j 0.000699198-0j -0.0117795-0j 0.140321-0j -3.44219e-06-0j 0.000157598-0j 5.79912e-05-0j 0.000158218-0j -0.00069081-0j 7.23764e-06-0j -0.00265509-0j -0.00266553-0j 0.0316283-0j -0.000221608-0j -0.000121934-0j 0.0317526-0j 0.000146407-0j 0.00145252-0j 0.00373347-0j -0.0444743-0j -0.00246655-0j 0.0293824-0j -0.000138606-0j 0.00220158-0j -1.41465e-05-0j 1.05667e-05-0j -0.0128368-0j -0.00466874-0j 0.000117828-0j -0.000167838-0j -8.08538e-05-0j 0.000118291-0j 1.07846e-06-0j 0.000978614-0j 2.38172e-06-0j -0.00187154-0j 0.000355921-0j 0.00128426-0j 0.000245856-0j 1.20258e-05-0j 0.000160786-0j -0.0018789-0j -8.2521e-06-0j -0.000248723-0j 1.20731e-05-0j 0.0109125-0j -0.00748814-0j -3.78304e-05-0j 0.0109554-0j 0.00396885-0j -0.000145404-0j 2.43083e-07-0j -0.0039051-0j -0.00272343-0j -0.00255388-0j 0.00398445-0j 6.52267e-05-0j 2.50926e-05-0j 0.000220579-0j 0.00395063-0j 1.64102e-05-0j 0.0227696-0j -2.53851e-05-0j 8.02243e-05-0j 0.00230955-0j 0.014891-0j -0.023035-0j -1.48402e-05-0j 0.00828127-0j 0.00541583-0j -0.00103604-0j -0.0134663-0j 6.65717e-06-0j -0.00837782-0j 0.00604086-0j -0.0048977-0j 0.00219706-0j 
