-0.0836695-0j -0.0147908-0j -0.00123257-0j -0.00126446-0j -0.000210744-0j -0.000129054-0j -2.63429e-05-0j -1.55227e-06-0j -0.0460126-0j 0.0448785-0j -0.00742525-0j 0.00724223-0j -0.00606269-0j 0.00591326-0j -0.000875074-0j -0.000757836-0j 0.000853505-0j 0.000739157-0j -8.93119e-05-0j 8.71105e-05-0j -4.07651e-06-0j 3.97603e-06-0j -0.0341882-0j -0.000732982-0j 0.048074-0j -0.00540563-0j -0.000115895-0j -0.00427352-0j 0.00760116-0j -0.00284902-0j -0.00061683-0j -9.16228e-05-0j -6.10819e-05-0j -0.000712254-0j 0.00600924-0j -1.32246e-05-0j -0.00025182-0j 0.00400616-0j -5.93545e-05-0j 0.00086736-0j -6.29549e-05-0j -1.52705e-05-0j -5.39893e-06-0j 0.00100154-0j -1.27254e-06-0j -5.24625e-06-0j 0.000354098-0j -1.34973e-06-0j 8.34617e-05-0j -1.95516e-07-0j -1.12478e-07-0j 8.85245e-05-0j -4.19179e-09-0j 7.37704e-06-0j 2.74926e-07-0j 
0.0641624-0j 0.00370458-0j 0.00093924-0j -0.000387674-0j -0.439809-0j -3.95668e-05-0j 0.000769711-0j 9.11873e-05-0j -0.000244418-0j -0.00024695-0j 0.00185976-0j 0.00187904-0j 0.00464921-0j 0.00469739-0j -0.0639529-0j 0.000189811-0j -0.0646157-0j 0.000191778-0j 6.80573e-05-0j 6.87626e-05-0j 5.19173e-06-0j 5.24553e-06-0j -0.000181607-0j -0.000224727-0j -0.000131091-0j 0.00135392-0j 0.00167539-0j -2.27008e-05-0j 0.000977311-0j 0.0043847-0j 0.000312265-0j -2.80908e-05-0j 0.00542579-0j -0.0257537-0j -1.63863e-05-0j 0.000386408-0j -1.33766e-06-0j 0.00316504-0j -0.00652945-0j 0.000225405-0j 3.18704e-05-0j -0.0318686-0j -1.65527e-06-0j -0.01859-0j -0.00807979-0j 5.3396e-06-0j -9.65573e-07-0j 3.94376e-05-0j -0.00471321-0j 2.99012e-07-0j 6.60742e-06-0j 2.30053e-05-0j 3.70009e-07-0j 3.85433e-06-0j 2.15838e-07-0j 
-0.00301236-0j -0.000532515-0j -4.43762e-05-0j 0.0088057-0j -7.58741e-06-0j -4.64632e-06-0j -9.48426e-07-0j -5.58866e-08-0j -0.00165659-0j 0.00161576-0j 0.0517094-0j -0.0504349-0j -0.000218275-0j 0.000212895-0j -3.15053e-05-0j -2.72844e-05-0j 3.07288e-05-0j 2.66119e-05-0j -3.2155e-06-0j 3.13625e-06-0j -1.46767e-07-0j 1.43149e-07-0j -0.00123088-0j -2.63896e-05-0j 0.00173081-0j -0.000194619-0j -4.17256e-06-0j 0.0297608-0j 0.000273665-0j -0.000102573-0j 0.0042956-0j 0.000638061-0j -2.19913e-06-0j -2.56433e-05-0j -0.0418484-0j 9.20962e-05-0j -9.06628e-06-0j 0.000144234-0j -2.13694e-06-0j -0.00604029-0j -2.26657e-06-0j -5.49783e-07-0j -1.94378e-07-0j 3.60585e-05-0j -4.58153e-08-0j -1.88881e-07-0j 1.27486e-05-0j -4.85944e-08-0j 3.00488e-06-0j -7.03917e-09-0j -4.04954e-09-0j 3.18715e-06-0j -1.50917e-10-0j 2.65596e-07-0j 9.89818e-09-0j 
-0.000272169-0j 0.00924783-0j -4.00943e-06-0j -0.000237401-0j -3.95668e-05-0j -0.442909-0j 0.000950643-0j -2.91437e-07-0j -0.000149675-0j -0.000151226-0j -2.41536e-05-0j -2.44039e-05-0j 0.00379064-0j 0.00382993-0j -2.84653e-06-0j -0.0450625-0j -2.87603e-06-0j -0.0455294-0j 5.58415e-05-0j 5.64202e-05-0j -1.32605e-08-0j -1.33979e-08-0j -0.000111211-0j -0.000137616-0j -8.02763e-05-0j -1.7584e-05-0j -2.17591e-05-0j 0.00267198-0j -1.26928e-05-0j -9.26757e-06-0j -2.00649e-06-0j 0.00330641-0j -1.1468e-05-0j 0.000445331-0j 0.00192874-0j -2.4829e-06-0j -0.0453943-0j -6.68969e-06-0j -1.93074e-07-0j -1.44836e-06-0j -0.00374343-0j 0.000551068-0j -0.0561726-0j 0.000321457-0j -2.38917e-07-0j 3.28017e-06-0j -0.0327673-0j -0.00463225-0j -1.39369e-07-0j -6.35995e-10-0j 4.059e-06-0j -0.00270215-0j -7.87004e-10-0j 2.36775e-06-0j -4.59085e-10-0j 
5.55563e-05-0j 0.0894832-0j 0.0111495-0j 4.84593e-05-0j -0.000769711-0j -0.000950643-0j -0.429073-0j 0.00163227-0j 3.05522e-05-0j 3.08688e-05-0j -0.000469871-0j -0.000474741-0j -0.000384868-0j -0.000388857-0j 0.002583-0j 0.00921764-0j 0.00260977-0j 0.00931316-0j -0.0772389-0j -0.0780393-0j 0.000124214-0j 0.000125502-0j 2.27008e-05-0j 2.80908e-05-0j 1.63863e-05-0j -0.000342069-0j -0.000423289-0j -0.000271289-0j -0.000246919-0j 1.89174e-06-0j 0.00182073-0j -0.000335703-0j 2.3409e-06-0j 0.00430907-0j -0.000195827-0j 0.00225304-0j -4.8292e-05-0j 1.36553e-06-0j 0.000536907-0j 0.00131427-0j -0.035718-0j 0.00533221-0j -5.97584e-05-0j 0.00311045-0j 0.000664389-0j -0.00913795-0j -3.4859e-05-0j -0.0441987-0j 0.00038756-0j 8.95497e-06-0j -0.0113076-0j -0.0257826-0j 1.10812e-05-0j -0.00659612-0j 6.46404e-06-0j 
-0.00245958-0j -0.000434797-0j -3.6233e-05-0j 0.414977-0j -0.000357564-0j -0.000218962-0j -4.46955e-05-0j -2.63371e-06-0j 0.0013141-0j -0.00136662-0j -0.0410186-0j 0.0426581-0j 0.000173148-0j -0.000180068-0j 2.49917e-05-0j 2.16434e-05-0j -2.59906e-05-0j -2.25085e-05-0j 2.5507e-06-0j -2.65265e-06-0j 1.16423e-07-0j -1.21076e-07-0j 0.00197645-0j 0.00120823-0j -0.000725454-0j 0.000312505-0j 0.000191038-0j -0.0477877-0j -0.000114704-0j 0.000164704-0j -0.00689756-0j -0.0292132-0j 0.000100686-0j 4.11761e-05-0j 0.0175404-0j -0.00421656-0j 1.4558e-05-0j -6.04545e-05-0j 3.43134e-06-0j 0.00253174-0j 3.63949e-06-0j 2.51715e-05-0j 8.89946e-06-0j -1.51136e-05-0j 2.09762e-06-0j 3.03291e-07-0j -5.34347e-06-0j 2.22487e-06-0j -1.25947e-06-0j 1.1303e-08-0j 1.85405e-07-0j -1.33587e-06-0j 6.90965e-09-0j -1.11322e-07-0j -4.14874e-09-0j 
-3.27368e-06-0j 0.000110883-0j 0.125216-0j -2.85549e-06-0j 9.11873e-05-0j -2.91437e-07-0j -0.00163227-0j -0.415261-0j -1.80031e-06-0j -1.81896e-06-0j 5.56654e-05-0j 5.62423e-05-0j -2.37211e-07-0j -2.39669e-07-0j -0.000939437-0j 5.68133e-06-0j -0.000949172-0j 5.7402e-06-0j 0.00907317-0j 0.00916719-0j -0.098658-0j -0.0996804-0j -1.33766e-06-0j -1.65527e-06-0j -9.65573e-07-0j 4.05248e-05-0j 5.01468e-05-0j -1.67207e-07-0j 2.92523e-05-0j -1.11472e-07-0j -0.000662199-0j -2.06909e-07-0j -1.37939e-07-0j 5.3396e-06-0j -1.20697e-07-0j -0.000819429-0j -9.85279e-09-0j -8.04645e-08-0j 0.0060298-0j -0.000478-0j -6.75854e-05-0j 6.60742e-06-0j -1.21922e-08-0j 3.85433e-06-0j 0.0074615-0j -0.0243162-0j -7.11212e-09-0j -8.36326e-05-0j 0.00435254-0j -0.0143972-0j -0.0300898-0j -4.87857e-05-0j -0.0178156-0j -0.0175524-0j -0.0103924-0j 
0.00248507-0j 0.000439302-0j 3.66085e-05-0j 0.404749-0j -0.000348751-0j -0.000213565-0j -4.35938e-05-0j -2.56879e-06-0j 0.00136662-0j -0.00137995-0j -0.0426581-0j 0.0430743-0j 0.000180068-0j -0.000181825-0j 2.59906e-05-0j 2.25085e-05-0j -2.62442e-05-0j -2.27281e-05-0j 2.65265e-06-0j -2.67853e-06-0j 1.21076e-07-0j -1.22258e-07-0j -0.00199694-0j -0.00121298-0j 0.000658095-0j -0.000315743-0j -0.000191789-0j 0.0482829-0j 0.000104054-0j -0.000166411-0j 0.00696904-0j 0.0293281-0j -0.000101082-0j -4.16028e-05-0j -0.0159118-0j 0.00423314-0j -1.47088e-05-0j 5.48413e-05-0j -3.4669e-06-0j -0.00229666-0j -3.6772e-06-0j -2.52705e-05-0j -8.93445e-06-0j 1.37103e-05-0j -2.10587e-06-0j -3.06434e-07-0j 4.84733e-06-0j -2.23361e-06-0j 1.14253e-06-0j -1.14201e-08-0j -1.86134e-07-0j 1.21183e-06-0j -6.93682e-09-0j 1.00986e-07-0j 3.76353e-09-0j 
-0.0724792-0j -0.00418477-0j -0.00106098-0j 7.58741e-06-0j 0.00860778-0j 7.74387e-07-0j -1.50645e-05-0j -1.78468e-06-0j 0.000276099-0j -0.000269294-0j -0.00210083-0j 0.00204905-0j -0.00525184-0j 0.00512239-0j 0.0722425-0j -0.000214415-0j -0.0704619-0j 0.00020913-0j -7.68789e-05-0j 7.4984e-05-0j -5.86468e-06-0j 5.72013e-06-0j 0.000205147-0j 4.39827e-06-0j -0.000288468-0j -0.00152942-0j -3.27901e-05-0j 2.56433e-05-0j 0.0021506-0j -0.00495304-0j -0.000352741-0j 5.49783e-07-0j -0.000106191-0j 0.0290919-0j -3.60585e-05-0j -7.56264e-06-0j 1.51105e-06-0j 0.00696476-0j 0.0073758-0j 0.000496009-0j -3.60015e-05-0j 0.000623719-0j 3.23963e-08-0j -0.0409077-0j 0.000158135-0j -6.03173e-06-0j -2.12477e-06-0j -7.71859e-07-0j -0.0103715-0j -3.3777e-07-0j -1.29318e-07-0j 5.06237e-05-0j -7.24167e-09-0j 8.48155e-06-0j 4.74958e-07-0j 
0.00215213-0j 0.000380447-0j 3.17039e-05-0j -0.0062911-0j 5.42071e-06-0j 3.31949e-06-0j 6.77589e-07-0j 3.99273e-08-0j -0.0034832-0j -0.00115436-0j 0.108726-0j 0.0360324-0j -0.000458952-0j -0.0001521-0j -6.6244e-05-0j -5.7369e-05-0j -2.19537e-05-0j -1.90125e-05-0j -6.761e-06-0j -2.24064e-06-0j -3.08596e-07-0j -1.02271e-07-0j 0.000879383-0j -5.54875e-05-0j -0.00123655-0j 0.000139043-0j -8.77334e-06-0j -0.0212621-0j -0.000195516-0j 7.32819e-05-0j -0.00306893-0j 0.0013416-0j -4.62396e-06-0j 1.83205e-05-0j 0.0298979-0j 0.000193644-0j 6.47726e-06-0j -0.000103046-0j 1.52671e-06-0j 0.00431539-0j 1.61932e-06-0j -1.15599e-06-0j -4.08704e-07-0j -2.57615e-05-0j -9.63325e-08-0j 1.34943e-07-0j -9.10805e-06-0j -1.02176e-07-0j -2.14679e-06-0j 5.02903e-09-0j -8.51467e-09-0j -2.27701e-06-0j -3.17323e-10-0j -1.89751e-07-0j -7.0716e-09-0j 
0.000307448-0j -0.0104465-0j 4.52913e-06-0j 4.64632e-06-0j 7.74387e-07-0j 0.00866846-0j -1.86056e-05-0j 5.7039e-09-0j 0.000169075-0j -0.000164908-0j 2.72844e-05-0j -2.66119e-05-0j -0.00428199-0j 0.00417645-0j 3.2155e-06-0j 0.0509035-0j -3.13625e-06-0j -0.0496488-0j -6.30797e-05-0j 6.15249e-05-0j 1.49793e-08-0j -1.46101e-08-0j 0.000125626-0j 2.69338e-06-0j -0.00017665-0j 1.98632e-05-0j 4.2586e-07-0j -0.00301833-0j -2.79308e-05-0j 1.04688e-05-0j 2.26657e-06-0j -6.47118e-05-0j 2.24448e-07-0j -0.000503054-0j 0.00424424-0j 4.85944e-08-0j 0.0512783-0j -1.47208e-05-0j 2.18101e-07-0j -3.18715e-06-0j 0.00422865-0j -1.07853e-05-0j 0.00109939-0j 0.000707373-0j 4.676e-09-0j -3.70535e-06-0j -0.0721053-0j 9.06607e-05-0j -3.06684e-07-0j 7.18433e-10-0j -7.94413e-08-0j -0.00594615-0j 1.54029e-11-0j 5.2103e-06-0j -1.01023e-09-0j 
-0.059179-0j -0.00341685-0j -0.000866291-0j 0.000357564-0j 0.40565-0j 3.64937e-05-0j -0.000709928-0j -8.41048e-05-0j -0.000219016-0j 0.00022777-0j 0.00166649-0j -0.00173309-0j 0.00416603-0j -0.00433254-0j -0.0573066-0j 0.000170085-0j 0.059597-0j -0.000176883-0j 6.09844e-05-0j -6.34219e-05-0j 4.65218e-06-0j -4.83812e-06-0j -0.000329409-0j -0.000201372-0j 0.000120909-0j 0.00245582-0j 0.00150127-0j -4.11761e-05-0j -0.000901404-0j 0.00795323-0j 0.000566405-0j -2.51715e-05-0j 0.00486191-0j -0.0467136-0j 1.51136e-05-0j 0.000346251-0j -2.42633e-06-0j -0.00291922-0j -0.0118435-0j -0.000207898-0j 5.78085e-05-0j -0.0285566-0j -1.48324e-06-0j 0.0171461-0j -0.00724009-0j 9.68529e-06-0j 8.90578e-07-0j 3.53391e-05-0j 0.00434714-0j 5.42366e-07-0j 5.92074e-06-0j -2.12185e-05-0j 3.31555e-07-0j -3.55497e-06-0j -1.99075e-07-0j 
-0.00177542-0j -0.000313853-0j -2.61544e-05-0j -0.583523-0j 0.000502791-0j 0.000307895-0j 6.28489e-05-0j 3.7034e-06-0j 0.000948566-0j -0.000885706-0j -0.0296088-0j 0.0276467-0j 0.000124985-0j -0.000116702-0j 1.804e-05-0j 1.56231e-05-0j -1.68445e-05-0j -1.45877e-05-0j 1.8412e-06-0j -1.71918e-06-0j 8.40387e-08-0j -7.84696e-08-0j -0.000725454-0j -0.00169896-0j -0.002013-0j -0.000114704-0j -0.00026863-0j 0.0175404-0j -0.000318283-0j -6.04545e-05-0j 0.00253174-0j 0.0410784-0j -0.00014158-0j -1.51136e-05-0j 0.0486713-0j 0.00592915-0j -5.34347e-06-0j -0.00016775-0j -1.25947e-06-0j 0.0070251-0j -1.33587e-06-0j -3.53951e-05-0j -1.2514e-05-0j -4.19375e-05-0j -2.94959e-06-0j -1.11322e-07-0j -1.48272e-05-0j -3.12851e-06-0j -3.49479e-06-0j -4.14874e-09-0j -2.60709e-07-0j -3.70679e-06-0j -9.71606e-09-0j -3.08899e-07-0j -1.1512e-08-0j 
-6.27575e-05-0j -0.101082-0j -0.0125947-0j -9.48426e-07-0j 1.50645e-05-0j 1.86056e-05-0j 0.00839766-0j -3.19462e-05-0j -3.45124e-05-0j 3.36617e-05-0j 0.000530776-0j -0.000517694-0j 0.000434755-0j -0.000424039-0j -0.00291781-0j -0.0104124-0j 0.0028459-0j 0.0101558-0j 0.0872506-0j -0.0851-0j -0.000140315-0j 0.000136857-0j -2.56433e-05-0j -5.49783e-07-0j 3.60585e-05-0j 0.000386408-0j 8.28446e-06-0j 0.000306454-0j -0.000543351-0j -2.13694e-06-0j -0.00205673-0j 6.57026e-06-0j -4.58153e-08-0j -0.00486762-0j -0.000430922-0j -4.40957e-05-0j 5.45517e-05-0j 3.00488e-06-0j -0.000606501-0j 0.00289209-0j 0.0403477-0j -0.00010436-0j 1.16957e-06-0j 0.00684463-0j -1.30032e-05-0j 0.0103224-0j -7.67082e-05-0j 0.000865041-0j 0.000852836-0j -1.01157e-05-0j 0.000221309-0j -0.0567352-0j -2.16877e-07-0j -0.0145149-0j 1.42243e-05-0j 
0.00025103-0j -0.00852956-0j 3.69802e-06-0j 0.000218962-0j 3.64937e-05-0j 0.408509-0j -0.000876808-0j 2.68801e-07-0j -0.00013412-0j 0.00013948-0j -2.16434e-05-0j 2.25085e-05-0j 0.0033967-0j -0.00353246-0j -2.5507e-06-0j -0.0403793-0j 2.65265e-06-0j 0.0419932-0j 5.00381e-05-0j -5.20381e-05-0j -1.18824e-08-0j 1.23573e-08-0j -0.000201721-0j -0.000123315-0j 7.40413e-05-0j -3.18949e-05-0j -1.94977e-05-0j 0.0048466-0j 1.1707e-05-0j -1.68101e-05-0j -3.63949e-06-0j 0.00296279-0j -1.02762e-05-0j 0.000807767-0j -0.00177894-0j -2.22487e-06-0j -0.0823389-0j 6.17011e-06-0j -3.5021e-07-0j 1.33587e-06-0j -0.00679005-0j 0.000493798-0j -0.0503348-0j -0.000296489-0j -2.14088e-07-0j 5.94977e-06-0j 0.0302223-0j -0.00415084-0j 1.28544e-07-0j -1.15361e-09-0j 3.63717e-06-0j 0.00249228-0j -7.05214e-10-0j -2.18385e-06-0j 4.23429e-10-0j 
0.0597923-0j 0.00345226-0j 0.000875268-0j 0.000348751-0j 0.395651-0j 3.55942e-05-0j -0.00069243-0j -8.20318e-05-0j -0.00022777-0j 0.000229992-0j 0.00173309-0j -0.00175-0j 0.00433254-0j -0.00437481-0j -0.059597-0j 0.000176883-0j 0.0601785-0j -0.000178609-0j 6.34219e-05-0j -6.40406e-05-0j 4.83812e-06-0j -4.88532e-06-0j 0.000332823-0j 0.000202164-0j -0.000109683-0j -0.00248127-0j -0.00150718-0j 4.16028e-05-0j 0.000817709-0j -0.00803565-0j -0.000572275-0j 2.52705e-05-0j -0.00488102-0j 0.0471977-0j -1.37103e-05-0j -0.000347612-0j 2.45147e-06-0j 0.00264817-0j 0.0119662-0j 0.000188595-0j -5.84075e-05-0j 0.0286689-0j 1.48908e-06-0j -0.0155541-0j 0.00726856-0j -9.78566e-06-0j -8.07888e-07-0j -3.5478e-05-0j -0.00394351-0j -5.47987e-07-0j -5.94402e-06-0j 1.92484e-05-0j -3.32859e-07-0j 3.22489e-06-0j 1.80591e-07-0j 
3.69802e-06-0j -0.000125256-0j -0.141447-0j 5.58866e-08-0j -1.78468e-06-0j 5.7039e-09-0j 3.19462e-05-0j 0.00812734-0j 2.03366e-06-0j -1.98354e-06-0j -6.28808e-05-0j 6.13309e-05-0j 2.67958e-07-0j -2.61354e-07-0j 0.00106121-0j -6.41774e-06-0j -0.00103505-0j 6.25956e-06-0j -0.0102492-0j 0.00999661-0j 0.111446-0j -0.108699-0j 1.51105e-06-0j 3.23963e-08-0j -2.12477e-06-0j -4.57776e-05-0j -9.81455e-07-0j 1.88881e-07-0j 6.43705e-05-0j 1.25921e-07-0j 0.000748033-0j 4.04954e-09-0j 2.69969e-09-0j -6.03173e-06-0j -2.65596e-07-0j 1.60376e-05-0j 1.11299e-08-0j -1.77064e-07-0j -0.00681139-0j -0.00105185-0j 7.63458e-05-0j -1.29318e-07-0j 2.38621e-10-0j 8.48155e-06-0j -0.000146034-0j 0.0274681-0j -1.56504e-08-0j 1.63683e-06-0j 0.00957788-0j 0.0162633-0j 0.000588907-0j -0.000107354-0j 0.00034868-0j -0.0386245-0j -0.0228688-0j 
0.000567255-0j 0.000100277-0j 8.35646e-06-0j 0.374535-0j -0.000322717-0j -0.000197623-0j -4.03396e-05-0j -2.37703e-06-0j 0.000311952-0j 0.0033051-0j -0.00973736-0j -0.103166-0j 4.11033e-05-0j 0.000435485-0j 5.93275e-06-0j 5.13791e-06-0j 6.28568e-05-0j 5.44356e-05-0j 6.05508e-07-0j 6.4153e-06-0j 2.76376e-08-0j 2.92817e-07-0j 0.000231786-0j -0.00112243-0j -0.00213093-0j 3.66486e-05-0j -0.000177473-0j -0.00560423-0j -0.00033693-0j 1.93155e-05-0j -0.000808902-0j 0.0271388-0j -9.35362e-05-0j 4.82887e-06-0j 0.0515227-0j 0.00391715-0j 1.70726e-06-0j -0.000177578-0j 4.02406e-07-0j 0.00743666-0j 4.26816e-07-0j -2.33841e-05-0j -8.26751e-06-0j -4.43944e-05-0j -1.94867e-06-0j 3.5568e-08-0j -1.56958e-05-0j -2.06688e-06-0j -3.69953e-06-0j 1.32554e-09-0j -1.7224e-07-0j -3.92395e-06-0j -6.419e-09-0j -3.26995e-07-0j -1.21864e-08-0j 
-5.12413e-05-0j -0.0825331-0j -0.0102836-0j -4.46955e-05-0j 0.000709928-0j 0.000876808-0j 0.395747-0j -0.0015055-0j 2.7377e-05-0j -2.84713e-05-0j -0.00042104-0j 0.000437868-0j -0.000344871-0j 0.000358655-0j 0.00231456-0j 0.00825969-0j -0.00240707-0j -0.00858982-0j -0.0692118-0j 0.071978-0j 0.000111305-0j -0.000115754-0j 4.11761e-05-0j 2.51715e-05-0j -1.51136e-05-0j -0.000620466-0j -0.000379299-0j -0.000492081-0j 0.000227741-0j 3.43134e-06-0j 0.00330255-0j -0.000300815-0j 2.09762e-06-0j 0.00781605-0j 0.000180617-0j 0.00201889-0j -8.7595e-05-0j -1.25947e-06-0j 0.000973874-0j -0.0012122-0j -0.0647874-0j 0.00477805-0j -5.35479e-05-0j -0.00286887-0j 0.000595342-0j -0.016575-0j 3.21516e-05-0j -0.0396053-0j -0.000357459-0j 1.62431e-05-0j -0.0101325-0j 0.0237801-0j 9.92958e-06-0j 0.0060838-0j -5.96198e-06-0j 
-0.000253631-0j 0.00861796-0j -3.73634e-06-0j 0.000213565-0j 3.55942e-05-0j 0.39844-0j -0.000855196-0j 2.62176e-07-0j -0.00013948-0j 0.000140841-0j -2.25085e-05-0j 2.27281e-05-0j 0.00353246-0j -0.00356692-0j -2.65265e-06-0j -0.0419932-0j 2.67853e-06-0j 0.0424029-0j 5.20381e-05-0j -5.25458e-05-0j -1.23573e-08-0j 1.24779e-08-0j 0.000203811-0j 0.000123799-0j -6.71666e-05-0j 3.22254e-05-0j 1.95744e-05-0j -0.00489683-0j -1.062e-05-0j 1.69843e-05-0j 3.6772e-06-0j -0.00297444-0j 1.03166e-05-0j -0.000816138-0j 0.00161376-0j 2.23361e-06-0j 0.0831921-0j -5.59722e-06-0j 3.53839e-07-0j -1.21183e-06-0j 0.00686042-0j -0.00049574-0j 0.0505327-0j 0.00026896-0j 2.1493e-07-0j -6.01142e-06-0j -0.0274162-0j 0.00416716-0j -1.16609e-07-0j 1.16556e-09-0j -3.65147e-06-0j -0.00226087-0j 7.07986e-10-0j 1.98108e-06-0j -3.84113e-10-0j 
0.0517816-0j 0.00298974-0j 0.000758004-0j -5.42071e-06-0j -0.0061497-0j -5.53249e-07-0j 1.07626e-05-0j 1.27504e-06-0j 0.000580533-0j 0.000192393-0j -0.00441726-0j -0.00146391-0j -0.0110427-0j -0.00365961-0j 0.151899-0j -0.000450834-0j 0.0503404-0j -0.00014941-0j -0.000161648-0j -5.35712e-05-0j -1.23312e-05-0j -4.08666e-06-0j -0.000146564-0j 9.24792e-06-0j 0.000206092-0j 0.00109267-0j -6.89454e-05-0j -1.83205e-05-0j -0.00153646-0j 0.00353863-0j 0.00025201-0j 1.15599e-06-0j -0.000223281-0j -0.0207842-0j 2.57615e-05-0j -1.59014e-05-0j -1.07954e-06-0j -0.00497586-0j -0.00526953-0j -0.000354366-0j 2.57207e-05-0j 0.00131145-0j 6.81173e-08-0j 0.0292259-0j 0.000332498-0j 4.30927e-06-0j 1.51801e-06-0j -1.62293e-06-0j 0.00740978-0j 2.41315e-07-0j -2.71908e-07-0j -3.61673e-05-0j -1.52265e-08-0j -6.05951e-06-0j -3.39326e-07-0j 
-0.000219651-0j 0.00746337-0j -3.23577e-06-0j -3.31949e-06-0j -5.53249e-07-0j -0.00619305-0j 1.32925e-05-0j -4.07506e-09-0j 0.000355502-0j 0.000117816-0j 5.7369e-05-0j 1.90125e-05-0j -0.00900343-0j -0.0029838-0j 6.761e-06-0j 0.107031-0j 2.24064e-06-0j 0.0354708-0j -0.000132633-0j -4.39555e-05-0j 3.14959e-08-0j 1.0438e-08-0j -8.97516e-05-0j 5.66317e-06-0j 0.000126205-0j -1.4191e-05-0j 8.95426e-07-0j 0.0021564-0j 1.99547e-05-0j -7.4793e-06-0j -1.61932e-06-0j -0.000136065-0j 4.71931e-07-0j 0.000359399-0j -0.00303223-0j 1.02176e-07-0j -0.036635-0j 1.05171e-05-0j -1.55819e-07-0j 2.27701e-06-0j -0.00302109-0j -2.26775e-05-0j 0.0023116-0j -0.000505372-0j 9.83189e-09-0j 2.64723e-06-0j 0.0515145-0j 0.000190626-0j 2.19106e-07-0j -5.13273e-10-0j -1.67035e-07-0j 0.00424813-0j 3.23866e-11-0j -3.72242e-06-0j 7.21743e-10-0j 
3.01942e-06-0j -0.000102271-0j -0.115491-0j 2.63371e-06-0j -8.41048e-05-0j 2.68801e-07-0j 0.0015055-0j 0.383008-0j -1.61321e-06-0j 1.67768e-06-0j 4.98803e-05-0j -5.1874e-05-0j -2.12559e-07-0j 2.21054e-07-0j -0.000841805-0j 5.09089e-06-0j 0.000875451-0j -5.29437e-06-0j 0.00813023-0j -0.00845518-0j -0.0884049-0j 0.0919383-0j -2.42633e-06-0j -1.48324e-06-0j 8.90578e-07-0j 7.35062e-05-0j 4.49353e-05-0j -3.03291e-07-0j -2.69803e-05-0j -2.02194e-07-0j -0.00120114-0j -1.85405e-07-0j -1.23604e-07-0j 9.68529e-06-0j 1.11322e-07-0j -0.000734269-0j -1.78716e-08-0j 7.42149e-08-0j 0.0109372-0j 0.000440874-0j -0.00012259-0j 5.92074e-06-0j -1.09251e-08-0j -3.55497e-06-0j 0.00668606-0j -0.0441063-0j 6.55973e-09-0j -7.4941e-05-0j -0.00401449-0j -0.0261145-0j -0.0269627-0j 4.49966e-05-0j -0.0159641-0j 0.0161891-0j 0.00958526-0j 
-0.0427176-0j -0.00246641-0j -0.000625322-0j -0.000502791-0j -0.570407-0j -5.13159e-05-0j 0.000998271-0j 0.000118265-0j -0.000158094-0j 0.000147618-0j 0.00120293-0j -0.00112322-0j 0.0030072-0j -0.00280792-0j -0.0413661-0j 0.000122774-0j 0.0386248-0j -0.000114638-0j 4.40209e-05-0j -4.11037e-05-0j 3.35812e-06-0j -3.13558e-06-0j 0.000120909-0j 0.00028316-0j 0.0003355-0j -0.000901404-0j -0.00211103-0j 1.51136e-05-0j -0.00250123-0j -0.00291922-0j -0.000207898-0j 3.53951e-05-0j -0.00683661-0j 0.0171461-0j 4.19375e-05-0j -0.000486883-0j 8.90578e-07-0j -0.00810029-0j 0.00434714-0j -0.000576879-0j -2.12185e-05-0j 0.0401551-0j 2.08567e-06-0j 0.0475774-0j 0.0101807-0j -3.55497e-06-0j 2.47119e-06-0j -4.96923e-05-0j 0.0120625-0j -1.99075e-07-0j -8.32549e-06-0j -5.88774e-05-0j -4.66219e-07-0j -9.86439e-06-0j -5.52395e-07-0j 
5.17723e-05-0j 0.0833884-0j 0.0103901-0j -4.35938e-05-0j 0.00069243-0j 0.000855196-0j 0.385993-0j -0.00146839-0j 2.84713e-05-0j -2.8749e-05-0j -0.000437868-0j 0.00044214-0j -0.000358655-0j 0.000362154-0j 0.00240707-0j 0.00858982-0j -0.00243056-0j -0.00867362-0j -0.071978-0j 0.0726803-0j 0.000115754-0j -0.000116883-0j -4.16028e-05-0j -2.52705e-05-0j 1.37103e-05-0j 0.000626895-0j 0.00038079-0j 0.00049718-0j -0.000206595-0j -3.4669e-06-0j -0.00333678-0j 0.000301998-0j -2.10587e-06-0j -0.00789705-0j -0.000163847-0j -0.00202683-0j 8.85027e-05-0j 1.14253e-06-0j -0.000983966-0j 0.00109964-0j 0.0654587-0j -0.00479684-0j 5.37585e-05-0j 0.00260249-0j -0.000597682-0j 0.0167467-0j -2.91663e-05-0j 0.0397611-0j 0.000324269-0j -1.64114e-05-0j 0.0101723-0j -0.0215721-0j -9.96863e-06-0j -0.00551893-0j 5.40841e-06-0j 
