0.351162-0.143467j 0.839778-0.130128j 1.23367-0.239585j -1.94186+0.753777j -1.94063+0.587795j 5.20946-1.03586j 0.655425-0.792115j 6.55068-1.47654j 6.55145-1.7047j -1.41061+0.387073j -10.7301+2.18843j 5.1142-1.27933j -5.90857+1.19236j -9.76202+2.09917j 3.43344-0.757141j 20.2877-4.3051j -13.1544+2.95266j -1.21318+0.309208j 5.17794-1.00774j 4.47435-1.04383j 3.90864-0.815993j 22.3673-4.7571j 0.730116-0.167919j 16.8988-3.56953j -1.11346+0.222457j 0.942515+0.0540681j 17.7297-3.69418j 0.742497-0.208902j 16.9888-3.67201j 0.459477-0.0370614j 22.1255-4.84969j 3.91918-0.840416j -4.45205+1.21989j -5.25752+1.34917j 1.21237-0.108311j 12.5844-3.21424j -19.5331+4.50362j 3.22769-0.782416j 9.02458-2.03205j 5.64856-1.2363j 4.82479-1.21621j 10.2245-1.54111j 1.08286-0.0085204j 6.5863-1.06925j -6.36943+0.770827j 0.850897-0.780263j 5.2209-0.774989j 1.45928-0.336467j 1.9696-0.889242j 2.44968-1.8167j 1.19068-0.449001j -1.85173-2.46882j 
73.1618-2.98782j 449.828-1.26007j 782.131+11.3316j -1099.65+12.817j -1074.08+10.4851j 2725.6-10.5907j 426.835-18.9707j 3446.35-11.5945j 3551-29.5752j -778.602+6.9065j -5503.35-4.63135j 2742.82-9.87504j -3101.32-2.26667j -5041.68+10.5904j 1845.84-5.56937j 10602.4+0.498909j -6873.61+0.138893j -639.907+3.24233j 2775.34+4.08116j 2249.61-9.40851j 2034.41+1.45275j 11663.4+10.6788j 254.313-8.01139j 8867.33+21.2129j -443.185+6.24024j 482.391+7.05685j 9241.94+23.1654j 443.261+8.65913j 8868.41+22.5604j 255.542+10.6594j 11664.1+47.807j 2034.41+7.90614j -2250.68-23.2114j -2776.29-9.72682j 640.13+6.45983j 6873.47+36.8213j -10604.6-52.3437j 1846.82+15.4224j 5042.19+37.4983j 3101.15+11.2422j 2743.05+24.4978j 5504.46+21.3747j 778.282+11.4647j 3552.13+50.6491j -3445.96-29.8272j 427.76+22.948j 2725.69+24.3187j 1074.13+16.813j 1099.67+19.4504j 782.487-8.17987j 450.141+3.87386j 73.2967+3.84756j 
-166.269+6.92377j -1022.16+3.55237j -1776.69-24.9987j 2497.54-31.2179j 2439.37-25.034j -6191.19+26.9956j -970.576+43.6508j -7827.99+30.679j -8066.12+71.6207j 1768.23-16.7229j 12500.5+4.83498j -6229.85+26.0356j 7045.32+1.3905j 11452.3-30.2164j -4193.02+14.7832j -24084.4+11.5139j 15613.6-6.90404j 1453.31-8.66044j -6305.03-5.8446j -5110.47+23.4897j -4622.77-1.35911j -26491.3-11.4205j -578.733+18.3533j -20143.2-38.8276j 1007.6-15.7691j -1097.99-12.599j -20991.1-42.6434j -1008.21-19.8335j -20143.2-40.8248j -579.033-22.2155j -26493.1-96.2575j -4621.98-17.1861j 5111.35+49.6814j 6305.84+18.6641j -1453.97-14.0209j -15615.4-74.1363j 24084.7+109.597j -4193.32-31.9255j -11452.5-77.8704j -7045.73-27.0215j -6230.43-52.7096j -12500.7-43.7467j -1768.64-25.9005j -8068.81-108.575j 7829.18+63.5502j -971.613-51.7134j -6192.24-52.6739j -2440.23-35.9716j -2498.88-42.4786j -1776.73+19.3725j -1022.74-7.61067j -166.156-8.65922j 
-24.7324+0.769555j -152.689+0.410317j -264.999-3.85373j 371.85-3.62429j 363.585-3.16877j -923.058+3.05915j -144.407+6.1283j -1167.29+2.98045j -1202.42+8.23943j 263.699-1.86948j 1863.58+2.76916j -928.555+2.55715j 1050.52+1.78529j 1707.06-1.87175j -625.337+1.50466j -3591.28-3.03434j 2328.17+1.91476j 216.61-0.488154j -940.867-1.80425j -762.804+1.83924j -689-1.00092j -3951.35-6.47855j -85.0169+2.66677j -3004.39-9.75927j 150.274-1.61765j -163.712-1.69196j -3130.79-9.05207j -150.228-2.50136j -3003.66-9.62131j -85.8901-3.7665j -3950.37-19.0327j -689.214-3.64683j 762.209+8.28472j 940.258+4.16655j -217.26-2.32761j -2327.75-14.103j 3591.55+21.1113j -625.533-5.86699j -1708.49-14.7608j -1050.97-4.50928j -928.676-8.82123j -1863.88-9.45656j -264.872-4.43227j -1203.17-18.0096j 1167.86+10.6851j -145.239-8.22327j -923.435-8.63797j -364.194-5.64695j -373.039-6.79441j -264.6+2.05399j -152.414-0.977597j -24.5342-1.32035j 
-35.9057+1.26803j -220.516+0.314072j -383.251-5.66664j 539.056-5.50312j 526.195-4.19991j -1335.83+3.33873j -209.502+8.97113j -1688.86+3.35489j -1740.34+11.8253j 381.563-2.22817j 2697.14+5.7118j -1344.09+2.73255j 1520.44+2.97869j 2471.17-1.87362j -905.009+1.52546j -5196.61-6.84192j 3369.64+4.51172j 313.506-1.70303j -1360.34-3.07069j -1102.94+1.70382j -996.921-1.3515j -5716.16-12.9709j -124.84+3.41704j -4346.68-15.9328j 217.508-3.05318j -237.018-4.0918j -4530.21-16.3624j -217.113-5.0166j -4346.48-18.4789j -124.137-5.31589j -5717.31-31.7353j -997.386-5.51582j 1103.94+13.8036j 1361.41+5.60976j -315.409-3.44992j -3369.96-22.0983j 5196.56+33.3312j -905.384-9.18505j -2471.54-21.221j -1520.51-7.56322j -1344.22-13.8876j -2696.72-14.3094j -381.57-5.8829j -1741.14-27.6753j 1690.1+16.6855j -209.84-11.8833j -1336.4-13.2149j -526.698-9.09929j -539.46-10.2339j -383.257+3.96298j -220.612-2.24498j -35.8192-1.90343j 
5.02198-0.520203j 30.7871-0.738436j 53.759+0.247598j -75.4192+2.75521j -73.9253+2.53086j 186.837-4.54266j 29.3665-2.06089j 236.29-5.76445j 243.593-7.66327j -53.5189+2.00381j -377.249+6.72098j 188.237-4.40375j -212.419+4.3172j -345.974+7.62878j 126.393-3.1313j 726.977-13.9161j -470.389+9.64831j -44.3829+1.57806j 190.353-2.98457j 154.054-4.4904j 139.75-2.97875j 798.912-13.8166j 17.397-0.27053j 608.053-9.71881j -29.0707+1.14168j 34.0268-0.836448j 633.83-10.2024j 29.8219-0.0292617j 607.275-9.52994j 17.6955-0.298193j 798.153-11.2647j 138.328-2.82449j -153.602+2.55037j -189.876+2.76343j 44.6505-0.001149j 470.464-7.27494j -726.159+9.25042j 125.815-1.90361j 345.286-3.11815j 212.024-2.17966j 187.307-2.80617j 376.618-5.79545j 52.6952-0.556627j 243.092-2.11863j -235.191+2.75172j 28.998+0.275169j 186.105-1.89883j 72.9752-0.524521j 74.8258-0.216401j 53.6435-1.15139j 30.9294-0.441305j 5.05528+0.217376j 
-88.3957+3.78073j -542.608+2.62261j -943.157-12.3192j 1326.01-17.7572j 1295.71-15.0509j -3286.22+18.187j -515.236+24.3795j -4154.88+21.1751j -4281.49+43.3022j 938.453-9.69726j 6634.85-4.32825j -3306.61+17.542j 3739.83-3.48847j 6079.31-22.6769j -2225.64+10.4682j -12783.3+19.2418j 8287.81-13.0705j 770.689-3.95446j -3346.71-0.335445j -2712.96+15.553j -2454.03+1.50952j -14061.5+9.08291j -307.344+9.75283j -10692.3-9.01442j 535.331-8.33267j -582.869-5.83112j -11141.7-11.2269j -534.626-10.4447j -10692.6-11.4361j -307.126-12.7688j -14061.5-37.0878j -2452.49-6.28759j 2712.23+23.2001j 3346.35+6.51848j -770.937-5.5748j -8287.63-29.943j 12784.1+44.9486j -2225.32-14.8336j -6079.3-34.1938j -3739.43-10.7567j -3307.31-24.7623j -6634.69-17.4534j -938.477-12.4914j -4282.52-53.5918j 4155.45+29.8759j -515.2-26.4953j -3285.96-23.8023j -1294.39-17.5152j -1325.93-21.2328j -942.699+11.2597j -542.833-3.76025j -88.1332-4.51314j 
-51.0309+2.48296j -312.539+2.30172j -543.233-6.46898j 764.126-11.9869j 746.314-9.67686j -1893.35+13.7949j -296.689+14.9873j -2394+16.6919j -2466.99+30.5858j 540.956-7.52304j 3822.46-8.69687j -1905.31+14.2399j 2154.68-5.49399j 3502.71-19.6969j -1282.12+8.37243j -7365.15+25.6713j 4773.86-18.0864j 443.822-3.45469j -1928.06+3.22808j -1563.69+13.2501j -1413.87+4.34117j -8101.99+20.7166j -176.882+6.26037j -6159.98+6.63683j 307.516-6.60548j -336.024-3.28231j -6419.08+6.4024j -307.789-4.71587j -6159.74+6.82677j -176.407-5.5868j -8102.4-5.77638j -1414.87-2.16223j 1562.92+9.21584j 1928.19+0.102727j -443.514-3.15193j -4775.16-7.26938j 7364.09+10.7184j -1282.1-6.05191j -3502.94-12.7243j -2154.65-1.85524j -1905.24-10.5935j -3822.67-2.64708j -540.772-5.85189j -2467.41-25.8197j 2393.94+11.9785j -296.931-14.2817j -1892.95-10.2878j -746.202-8.56732j -764.017-10.3357j -543.156+7.41158j -312.292-1.4704j -50.771-2.50259j 
108.374-4.69792j 666.326-3.34732j 1157.49+15.286j -1627.73+22.5927j -1589.92+18.6359j 4035.13-22.1408j 632.685-30.1876j 5101.59-26.4231j 5256.2-54.2815j -1152.48+12.4016j -8145.94+6.49373j 4060.24-22.143j -4590.87+5.19619j -7462.66+28.5388j 2732.65-12.9896j 15693.9-24.709j -10174.5+17.4343j -947.136+6.68234j 4108.84-1.48782j 3330.67-20.6953j 3012.84-2.03412j 17262.7-13.3332j 377.36-12.7587j 13126.9+9.91925j -656.36+10.7672j 715.675+6.2308j 13678.7+10.7781j 655.663+12.0513j 13125.3+10.8582j 376.981+14.3928j 17263.9+43.1211j 3013.63+8.32916j -3329.86-27.504j -4109.31-6.6959j 947.824+7.92474j 10175.2+36.4307j -15695.4-52.9039j 2731.74+18.7264j 7462.39+41.4918j 4591.08+12.0919j 4060.07+28.6911j 8145.9+20.1117j 1151.96+14.5957j 5256.97+64.7299j -5101.65-35.0192j 631.938+32.7458j 4034.95+29.2186j 1590.08+21.4435j 1628.02+25.5626j 1157.52-13.5682j 666.566+4.44865j 108.272+5.14593j 
-103.416+4.36986j -637.59+2.79327j -1107.52-14.6294j 1557.52-21.641j 1521.33-17.3873j -3860.29+20.7008j -604.679+28.5598j -4880.31+24.1507j -5028.5+50.6195j 1102.07-11.7024j 7792.36-4.65751j -3884.28+19.5964j 4391.46-2.90432j 7139.8-25.5445j -2613.44+11.3253j -15014.2+21.8802j 9733.31-14.6775j 905.631-4.73255j -3930.45-0.352342j -3186.03+18.9721j -2881.16+2.23368j -16515.5+8.25128j -361.654+12.5872j -12556.7-12.5744j 627.918-10.2307j -684.633-6.36816j -13085.8-13.2674j -628.459-11.6313j -12556.6-14.1479j -360.041-12.9735j -16515.8-46.1532j -2881.99-9.17226j 3185.78+26.2775j 3930.42+7.2024j -906.055-8.10635j -9734.31-36.9692j 15014+54.2345j -2615.04-16.6857j -7140.51-41.7498j -4391.84-12.3574j -3884.66-28.9422j -7793.31-20.2972j -1101.97-14.7989j -5029.28-63.2061j 4880.43+34.4981j -605.387-30.4531j -3859.99-28.7116j -1521.22-20.7099j -1557.1-25.5022j -1107.68+13.119j -638.009-4.40364j -103.494-4.8143j 
48.3115-2.08768j 299.054-0.708507j 519.869+7.38874j -731.022+9.02369j -713.918+7.32611j 1811.43-7.90093j 284.105-13.1495j 2290.76-8.75845j 2360.13-20.5213j -517.472+4.52413j -3658.18-1.68241j 1822.35-7.92374j -2061+0.400403j -3350.74+8.12663j 1227.14-3.76102j 7047.02-2.47365j -4568.2+1.8966j -426.054+1.83226j 1843.98+2.72495j 1495.29-6.63899j 1352.19+0.938899j 7752.06+3.85281j 168.859-4.63399j 5894.38+12.6821j -294.466+3.91909j 321.736+3.66005j 6142.11+12.3505j 293.783+4.83955j 5894.28+12.8826j 170.335+5.9311j 7753.36+29.4256j 1352.89+5.34772j -1495.97-15.3811j -1844.7-5.33027j 426.007+4.2606j 4569.3+21.7319j -7047.17-32.4077j 1227.03+10.4748j 3352.19+24.0563j 2061.54+7.98846j 1824.36+15.7104j 3657.39+13.4783j 517.585+7.4293j 2361.09+32.1008j -2291-18.9267j 283.989+15.5326j 1811.78+15.6279j 713.776+10.4442j 731.383+13.0188j 519.885-5.56818j 299.197+2.66472j 48.6153+2.30752j 
101.774-4.89158j 625.222-3.66011j 1086.39+13.9345j -1528.2+22.5484j -1492.65+18.7126j 3787.78-24.0474j 593.408-29.3762j 4788.99-28.7772j 4935-55.8911j -1081.46+12.7829j -7647+12.1421j 3811.22-24.2321j -4308.78+8.38993j -7005.94+32.7867j 2564.31-14.6744j 14731.7-36.4951j -9551+24.6641j -889.404+6.0184j 3858.83-4.18133j 3125.98-21.873j 2826.84-4.64454j 16205.1-25.7744j 353.271-12.6731j 12321-1.62587j -616.591+10.8926j 672.128+6.33343j 12839.9-0.216451j 616.574+10.9011j 12321+1.84444j 353.269+12.6986j 16205.1+26.038j 2826.84+4.68089j -3125.96-21.912j -3858.85-4.24315j 889.391+6.04538j 9550.98+24.8498j -14731.7-36.719j 2564.32+14.7261j 7005.96+32.9098j 4308.78+8.47351j 3811.23+24.2964j 7647+12.2698j 1081.47+12.8074j 4935.01+55.961j -4788.99-28.8506j 593.412+29.3844j 3787.79+24.106j 1492.64+18.7385j 1528.19+22.5783j 1086.38-13.9077j 625.224+3.68298j 101.781+4.89186j 
1.74534+0.0427935j 9.71147-0.792166j 16.2032-0.868902j -23.0075+1.39779j -22.3859+1.21882j 57.1647-2.25296j 9.04688-0.640776j 72.0963-2.88131j 74.4601-3.02486j -16.6217+0.907591j -115.295+4.46977j 57.5994-2.45078j -64.9738+3.0386j -106.439+4.256j 39.1253-1.79663j 221.841-7.99535j -143.821+6.94755j -13.1799+1.23248j 58.84-1.76728j 46.3184-1.93227j 42.7152-1.13612j 244.478-9.08928j 5.59332-1.09265j 185.035-7.87488j -8.69816+0.740263j 9.96769-0.39466j 193.759-7.76057j 9.81787+0.170058j 186.752-6.92153j 5.75146-0.634757j 243.662-8.75269j 42.0944-1.32456j -47.4218+0.705635j -57.3653+2.4178j 14.0563-0.593753j 144.958-5.61832j -221.362+7.16524j 38.4748-1.70414j 104.926-4.08067j 65.2983-2.61901j 57.2855-1.89888j 115.171-4.17437j 16.2007-0.75079j 73.8262-1.70564j -71.9981+2.08162j 8.77678+0.0853036j 56.8289-1.71808j 22.6345-0.534956j 23.2057-0.627021j 16.8452-0.942842j 9.57376-0.756055j 1.27152-0.061665j 
-48.6153+2.30752j -299.197+2.66472j -519.885-5.56818j 731.383-13.0188j 713.776-10.4442j -1811.78+15.6279j -283.989+15.5326j -2291+18.9267j -2361.09+32.1008j 517.585-7.4293j 3657.39-13.4783j -1824.36+15.7104j 2061.54-7.98846j 3352.19-24.0563j -1227.03+10.4748j -7047.17+32.4077j 4569.3-21.7319j 426.007-4.2606j -1844.7+5.33027j -1495.97+15.3811j -1352.89+5.34772j -7753.36+29.4256j -170.335+5.9311j -5894.28+12.8826j 293.783-4.83955j -321.3-2.3702j -6142.13+12.6661j -294.466-3.91909j -5894.38+12.6821j -168.859-4.63399j -7752.06+3.85281j -1352.19+0.938899j 1495.29+6.63899j 1843.98-2.72495j -426.054-1.83226j -4568.2-1.8966j 7047.02+2.47365j -1227.14-3.76102j -3350.74-8.12663j -2061-0.400403j -1822.35-7.92374j -3658.18+1.68241j -517.472-4.52413j -2360.13-20.5213j 2290.76+8.75845j -284.105-13.1495j -1811.43-7.90093j -713.918-7.32611j -731.022-9.02369j -519.869+7.38874j -299.054-0.708507j -48.3115-2.08768j 
103.494-4.8143j 638.009-4.40364j 1107.68+13.119j -1557.1+25.5022j -1521.22+20.7099j 3859.99-28.7116j 605.387-30.4531j 4880.43-34.4981j 5029.28-63.2061j -1101.97+14.7989j -7793.31+20.2972j 3884.66-28.9422j -4391.84+12.3574j -7140.51+41.7498j 2615.04-16.6857j 15014-54.2345j -9734.31+36.9692j -906.055+8.10635j 3930.42-7.2024j 3185.78-26.2775j 2881.99-9.17226j 16515.8-46.1532j 360.041-12.9735j 12556.6-14.1479j -628.459+11.6313j 685.284+4.9202j 13085.7-13.8581j 627.918+10.2307j 12556.7-12.5744j 361.654+12.5872j 16515.5+8.25128j 2881.16+2.23368j -3186.03-18.9721j -3930.45+0.352342j 905.631+4.73255j 9733.31+14.6775j -15014.2-21.8802j 2613.44+11.3253j 7139.8+25.5445j 4391.46+2.90432j 3884.28+19.5964j 7792.36+4.65751j 1102.07+11.7024j 5028.5+50.6195j -4880.31-24.1507j 604.679+28.5598j 3860.29+20.7008j 1521.33+17.3873j 1557.52+21.641j 1107.52-14.6294j 637.59+2.79327j 103.416+4.36986j 
-108.272+5.14593j -666.566+4.44865j -1157.52-13.5682j 1628.02-25.5626j 1590.08-21.4435j -4034.95+29.2186j -631.938+32.7458j -5101.65+35.0192j -5256.97+64.7299j 1151.96-14.5957j 8145.9-20.1117j -4060.07+28.6911j 4591.08-12.0919j 7462.39-41.4918j -2731.74+18.7264j -15695.4+52.9039j 10175.2-36.4307j 947.824-7.92474j -4109.31+6.6959j -3329.86+27.504j -3013.63+8.32916j -17263.9+43.1211j -376.981+14.3928j -13125.3+10.8582j 655.663-12.0513j -716.287-5.04509j -13678.6+11.3682j -656.36-10.7672j -13126.9+9.91925j -377.36-12.7587j -17262.7-13.3332j -3012.84-2.03412j 3330.67+20.6953j 4108.84+1.48782j -947.136-6.68234j -10174.5-17.4343j 15693.9+24.709j -2732.65-12.9896j -7462.66-28.5388j -4590.87-5.19619j -4060.24-22.143j -8145.94-6.49373j -1152.48-12.4016j -5256.2-54.2815j 5101.59+26.4231j -632.685-30.1876j -4035.13-22.1408j -1589.92-18.6359j -1627.73-22.5927j -1157.49+15.286j -666.326-3.34732j -108.374-4.69792j 
50.771-2.50259j 312.292-1.4704j 543.156+7.41158j -764.017+10.3357j -746.202+8.56732j 1892.95-10.2878j 296.931-14.2817j 2393.94-11.9785j 2467.41-25.8197j -540.772+5.85189j -3822.67+2.64708j 1905.24-10.5935j -2154.65+1.85524j -3502.94+12.7243j 1282.1-6.05191j 7364.09-10.7184j -4775.16+7.26938j -443.514+3.15193j 1928.19-0.102727j 1562.92-9.21584j 1414.87-2.16223j 8102.4-5.77638j 176.407-5.5868j 6159.74+6.82677j -307.789+4.71587j 336.048+3.93152j 6419.08+6.02494j 307.516+6.60548j 6159.98+6.63683j 176.882+6.26037j 8101.99+20.7166j 1413.87+4.34117j -1563.69-13.2501j -1928.06-3.22808j 443.822+3.45469j 4773.86+18.0864j -7365.15-25.6713j 1282.12+8.37243j 3502.71+19.6969j 2154.68+5.49399j 1905.31+14.2399j 3822.46+8.69687j 540.956+7.52304j 2466.99+30.5858j -2394-16.6919j 296.689+14.9873j 1893.35+13.7949j 746.314+9.67686j 764.126+11.9869j 543.233-6.46898j 312.539+2.30172j 51.0309+2.48296j 
88.1332-4.51314j 542.833-3.76025j 942.699+11.2597j -1325.93+21.2328j -1294.39+17.5152j 3285.96-23.8023j 515.2-26.4953j 4155.45-29.8759j 4282.52-53.5918j -938.477+12.4914j -6634.69+17.4534j 3307.31-24.7623j -3739.43+10.7567j -6079.3+34.1938j 2225.32-14.8336j 12784.1-44.9486j -8287.63+29.943j -770.937+5.5748j 3346.35-6.51848j 2712.23-23.2001j 2452.49-6.28759j 14061.5-37.0878j 307.126-12.7688j 10692.6-11.4361j -534.626+10.4447j 583.565+4.59706j 11141.7-11.7725j 535.331+8.33267j 10692.3-9.01442j 307.344+9.75283j 14061.5+9.08291j 2454.03+1.50952j -2712.96-15.553j -3346.71+0.335445j 770.689+3.95446j 8287.81+13.0705j -12783.3-19.2418j 2225.64+10.4682j 6079.31+22.6769j 3739.83+3.48847j 3306.61+17.542j 6634.85+4.32825j 938.453+9.69726j 4281.49+43.3022j -4154.88-21.1751j 515.236+24.3795j 3286.22+18.187j 1295.71+15.0509j 1326.01+17.7572j 943.157-12.3192j 542.608+2.62261j 88.3957+3.78073j 
5.05528-0.217376j 30.9294+0.441305j 53.6435+1.15139j -74.8258-0.216401j -72.9752-0.524521j 186.105+1.89883j 28.998-0.275169j 235.191+2.75172j 243.092+2.11863j -52.6952-0.556627j -376.618-5.79545j 187.307+2.80617j -212.024-2.17966j -345.286-3.11815j 125.815+1.90361j 726.159+9.25042j -470.464-7.27494j -44.6505-0.001149j 189.876+2.76343j 153.602+2.55037j 138.328+2.82449j 798.153+11.2647j 17.6955+0.298193j 607.275+9.52994j -29.8219-0.0292617j 32.285+0.309214j 633.922+10.2299j 29.0707+1.14168j 608.053+9.71881j 17.397+0.27053j 798.912+13.8166j 139.75+2.97875j -154.054-4.4904j -190.353-2.98457j 44.3829+1.57806j 470.389+9.64831j -726.977-13.9161j 126.393+3.1313j 345.974+7.62878j 212.419+4.3172j 188.237+4.40375j 377.249+6.72098j 53.5189+2.00381j 243.593+7.66327j -236.29-5.76445j 29.3665+2.06089j 186.837+4.54266j 73.9253+2.53086j 75.4192+2.75521j 53.759-0.247598j 30.7871+0.738436j 5.02198+0.520203j 
-35.8192+1.90343j -220.612+2.24498j -383.257-3.96298j 539.46-10.2339j 526.698-9.09929j -1336.4+13.2149j -209.84+11.8833j -1690.1+16.6855j -1741.14+27.6753j 381.57-5.8829j 2696.72-14.3094j -1344.22+13.8876j 1520.51-7.56322j 2471.54-21.221j -905.384+9.18505j -5196.56+33.3312j 3369.96-22.0983j 315.409-3.44992j -1361.41+5.60976j -1103.94+13.8036j -997.386+5.51582j -5717.31+31.7353j -124.137+5.31589j -4346.48+18.4789j 217.113-5.0166j -237.349-2.34731j -4530.19+16.6993j -217.508-3.05318j -4346.68+15.9328j -124.84-3.41704j -5716.16+12.9709j -996.921+1.3515j 1102.94+1.70382j 1360.34-3.07069j -313.506-1.70303j -3369.64+4.51172j 5196.61-6.84192j -905.009-1.52546j -2471.17-1.87362j -1520.44+2.97869j -1344.09-2.73255j -2697.14+5.7118j -381.563-2.22817j -1740.34-11.8253j 1688.86+3.35489j -209.502-8.97113j -1335.83-3.33873j -526.195-4.19991j -539.056-5.50312j -383.251+5.66664j -220.516-0.314072j -35.9057-1.26803j 
24.5342-1.32035j 152.414-0.977597j 264.6+2.05399j -373.039+6.79441j -364.194+5.64695j 923.435-8.63797j 145.239-8.22327j 1167.86-10.6851j 1203.17-18.0096j -264.872+4.43227j -1863.88+9.45656j 928.676-8.82123j -1050.97+4.50928j -1708.49+14.7608j 625.533-5.86699j 3591.55-21.1113j -2327.75+14.103j -217.26+2.32761j 940.258-4.16655j 762.209-8.28472j 689.214-3.64683j 3950.37-19.0327j 85.8901-3.7665j 3003.66-9.62131j -150.228+2.50136j 164.029+0.724106j 3130.77-9.17849j 150.274+1.61765j 3004.39-9.75927j 85.0169+2.66677j 3951.35-6.47855j 689-1.00092j -762.804-1.83924j -940.867+1.80425j 216.61+0.488154j 2328.17-1.91476j -3591.28+3.03434j 625.337+1.50466j 1707.06+1.87175j 1050.52-1.78529j 928.555+2.55715j 1863.58-2.76916j 263.699+1.86948j 1202.42+8.23943j -1167.29-2.98045j 144.407+6.1283j 923.058+3.05915j 363.585+3.16877j 371.85+3.62429j 264.999-3.85373j 152.689+0.410317j 24.7324+0.769555j 
-166.156+8.65922j -1022.74+7.61067j -1776.73-19.3725j 2498.88-42.4786j 2440.23-35.9716j -6192.24+52.6739j -971.613+51.7134j -7829.18+63.5502j -8068.81+108.575j 1768.64-25.9005j 12500.7-43.7467j -6230.43+52.7096j 7045.73-27.0215j 11452.5-77.8704j -4193.32+31.9255j -24084.7+109.597j 15615.4-74.1363j 1453.97-14.0209j -6305.84+18.6641j -5111.35+49.6814j -4621.98+17.1861j -26493.1+96.2575j -579.033+22.2155j -20143.2+40.8248j 1008.21-19.8335j -1099.62-8.0084j -20991+43.7217j -1007.6-15.7691j -20143.2+38.8276j -578.733-18.3533j -26491.3+11.4205j -4622.77+1.35911j 5110.47+23.4897j 6305.03-5.8446j -1453.31-8.66044j -15613.6-6.90404j 24084.4+11.5139j -4193.02-14.7832j -11452.3-30.2164j -7045.32+1.3905j -6229.85-26.0356j -12500.5+4.83498j -1768.23-16.7229j -8066.12-71.6207j 7827.99+30.679j -970.576-43.6508j -6191.19-26.9956j -2439.37-25.034j -2497.54-31.2179j -1776.69+24.9987j -1022.16-3.55237j -166.269-6.92377j 
73.2967-3.84756j 450.141-3.87386j 782.487+8.17987j -1099.67+19.4504j -1074.13+16.813j 2725.69-24.3187j 427.76-22.948j 3445.96-29.8272j 3552.13-50.6491j -778.282+11.4647j -5504.46+21.3747j 2743.05-24.4978j -3101.15+11.2422j -5042.19+37.4983j 1846.82-15.4224j 10604.6-52.3437j -6873.47+36.8213j -640.13+6.45983j 2776.29-9.72682j 2250.68-23.2114j 2034.41-7.90614j 11664.1-47.807j 255.542-10.6594j 8868.41-22.5604j -443.261+8.65913j 485.274+4.47431j 9241.79-23.7688j 443.185+6.24024j 8867.33-21.2129j 254.313+8.01139j 11663.4-10.6788j 2034.41-1.45275j -2249.61-9.40851j -2775.34+4.08116j 639.907+3.24233j 6873.61+0.138893j -10602.4+0.498909j 1845.84+5.56937j 5041.68+10.5904j 3101.32-2.26667j 2742.82+9.87504j 5503.35-4.63135j 778.602+6.9065j 3551+29.5752j -3446.35-11.5945j 426.835+18.9707j 2725.6+10.5907j 1074.08+10.4851j 1099.65+12.817j 782.131-11.3316j 449.828+1.26007j 73.1618+2.98782j 
-48.0117+2.88412j -294.693+2.20697j -512.301-5.77663j 719.04-12.2747j 702.768-10.6219j -1783.7+14.7342j -280.407+14.8647j -2256.63+17.8156j -2324.32+31.1344j 509.301-8.23295j 3602.18-12.0043j -1794.97+14.9471j 2030.19-7.10325j 3300.14-20.5387j -1207.37+8.6828j -6939.23+30.0539j 4499.23-19.7401j 418.645-3.22838j -1817.25+4.63688j -1471.39+14.1313j -1332+5.26232j -7633.84+24.9876j -167.449+6.32589j -5803.81+10.9364j 290.553-5.7605j -317.897-1.8628j -6048.62+9.94569j -290.236-5.51509j -5804.06+10.5428j -166.451-5.42173j -7633.08+1.47947j -1331.77-0.715519j 1472.32+7.83856j 1816.54-1.35292j -418.708-2.65544j -4498.8-2.79865j 6938.85+5.23381j -1207.71-4.46128j -3299.93-9.98212j -2029.47+0.090603j -1794.86-7.9187j -3601.92+0.176329j -509.512-5.32192j -2324-21.7159j 2255.46+9.39929j -279.604-13.0452j -1783.86-8.16251j -702.848-7.80733j -719.848-8.89712j -511.904+7.28908j -294.197-1.17279j -47.8179-2.14452j 
86.7529-4.59195j 532.674-4.43443j 924.991+9.89938j -1301.18+23.6936j -1270.19+20.5808j 3223.8-30.5127j 505.77-28.0422j 4075.96-37.4035j 4200.51-60.6795j -921.037+13.2635j -6508.05+27.3737j 3243.27-28.6471j -3667.51+16.299j -5961.48+45.7873j 2182.95-19.3374j 12536.9-67.582j -8128.95+45.9747j -755.954+6.87962j 3282.77-11.2823j 2660.63-28.0388j 2407.3-11.658j 13791.2-62.2397j 301.544-11.5213j 10484.6-29.5654j -524.658+10.6329j 572.32+3.86727j 10925.2-30.8727j 524.879+5.95288j 10485.3-28.9886j 301.278+9.12412j 13789.6-18.4894j 2406.62-2.1392j -2659.44-9.12347j -3282.4+5.54966j 757.227+3.60924j 8127.41-2.99596j -12535.8+4.32898j 2182.26+6.07713j 5961.54+10.5991j 3667.27-3.61105j 3242.6+10.6631j 6506.87-7.47815j 919.981+7.61355j 4198.57+33.0629j -4074.62-12.3577j 504.832+21.9715j 3222.46+11.0343j 1269.79+12.0807j 1299.93+14.9039j 924.917-13.5679j 531.996+1.22673j 86.5509+3.54319j 
