-0.609783-0.555791j 0.615193-0.550985j -0.0519981+0.290729j 0.39443+0.00149737j -0.0502989-0.290332j 0.0924988+0.0253912j 0.0267325+0.0372864j -0.0335875+0.224414j -0.17314+0.0273652j -0.113932-0.0199126j 0.119311-0.0178066j 0.16747+0.0308458j 0.0312373+0.22446j -0.0277177+0.0386211j -0.092487+0.0250712j -0.0152254+0.0218486j -0.0076081+0.0247387j -0.102341-0.0375481j 0.0170356-0.0597564j -0.0326761+0.0616322j 0.00257481+0.150279j 0.0380529-0.0689553j 0.00531934-0.0468576j -0.150332+0.0256286j 0.0203035+0.0350522j 0.0995323+0.00171438j -0.0221688+0.0343981j -0.148454-0.031067j -0.00537011-0.05214j 0.0354459+0.0678374j -0.00765374+0.148242j 0.0303759+0.0648798j -0.0157447-0.0596215j 0.10282-0.035438j -0.00585497-0.0251168j -0.0153998-0.0218363j 
-0.0804613-0.00961091j -0.0702483+0.051393j -0.0315264-0.0456681j 0.0196233+0.0298422j 0.0415482+0.0215425j 0.00389267+0.0205338j -0.0322515-0.0739831j 0.079526-0.0442392j 0.0587784+0.0554086j -0.0902621-0.0337835j -0.00195445+0.02424j 0.0243885+0.0326299j -0.0219641+0.0120552j -0.0352848+0.0683012j -0.0456086+0.0692212j 0.0342314-0.0682515j 0.0507914-0.03565j -0.0965853-0.0105434j 0.0720056-0.0368593j -0.0571611-0.067835j -0.0148372-0.0464748j -0.0213775+0.0437286j -0.00116378-0.00190082j -0.0509864+0.0212664j 0.0371044+0.0352717j -0.125613+0.106556j -0.0139348-0.0286421j 0.020264-0.011426j -0.0741666+0.074127j 0.00465965+0.0327123j 0.0880473+0.0053005j 0.0377942-0.0113367j -0.0935286-0.0210909j 0.0431982+0.0552462j 0.0632064-0.0348831j -0.00480209+0.028859j 
-0.0757864+0.0187345j -0.0589725+0.0153395j 0.028737+0.0893668j -0.0562265-0.047059j -0.0293646-0.0572236j 0.0196685+0.0513328j -0.000791509+0.0462269j 0.00849784-0.0161439j -0.0790453-0.0638615j -0.0697153+0.011765j 0.100678+0.150795j 0.000814505-0.0659068j 0.0038471-0.150855j 0.00732236+0.00334036j -0.00731288+0.0190734j -0.0877538-0.0593401j 0.117041-0.0120609j 0.014345-0.0165814j -0.109521-0.106364j -0.0301899-0.0314299j -0.00868148+0.00734674j 0.0199892+0.00680144j 0.144995+0.0978103j 0.044499+0.0232228j -0.0452472+0.0432065j 0.0392898-0.144387j 0.0143437-0.0241606j 0.0390286+0.0626269j 0.0771995+0.00973788j 0.0190135+0.0241615j -0.04336+0.0439147j -0.0161689+0.00775313j -0.0331184-0.0244395j 0.0296315-0.000191538j -0.0520579-0.0350027j 0.115075+0.00586984j 
0.0832574+0.0290502j -0.0270657-0.021743j -0.0109324-0.0231429j 0.0317071-0.0891913j 0.0342278+0.045868j -0.176481-0.0370932j -0.0506313+0.039433j -0.0382447+0.0628935j 0.0769599+0.00356808j -0.0607278+0.0323472j -0.0279883-0.0207423j 0.00696926-0.0738886j -0.0229725+0.0318557j 0.0127985-2.94736e-05j -0.0203204-0.00406804j -0.0100147+0.0162526j -0.0539028-0.0145645j 0.092966-0.0242451j -0.0256314+0.089398j 0.0214287+0.0288307j -0.0482412-0.0399286j -0.0844113-0.0655445j -0.0570425-0.0963134j 0.147754+0.174525j -0.0708738+0.0218978j 0.0579573-0.0642992j -0.0627181-0.0836349j -0.0358532-0.00237155j 0.0433868-0.0523626j 0.00730485+0.0611504j -0.0638997+0.0425866j 0.0218719+0.0963882j 0.0267387+0.00941703j 0.011783-0.0016022j 0.0165221-0.0125895j -0.00068245+0.00153019j 
-0.0131418+0.0252429j -0.0241314+0.0821436j 0.0269124+0.0368505j 0.0213318+0.120045j -0.0449687-0.090275j -0.113953-0.0476368j -0.0223633+0.0734043j -0.0992306+0.102276j 0.0262606+0.0196388j 0.0196432+0.015428j -0.020255-0.00658193j -0.0021975-0.0668444j -0.0357731-0.0191713j 0.0266122-0.0428646j -0.00354477+0.00540579j -0.0335752+0.0562906j -0.0873741+0.0274806j -0.0495705-0.0295262j 0.00106632+0.0332119j -0.0402676-0.0246644j -0.013438-0.0212335j 0.0465824+0.144763j -0.0263521-0.0417027j 0.138542+0.119228j 0.0771203-0.0549023j 0.0196811+0.0835704j -0.0672888-0.0443777j 0.0238893-0.022689j 0.0169637-0.0449217j -0.0127708+0.0528051j 0.0592301+0.0128584j 0.0105924+0.0845965j 0.0114538+0.0164977j 0.0267775-0.039203j 0.0311324-0.0102211j -0.0294427-0.00154156j 
0.0146041-0.0345034j 0.0178175-0.0826439j -0.073784-0.0328036j 0.0985403-0.0349559j 0.0423429+0.0181478j -0.0485706+0.0506998j -0.191174+0.0929319j -0.0731174+0.0848602j 0.0359265+0.0693642j -0.0875232-0.0160241j -0.0157954+0.0144008j -0.01363-0.00959054j -0.0121327-0.10238j 0.0546-0.00162591j -0.0196095+0.00543366j 0.0303612-0.0457122j 0.0472161+0.0206222j -0.0881225+0.0229081j 0.00121386-0.10042j -0.0552446+0.0453734j 0.0025794+0.0361744j 0.0820704+0.0259993j -0.00337106+0.0387649j 0.00713966-0.0368199j 0.0105574-0.0204401j -0.078463+0.147342j -0.0169502+0.0449759j 0.0873549-0.00618375j -0.0096568+0.0760156j 0.02454+0.0304248j 0.053157+0.00812099j 0.0409258-0.032485j -0.0565028-0.0128805j -0.00821958+0.00116226j 0.0179792-0.0313455j -0.00889655+0.020484j 
0.0694884-0.0076481j -0.0161368-0.0147627j -0.0680607+0.0167863j 0.0249441+0.00504227j 0.0389713-0.00605796j 0.00247766+0.02781j 0.141266-0.0254887j 0.138581-0.020073j 6.32747e-06-0.00744999j -0.0109349-0.11113j 0.074362+0.032224j -0.0244924+0.101372j 0.00556261+0.0162799j 0.0360212-0.0605932j -0.0106922+0.0405286j -0.0386415+0.037435j -0.0117271-0.0796521j -0.100619-0.0437827j -0.0449904+0.158496j -0.114898-0.158749j -0.00995107-0.0585246j 0.112518+0.131594j -0.0190332-0.0897819j 0.0134731+0.0277729j 0.0768336+0.0867738j 0.0420375+0.0100245j -0.0164983-0.0315391j 0.0399748+0.0708885j 0.0310469-0.0456027j -0.0265882-0.000152569j 0.0823764+0.00655297j -0.026699+0.0501745j -0.0219174+0.055125j 0.0447812-0.0289072j 0.0222071-0.0192299j -0.00998933-0.00581718j 
-0.027931-0.071065j 0.046266+0.0265611j -0.0176201+0.0504072j 0.00953489-0.0183544j -0.00426314-0.0403224j 0.0697266+0.0674198j -0.0543444-0.0259072j -0.0742831+0.0743145j 0.0422105+0.0344361j 0.0601196-0.0458941j -0.111897-0.0180985j -0.00107744+0.0116877j 0.0206032-0.00106299j -0.0444349-0.0208637j 0.0523294+0.0510981j -0.198547+0.0454632j -0.16735-0.0614383j 0.0547397-0.0177408j -0.1378-0.0603543j -0.0794739-0.0708717j -0.0277044+0.00685847j -0.164462+0.114174j 0.0202708+0.0867549j 0.047483-0.0287305j 0.0806771+0.0319028j 0.0896446-0.16192j 0.0112504-0.00462186j -0.0324342+0.00222232j 0.048042-0.0729516j 0.0633886-0.0154467j 0.0197823+0.00699147j -0.0763316+0.000716972j 0.14807-0.0146618j 0.0400801-0.0208661j -0.131882+0.0962038j 0.0371644-0.0854613j 
-0.0468774+0.0365754j -0.0207623-0.0450496j -0.0398354-0.0222834j -0.0344803+0.0320578j 0.073567+0.0243811j -0.0674276-0.0278642j 0.0429893+0.0601774j -0.0694824+0.0694268j -0.00443587-0.0331036j 0.0475622+0.0635734j -0.0145805+0.00277155j -0.00968515-0.0947108j -0.0307537+0.0026385j -0.0135778-0.0252609j 0.00566078-0.0066627j 0.0160918+0.125527j -0.135361+0.10443j 0.0356328-0.0650976j 0.186249+0.226627j -0.10798-0.0321639j -0.0654099-0.044992j -0.0615555+0.0921682j -0.141911-0.0628207j -0.00665442-0.042518j 0.06755-0.00594891j 0.025968-0.139627j -0.0219869-0.0280324j -0.0820965+0.0728219j -0.0523292-0.103866j -0.0452658-0.0295662j 0.0106482-0.0572389j 0.0288001+0.0694505j -0.0105719+0.0369537j -0.00183462-0.0210559j 0.0434847-0.0246963j -0.00929617+0.010758j 
-0.0567441-0.0421324j 0.0563352-0.00558968j 0.0646652+0.0293436j -0.0795447+0.00919904j -0.0523987+0.0102359j -0.0653538-0.147916j -0.0525886+0.0589068j 0.0246103+0.0272542j 0.0784493+0.0439511j -0.0802784-0.0648916j 0.0122083+0.0389705j 0.0356989+0.0205119j -0.0308557-0.00189174j 0.0684052+0.0315374j -0.0266571-0.00932212j 0.0778402+0.0598122j 0.18124+0.0934973j -0.0742821-0.108593j 0.0746189+0.164864j 0.0802271+0.0361401j 0.017109+0.00218416j 0.128922-0.0117426j -0.0483648-0.072817j -0.0101214-0.026877j -0.0694107+0.024357j 0.0680404-0.12004j 0.00301245-0.0162516j 0.13578+0.00571946j 0.00262946-0.110019j 0.00693184-0.0332684j -0.0209802+0.0516482j 0.056458-0.0290806j -0.0361226+0.130332j 0.00460059+0.0318324j -0.00462542-0.069178j 0.0267675+0.00467557j 
0.0367642-0.0138979j -0.0126463+0.02227j -0.0461143-0.00652373j 0.0386636-0.0730865j 0.00507359-0.00378444j 0.0399613-0.239465j 0.086125-0.0127171j -0.0824975-0.019808j -0.009047+0.0213353j 0.0615102-0.0576569j 0.00572277+0.0222796j 0.0758426-0.0240313j -0.0249702-0.00337209j 0.0172998-0.0117001j 0.00949711+0.00908908j 0.0425775+0.137339j 0.0780066+0.245844j -0.041732-0.0896202j 0.0980332-0.0364466j 0.088697+0.0912846j 0.0201968+0.0470736j -0.0414448+0.25615j -0.0645501+0.113228j -0.0143078-0.0194149j -0.0505586-0.0946186j -0.0259281-0.100907j -0.000929104-0.010204j -0.0374662-0.0925975j -0.0588928-0.0801054j -0.0322898-0.0508026j 0.0282155-0.0103186j -0.0164744-0.0132123j 0.0469222+0.0381952j 0.0161719-0.0127495j -0.0209654+0.00673204j 0.00550519-0.0192154j 
